Book Name,masked_EuroLLM-9B-Instruct,EuroLLM-9B-Instruct,non_NE_EuroLLM-9B-Instruct,Llama-3.1-405b,Llama-3.1-405b_one_shot,Llama-3.1-405b_zero_shot,masked_Meta-Llama-3.1-70B-Instruct-quantized.w4a16,Meta-Llama-3.1-70B-Instruct-quantized.w4a16,non_NE_Meta-Llama-3.1-70B-Instruct-quantized.w4a16,masked_Meta-Llama-3.1-70B-Instruct-quantized.w8a16,Meta-Llama-3.1-70B-Instruct-quantized.w8a16,non_NE_Meta-Llama-3.1-70B-Instruct-quantized.w8a16,masked_Llama-3.1-70B-Instruct,Llama-3.1-70B-Instruct,non_NE_Llama-3.1-70B-Instruct,masked_Meta-Llama-3.1-8B-Instruct-quantized.w4a16,Meta-Llama-3.1-8B-Instruct-quantized.w4a16,non_NE_Meta-Llama-3.1-8B-Instruct-quantized.w4a16,masked_Meta-Llama-3.1-8B-Instruct-quantized.w8a16,Meta-Llama-3.1-8B-Instruct-quantized.w8a16,non_NE_Meta-Llama-3.1-8B-Instruct-quantized.w8a16,masked_Meta-Llama-3.1-8B-Instruct,Meta-Llama-3.1-8B-Instruct,non_NE_Meta-Llama-3.1-8B-Instruct,masked_Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,non_NE_Llama-3.3-70B-Instruct,masked_OLMo-2-1124-13B-Instruct,OLMo-2-1124-13B-Instruct,non_NE_OLMo-2-1124-13B-Instruct,masked_OLMo-2-1124-7B-Instruct,OLMo-2-1124-7B-Instruct,non_NE_OLMo-2-1124-7B-Instruct,masked_Qwen2.5-7B-Instruct-1M,Qwen2.5-7B-Instruct-1M,non_NE_Qwen2.5-7B-Instruct-1M,gpt-4o-2024-11-20,llama405b
1984,11.666666666666666,33.33333333333333,13.333333333333334,70.0,76.66666666666667,70.0,78.33333333333333,95.0,76.66666666666667,65.0,93.33333333333333,66.66666666666666,80.0,93.33333333333333,76.66666666666667,38.333333333333336,85.0,51.66666666666667,45.0,85.0,46.666666666666664,45.0,83.33333333333334,46.666666666666664,78.33333333333333,95.0,75.0,53.333333333333336,86.66666666666667,58.333333333333336,40.0,81.66666666666667,56.666666666666664,23.333333333333332,61.66666666666667,25.0,86.66666666666667,
A Tale of Two Cities,8.0,90.0,8.0,55.00000000000001,57.99999999999999,55.00000000000001,37.0,98.0,57.99999999999999,22.0,57.99999999999999,46.0,39.0,99.0,57.99999999999999,16.0,91.0,23.0,13.0,96.0,18.0,12.0,95.0,18.0,39.0,99.0,59.0,25.0,97.0,42.0,17.0,90.0,18.0,1.0,79.0,4.0,85.0,
A thousand splendid suns,0.0,6.382978723404255,4.25531914893617,6.382978723404255,6.382978723404255,6.382978723404255,8.51063829787234,76.59574468085107,12.76595744680851,4.25531914893617,27.659574468085108,2.127659574468085,8.51063829787234,65.95744680851064,12.76595744680851,0.0,8.51063829787234,0.0,2.127659574468085,14.893617021276595,4.25531914893617,2.127659574468085,17.02127659574468,4.25531914893617,6.382978723404255,59.57446808510638,6.382978723404255,0.0,6.382978723404255,2.127659574468085,2.127659574468085,27.659574468085108,2.127659574468085,0.0,4.25531914893617,0.0,14.893617021276595,
Adventures of Huckleberry Finn,17.0,42.0,17.0,75.0,81.0,75.0,63.0,64.0,71.0,66.0,64.0,75.0,62.0,68.0,79.0,24.0,33.0,19.0,44.0,48.0,54.0,46.0,56.00000000000001,55.00000000000001,71.0,76.0,83.0,82.0,85.0,80.0,75.0,78.0,69.0,45.0,64.0,43.0,92.0,
Adventures of Sherlock Holmes,22.0,50.0,13.0,13.0,15.0,13.0,10.0,4.0,7.000000000000001,5.0,4.0,3.0,11.0,10.0,8.0,11.0,20.0,9.0,3.0,6.0,8.0,3.0,8.0,9.0,8.0,22.0,10.0,0.0,3.0,1.0,2.0,7.000000000000001,0.0,6.0,2.0,2.0,41.0,
Alice s Adventures in Wonderland,54.347826086956516,97.82608695652173,93.47826086956522,6.521739130434782,91.30434782608695,6.521739130434782,84.78260869565217,100.0,97.82608695652173,80.43478260869566,100.0,89.13043478260869,89.13043478260869,91.30434782608695,97.82608695652173,91.30434782608695,95.65217391304348,93.47826086956522,93.47826086956522,100.0,86.95652173913044,95.65217391304348,54.347826086956516,86.95652173913044,84.78260869565217,100.0,95.65217391304348,95.65217391304348,100.0,100.0,80.43478260869566,100.0,95.65217391304348,84.78260869565217,100.0,93.47826086956522,97.82608695652173,
Below Zero,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bride,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Dracula,0.0,47.77777777777778,6.666666666666667,87.77777777777777,80.0,87.77777777777777,71.11111111111111,93.33333333333333,78.88888888888889,57.77777777777777,86.66666666666667,65.55555555555556,68.88888888888889,93.33333333333333,80.0,23.333333333333332,68.88888888888889,30.0,18.88888888888889,72.22222222222221,28.888888888888886,18.88888888888889,73.33333333333333,27.77777777777778,73.33333333333333,94.44444444444444,80.0,20.0,68.88888888888889,30.0,10.0,60.0,16.666666666666664,12.222222222222221,56.666666666666664,21.11111111111111,88.88888888888889,
Dune,13.0,24.0,21.0,82.0,76.0,82.0,60.0,92.0,76.0,45.0,75.0,53.0,60.0,94.0,77.0,25.0,37.0,39.0,24.0,37.0,44.0,25.0,38.0,41.0,59.0,96.0,75.0,25.0,46.0,39.0,26.0,33.0,37.0,16.0,30.0,33.0,84.0,
Fahrenheit 451,0.0,18.823529411764707,1.6666666666666667,28.333333333333332,31.666666666666664,28.333333333333332,26.666666666666668,84.70588235294117,26.666666666666668,20.0,30.58823529411765,15.0,26.666666666666668,62.35294117647059,30.0,3.3333333333333335,76.47058823529412,5.0,5.0,77.64705882352942,6.666666666666667,3.3333333333333335,52.94117647058824,6.666666666666667,30.0,28.235294117647058,33.33333333333333,16.666666666666664,83.52941176470588,21.666666666666668,0.0,77.64705882352942,5.0,0.0,76.47058823529412,3.3333333333333335,71.66666666666667,
First Lie Wins,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Frankenstein,10.416666666666668,37.254901960784316,31.372549019607842,92.15686274509804,92.15686274509804,92.15686274509804,81.25,96.07843137254902,90.19607843137256,72.91666666666666,86.27450980392157,86.27450980392157,79.16666666666666,98.0392156862745,90.19607843137256,37.5,70.58823529411765,56.86274509803921,41.66666666666667,72.54901960784314,60.78431372549019,39.58333333333333,72.54901960784314,62.745098039215684,81.25,96.07843137254902,90.19607843137256,58.333333333333336,70.58823529411765,78.43137254901961,33.33333333333333,54.90196078431373,47.05882352941176,18.75,52.94117647058824,31.372549019607842,96.07843137254902,
Funny Story,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harry Potter and the Deathly Hallows,16.0,28.000000000000004,12.0,34.0,28.000000000000004,34.0,31.0,39.0,31.0,34.0,49.0,28.000000000000004,35.0,45.0,34.0,4.0,6.0,0.0,2.0,6.0,5.0,3.0,8.0,5.0,34.0,35.0,33.0,27.0,21.0,24.0,32.0,28.999999999999996,19.0,4.0,8.0,2.0,50.0,
