line_no,Single_ent,Multiple_ents,en,vi,tr,es,vi_translation,tr_translation,es_translation
48,"['jones', 'señor jones', 'bay jones']",,"Unfortunately, the uproar awoke Mr. Jones, who sprang out of bed, making sure that there was a fox in the yard. He seized the gun which always stood in a corner of his bedroom, and let fly a charge of number 6 shot into the darkness. The pellets buried themselves in the wall of the barn and the meeting broke up hurriedly. Everyone fled to his own sleeping-place. The birds jumped on to their perches, the animals settled down in the straw, and the whole farm was asleep in a moment.","Đáng tiếc là tiềng ồn ào đã làm ông Jones thức giấc, ông bước xuống giường vì tin chắc là có một con cáo đã lọt vào sân. Ông tìm khẩu súng vẫn thường dựng ở góc phòng và bắn một lọat đạn ghém lên trời. Có mấy viên găm vào tường nhà kho và cuộc họp mau chóng kết thúc. Từng con quay về chỗ ngủ của mình. Gia cầm nhảy lên ổ, còn gia súc thì nằm xuống đống rơm và chẳng bao lâu sau cả trang trại đã chìm vào giấc ngủ.","Ama ne yazık ki, Bay Jones gürültüden uyandı; avluya tilki girdiğini sanarak yatağından fırladı. Her zaman yatak odasının köşesinde duran tüfeğini kaptığı gibi karanlığa saçma yağdırdı. İri saçmalar samanlığın duvarına saplanır saplanmaz, toplantıdaki hayvanlar çil yavrusu gibi dağıldılar. Herkes yattığı yere koştu. Kuşlar tüneklerine sıçradılar, hayvanlar saman döşeklerine uzandılar. Çok geçmeden bütün çiftlik uykuya daldı.","Desgraciadamente, el alboroto armado despertó al señor Jones, que saltó de la cama creyendo que había un zorro merodeando en los corrales. Tomó la escopeta, que estaba permanentemente en un rincón del dormitorio, y disparó un tiro en la oscuridad. Los perdigones se incrustaron en la pared del granero y la sesión se levantó precipitadamente. Cada cual huyó hacia su lugar de dormir. Las aves saltaron a sus palos, los animales se acostaron en la paja y en un instante toda la granja estaba durmiendo.","Unfortunately, the loud noise woke Mr. Jones, who got out of bed convinced that a fox had entered the yard. He grabbed the gun that was always kept in the corner of the room and fired a series of shots into the air. Some pellets embedded themselves in the wall of the barn, and the meeting quickly came to an end. Each animal returned to its sleeping place. The poultry jumped onto their perches, while the livestock lay down on the straw, and soon the entire farm was asleep.","But unfortunately, Mr. Jones woke up from the noise; thinking a fox had entered the yard, he jumped out of bed. As he grabbed the rifle that always stood in the corner of his bedroom, he fired into the darkness. As soon as the large pellets embedded themselves in the wall of the barn, the animals at the meeting scattered like chicks. Everyone ran to where they slept. The birds jumped to their perches, and the animals lay down on their straw beds. Soon, the entire farm fell asleep.","Unfortunately, the armed commotion woke up Mr. Jones, who jumped out of bed believing there was a fox prowling around the pens. He took the shotgun, which was permanently in a corner of the bedroom, and fired a shot into the darkness. The pellets embedded themselves in the barn wall and the meeting broke up hastily. Everyone fled to their sleeping places. The birds jumped onto their perches, the animals lay down in the straw, and in an instant, the whole farm was asleep."
56,['mollie'],,"Mollie agreed, but she did not sound very convinced.","Mollie đồng ý, nhưng trông nó có vẻ không tin tưởng lắm.","Mollie, ""Kabul,"" derken pek inanmış görünmüyordu.","Mollie asintió, pero daba la impresión de, que no estaba muy convencida.","Mollie agreed, but she didn't seem very trusting.","Mollie didn't seem very convinced when she said ""Kabul.""","Mollie nodded, but it seemed that she was not very convinced."
115,['mollie'],,“Where is Mollie?” exclaimed somebody.,"""Thế Mollie đâu nhỉ?"", Có con nào đó hỏi.","Tam o sırada, birisi, ""Mollie nerede?"" diye haykırdı.",—¿Dónde está Mollie? —inquirió alguien.,"""Where's Mollie?"", someone asked.","At that moment, someone shouted, ""Where is Mollie?""",—Where is Mollie? —someone inquired.
116,['mollie'],,"Mollie in fact was missing. For a moment there was great alarm; it was feared that the men might have harmed her in some way, or even carried her off with them. In the end, however, she was found hiding in her stall with her head buried among the hay in the manger. She had taken to flight as soon as the gun went off. And when the others came back from looking for her, it was to find that the stable-lad, who in fact was only stunned, had already recovered and made off.","Đúng là không thấy Mollie đâu. Ban đầu chúng rất lo, chúng sợ rằng Mollie có thể đã bị thương hoặc bị bọn người kia bắt theo cũng nên. Cuối cùng cô nàng đã được tìm thấy đang trốn trong chuồng ngựa, đầu rúc trong đống rơm. Nó đã bỏ trốn ngay khi nghe thấy tiếng súng nổ. Trong khi các con vật đi tìm Mollie thì anh chàng dọn chuồng ngựa hồi tỉnh và trốn mất.","Gerçekten de, Mollie kayıptı. Birden ortalık karıştı. Başına bir şey mi gelmişti yoksa? Adamlar Mollie'yi kaçırmış olmasınlardı? Uzun aramalardan sonra Mollie'yi ahırda buldular; ahırdaki bölmesine saklanmış, kafasını yemlikteki samanlara gömmüştü. Silahlar patlar patlamaz ürküp kaçmıştı. Mollie'yi aramaya çıkanlar avluya döndüklerinde bir de baktılar, seyis ortalarda yok. Anlaşılan, öldü sandıkları delikanlı aslında yalnızca bayılmıştı; sonradan kendine gelmiş, tabanları yağlayıvermişti.","En efecto, faltaba Mollie. Por un momento se produjo una gran alarma; se temió que los hombres la hubieran lastimado de alguna forma, o tal vez que se la hubiesen llevado consigo. Al final, la encontraron escondida en su casilla, en el establo, con la cabeza enterrada en el heno del pesebre. Se había escapado tan pronto como sonó el tiro de la escopeta. Y, cuando los otros retornaron de su búsqueda, se encontraron con que el mozo de caballeriza, que en realidad sólo estaba aturdido, se había repuesto y huido.","Indeed, Mollie was nowhere to be seen. At first, they were very worried, fearing that Mollie might have been injured or captured by the humans. Eventually, she was found hiding in the horse stable, her head buried in a pile of straw. She had fled as soon as she heard the gunshots. While the animals were searching for Mollie, the stable boy regained consciousness and escaped.","Indeed, Mollie was missing. Suddenly, there was chaos. Had something happened to her? Could the men have kidnapped Mollie? After a long search, they found Mollie in the barn; she had hidden in her stall, burying her head in the hay in the manger. She had bolted as soon as the guns went off. When those who went to look for Mollie returned to the yard, they saw that the groom was nowhere to be found. Apparently, the young man they thought was dead had only fainted; he had come to later and made a run for it.","Indeed, Mollie was missing. For a moment there was great alarm; it was feared that the men had harmed her in some way, or perhaps had taken her with them. In the end, they found her hiding in her stall, in the stable, with her head buried in the hay of the manger. She had run away as soon as the gunshot was fired. And, when the others returned from their search, they found that the stable boy, who was actually only stunned, had recovered and fled."
123,['mollie'],,"“He didn’t! I wasn’t! It isn’t true!” cried Mollie, beginning to prance about and paw the ground.","""Anh ta không vỗ! Em không đứng ở đó! Làm gì có chuyện đó!"" - Mollie gào lên , hai chân nhảy dựng và nện ầm ầm xuống mặt đất.","""Hayır! Burnumu falan okşamadı!"" diye bağırdı Mollie. ""Ben öyle bir şey yapmadım! Yalan!""Ter ter tepiniyor, ayaklarıyla yeri eşeliyordu.","—¡Él no hizo nada! ¡Yo no estaba! ¡No es verdad! —gritó Mollie, haciendo cabriolas y pateando el suelo.","""He didn't clap!"" ""You weren't standing there! That didn't happen!"" - Mollie screamed, her legs jumping up and pounding loudly on the ground.","""No! He didn't stroke my nose or anything!"" shouted Mollie. ""I didn't do such a thing!"" ""Lies!"" She was stamping her feet and scratching the ground with them.","—He did nothing! I wasn't there! It's not true! —shouted Mollie, prancing and kicking the ground."
127,['mollie'],,"Three days later Mollie disappeared. For some weeks nothing was known of her whereabouts, then the pigeons reported that they had seen her on the other side of Willingdon. She was between the shafts of a smart dogcart painted red and black, which was standing outside a public-house. A fat red-faced man in check breeches and gaiters, who looked like a publican, was stroking her nose and feeding her with sugar. Her coat was newly clipped and she wore a scarlet ribbon round her forelock. She appeared to be enjoying herself, so the pigeons said. None of the animals ever mentioned Mollie again.","Ba ngày sau Mollie biến mất. Sau mấy tuần vẫn chưa có tin tức gì, nhưng rồi lũ bồ câu báo cáo lại là đã nhìn thấy Mollie ở bên ngòai Willingdon. Nó kéo một cái xe nhỏ, sơn hai màu đen-đỏ lộng lẫy, đứng nghỉ gần một quán bia. Một gã đàn ông béo tốt, mặt đỏ gay, mặc quần ca rô, ống chẽn, đi ghệt; có vẻ như là chủ quán; đang vừa vỗ về vừa đút cho nó miếng đường. Bờm nó mới được cắt chải cẩn thận, đám bờm trên trán có thắt một dải ruy băng màu đỏ tươi. Theo những con bồ câu nói lại thì trông nó có vẻ thoả mãn. Từ đó không con nào nhắc đến nó nữa.","Üç gün sonra Mollie ortadan kayboldu. Uzun süre nerede olduğuna ilişkin hiçbir bilgi edinilemedi, ta ki güvercinler onu Willingdon'ın orada gördüklerini bildirene kadar. Bir meyhanenin önünde duran, kırmızı-siyah, küçük, şık bir arabaya koşuluymuş. Meyhaneciye benzeyen, ekose pantolonlu, tozluklu, şişman, al yanaklı bir adam, Mollie'nin burnunu okşuyor, ona şeker yediriyormuş. Tüyleri yeni kırkılmış olan Mollie'nin perçemine kızıl bir kurdele bağlıymış. Güvercinlere bakılırsa, keyfi yerinde görünüyormuş. O günden sonra hayvanlar Mollie'nin adını bir daha anmadılar.","Tres días después Mollie desapareció. Durante varias semanas no se supo nada respecto a su paradero; luego las palomas informaron que la habían visto al otro lado de Willingdon. Estaba atalajada entre las varas de un coche elegante pintado de rojo y negro, que se encontraba detenido ante una taberna. Un hombre gordo, de cara colorada, con bombachos a cuadros y polainas, que parecía un tabernero, le estaba acariciando el hocico y dándole de comer azúcar. El pelaje de Mollie estaba recién cortado, y llevaba una cinta escarlata en las crines. «Daba la impresión de que estaba a gusto», dijeron las palomas. Ninguno de los animales volvió a mencionar a Mollie.","Three days later, Mollie disappeared. Weeks went by without any news, but then the pigeons reported that they had seen Mollie outside Willingdon. She was pulling a small cart, splendidly painted in black and red, resting near a tavern. A stout man with a red face, wearing checkered trousers and gaiters, who seemed to be the tavern owner, was petting her and feeding her a piece of sugar. Her mane had been carefully trimmed and groomed, with a bright red ribbon tied to the tuft on her forehead. According to the pigeons, she looked satisfied. From then on, no one mentioned her again.","Three days later, Mollie disappeared. For a long time, no information could be obtained about where she was, until the pigeons reported that they had seen her in Willingdon. She was harnessed to a small, stylish, red-and-black cart standing in front of a tavern. A fat, rosy-cheeked man, who looked like a tavern keeper, wearing checkered pants and gaiters, was stroking Mollie's nose and feeding her sugar. A red ribbon was tied to the forelock of Mollie, whose coat had been freshly clipped. According to the pigeons, she seemed to be in good spirits. From that day on, the animals never mentioned Mollie's name again.","Three days later, Mollie disappeared. For several weeks, nothing was known about her whereabouts; then the pigeons reported that they had seen her on the other side of Willingdon. She was harnessed between the shafts of a smart red and black painted carriage, which was standing outside a tavern. A fat man, with a red face, wearing checkered breeches and gaiters, who looked like a publican, was stroking her nose and feeding her sugar. Mollie's coat was freshly clipped, and she wore a scarlet ribbon in her mane. “She appeared to be enjoying herself,” said the pigeons. None of the animals ever mentioned Mollie again."
152,"['napoléon', 'napoleón', 'napoleon']",,"One Sunday morning, when the animals assembled to receive their orders, Napoleon announced that he had decided upon a new policy. From now onwards Animal Farm would engage in trade with the neighbouring farms: not, of course, for any commercial purpose, but simply in order to obtain certain materials which were urgently necessary. The needs of the windmill must override everything else, he said. He was therefore making arrangements to sell a stack of hay and part of the current year’s wheat crop, and later on, if more money were needed, it would have to be made up by the sale of eggs, for which there was always a market in Willingdon. The hens, said Napoleon, should welcome this sacrifice as their own special contribution towards the building of the windmill.","Một sáng chủ nhật, khi lũ súc vật tập trung nhận nhiệm vụ cho tuần tới, Napoleon bỗng tuyên bố rằng nó đã quyết định tiến hành một chính sách mới. Từ nay trở đi Trại Súc Vật sẽ buôn bán với các trại lân cận: dĩ nhiên là không phải vì lợi nhuận mà chỉ để mua một số vật dụng thật sự cần thiết thôi. Nhiệm vụ xây dựng cối xay gió là tối cần thiết đối với chúng ta, nó nói như thế. Vì vậy nó đã thương thảo về việc bán cỏ và một phần lúa mì vụ vừa rồi, sau này, nếu cần tiền nữa thì có thể phải bán trứng, nhu cầu về trứng ở Willingdon là rất cao. Các bạn gà, Napoleon nói, phải lấy làm tự hào vì đã có những đóng góp đặc biệt trong việc xây dựng cối xay gió.","Bir pazar sabahı, buyruk almak için toplanıldığında, Napoléon yeni bir siyaset belirlediğini açıkladı. Artık Hayvan Çiftliği komşu çiftliklerle alışverişe girecekti. Hiç kuşkusuz, tecimsel amaçlarla değil, yalnızca ivedilikle gerekli olan bazı malzemeleri edinebilmek amacıyla. Napoléon, ""Yel değirmeninin gereksinimleri her şeyin üstünde tutulmalıdır,"" diyordu. Bu yüzden de, büyük bir saman yığınını ve o yılın buğday ürününün bir bölümünü satmak üzere anlaşmalar yapıyordu; sonradan, daha fazla para gerekirse, Willingdon'da her zaman pazarı olan yumurtalar da satılabilirdi. Napoléon'a bakılırsa, tavuklar bunu yel değirmeninin yapımına kendi özel katkıları olarak görmeli, böyle bir özveride bulunmaktan kaçınmamalıydılar.","Un domingo por la mañana, cuando los animales se reunieron para recibir órdenes, Napoleón anunció que había decidido adoptar un nuevo sistema. En adelante, «Granja Animal» iba a negociar con las granjas vecinas; y no por supuesto con algún propósito comercial, sino simplemente con el fin de obtener ciertos materiales que hacían falta con urgencia. «Las necesidades del molino están por encima de todo lo demás», afirmó. En consecuencia, estaba tomando las medidas necesarias para vender una parte del heno y otra de la cosecha de trigo de ese año, y más adelante, si necesitaban más dinero, tendrían que obtenerlo mediante la venta de huevos, para los cuales siempre había mercado en Willingdon. «Las gallinas —dijo Napoleón— debían recibir con agrado este sacrificio como aportación especial a la construcción del molino.»","One Sunday morning, when the animals gathered to receive their tasks for the upcoming week, Napoleon suddenly announced that he had decided to implement a new policy. From now on, Animal Farm would trade with neighboring farms: of course, not for profit but only to purchase some truly necessary supplies. The task of building the windmill is of utmost importance to us, he said. Therefore, he had negotiated the sale of hay and part of the last wheat crop, and later, if more money was needed, they might have to sell eggs, as the demand for eggs in Willingdon was very high. Comrades, the hens, Napoleon said, should be proud to have made special contributions to the construction of the windmill.","One Sunday morning, when they gathered to receive orders, Napoleon announced that he had determined a new policy. From now on, Animal Farm would engage in trade with neighboring farms. Undoubtedly, not for commercial purposes, but solely to acquire some urgently needed supplies. Napoleon said, ""The needs of the windmill must be prioritized above everything else."" Therefore, he was making arrangements to sell a large stack of hay and a portion of that year's wheat crop; later, if more money was needed, eggs, which always had a market in Willingdon, could also be sold. According to Napoleon, the hens should see this as their special contribution to the construction of the windmill and should not hesitate to make such a sacrifice.","One Sunday morning, when the animals gathered to receive orders, Napoleon announced that he had decided to adopt a new system. Henceforth, ""Animal Farm"" would negotiate with the neighboring farms; and not, of course, for any commercial purpose, but simply to obtain certain materials that were urgently needed. ""The needs of the windmill are above everything else,"" he stated. Consequently, he was taking the necessary measures to sell a portion of the hay and another part of that year's wheat harvest, and later on, if they needed more money, they would have to obtain it by selling eggs, for which there was always a market in Willingdon. ""The hens,"" said Napoleon, ""should gladly accept this sacrifice as a special contribution to the construction of the windmill."""
158,['muriel'],,With some difficulty Muriel spelt it out.,Muriel phải đánh vần mãi mới xong.,"Yazıyı güçbela okuyabilen Muriel, ""Hiçbir hayvan çarşaf serili yatakta yatmayacak yazıyor,"" dedi.","Con un poco de dificultad, Muriel lo deletreó.",Muriel had to spell it out for a long time before finishing.,"Muriel, who could barely read the writing, said, ""No animal shall sleep in a bed with sheets.""","With a bit of difficulty, Muriel spelled it out."
161,['jones'],,"“You have heard then, comrades,” he said, “that we pigs now sleep in the beds of the farmhouse? And why not? You did not suppose, surely, that there was ever a ruling against beds? A bed merely means a place to sleep in. A pile of straw in a stall is a bed, properly regarded. The rule was against sheets, which are a human invention. We have removed the sheets from the farmhouse beds, and sleep between blankets. And very comfortable beds they are too! But not more comfortable than we need, I can tell you, comrades, with all the brainwork we have to do nowadays. You would not rob us of our repose, would you, comrades? You would not have us too tired to carry out our duties? Surely none of you wishes to see Jones back?”","""Thưa các đồng chí"", nó nói, ""tôi nghĩ rằng các đồng chí biết là loài lợn chúng tôi đã ngủ trên giường rồi? Tại sao lại không nhỉ? Chả lẽ các đồng chí lại cho rằng có qui định cấm ngủ trên giường à? Giường là gì,chỉ là chỗ để nằm ngủ mà thôi. Nói đúng ra thì một ổ rơm trong chuồng cũng là giường. Qui định là cấm ngủ trên khăn trải, vì đấy là sản phẩm của con người. Chúng tôi đã bỏ hết khăn trải giường đi rồi, bây giờ chúng tôi chỉ dùng chăn thôi. Giường phải nói là rất tiện! Nhưng cũng không phải là quá xa xỉ, tôi có thể nói với các đồng chí rằng đấy chính là thứ cần cho những người làm việc trí óc như chúng tôi. Chả lẽ các đồng chí lại không muốn cho chúng tôi được nghỉ ngơi hay sao? Chả lẽ các đồng chí lại muốn chúng tôi kiệt sức hay sao? Chắc chắn là không có ai trong các đồng chí muốn lão Jones quay lại chứ?""","""Yoldaşlar,"" dedi. ""Anlaşılan, biz domuzların çiftlik evindeki yataklarda yattığımızı duymuşsunuz. Neden yatmayalım ki? Umarım, yatağı yasaklayan bir buyruk olduğunu sanmıyorsunuzdur! Yatak, yatıp uyunan yerdir. Böyle bakıldığında, ağıldaki saman yığını da yatak sayılır. Buyrukta, bir insan buluşu olan çarşaf yasaklanıyordu. Biz de çiftlik evinin yataklarındaki çarşafları kaldırdık, battaniyelerle yatıyoruz. Üstelik yataklar çok rahat! Ama inanın bana, bugünlerde bir sürü konuda kafa patlatmak zorunda kalan bizler için bir yatak çok görülmemeli. Bu rahatlığı bize çok görmezsiniz, değil mi yoldaşlar? Görevlerimizi yerine getiremeyecek kadar yorgun düşmemizi istemezsiniz herhalde. Hiç sanmıyorum ki, içinizde Jones'un geri dönmesini isteyen olsun!","—Vosotros habéis oído, camaradas —dijo—, que nosotros los cerdos dormimos ahora en las camas de la casa. ¿Y por qué no? No supondríais, seguramente, que hubo alguna vez una disposición contra las camas. Una cama quiere decir simplemente un lugar para dormir. Por ejemplo: una pila de paja en un establo es una cama. La resolución fue contra las sábanas, que son un invento de los seres humanos. Hemos quitado las sábanas de las camas de la casa y dormimos entre mantas. ¡Y en verdad que son camas muy cómodas! Pero no son más de lo que necesitamos, puedo afirmaros, camaradas, considerando todo el trabajo cerebral que tenemos hoy en día. No querréis privarnos de nuestro reposo, ¿verdad, camaradas? No nos querréis tan cansados como para no cumplir con nuestros deberes. Sin duda, ninguno de vosotros deseará que vuelva Jones.","""Comrades,"" it said, ""I think you know that we pigs have been sleeping in beds already? Why not? Do you really think there is a rule against sleeping in beds? What is a bed, but a place to sleep? In fact, a pile of straw in a barn is also a bed. The rule is against sleeping with sheets, because those are a human invention. We have removed all the sheets, now we only use blankets. Beds are actually very convenient! But they are not too luxurious, I can tell you that they are exactly what we need for intellectual workers like us. Don't you want us to rest? Do you want us to be exhausted? Surely none of you want old Jones to come back, right?""","""Comrades,"" he said. ""It seems that you have heard that we pigs are sleeping in the beds of the farmhouse. Why shouldn't we? I hope you don't think there is a commandment that forbids beds! A bed is a place to lie down and sleep. In this sense, a pile of straw in the barn is also considered a bed. The commandment forbade sheets, which are a human invention. We removed the sheets from the beds in the farmhouse and are sleeping with blankets. Moreover, the beds are very comfortable! But believe me, for those of us who have to think hard about a lot of issues these days, a bed should not be begrudged. You wouldn't begrudge us this comfort, would you, comrades? Surely you don't want us to be too tired to fulfill our duties. I don't think any of you want Jones to come back!""","—You have heard, comrades —he said—, that we pigs now sleep in the beds of the house. And why not? Surely, you would not suppose that there was ever a ruling against beds. A bed simply means a place to sleep. For example: a pile of straw in a barn is a bed. The resolution was against the sheets, which are an invention of human beings. We have removed the sheets from the beds in the house and sleep between blankets. And indeed, they are very comfortable beds! But they are no more than what we need, I can assure you, comrades, considering all the brainwork we have these days. You wouldn't want to deprive us of our rest, would you, comrades? You wouldn't want us to be so tired that we can't fulfill our duties. Surely, none of you would want Jones to come back."
165,"['napoléon', 'napoleón', 'napoleon']",,"With one accord they dashed down to the spot. Napoleon, who seldom moved out of a walk, raced ahead of them all. Yes, there it lay, the fruit of all their struggles, levelled to its foundations, the stones they had broken and carried so laboriously scattered all around. Unable at first to speak, they stood gazing mournfully at the litter of fallen stone. Napoleon paced to and fro in silence, occasionally snuffing at the ground. His tail had grown rigid and twitched sharply from side to side, a sign in him of intense mental activity. Suddenly he halted as though his mind were made up.","Tất cả cùng đồng thanh thét lên vì thất vọng. Chúng lao về phía công trường. Napoleon vốn vẫn cho rằng chạy là việc hạ đẳng cũng ba chân bốn cẳng chạy ngay đầu đoàn. Thế là xong, tất cả đã thành công toi, những viên đá mà chúng phải khó nhọc mới đập vỡ và vận chuyển tới được nay nằm ngổn ngang khắp nơi. Không nói nên lời, chúng đứng lặng, đau khổ ngắm nhìn đống đá đổ. Napoleon im lặng đi đi lại lại, thỉnh thoảng gí mũi xuống đất để ngửi. Đuôi nó duỗi thẳng, đập qua đập lại rất mạnh, chứng tỏ nó đang suy nghĩ rất lung. Nó bỗng dừng lại, có nghĩa là nó đã tìm được giải pháp.","Hep birlikte yel değirmeninin oraya koşuştular. Koşar adım yürüdüğü bile görülmemiş olan Napoléon en önde tozu dumana katmıştı. Nice uğraş verip onca emek harcadıkları yel değirmeni yerle bir olmuş, bin bir güçlükle kırıp taşıdıkları taşlar dört bir yana dağılmıştı. Dilleri tutulmuşçasına, orada öyle durmuş, çevreye saçılmış taşlara bakakalmışlardı. Napoléon, ikide bir toprağı koklayarak sessizce volta atıyor, dimdik olmuş kuyruğunu hızlı hızlı iki yana sallamasına bakılırsa beyninde şimşekler çakıyordu. Birden, kararını vermişçesine durdu.","Todos a una se abalanzaron hacia el lugar. Napoleón, que rara vez se apresuraba al caminar, corría a la cabeza de todos ellos. Sí, allí yacía el fruto de todos sus esfuerzos, demolido hasta sus cimientos; las piedras, que habían roto y trasladado tan empeñosamente, estaban desparramadas por todas partes. Incapaces, al principio, de articular palabra, no hacían más que mirar tristemente los cascotes caídos en desorden. Napoleón andaba de un lado a otro en silencio, olfateando el suelo de vez en cuando. Su cola se había puesto rígida y se movía nerviosamente a derecha e izquierda, señal de su intensa actividad mental. Repentinamente se paró como si hubiera visto claro el origen de aquel desastre.","They all cried out in unison in despair. They rushed towards the construction site. Napoleon, who always considered running to be beneath him, was now at the head of the group, running as fast as he could. It was all over; everything had gone to waste. The stones they had painstakingly broken and transported were now scattered everywhere. Speechless, they stood silently, painfully gazing at the pile of fallen stones. Napoleon walked back and forth in silence, occasionally sniffing the ground. His tail was stretched out, wagging vigorously, indicating that he was deep in thought. Suddenly, he stopped, which meant he had found a solution.","They all rushed together to the windmill. Napoleon, who had never been seen even walking briskly, was at the forefront, kicking up dust. The windmill, which they had worked so hard to build, was completely destroyed, and the stones they had painstakingly broken and carried were scattered all around. They stood there as if struck dumb, staring at the stones scattered around. Napoleon was pacing silently, sniffing the ground every now and then, and judging by the rapid swishing of his erect tail, his mind was racing. Suddenly, as if he had made up his mind, he stopped.","All at once they rushed towards the place. Napoleon, who rarely hurried when walking, was running at the head of all of them. Yes, there lay the fruit of all their efforts, demolished to its foundations; the stones, which they had so diligently broken and moved, were scattered everywhere. Unable, at first, to utter a word, they could only look sadly at the fallen rubble in disarray. Napoleon walked back and forth in silence, occasionally sniffing the ground. His tail had gone stiff and was moving nervously from side to side, a sign of his intense mental activity. Suddenly he stopped as if he had clearly seen the origin of that disaster."
