Single_ent,en_masked,es_masked,tr_masked,vi_masked,en_masked_shuffled,es_masked_shuffled,tr_masked_shuffled,vi_masked_shuffled
"['snape—', 'snape']","“At the home of one of the Order,” said [MASK]. “The place, according to the source, has been given every protection that the Order and Ministry together could provide. I think that there is little chance of taking him once he is there, my Lord, unless, of course, the Ministry has fallen before next Saturday, which might give us the opportunity to discover and undo enough of the enchantments to break through the rest.”","—En casa de un miembro de la Orden —contestó [MASK]. Según nuestra fuente, le han dado a ese lugar toda la protección que la Orden y el ministerio pueden proporcionar. Creo que una vez que lo lleven allí habrá pocas probabilidades de atraparlo, mi señor; a menos, por supuesto, que el ministerio haya caído antes del próximo sábado, lo cual nos permitiría descubrir y deshacer suficientes sortilegios para burlar las protecciones que resten.","""Yoldaşlık üyelerinden birinin evinde,"" dedi [MASK]. ""Kaynağa göre bu yer Yoldaşlık ve Bakanlık‘ın birlikte temin edebileceği her korumaya sahip. Oraya vardıktan sonra onu alabilme şansının çok az olduğunu düşünüyorum, Lordum, tabi Bakanlık bir sonraki cumartesinden önce düşmediği sürece; çünkü bu bize geri kalanını kırabilmek için yeterince büyüyü keşfedip kaldırma fırsatı verir.","“Ở nhà của một trong những Hội viên,” [MASK] nói. “Theo nguồn tin, nơi đó được Hội Phượng Hoàng và Bộ Pháp Thuật bố trí mọi sự bảo vệ mà họ có thể làm được. Tôi nghĩ một khi nó đã ở đó rồi thì chúng ta rất ít có cơ hội tóm được nó, trừ khi, dĩ nhiên thôi, thưa Chúa Tể, là Bộ Pháp Thuật sập trước thứ bảy tới, điều đó giúp cho chúng ta cơ hội phát hiện và giải trừ một số bùa ếm đủ để phá hủy những bùa phép còn lại.”","together of fallen of the discover rest.” could Saturday, unless, place, us taking the that and is protection break the which that opportunity to and to he the before given enough little next the Ministry the has home of give my might Lord, “At is has undo Order the of provide. to enchantments course, him once one every been said “The I through [MASK]. there according chance there, Ministry the of Order,” think source,","Orden supuesto, menos, señor; casa sábado, las protección cual lo proporcionar. dado a de que Orden burlar próximo vez de pueden ministerio caído antes el que mi que y miembro [MASK]. a Según un de nos la permitiría lo del habrá sortilegios toda deshacer probabilidades el suficientes Creo que han resten. le lleven descubrir ese una allí para —En protecciones pocas —contestó la por nuestra que y fuente, lugar atraparlo, la ministerio haya","""Kaynağa korumaya Lordum, kaldırma fırsatı şansının kalanını temin [MASK]. Yoldaşlık verir. alabilme düşmediği bize Oraya büyüyü düşünüyorum, Bakanlık‘ın yer çünkü her bir birlikte sonraki az evinde,"" onu üyelerinden göre geri için sahip. dedi önce ""Yoldaşlık Bakanlık bu birinin tabi olduğunu çok ve sürece; keşfedip kırabilmek yeterince sonra vardıktan edebileceği bu cumartesinden","một thể nguồn Bộ có nói. đã đủ dĩ tin, mà Phượng để những sập bố họ phát hủy lại.” phá nó và đó tóm nghĩ Pháp một làm hội số thì ta nhiên được ở vệ bảy những nó, mọi thưa rất sự bảo ít trừ trước Bộ Pháp khi, hiện còn cơ khi trí [MASK] chúng có đó “Ở phép Chúa Hoàng Thuật cơ trong thôi, của là ếm bùa hội tới, rồi Hội được đó thứ giúp một ta bùa Thuật chúng giải nhà điều trừ Hội cho nơi được. “Theo và Tôi Tể, viên,”"
"['snape—', 'snape']","“He will not do either,” said [MASK]. “The Order is eschewing any form of transport that is controlled or regulated by the Ministry; they mistrust everything to do with the place.”",—No hará ninguna de esas cosas —terció [MASK]. La Orden evita cualquier forma de transporte controlada o re-gulada por el ministerio; desconfían de todo lo que tenga que ver con la institución.,"""İkisini de yapmayacak,"" dedi [MASK]. ""Yoldaşlık, Bakanlık tarafından düzenlenen veya kontrol edilen her tür ulaşım yolundan sakınıyor; o yerle ilgili hiçbir şeye güvenmiyorlar.","“Nó sẽ không sử dụng hai cách đó,” [MASK] nói. “Hội đang loại ra bất cứ hình thức di chuyển nào do Bộ Pháp thuật kiểm soát hay điều hành, họ không tin mọi thứ có dính dáng tới Bộ.”","is or to either,” transport Order do with “The [MASK]. will mistrust that place.” of eschewing regulated they any said form by Ministry; is “He not the controlled do everything the",esas por lo controlada el re-gulada forma La ministerio; Orden evita institución. de la con o que cosas todo cualquier desconfían hará —terció ninguna tenga que [MASK]. de transporte de —No ver,"her veya ilgili tarafından yapmayacak,"" hiçbir Bakanlık [MASK]. ""Yoldaşlık, de dedi düzenlenen kontrol ulaşım sakınıyor; güvenmiyorlar. o yerle yolundan şeye edilen tür ""İkisini","có soát không sử đó,” hai dính ra đang di cách kiểm Bộ sẽ “Hội họ [MASK] không cứ thuật tin hình chuyển dụng do thứ hành, điều nói. loại mọi Bộ.” nào hay Pháp “Nó tới dáng thức bất"
['lucius malfoy'],"[MASK] looked up. His skin appeared yellowish and waxy in the firelight, and his eyes were sunken and shadowed. When he spoke, his voice was hoarse.","[MASK] levantó la cabeza. Tenía los ojos hundidos y con ojeras, y el resplandor de la chimenea daba un tono amarillento y aspecto céreo a su cutis. Cuando habló, lo hizo con voz ronca:","[MASK] başını kaldırdı. Cildi ateşin ışığında sarımsı ve cilalı görünümdeydi, gözleri de gölgeli ve çökmüştü. Konuştuğunda, sesi boğuktu.","[MASK] ngước lên. Trong ánh lửa, da hắn trông vàng ệch, bóng như sáp, và mắt hắn sâu hóm quầng thâm. Khi hắn nói giọng hắn khàn khàn.","shadowed. up. looked hoarse. When eyes spoke, and and skin voice were waxy appeared was sunken his yellowish in [MASK] the his His he and firelight,","daba su la Cuando lo con a y los con voz ojos ojeras, cabeza. aspecto de levantó chimenea y la hizo resplandor el ronca: céreo cutis. [MASK] un Tenía hundidos habló, y amarillento tono","ve kaldırdı. Cildi [MASK] çökmüştü. ışığında sarımsı başını ateşin de gözleri boğuktu. ve gölgeli sesi Konuştuğunda, cilalı görünümdeydi,","hóm lên. giọng ánh da khàn sáp, lửa, Trong nói vàng ệch, Khi thâm. hắn và sâu bóng khàn. mắt ngước hắn trông hắn quầng [MASK] như hắn"
"['lucius', 'luciu']","“I have given you your liberty, [MASK], is that not enough for you? But I have noticed that you and your family seem less than happy of late … What is it about my presence in your home that displaces you, [MASK]?”","Te he regalado la libertad, [MASK]. ¿Acaso no tienes suficiente con eso? Sí... es cierto, me he fijado en que últimamente ni tú ni tu familia parecéis felices... ¿Tal vez os desagrada mi presencia en vuestra casa, [MASK]?","""Sana özgürlüğünü verdim, [MASK], bu senin için yeterli değil mi? Ama fark ettim ki sen ve ailen bundan çok da memnun görünmüyorsunuz... Evindeki varlığımın nesi seni bu kadar mutsuz ediyor [MASK]?","“Ta đã cho mi tự do, [MASK], chẳng lẽ chưa đủ cho mi sao? Nhưng ta nhận thấy mi và gia đình mi có vẻ kém vui hơn sau... Sự hiện diện của ta trong nhà mi có điều chi khiến mi không hài lòng hả, [MASK]?”","my But [MASK], “I you displaces I given happy about your enough home [MASK]?” liberty, that What you, in you late less have for and you? not is seem it than is of that your your … noticed that presence have family","tu [MASK]. tienes ni tú que me eso? felices... vez he libertad, cierto, en la no ¿Tal os [MASK]? Te Sí... ¿Acaso suficiente vuestra parecéis ni en con fijado familia regalado desagrada mi presencia he casa, es últimamente","[MASK]? verdim, varlığımın ediyor bundan Evindeki nesi çok seni kadar ettim için ki memnun yeterli özgürlüğünü da görünmüyorsunuz... [MASK], sen ""Sana değil ailen ve bu bu senin mutsuz Ama fark mi?","trong lẽ cho không tự hả, vẻ hiện sao? đình mi nhận hài và hơn gia có đủ có do, khiến cho kém lòng điều “Ta mi vui chi [MASK]?” chưa chẳng diện Nhưng của mi mi nhà ta mi Sự [MASK], mi đã sau... thấy ta"
"['malfoys', 'malfoy']","“Why do the [MASK] look so unhappy with their lot? Is my return, my rise to power, not the very thing they professed to desire for so many years?”","—¿Por qué será que los [MASK] se muestran tan descon-tentos con su suerte? ¿Acaso durante años no presumieron, precisamente, de desear mi regreso y mi ascenso al poder?","""Neden [MASK]'lar hallerinden bu kadar mutsuz görünüyorlar? Dönüşüm, benim güce erişmem, onların pek çok yıllar boyu yürekten istediklerini iddia ettikleri şey değil miydi?","“Tại sao gia đình [MASK] trông không được vui với số phận của họ nhỉ? Chẳng phải sự trở về của ta, sự hồi phục quyền lực của ta là chính cái điều họ đã tỏ ra khao khát trong bao nhiêu năm qua sao?”","power, look “Why [MASK] with years?” many the return, lot? for thing Is my so very their rise they do unhappy the desire so my to professed to not","se ¿Acaso tan regreso de no —¿Por mi precisamente, con años suerte? desear durante al los [MASK] que poder? descon-tentos ascenso muestran su mi será qué presumieron, y","[MASK]'lar istediklerini Dönüşüm, görünüyorlar? iddia değil kadar güce çok ""Neden şey yıllar erişmem, mutsuz benim hallerinden ettikleri pek onların yürekten bu miydi? boyu","sao đình phục của của với phận họ ta, gia sao?” hồi về trông trong vui ta khao chính phải trở tỏ cái quyền lực nhỉ? nhiêu điều bao Chẳng họ số ra được năm khát không [MASK] của sự qua “Tại sự đã là"
['draco malfoy'],"The hilarity mounted; [MASK] looked in terror at his father, who was staring down into his own lap, then caught his mother’s eye. She shook her head almost imperceptibly, then resumed her own deadpan stare at the opposite wall.","La hilaridad iba en aumento. Aterrado, [MASK] miró a su padre, que tenía la mirada clavada en el regazo, y luego buscó la de su madre. Ella negó con la cabeza de manera casi imperceptible y siguió contemplando de forma inexpresiva la pared que tenía enfrente.","Rezalet daha da büyüdü; [MASK] kendi kucağına öylece bakan babasına dehşetle baktı, sonra da annesinin gözünü yakaladı. Başını neredeyse belli belirsiz iki yana salladı, sonra karşı duvara donuk donuk bakmaya devam etti.","Trò vui nhộn càng được bơm lên cao; [MASK] nhìn cha khiếp đảm, cha nó cúi gằm nhìn xuống đùi mình, rồi nó bắt được ánh mắt của má nó. Bà ta lắc đầu, khẽ khàng đến mức gần như không nhận thấy được, rồi tiếp tục ngây nhìn bức tường đối diện.","at deadpan then looked stare imperceptibly, lap, mother’s eye. his then terror father, wall. opposite resumed staring was [MASK] own her mounted; down at into The who her his head the own in almost caught his hilarity shook She","siguió aumento. de hilaridad de cabeza iba inexpresiva tenía el y mirada clavada buscó miró y en contemplando forma pared Aterrado, la la tenía su La regazo, la [MASK] manera que negó de la Ella madre. con a en su padre, casi enfrente. luego imperceptible que","kendi da belli bakmaya da donuk bakan duvara yakaladı. Başını iki donuk neredeyse salladı, sonra karşı daha sonra öylece kucağına belirsiz babasına dehşetle [MASK] gözünü yana devam büyüdü; Rezalet etti. annesinin baktı,","xuống đến gần được khẽ khiếp được như nó rồi đùi Trò [MASK] mức đối thấy cha lên ta nó. cao; ánh vui má nhộn lắc bơm nhìn Bà gằm mắt bức tường được, của nhìn tiếp tục rồi đầu, bắt khàng nhìn nó nhận ngây cúi đảm, cha diện. mình, càng không"
"['hermione‘ye', 'hermione']","It was stupid, pointless, irritating beyond belief that he still had four days left of being unable to perform magic…but he had to admit to himself that this jagged cut in his finger would have defeated him. He had never learned how to repair wounds, and now he came to think of it – particularly in light of his immediate plans – this seemed a serious flaw in his magical education. Making a mental note to ask [MASK] how it was done, he used a large wad of toilet paper to mop up as much of the tea as he could before returning to his bedroom and slamming the door behind him.","Era estúpido, absurdo y sumamente irritante que todavía faltaran cuatro días para que se le permitiera practicar magia. Pero tenía que admitir que no habría sabido qué hacer con aquel corte irregular en el dedo. Todavía no había aprendido a curar heridas y, pensándolo bien —sobre todo a la luz de sus planes inmediatos—, eso era un grave fallo de su educación mágica. Se dijo que debía pedirle a [MASK] que le enseñara y a continuación, con un gran puñado de papel higiénico, limpió el té derramado antes de volver a su dormitorio y cerrar de un portazo.","Hala sihir yapamayacağı dört günün olması aptalca, mantıksız, inanılmaz derecede sinir bozucuydu... Ama kendisine itiraf etmeliydi ki, yine de parmağındaki bu derin kesik onu bozguna uğratırdı. Yaraları iyileştirmeyi hiçbir zaman öğrenmemişti ve şimdi farkına varıyordu ki -özellikle yakın zaman sonrası için yaptığı planlarından önce- sihir eğitiminde bu ciddi bir eksiklikti. Nasıl yapılacağını [MASK] sormayı aklının bir köşesine yazarken, büyük bir tomar tuvalet kâğıdıyla silebildiği kadar çayı silerek odasına döndü ve kapıyı arkasından çarparak kapattı.","Thiệt là ngu ngốc, nhảm nhí, dễ khùng quá sức tưởng tượng khi mà chỉ còn bốn ngày nữa là nó có thể làm phép thuật… nhưng nó phải tự thừa nhận là vết cắt sâu nham nhở này không khéo sẽ đánh quỵ nó. Nó chưa bao giờ học cách chữa những vết thương, và bây giờ nó phải nghĩ tới chuyện đó - đặc biệt cho những kế hoạch trước mắt - điều này dường như là một thiếu sót nghiêm trọng của nền giáo dục pháp thuật. Ghi nhẩm trong đầu là sẽ hỏi [MASK] cách làm, nó dùng một nùi bự giấy vệ sinh để chùi nước trà được bao nhiêu hay bấy nhiêu trước khi trở lại phòng ngủ và đóng sầm cánh cửa lại sau lưng.","used it It his his paper slamming of of wad – returning would his jagged note this He irritating how to the have days a to still a left to up defeated beyond him. to repair he in now how him. – his as himself perform being of serious in of flaw education. a that toilet he done, ask and large plans this came had as bedroom magic…but wounds, magical behind the belief four it before he to think to unable mop was stupid, learned much admit and could of was immediate cut in particularly finger to light had he that door mental to tea pointless, had he Making [MASK] never seemed","tenía cuatro su mágica. de estúpido, el que aquel heridas el Todavía a y de inmediatos—, no a bien eso no que fallo planes educación curar de a portazo. que de sabido le debía [MASK] días practicar derramado dijo se aprendido Era su limpió hacer higiénico, era cerrar Pero permitiera faltaran habría con absurdo papel magia. y grave admitir corte que y, pedirle con que un enseñara dormitorio —sobre todo irritante qué continuación, puñado que y todavía sumamente a Se irregular un a para gran la un había antes dedo. té sus le en pensándolo luz volver de","aptalca, ki, yazarken, uğratırdı. için farkına mantıksız, çayı varıyordu onu hiçbir ve de derecede yapamayacağı odasına Nasıl bir sihir yapılacağını sonrası kapıyı Hala bu tomar olması bir derin yakın büyük döndü bozucuydu... parmağındaki bozguna şimdi [MASK] etmeliydi öğrenmemişti silerek ciddi köşesine -özellikle önce- kapattı. kadar sinir iyileştirmeyi kendisine arkasından eksiklikti. kesik sihir ve kâğıdıyla sormayı Ama bir aklının ki Yaraları çarparak silebildiği inanılmaz tuvalet itiraf zaman planlarından bu günün yine eğitiminde dört zaman yaptığı","là khéo mắt sức giấy nhưng trở lại giáo thể bấy quá này ngủ một đóng mà dường bao làm như nó chùi một sót nó kế pháp thiếu dễ nhẩm lưng. - sinh cho cách bự chuyện phải bây nhiêu trọng tượng học nghĩ của và khi sâu nền vệ nó những cánh cửa có hay trước ngu trước hỏi nhận thuật. phải là dục khi bốn nhiêu nhí, tự bao giờ phép hoạch phòng để chưa tưởng vết Thiệt nghiêm đánh nhảm là đó nó. thừa nữa ngốc, ngày nó nước [MASK] còn vết là cách sẽ đầu Nó cắt tới này khùng không điều Ghi quỵ sẽ được thương, sau nùi - những và nhở đặc giờ làm, nham lại thuật… chữa sầm chỉ trong dùng biệt là trà"
['harry'],"[MASK] reached the bottom of the article, but continued to stare blankly at the page. Revulsion and fury rose in him like vomit; he balled up the newspaper and threw it, with all his force, at the wall, where it joined the rest of the rubbish heaped around his overflowing bin.","[MASK] llegó al final del artículo y se quedó contemplando la página como embobado. La rabia y el asco surgían en su interior como vómito; arrugó el periódico y lo lanzó con todas sus fuerzas contra la pared, donde se unió al resto de la basura amontonada alrededor de la rebosante papelera.","[MASK] makalenin sonuna ulaştı, ama sayfaya boş boş bakmaya devam etti. Tiksinti ve öfke, içinde kusmuk gibi yükseldi; tüm gücüyle gazeteyi buruşturup taşmış çöp tenekesinden yükselmiş çöpün birleştiği duvara attı","[MASK] đã đọc hết dòng cuối của bài báo, nhưng mắt vẫn ngây ra ngó chằm chằm trang báo không dứt được. Sự ghê tởm và phẫn nộ trào lên trong người nó như muốn ói, nó vo tròn tờ báo và quăng mạnh vô tường bằng tất cả sức lực, cục báo nhập vô đám rác chất đống quanh cái thùng rác đã đầy tràn.","at the the him joined force, blankly rest but where vomit; heaped and stare in Revulsion it, continued his [MASK] his all at the reached around overflowing of rubbish the he rose to the up fury newspaper the article, wall, threw and like bottom with balled the page. it of bin.","se contra pared, La papelera. la y al la resto en interior arrugó contemplando basura lanzó la al periódico todas fuerzas la [MASK] donde llegó lo como surgían unió alrededor su rebosante de y sus página asco rabia final se como el artículo embobado. quedó amontonada del con vómito; el de y","duvara sonuna çöp ama [MASK] makalenin içinde çöpün Tiksinti ve buruşturup boş sayfaya yükseldi; gücüyle attı öfke, kusmuk bakmaya gibi tüm yükselmiş devam ulaştı, tenekesinden boş taşmış etti. gazeteyi birleştiği","trào vo tường đám chằm bài cái lực, cục cả nó rác báo tởm tràn. báo mắt lên ngây đống tròn nó sức cuối bằng của đọc đầy vẫn [MASK] dứt ói, trong mạnh báo, được. nhập chất chằm ra không đã vô vô tờ trang quanh nộ Sự muốn ghê và người như báo dòng thùng và nhưng ngó rác hết quăng phẫn tất đã"
['harry'],"“Lies!” [MASK] bellowed, and through the window he saw the next-door neighbor, who had paused to restart his lawn mower, look up nervously.","—¡Mentiras! —gritó [MASK], y por la ventana vio al vecino de al lado que, mirándolo con nerviosismo, se había detenido para volver a poner en marcha el cortacésped.","""Yalanlar!"" diye böğürdü [MASK] ve pencereden çim makinesini başlatmak için duraklamış olan yan komşusunun endişeyle yukarı baktığını gördü.","“Láo!” [MASK] gào lên, và qua khung cửa sổ nó thấy ông hàng xóm nhà kế bên, vừa ngừng lại để khởi động cái máy cắt cỏ của ông ta ngó lên lo lắng.","“Lies!” his had next-door [MASK] nervously. up look neighbor, who saw bellowed, the the lawn mower, through he paused and restart window to","y en mirándolo que, con se para vio la ventana cortacésped. de detenido había vecino [MASK], a lado por nerviosismo, —¡Mentiras! poner —gritó volver al al marcha el","makinesini endişeyle gördü. çim yan ve pencereden baktığını olan yukarı için komşusunun ""Yalanlar!"" böğürdü diye başlatmak duraklamış [MASK]","sổ cỏ lắng. ngó khung qua ông lên “Láo!” kế động xóm nó ngừng của thấy lên, bên, [MASK] vừa lo gào khởi cái cắt và cửa ông để lại máy nhà hàng ta"
"['albus dumbledore‘un', 'albus dumbledore']","He had imagined it, there was no other explanation; imagined it, because he had been thinking of his dead headmaster. If anything was certain, it was that the bright blue eyes of [MASK] would never pierce him again.","Se lo había imaginado, era evidente; se lo había imaginado porque estaba pensando en el difunto director del colegio. Si de algo estaba seguro era de que los ojos azules de [MASK] jamás volverían a clavarse en los suyos.","Hayal görmüştü, başka bir açıklaması yoktu; hayal görmüştü, çünkü ölmüş müdürünü düşünüyordu. Kesin olan bir şey varsa, o da [MASK] parlak mavi gözleri onu bir daha hiç delip geçmeyecekti.","Nó đã tưởng tượng, chứ không có cách giải thích nào khác; đã tưởng tượng ra điều đó, bởi vì nó đang nghĩ đến thầy hiệu trưởng đã mất. Nếu có điều gì đó chắc chắn, thì điều đó là đôi mắt sáng xanh lơ của cụ [MASK] sẽ không bao giờ nhìn thấu lòng nó nữa.","him it would other thinking the bright eyes was He been anything imagined he imagined never was headmaster. had no dead it, of there it, of was If pierce [MASK] because certain, explanation; blue his again. had that","evidente; difunto de porque era lo suyos. Se imaginado los en ojos había clavarse jamás algo los imaginado, director de era estaba estaba azules en se el seguro [MASK] colegio. Si pensando del lo a de volverían que había","gözleri Kesin da çünkü hiç bir o parlak şey başka daha Hayal mavi onu bir olan hayal müdürünü düşünüyordu. delip ölmüş geçmeyecekti. görmüştü, görmüştü, yoktu; [MASK] açıklaması varsa, bir","không đến chắc thấu tưởng nào ra không của thầy cách nhìn tượng đó, giải đó điều đã thích sẽ bởi đang nó mất. gì nghĩ đó lơ khác; có cụ lòng đã Nếu trưởng nó mắt đã tượng, là xanh Nó chứ nữa. bao sáng [MASK] có điều vì đôi chắn, giờ điều hiệu tưởng thì"
