Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct
"['alicia', 'alice']",alice,1,1.0,correct,hester,0,0.18,incorrect,alice,1,1.0,correct,john,0,0.0,incorrect,alice,1,1.0,correct,hester,0,0.18,incorrect,alice,1,1.0,correct,hester,0,0.18,incorrect,alice,1,1.0,correct,william,0,0.46,incorrect,alice,1,1.0,correct,hester,0,0.18,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,alicia,1,1.0,correct,alicia,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alicia,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,hester,0,0.18,incorrect,john,0,0.0,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,william,0,0.46,incorrect,hester,0,0.18,incorrect
"['alicia', 'alice']",alice,1,1.0,correct,noah,0,0.22,incorrect,alice,1,1.0,correct,john,0,0.0,incorrect,alice,1,1.0,correct,john,0,0.0,incorrect,hester,0,0.18,incorrect,mai,0,0.5,incorrect,alice,1,1.0,correct,smith,0,0.2,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alicia,1,1.0,correct,alicia,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alicia,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,noah,0,0.22,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect,mai,0,0.5,incorrect,smith,0,0.2,incorrect,alice,1,1.0,correct
"['alicia', 'alice']",alice,1,1.0,correct,hester,0,0.18,incorrect,alice,1,1.0,correct,croquet,0,0.33,incorrect,tom,0,0.0,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,alice,1,1.0,correct,hester,0,0.18,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alicia,1,1.0,correct,alicia,1,1.0,correct,tom,0,0.0,incorrect,tom,0,0.0,incorrect,alice,1,1.0,correct,croke,0,0.4,incorrect,alice,1,1.0,correct,alicia,1,1.0,correct,tom,0,0.0,incorrect,croke,0,0.4,incorrect,hester,0,0.18,incorrect,croquet,0,0.33,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,alice,1,1.0,correct
"['alicia', 'alice']",alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,smith,0,0.2,incorrect,alice,1,1.0,correct,mme,0,0.25,incorrect,alice,1,1.0,correct,hester,0,0.18,incorrect,alice,1,1.0,correct,lewis,0,0.4,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alicia,1,1.0,correct,alicia,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alicia,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,smith,0,0.2,incorrect,mme,0,0.25,incorrect,hester,0,0.18,incorrect,lewis,0,0.4,incorrect,alice,1,1.0,correct
"['alicia', 'alice']",alice,1,1.0,correct,hobson,0,0.0,incorrect,hester,0,0.18,incorrect,johnson,0,0.0,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,alice,1,1.0,correct,hope,0,0.22,incorrect,alice,1,1.0,correct,julia,0,0.55,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,alicia,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,co,0,0.29,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,co,0,0.29,incorrect,hobson,0,0.0,incorrect,johnson,0,0.0,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hope,0,0.22,incorrect,julia,0,0.55,incorrect
['dodo'],hester,0,0.0,incorrect,peter,0,0.0,incorrect,hester,0,0.0,incorrect,moses,0,0.22,incorrect,hester,0,0.0,incorrect,kopano,0,0.4,incorrect,hester,0,0.0,incorrect,john,0,0.25,incorrect,hester,0,0.0,incorrect,rahul,0,0.0,incorrect,pasteur,0,0.0,incorrect,henry,0,0.0,incorrect,chairman,0,0.0,incorrect,smith,0,0.0,incorrect,senador,0,0.36,incorrect,fernando,0,0.33,incorrect,meclis,0,0.0,incorrect,mustafa,0,0.0,incorrect,napoleon,0,0.33,incorrect,phap,0,0.0,incorrect,smith,0,0.0,incorrect,fernando,0,0.33,incorrect,mustafa,0,0.0,incorrect,phap,0,0.0,incorrect,peter,0,0.0,incorrect,moses,0,0.22,incorrect,kopano,0,0.4,incorrect,john,0,0.25,incorrect,rahul,0,0.0,incorrect,henry,0,0.0,incorrect
"['alicia', 'alice']",alice,1,1.0,correct,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,peter,0,0.2,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,oscar,0,0.36,incorrect,alice,1,1.0,correct,john,0,0.0,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,alicia,1,1.0,correct,pedro,0,0.2,incorrect,tom,0,0.0,incorrect,charlie,0,0.67,incorrect,alice,1,1.0,correct,hong,0,0.0,incorrect,alice,1,1.0,correct,pedro,0,0.2,incorrect,charlie,0,0.67,incorrect,hong,0,0.0,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,peter,0,0.2,incorrect,hester,0,0.18,incorrect,oscar,0,0.36,incorrect,john,0,0.0,incorrect
"['alicia', 'alice']",alice,1,1.0,correct,hester,0,0.18,incorrect,hester,0,0.18,incorrect,socrates,0,0.31,incorrect,john,0,0.0,incorrect,leina,0,0.55,incorrect,hester,0,0.18,incorrect,paul,0,0.44,incorrect,hester,0,0.18,incorrect,thimble,0,0.33,incorrect,alice,1,1.0,correct,thimble,0,0.33,incorrect,alice,1,1.0,correct,hester,0,0.18,incorrect,alicia,1,1.0,correct,hester,0,0.18,incorrect,emma,0,0.22,incorrect,hester,0,0.18,incorrect,alice,1,1.0,correct,lan,0,0.44,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,lan,0,0.44,incorrect,hester,0,0.18,incorrect,socrates,0,0.31,incorrect,leina,0,0.55,incorrect,paul,0,0.44,incorrect,thimble,0,0.33,incorrect,thimble,0,0.33,incorrect
"['alicia', 'alice']",alice,1,1.0,correct,george,0,0.18,incorrect,aladdin,0,0.5,incorrect,orire,0,0.4,incorrect,lesego,0,0.36,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,alice,1,1.0,correct,sita,0,0.4,incorrect,alice,1,1.0,correct,soa,0,0.25,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,alicia,1,1.0,correct,alicia,1,1.0,correct,alice,1,1.0,correct,dorian,0,0.33,incorrect,alice,1,1.0,correct,hung,0,0.0,incorrect,alice,1,1.0,correct,alicia,1,1.0,correct,dorian,0,0.33,incorrect,hung,0,0.0,incorrect,george,0,0.18,incorrect,orire,0,0.4,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,sita,0,0.4,incorrect,soa,0,0.25,incorrect
"['alicia', 'alice']",don,0,0.0,incorrect,hester,0,0.18,incorrect,fool,0,0.22,incorrect,bawo,0,0.22,incorrect,job,0,0.0,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,tom,0,0.0,incorrect,hester,0,0.18,incorrect,scrooge,0,0.33,incorrect,ry,0,0.0,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,alicia,1,1.0,correct,ana,0,0.44,incorrect,tom,0,0.0,incorrect,alice,1,1.0,correct,don quixote,0,0.25,incorrect,hester,0,0.18,incorrect,alice,1,1.0,correct,ana,0,0.44,incorrect,alice,1,1.0,correct,hester,0,0.18,incorrect,hester,0,0.18,incorrect,bawo,0,0.22,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,ry,0,0.0,incorrect
