Single_ent,en_masked_results,en_masked_exact_match,en_masked_highest_fuzzy_match,en_masked_correct,en_masked_shuffled_results,en_masked_shuffled_exact_match,en_masked_shuffled_highest_fuzzy_match,en_masked_shuffled_correct,en_masked_shuffled_results,en_masked_shuffled_exact_match,en_masked_shuffled_highest_fuzzy_match,en_masked_shuffled_correct
['chad'],emily,0,0.0,incorrect,lisa,0,0.25,incorrect,lisa,0,0.25,incorrect
['chad'],ryan,0,0.25,incorrect,hope,0,0.25,incorrect,hope,0,0.25,incorrect
['chad'],jason,0,0.22,incorrect,hope,0,0.25,incorrect,hope,0,0.25,incorrect
['chad'],bill,0,0.0,incorrect,griffon,0,0.0,incorrect,griffon,0,0.0,incorrect
['maddy'],anna,0,0.22,incorrect,emily,0,0.4,incorrect,emily,0,0.4,incorrect
['maddy'],jessica,0,0.17,incorrect,shep,0,0.0,incorrect,shep,0,0.0,incorrect
['maddy'],alex,0,0.22,incorrect,portobello,0,0.0,incorrect,portobello,0,0.0,incorrect
['brad'],max,0,0.29,incorrect,faith,0,0.22,incorrect,faith,0,0.22,incorrect
['brad'],chris,0,0.22,incorrect,joe,0,0.0,incorrect,joe,0,0.0,incorrect
['brad'],mark,0,0.25,incorrect,mark,0,0.25,incorrect,mark,0,0.25,incorrect
['brad'],emily,0,0.0,incorrect,rachel,0,0.4,incorrect,rachel,0,0.4,incorrect
['lutsen'],vermont,0,0.31,incorrect,october,0,0.31,incorrect,october,0,0.31,incorrect
['brad'],john,0,0.0,incorrect,nurse,0,0.22,incorrect,nurse,0,0.22,incorrect
['brad'],jessica,0,0.18,incorrect,sheila,0,0.2,incorrect,sheila,0,0.2,incorrect
['brad'],jane,0,0.25,incorrect,romeo,0,0.22,incorrect,romeo,0,0.22,incorrect
['brad'],<output>maybe,0,0.12,incorrect,emily,0,0.0,incorrect,emily,0,0.0,incorrect
['maddy'],google,0,0.0,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect
['maddy'],emily,0,0.4,incorrect,hawaii,0,0.18,incorrect,hawaii,0,0.18,incorrect
['emma'],james,0,0.22,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect
