Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['moisés', 'musa', 'moses']",hester,0,0.36,incorrect,hester,0,0.36,incorrect,hester,0,0.36,incorrect,hester,0,0.36,incorrect,hester,0,0.36,incorrect,hester,0,0.36,incorrect,hester,0,0.36,incorrect,mai,0,0.57,incorrect,hester,0,0.36,incorrect,hester,0,0.36,incorrect,hester,0,0.36,incorrect,james,0,0.6,incorrect,huck,0,0.25,incorrect,huck,0,0.25,incorrect,nuh,0,0.29,incorrect,nuh,0,0.29,incorrect,huckleberry,0,0.13,incorrect,ba,0,0.33,incorrect,jim,0,0.29,incorrect,hester,0,0.36,incorrect,hester,0,0.36,incorrect,hester,0,0.36,incorrect,hester,0,0.36,incorrect,mai,0,0.57,incorrect,hester,0,0.36,incorrect,james,0,0.6,incorrect,huck,0,0.25,incorrect,nuh,0,0.29,incorrect,ba,0,0.33,incorrect,hester,0,0.36,incorrect
"['sawyer', 'tom sawyer', 'tom']",hester,0,0.5,incorrect,joale,0,0.4,incorrect,hester,0,0.5,incorrect,david,0,0.18,incorrect,hester,0,0.5,incorrect,hester,0,0.5,incorrect,hester,0,0.5,incorrect,hina,0,0.2,incorrect,hester,0,0.5,incorrect,krishna,0,0.31,incorrect,heaven,0,0.33,incorrect,emily,0,0.27,incorrect,tom,1,1.0,correct,hester,0,0.5,incorrect,huck,0,0.0,incorrect,orpheus,0,0.24,incorrect,huck,0,0.0,incorrect,lan,0,0.22,incorrect,tom,1,1.0,correct,hester,0,0.5,incorrect,joale,0,0.4,incorrect,david,0,0.18,incorrect,hester,0,0.5,incorrect,hina,0,0.2,incorrect,krishna,0,0.31,incorrect,emily,0,0.27,incorrect,hester,0,0.5,incorrect,orpheus,0,0.24,incorrect,lan,0,0.22,incorrect,hester,0,0.5,incorrect
"['watson', 'bayan watson', 'bayan']",hester,0,0.17,incorrect,emily,0,0.2,incorrect,omidan,0,0.36,incorrect,whippowill,0,0.25,incorrect,ole,0,0.22,incorrect,hester,0,0.17,incorrect,huck,0,0.0,incorrect,hester,0,0.17,incorrect,havisham,0,0.31,incorrect,hester,0,0.17,incorrect,rebecca,0,0.33,incorrect,hester,0,0.17,incorrect,watson,1,1.0,correct,huck,0,0.0,incorrect,huck,0,0.0,incorrect,hester,0,0.17,incorrect,huck,0,0.0,incorrect,co,0,0.25,incorrect,watson,1,1.0,correct,fario,0,0.36,incorrect,emily,0,0.2,incorrect,whippowill,0,0.25,incorrect,hester,0,0.17,incorrect,hester,0,0.17,incorrect,hester,0,0.17,incorrect,hester,0,0.17,incorrect,huck,0,0.0,incorrect,hester,0,0.17,incorrect,co,0,0.25,incorrect,fario,0,0.36,incorrect
"['sawyer', 'tom sawyer', 'tom']",hester,0,0.5,incorrect,ho,0,0.4,incorrect,hester,0,0.5,incorrect,mi-yow,0,0.25,incorrect,john,0,0.29,incorrect,yo-yo,0,0.27,incorrect,corrie,0,0.25,incorrect,corrie,0,0.25,incorrect,jim,0,0.33,incorrect,meera,0,0.4,incorrect,huck,0,0.0,incorrect,hester,0,0.5,incorrect,tom,1,1.0,correct,huck,0,0.0,incorrect,tom,1,1.0,correct,hester,0,0.5,incorrect,tom,1,1.0,correct,hung,0,0.0,incorrect,tom,1,1.0,correct,hester,0,0.5,incorrect,ho,0,0.4,incorrect,mi-yow,0,0.25,incorrect,yo-yo,0,0.27,incorrect,corrie,0,0.25,incorrect,meera,0,0.4,incorrect,hester,0,0.5,incorrect,huck,0,0.0,incorrect,hester,0,0.5,incorrect,hung,0,0.0,incorrect,hester,0,0.5,incorrect
['tom'],tom,1,1.0,correct,hester,0,0.22,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,john,0,0.29,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,hina,0,0.0,incorrect,tom,1,1.0,correct,hester,0,0.22,incorrect,tom,1,1.0,correct,hector,0,0.44,incorrect,tom,1,1.0,correct,tom,1,1.0,correct,tom,1,1.0,correct,ali,0,0.0,incorrect,tom,1,1.0,correct,hung,0,0.0,incorrect,tom,1,1.0,correct,tom,1,1.0,correct,hester,0,0.22,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,hina,0,0.0,incorrect,hester,0,0.22,incorrect,hector,0,0.44,incorrect,tom,1,1.0,correct,ali,0,0.0,incorrect,hung,0,0.0,incorrect,tom,1,1.0,correct
['tom'],tom,1,1.0,correct,john,0,0.29,incorrect,tom,1,1.0,correct,jesus,0,0.0,incorrect,john,0,0.29,incorrect,mongwe,0,0.22,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,tom,1,1.0,correct,john,0,0.29,incorrect,tom,1,1.0,correct,hester,0,0.22,incorrect,tom,1,1.0,correct,tom,1,1.0,correct,tom,1,1.0,correct,cain,0,0.0,incorrect,tom,1,1.0,correct,hester,0,0.22,incorrect,tom,1,1.0,correct,hernan,0,0.0,incorrect,john,0,0.29,incorrect,jesus,0,0.0,incorrect,mongwe,0,0.22,incorrect,hester,0,0.22,incorrect,john,0,0.29,incorrect,hester,0,0.22,incorrect,tom,1,1.0,correct,cain,0,0.0,incorrect,hester,0,0.22,incorrect,hernan,0,0.0,incorrect
['tom'],tom,1,1.0,correct,jack,0,0.0,incorrect,hester,0,0.22,incorrect,michael,0,0.2,incorrect,hester,0,0.22,incorrect,john,0,0.29,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,tom,1,1.0,correct,hester,0,0.22,incorrect,long john silver,0,0.11,incorrect,nilaza,0,0.0,incorrect,tom,1,1.0,correct,tom,1,1.0,correct,tom,1,1.0,correct,robin,0,0.25,incorrect,tom,1,1.0,correct,hai,0,0.0,incorrect,tom,1,1.0,correct,roberto,0,0.4,incorrect,jack,0,0.0,incorrect,michael,0,0.2,incorrect,john,0,0.29,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,nilaza,0,0.0,incorrect,tom,1,1.0,correct,robin,0,0.25,incorrect,hai,0,0.0,incorrect,roberto,0,0.4,incorrect
"['sawyer', 'tom sawyer', 'tom']",robin,0,0.25,incorrect,john,0,0.29,incorrect,robin,0,0.25,incorrect,michael,0,0.35,incorrect,ingsa,0,0.36,incorrect,rona,0,0.29,incorrect,jonah,0,0.27,incorrect,iona,0,0.29,incorrect,robin,0,0.25,incorrect,highwayman,0,0.25,incorrect,robin,0,0.25,incorrect,james,0,0.36,incorrect,tom,1,1.0,correct,tom,1,1.0,correct,robin,0,0.25,incorrect,robin,0,0.25,incorrect,tom,1,1.0,correct,hung,0,0.0,incorrect,tom,1,1.0,correct,robin,0,0.25,incorrect,john,0,0.29,incorrect,michael,0,0.35,incorrect,rona,0,0.29,incorrect,iona,0,0.29,incorrect,highwayman,0,0.25,incorrect,james,0,0.36,incorrect,tom,1,1.0,correct,robin,0,0.25,incorrect,hung,0,0.0,incorrect,robin,0,0.25,incorrect
"['barnes', 'tommy', 'tommy barnes']",hester,0,0.33,incorrect,mary,0,0.44,incorrect,peter,0,0.24,incorrect,mary,0,0.44,incorrect,thabo,0,0.4,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,hina,0,0.2,incorrect,tom,0,0.75,correct,ramesh,0,0.5,incorrect,hester,0,0.33,incorrect,james,0,0.55,incorrect,tom,0,0.75,correct,tom,0,0.75,correct,oliver,0,0.22,incorrect,robin,0,0.36,incorrect,cuoi,0,0.22,incorrect,hung,0,0.2,incorrect,juan,0,0.4,incorrect,pedro,0,0.2,incorrect,mary,0,0.44,incorrect,mary,0,0.44,incorrect,hester,0,0.33,incorrect,hina,0,0.2,incorrect,ramesh,0,0.5,incorrect,james,0,0.55,incorrect,tom,0,0.75,correct,robin,0,0.36,incorrect,hung,0,0.2,incorrect,pedro,0,0.2,incorrect
['tom'],tom,1,1.0,correct,john,0,0.29,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,john,0,0.29,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,tom,1,1.0,correct,samuel,0,0.22,incorrect,tom,1,1.0,correct,james,0,0.25,incorrect,tom,1,1.0,correct,tom,1,1.0,correct,tom,1,1.0,correct,hector,0,0.44,incorrect,tom,1,1.0,correct,hung,0,0.0,incorrect,tom,1,1.0,correct,pedro,0,0.25,incorrect,john,0,0.29,incorrect,hester,0,0.22,incorrect,john,0,0.29,incorrect,hester,0,0.22,incorrect,samuel,0,0.22,incorrect,james,0,0.25,incorrect,tom,1,1.0,correct,hector,0,0.44,incorrect,hung,0,0.0,incorrect,pedro,0,0.25,incorrect
