line_no,en,vi,vi_sc_add1,vi_sc_exp,tr,tr_sc_add1,tr_sc_exp,es,es_sc_add1,es_sc_exp
0,PART ONE,PART I,70.711,50.0,FIRST PART,70.711,50.0,FIRST PART,70.711,50.0
1,The Strings,The Connections 8,48.549,27.516,Strings,36.788,36.788,The threads,70.711,50.0
2,1 .,1.This is the translated text.,19.641,11.045,1,36.788,36.788,1,36.788,36.788
3,"The longest day of my life began tardily. I woke up late, took too long in the shower, and ended up having to enjoy my breakfast in the passenger seat of my mom’s minivan at 7:17 that Wednesday morning.","The longest day of my life started quite late. I woke up late, hummed for too long in the bathroom, and as a result, had to enjoy breakfast in my mom's minivan at 7:17 AM that Wednesday.",39.738,38.224,"The longest day of my life started late. I woke up late that Wednesday morning, spent a lot of time in the shower, and had to eat my breakfast in the passenger seat of my mom's minivan at 7:17 AM.",51.629,50.504,"The longest day of my life started with a delay. I woke up late, spent too much time in the shower, and in the end, I had to enjoy breakfast in the passenger seat of my mother's minivan at 7:17 in the morning on a Wednesday.",43.753,42.66
4,"I usually got a ride to school with my best friend, Ben Starling, but Ben had gone to school on time, making him useless to me. “On time” for us was thirty minutes before school actually started, because the half hour before the first bell was the highlight of our social calendars: standing outside the side door that led into the band room and just talking. Most of my friends were in band, and most of my free time during school was spent within twenty feet of the band room. But I was not in the band, because I suffer from the kind of tone deafness that is generally associated with actual deafness. I was going to be twenty minutes late, which technically meant that I’d still be ten minutes early for school itself.","On regular days, I would hitch a ride with my closest buddy, Ben Starling, but that day Ben had already cruised to school on time, so I couldn't rely on him. ""On time"" for us meant thirty minutes before classes started, because the precious half-hour before the first bell was the highlight of our social schedule: gathering and chatting outside the side door of the gym and music room. Most of my friends played musical instruments, and most of my free time at school was spent within a few meters around the music room. But I didn't play any instruments at all, because I had a condition called tone-deafness, which is generally related to actual deafness. Today I would be twenty minutes late, which technically meant I would still arrive ten minutes before class started.",32.581,32.097,"Usually, my closest friend Ben Starling would take me to school, but Ben, becoming useless to me, had gone to school on time. For us, ""on time"" was thirty minutes before school started because the half-hour before the first bell was the most important part of our social program: standing in front of the side door to the band room and just talking. Most of my friends were in the band, and most of my free time at school was spent within five meters of the band room. But I wasn't in the band because I suffered from tone deafness, which is usually associated with actual deafness. I was going to be twenty minutes late, which technically meant I would still be there ten minutes before class started.",46.984,46.603,"I used to go to school in my best friend Ben Starling's car, but Ben had left on time, so I couldn't rely on him. For us, ""on time"" meant half an hour before classes started, because those thirty minutes before the first bell rang were the highlight of our social agenda. We would stand in front of the side door that led to the high school band rehearsal room and chat. Since most of my friends played in the band, I spent almost all my free hours at school less than five meters from the rehearsal room. But I didn't play, because I have less of an ear for music than a deaf person. That day I was going to be twenty minutes late, which technically meant that I would still arrive ten minutes before classes started.",28.249,27.683
5,"As she drove, Mom was asking me about classes and finals and prom.","While driving, my mom asked me about school, exams, and the graduation prom.",13.191,7.44,"My mom asked me questions about classes, finals, and the prom while she was driving the car.",11.261,5.864,"While driving, my mother asked me about classes, exams, and the prom.",17.965,12.452
6,"“I don’t believe in prom,” I reminded her as she rounded a corner. I expertly angled my raisin bran to accommodate the g-forces. I’d done this before.","""I never enjoy parties, Mom,"" I said as she turned a corner. Immediately, I skillfully tilted the cereal to balance with gravity. I've done this trick many times.",9.761,6.671,"“I don't believe in luck,” I reminded, while turning a corner. To adapt to the G-force, I skillfully adjusted the angle of my breakfast cereal. I had done this before.",21.61,18.607,—I don't believe in prom dances —I reminded him as I turned a corner. I skillfully tilted my cereal to adjust it to the force of gravity. It wasn't the first time I had done it.,13.766,10.501
7,"“Well, there’s no harm in just going with a friend. I’m sure you could ask Cassie Hiney.” And I could have asked Cassie Hiney, who was actually perfectly nice and pleasant and cute, despite having a fantastically unfortunate last name.","“Well, what's wrong with going with a friend, dear?” “Surely you can invite Cassie Hiney.” I would definitely invite Cassie Hiney, a truly nice, friendly, and stunningly beautiful girl, but unfortunately, she has an extremely sensitive last name[3].",15.55,13.302,"“There is no harm in going with a friend. I am sure you can invite Cassie Hiney.” Despite having an extraordinarily unfortunate last name despite, I could actually invite the quite nice, beautiful, and charming Cassie Hiney.",24.048,21.677,"—Well, there's nothing wrong with going with a friend. I'm sure you could ask Cassie Hiney. Yes, he could have asked Cassie Hiney, who was very nice, friendly, and pretty, despite her tremendously unfortunate last name, which in English means ""butt"".",35.697,34.451
8,"“It’s not just that I don’t like prom. I also don’t like people who like prom,” I explained, although this was, in point of fact, untrue. Ben was absolutely gaga over the idea of going.","“Not just because I don't like the party. I don't even like the people who like the party,” I tried to explain, though to be honest, it wasn't quite true. Ben was the one who was all excited and frantic about this party.",10.339,7.947,"“I don't just dislike balls, I also dislike people who enjoy balls,” I explained, even though it wasn't actually true. I was absolutely dying to go.",14.635,12.247,—It's not that I don't like prom dances. It's that I also don't like the people who like prom dances —I explained to my mother. Although in reality it was not true. Ben had insisted on going.,13.895,10.448
9,"Mom turned into school, and I held the mostly empty bowl with both hands as we drove over a speed bump. I glanced over at the senior parking lot. Margo Roth Spiegelman’s silver Honda was parked in its usual spot. Mom pulled the minivan into a cul-de-sac outside the band room and kissed me on the cheek. I could see Ben and my other friends standing in a semicircle.","Mom turned into the school, and I held the nearly empty bowl tightly with both hands as we went over the speed bumps. I quickly glanced at the senior student parking lot. Margo Roth Spiegelman's silver Honda was parked in its usual spot. Mom pulled the car into a dead-end near the music room and kissed me on the cheek goodbye. I caught sight of Ben and a few other guys standing in a semicircle.",46.538,45.817,"My mom turned towards the school, and I held the nearly empty bowl with both hands as we went over a speed bump. I glanced at the senior parking lot. Margo Roth Spiegelman's silver Honda was parked in its usual spot. My mom turned the car towards a dead end outside the band room and kissed me on the cheek. I could see my friends and I standing in a semicircle.",62.182,61.69,"My mother turned towards the school, and I held the almost empty bowl with both hands as we went over a speed bump. I glanced at the senior student parking lot. Margo Roth Spiegelman's silver Honda was parked in its usual spot. My mother pulled the car into an alley in front of the rehearsal room and gave me a kiss on the cheek. As I got out, I saw Ben and my other friends, gathered in a semicircle.",44.09,43.421
