line_no,en,vi,vi_sc_add1,vi_sc_exp,tr,tr_sc_add1,tr_sc_exp,es,es_sc_add1,es_sc_exp
0,I,Chapter 1,0.0,0.0,CHAPTER 1,0.0,0.0,1,0.0,0.0
1,In my younger and more vulnerable years my father gave me some advice that I’ve been turning over in my mind ever since.,"During the years when I was young and easily influenced, my father gave me some advice, and it was this advice that changed my thinking from that moment on.",20.053,17.405,"When I was younger and more fragile, my father gave me a piece of advice that I will never forget for the rest of my life.",18.291,14.168,"When I was younger and more vulnerable, my father gave me a piece of advice that I have not stopped thinking about since then.",24.41,20.803
2,"“Whenever you feel like criticizing anyone,” he told me, “just remember that all the people in this world haven’t had the advantages that you’ve had.”","""Whenever you feel like criticizing anyone, just remember that not everyone in this world has had the advantages that you've had.""",32.757,30.322,"“When you feel like criticizing someone,” he said, “remember that not everyone has had the advantages that you’ve had.”",37.381,35.505,"""Before criticizing anyone,"" he told me, ""remember that not everyone has had the advantages you've had.""",20.292,16.277
3,"He didn’t say any more, but we’ve always been unusually communicative in a reserved way, and I understood that he meant a great deal more than that. In consequence, I’m inclined to reserve all judgements, a habit that has opened up many curious natures to me and also made me the victim of not a few veteran bores. The abnormal mind is quick to detect and attach itself to this quality when it appears in a normal person, and so it came about that in college I was unjustly accused of being a politician, because I was privy to the secret griefs of wild, unknown men. Most of the confidences were unsought—frequently I have feigned sleep, preoccupation, or a hostile levity when I realized by some unmistakable sign that an intimate revelation was quivering on the horizon; for the intimate revelations of young men, or at least the terms in which they express them, are usually plagiaristic and marred by obvious suppressions. Reserving judgements is a matter of infinite hope. I am still a little afraid of missing something if I forget that, as my father snobbishly suggested, and I snobbishly repeat, a sense of the fundamental decencies is parcelled out unequally at birth.","My father said. My father didn't say much more, but because there was always a subtle way of communicating between us, I understood that his words contained much deeper meanings. As a result, that advice made me inclined to be cautious in all my judgments, helping me to see and understand the strange natures of those around me, but at the same time, it also made me a victim of not a few who came to bother and annoy me. The characteristic I just mentioned, if manifested in an ordinary person, would quickly attract abnormal minds to them. Therefore, when I was still studying at university, I was often unfairly labeled as a political merchant, because I knew many sad, private, and secret stories of people, even the stories of libertine men I didn't know. It's not that I went out of my way to seek out the private matters of others. I often had to pretend to sleep, pretend to be busy, or act indifferent and unfriendly when I noticed clear signs that a private matter was about to be revealed. In fact, the confessions of young men, or at least the words they used to express themselves, were often just borrowed ideas and phrases from others that they had edited and trimmed, making their thoughts no longer coherent or clear. Being cautious in judgment is actually about constantly nurturing hope. I was always afraid that if I forgot to do so, I would miss out on many things, just like the things my father proudly pointed out and I also proudly repeated, which is that the basic awareness of polite conduct is not always equally distributed to everyone at birth.",8.931,8.462,"He hadn't said anything else, but since we understood each other without much talking, I realized he wanted to convey much more. As a result, I preferred to keep my judgments about people to myself. This habit allowed me to meet many peculiar individuals, but it also condemned me to a considerable number of annoying people. Those who think differently immediately recognize this trait in a normal person and quickly become attached to it. While I was in university, for this very reason, that is, because some crazy, unknown young people did not hesitate to tell me their secrets, I was accused of being overly political for no reason. However, I often did this unintentionally. The moment I sensed someone was about to confide in me, depending on the situation, I would either pretend to be asleep, act as if I were very busy, or dismiss them with a joke. Because these intimate revelations of young people, or at least the expressions they use to tell them, are usually either borrowed from here and there or are suppressed emotions. Keeping judgments about people to oneself is, in my opinion, an endless hope. I still fear forgetting this saying of my father's, which he uttered wisely and I wisely agreed with: some fundamental subtleties are unjustly distributed in the world.",8.717,8.102,"That was all, but within our reserve, we have always understood each other in an uncommon way, and I understood that his words meant much more. Consequently, I tend to reserve my judgments, a habit that has allowed me to discover very curious characters and has also made me the victim of quite a few incorrigible bores. The anomalous mind detects and quickly takes advantage of that quality when it perceives it in an ordinary person, and it so happened that at university I was unjustly accused of being an intriguer, for being aware of the secret sorrows of some inaccessible and difficult individuals. Most of the confidences I did not seek: many times I have pretended to sleep, or to be absorbed in my own concerns, or I have shown a hostile frivolity at the first unmistakable sign that an intimate revelation was looming on the horizon; because the intimate revelations of the young, or at least the terms in which they make them, are generally plagiarized and suffer from obvious omissions. Not judging is a reason for infinite hope. I still believe that I would lose something if I forgot that, as my father suggested with a certain snobbery, and as I now repeat with a certain snobbery, the most basic sense of decency is unequally distributed at birth.",25.65,25.28
4,"And, after boasting this way of my tolerance, I come to the admission that it has a limit. Conduct may be founded on the hard rock or the wet marshes, but after a certain point I don’t care what it’s founded on. When I came back from the East last autumn I felt that I wanted the world to be in uniform and at a sort of moral attention forever; I wanted no more riotous excursions with privileged glimpses into the human heart. Only Gatsby, the man who gives his name to this book, was exempt from my reaction—Gatsby, who represented everything for which I have an unaffected scorn. If personality is an unbroken series of successful gestures, then there was something gorgeous about him, some heightened sensitivity to the promises of life, as if he were related to one of those intricate machines that register earthquakes ten thousand miles away. This responsiveness had nothing to do with that flabby impressionability which is dignified under the name of the “creative temperament”—it was an extraordinary gift for hope, a romantic readiness such as I have never found in any other person and which it is not likely I shall ever find again. No—Gatsby turned out all right at the end; it is what preyed on Gatsby, what foul dust floated in the wake of his dreams that temporarily closed out my interest in the abortive sorrows and short-winded elations of men.","After boasting about my patience like that, I must also confess that my patience for enduring has its limits. Human conduct can be built on solid rock or on a swampy foundation, but at some point, I no longer care what it was built on. Last autumn, when I returned home from the East, I felt that I wanted the whole world to wear uniforms and to forever stand in ranks with moral uprightness. I no longer wanted noisy, boisterous entertainments with the privilege of glimpsing into people's hearts. Only Gatsby, the person whose name I used for this book, was an exception to my reaction. Gatsby represented everything I scorned. If human nature is a series of successful expressions, then he was indeed admirable. With a heightened sensitivity that could perceive the future, he was like a complex machine capable of recording earthquakes from thousands of miles away. This sensitivity of his had nothing to do with the weak, sentimental sensitivity respected under the term ""creative temperament."" It was merely a rare gift for hope, a romantic readiness that I have never found in anyone else and probably never will. In the end, Gatsby was good, and it was precisely what tormented and haunted Gatsby, the filthy dust that floated above his awakened dreams, that temporarily closed my interest in the sorrows and short-lived joys of people.",17.561,17.118,"After boasting so much about my tolerance, I must admit that it has its limits. There may be a hard rock or a swamp beneath human behaviors, but after a certain point, I can't say that I care much. When I returned from the east of the country last fall, I realized that I wanted the world to be an example and for honor to reign supreme forever. I no longer wanted those uneasy excursions into the privileged views of people's hearts. I exclude only one person from this, Gatsby, who also gives his name to this book. Gatsby, the person who embodies everything I despise. If a series of successful gestures is a sign of personality, Gatsby had something magnificent, an exaggerated sensitivity to life's promises. He was like those complex devices that can record earthquakes thousands of miles away. But this had nothing to do with that loose sensitivity glorified under the name of ""creative temperament."" His was an extraordinary ability to hope, a romantic madness that I had never seen before and don't think I will ever see again. No - Gatsby ultimately achieved his desire. It was what caught Gatsby off guard, what covered him in ash and dust when he awoke from his dreams, that caused my interest in the futile sorrows and short-lived happiness of people to disappear for a while.",19.435,19.016,"And, after boasting about my tolerance, I find myself forced to admit that it has a limit. I don't care, once a certain point is surpassed, whether the behavior is founded on stone or on swampy ground. When I returned from the East last autumn, I was aware that I desired a world in military uniform, in a kind of permanent moral vigilance; I no longer wanted wild excursions and privileged glimpses into the human heart. The only exception was Gatsby, the man who gives this book its title: Gatsby, who represented everything for which I feel genuine contempt. If personality is an unbroken series of successful gestures, then there was something magnificent about Gatsby, an extraordinary sensitivity to the promises of life, as if he were connected to one of those intricate machines that register earthquakes from fifteen thousand kilometers away. Such sensitivity has nothing to do with the soft sentimentality that we dignify with the name of ""creative temperament"": it was an extraordinary gift for hope, a romantic readiness such as I have never found in anyone else and probably never will again. No: Gatsby, in the end, turned out all right. It was what preyed on him, the foul dust that floated in the wake of his dreams, that temporarily closed out my interest in the abortive sorrows and short-winded elations of men.",44.745,44.528
5,"My family have been prominent, well-to-do people in this Middle Western city for three generations. The Carraways are something of a clan, and we have a tradition that we’re descended from the Dukes of Buccleuch, but the actual founder of my line was my grandfather’s brother, who came here in fifty-one, sent a substitute to the Civil War, and started the wholesale hardware business that my father carries on today.","Through three generations, my family has been a reputable and affluent family in this Midwestern city. The Carraway lineage lived like a clan; according to tradition, we are descendants of the Duke of Buccleuch. However, to be precise, the founder of our branch was my grandfather's brother. He came here in 1851, then sent a substitute to fulfill his duty in the Civil War, and established a wholesale business in metal mechanical tools that my father has inherited and managed up to this day.",14.191,12.712,"My family consists of wealthy and respectable people who have lived in this Midwestern city for three generations. We Carraways are like a kind of clan. It is rumored that we are descended from the Duke of Buccleuch. But the real person who laid the foundation of our lineage is my grandfather's brother. After joining the Civil War as a reinforcement force, he settled here in '51 and established the wholesale hardware business that my father now continues.",19.945,18.681,"My family has enjoyed influence and well-being in this Midwestern city for three generations. The Carraways are like a clan, and there is a tradition among us that we descend from the Dukes of Buccleuch, but the true founder of our family branch was my grandfather's brother, who arrived here in 1851, paid for someone else to take his place in the Civil War, and founded the wholesale hardware business that my father runs today.",37.341,36.512
6,"I never saw this great-uncle, but I’m supposed to look like him—with special reference to the rather hard-boiled painting that hangs in father’s office. I graduated from New Haven in 1915, just a quarter of a century after my father, and a little later I participated in that delayed Teutonic migration known as the Great War. I enjoyed the counter-raid so thoroughly that I came back restless. Instead of being the warm centre of the world, the Middle West now seemed like the ragged edge of the universe—so I decided to go East and learn the bond business. Everybody I knew was in the bond business, so I supposed it could support one more single man. All my aunts and uncles talked it over as if they were choosing a prep school for me, and finally said, “Why—ye-es,” with very grave, hesitant faces. Father agreed to finance me for a year, and after various delays I came East, permanently, I thought, in the spring of twenty-two.","I have never seen the face of this great-uncle, but I believe I resemble him, based on the stern face in the portrait hanging in my father's room. I graduated from Yale University in New Haven in 1915, exactly a quarter of a century after my father. After that, I joined the fight against the German immigrants, known to everyone as the First World War. I participated in the counterattack so zealously that when I returned home, I was still quite restless. The Midwest is no longer the most exciting center of the world for me; it now seems to have become a tattered edge of the universe. Therefore, I decided to go to the East to learn about stocks and financial securities. Everyone I knew was in this industry, so I thought the market could still support another single young man like me. All my aunts and uncles discussed this matter as if they were choosing a preparatory school for me. Finally, they declared ""Alright"" with serious and hesitant faces. My father agreed to support me for a year. After various delays, I finally arrived in the East in the spring of 1922, thinking I would stay there forever.",22.332,21.892,"I never met this great uncle, but those who saw the sharp-featured portrait hanging in my father's workplace said I resembled him a lot. In 1915, exactly a quarter-century after my father, I graduated from New Haven. Soon after, I joined the delayed German expansion movement known to the world as the Great War (World War I). Our counterattacks gave me such great pleasure that I was saddened to return. The Midwest had ceased to be a bustling center of the world and had turned into a remote corner of the universe. So I decided to go East and get into the bond business. Everyone I knew was doing this job, and I thought that a bachelor like me could easily make a living this way. After all the aunts, uncles, and cousins had long discussions on the subject as if they were choosing a suitable college for me, they said ""Alright"" with serious and concerned faces. My father agreed to send me money for a year, and after a few delays, I finally came East and settled permanently in the spring of 1922.",19.976,19.465,"I never got to know my great-uncle, but they say I resemble him, especially the stern portrait my father has hanging in his office. I finished my studies in New Haven[2] in 1915, exactly a quarter of a century after my father, and shortly thereafter I participated in that aborted Teutonic migration known as the Great War. I enjoyed the counteroffensive so much that I returned full of unease. The Midwest no longer seemed to me the burning center of the world, but the last and miserable edge of the universe, and I decided to go East and learn the secrets of bond trading. All my acquaintances were involved in bonds, so I thought the business could support one more. My aunts and uncles debated the matter as if they were looking for a school for me, and finally said: ""Well, well... yes,"" very seriously, with an expression of doubt. My father agreed to finance me for a year and, after several postponements, I went East in the spring of 1922, forever, or so I thought.",31.699,31.338
7,"The practical thing was to find rooms in the city, but it was a warm season, and I had just left a country of wide lawns and friendly trees, so when a young man at the office suggested that we take a house together in a commuting town, it sounded like a great idea. He found the house, a weather-beaten cardboard bungalow at eighty a month, but at the last minute the firm ordered him to Washington, and I went out to the country alone. I had a dog—at least I had him for a few days until he ran away—and an old Dodge and a Finnish woman, who made my bed and cooked breakfast and muttered Finnish wisdom to herself over the electric stove.","If I were to look for a room to rent in the city, it would probably be more practical and convenient for me. However, since it was the warm season at that time, and I had just left an area with vast grasslands and plenty of trees, when a young colleague suggested that the two of us rent a house in the suburbs, I immediately thought it was a good idea. My colleague found a house, a weather-beaten wooden bungalow, for eighty dollars a month. But in the end, the company transferred him to Washington, and so I had to move to the suburbs alone. I had a dog - at least it stayed with me for a few days before it ran away - an old Dodge car, and a Finnish maid. Her daily tasks were to help me make the bed, cook breakfast, and mutter Finnish proverbs to herself by the electric stove.",19.027,18.386,"The first thing to do was to rent a room in the city center, but the season was mild and I had just come from a region with vast meadows and friendly trees. When a young boy from work suggested renting a house in one of the nearby suburbs, it seemed like a great idea to me. He found the house. For eighty dollars a month, it was a damp-worn, shabby building. When the company sent him to Washington at the last minute, the house was left to me. I got a dog, but it ran away a few days later. I had an old Dodge car and a Finnish helper who made my bed and prepared my breakfast. She would sit by the electric heater, murmuring something in her own language.",20.191,19.313,"The practical thing was to look for accommodation in the city, but it was very hot, and I was coming from a country generous with grass and hospitable trees, so when an office colleague suggested renting a house together in a nearby town, it seemed like a great idea. He found the house, a battered cardboard bungalow, for eighty dollars a month, but at the last minute, the company sent him to Washington, and I went to the countryside alone. I had a dog, or at least I had one for a few days until it ran away, an old Dodge, and a Finnish lady who made my bed and breakfast, and murmured Finnish proverbs next to the electric stove.",43.162,42.708
8,"It was lonely for a day or so until one morning some man, more recently arrived than I, stopped me on the road.","I felt lonely and lost for about a day or so, until one morning when a man who had just moved into the area behind me stopped me on the road.",29.261,26.765,I spent a couple of days alone like this.,2.885,1.115,"I felt lonely for a day, more or less, until one morning someone who had arrived after me stopped me on the road.",38.723,35.737
9,“How do you get to West Egg village?” he asked helplessly.,"""Could you please show me the way to West Egg village?""",32.941,27.825,"Then one morning, a man who apparently had arrived shortly after me stopped me and asked with a bewildered expression on his face, ""How can I get to the village of West Egg?""",5.748,3.153,"—How do you get to West Egg? —he asked me, confused.",43.352,38.72
