line_no,en,vi,vi_sc_add1,vi_sc_exp,tr,tr_sc_add1,tr_sc_exp,es,es_sc_add1,es_sc_exp
0,Chapter 1,Chapter 1,100.0,100.0,First Chapter,70.711,50.0,I,0.0,0.0
1,"Mr. Jones, of the Manor Farm, had locked the hen-houses for the night, but was too drunk to remember to shut the pop-holes. With the ring of light from his lantern dancing from side to side, he lurched across the yard, kicked off his boots at the back door, drew himself a last glass of beer from the barrel in the scullery, and made his way up to bed, where Mrs. Jones was already snoring.","Phạm Minh Ngọc translated from the original English version, with reference to the Russian version by Лара Беспалова -2001г. Mr. Jones, the owner of the Manor Farm, closed the chicken coop, but because he was too drunk, he forgot to close the pigsty. With a hurricane lamp in hand, swaying, sometimes to the right, sometimes to the left, he staggered across the yard, kicked off his boots at the back door, and stepped into the kitchen to finish the last mug of beer of the day before climbing into bed, where his wife, Mrs. Jones, was already snoring.",24.923,24.195,"Mr. Jones, the owner of Manor Farm, had closed the henhouse door as he did every night, but because he was very drunk, he had forgotten to close the holes through which the chickens went in and out. As he stumbled and staggered across the yard, the light from the lantern in his hand was swaying this way and that. At the back door, he took off his boots and threw them aside, filled one last glass of beer from the barrel in the pantry and drank it in one gulp, then went upstairs to his bedroom. Mrs. Jones was snoring loudly.",23.163,22.392,"Mr. Jones, owner of Manor Farm, closed the henhouses for the night, but he was too drunk to remember that he had left the windows open. With the light of the lantern dancing from side to side, he crossed the yard, took off his boots at the back door, poured himself a final glass of beer from the barrel in the kitchen, and went straight to bed, where Mrs. Jones was already snoring.",52.037,51.46
2,"As soon as the light in the bedroom went out there was a stirring and a fluttering all through the farm buildings. Word had gone round during the day that old Major, the prize Middle White boar, had had a strange dream on the previous night and wished to communicate it to the other animals. It had been agreed that they should all meet in the big barn as soon as Mr. Jones was safely out of the way. Old Major (so he was always called, though the name under which he had been exhibited was Willingdon Beauty) was so highly regarded on the farm that everyone was quite ready to lose an hour’s sleep in order to hear what he had to say.","As soon as the light in the bedroom went out, rustling and whispering sounds suddenly arose here and there. That day, there was a rumor that the Leader, a white boar who had once won a medal at an exhibition, had a strange dream the night before and wanted to share it with all the animals. They agreed that as soon as Mr. Jones went to sleep, they would gather in the big barn. All the animals on the farm respected the Leader (they called him that, although at the exhibition he was known as Willingdon Handsome) and were willing to sacrifice their sleep to hear him speak.",20.423,19.711,"As soon as the light in the bedroom went out, a commotion and a rush began in all the buildings of the farm. It had been announced during the day: Old Major, the boar who had once won a prize, wanted to tell all the animals about a strange dream he had the night before. As soon as Mr. Jones was out of the way, it was decided that everyone would gather in the big barn. Old Major (he had entered the competition under the name Willingdon Beauty, but everyone called him Old Major) was so highly respected on the farm that everyone was willing to lose sleep to hear what he had to say.",36.093,35.554,"As soon as the light went out in the bedroom, the commotion began throughout the farm. During the day, word had spread that Old Major, the prize boar, had had a strange dream the previous night and wanted to share it with the other animals. They had agreed to all meet in the main barn once Mr. Jones retired. Old Major (that was always his name, although he had been exhibited under the name Willingdon Beauty) was so highly regarded on the farm that everyone was willing to lose an hour of sleep to hear what he had to say.",39.157,38.712
3,"At one end of the big barn, on a sort of raised platform, Major was already ensconced on his bed of straw, under a lantern which hung from a beam. He was twelve years old and had lately grown rather stout, but he was still a majestic-looking pig, with a wise and benevolent appearance in spite of the fact that his tushes had never been cut. Before long the other animals began to arrive and make themselves comfortable after their different fashions. First came the three dogs, Bluebell, Jessie, and Pincher, and then the pigs, who settled down in the straw immediately in front of the platform. The hens perched themselves on the window-sills, the pigeons fluttered up to the rafters, the sheep and cows lay down behind the pigs and began to chew the cud. The two cart-horses, Boxer and Clover, came in together, walking very slowly and setting down their vast hairy hoofs with great care lest there should be some small animal concealed in the straw. Clover was a stout motherly mare approaching middle life, who had never quite got her figure back after her fourth foal. Boxer was an enormous beast, nearly eighteen hands high, and as strong as any two ordinary horses put together. A white stripe down his nose gave him a somewhat stupid appearance, and in fact he was not of first-rate intelligence, but he was universally respected for his steadiness of character and tremendous powers of work. After the horses came Muriel, the white goat, and Benjamin, the donkey. Benjamin was the oldest animal on the farm, and the worst tempered. He seldom talked, and when he did, it was usually to make some cynical remark — for instance, he would say that God had given him a tail to keep the flies off, but that he would sooner have had no tail and no flies. Alone among the animals on the farm he never laughed. If asked why, he would say that he saw nothing to laugh at. Nevertheless, without openly admitting it, he was devoted to Boxer; the two of them usually spent their Sundays together in the small paddock beyond the orchard, grazing side by side and never speaking.","The Leader sat on a straw-cushioned platform at the far end of the barn, under the light of a hurricane lamp hanging from the rafters. It was twelve years old, and although it had recently gained some weight, with its protruding canine teeth, it still looked dignified and benevolent. The other animals began to arrive one by one, each finding a favorable spot to sit. First came the three dogs, Bluebell, Jessie, and Pincher, followed by the pigs; they sat on the straw pile in front of the platform. The hens perched on the window sills, the pigeons settled on the rafters, and the cows and sheep lay behind the pigs and began their cud-chewing. Two cart horses named Boxer and Clover also came in, slowly approaching the platform, carefully watching each step to avoid crushing any small animals beneath the straw. Clover, a gentle middle-aged mare, had become somewhat stout after giving birth four times. Boxer, a majestic horse nearly two meters tall and as strong as two ordinary horses. Because of a white stripe down his nose, he looked somewhat stupid, and indeed he was not very intelligent, but he was respected by the other animals for his steadiness and hard work. Next came a white goat named Muriel and a donkey named Benjamin. Benjamin was the oldest animal among them, but also the most ill-tempered. Benjamin spoke little, but whenever he did, it was always to make a sarcastic remark, such as once declaring that God had given him a tail to swat flies, but he would have preferred to have neither tail nor flies. He was the only animal that never laughed. If asked why, he would say: there was nothing to laugh about. Despite this, and although he never spoke of it, he was very loyal to Boxer; every Sunday, the two of them would quietly graze together in the paddock behind the orchard.",25.35,25.142,"The leader had already settled on a straw mattress laid on a platform illuminated by a lantern hanging from one of the beams in the ceiling, in a corner of the large barn. He was twelve years old, had recently put on a bit of weight; despite his long, sharp canine teeth never having been cut, he was an imposing pig who looked wise and fatherly. Soon, the other animals also began to arrive one after another and started to take their places in an orderly manner. First appeared three dogs named Bluebell, Jessie, and Pincher; then the pigs came and settled on the straw right in front of the platform. The hens perched on the window sills, the pigeons settled on the roof beams, and the sheep and cows lay down behind the pigs and began to chew cud. Two cart horses named Boxer and Clover entered together; they walked slowly, carefully placing their large, hairy feet on the ground, worried that there might be a small animal among the straw that they couldn't see. Clover was a large, motherly mare who could be considered middle-aged; she had never quite regained her former shape after giving birth to her fourth foal. Boxer, on the other hand, was a very large animal, nearly two meters tall, with the strength of two horses. A white stripe down his forehead to his nose made him look somewhat stupid; indeed, he was not considered the smartest animal on the farm, but he had earned everyone's respect with his solid character and astonishing work ethic. After the horses, a white goat named Muriel and a donkey named Benjamin appeared. Benjamin was the oldest and most cantankerous animal on the farm. It couldn't be said that honey dripped from his mouth, but he spoke little and to the point: ""God gave me a tail to shoo away flies; but I wish there were no flies and no tail either."" He was the only animal on the farm who never laughed. To those who asked why he didn't laugh, he would reply, ""What's there to laugh at?"" But despite not showing it openly, he admired Boxer; the two of them would spend their Sundays together, usually grazing side by side in silence in the meadow behind the orchard.",22.649,22.41,"At one end of the main barn, on a sort of raised platform, Major was already settled comfortably in his straw bed, under a lantern hanging from a beam. He was twelve years old and had recently become quite fat, but he was still a majestic pig with a wise and good-natured appearance, despite his tusks never having been cut. After a short while, the other animals began to arrive and settle down comfortably, each in their own way. First came the three dogs, Bluebell, Jessie, and Pincher, and then the pigs, who settled down in the straw in front of the platform. The hens perched on the windowsills, the pigeons fluttered up to the rafters, the sheep and cows lay down behind the pigs and began to chew the cud. The two cart-horses, Boxer and Clover, entered together, walking slowly and placing their large hairy hooves with great care, fearing that some small animal might be hidden in the straw. Clover was a sturdy mare, getting on in years and with a maternal appearance, who had not managed to regain her figure after her fourth foal. Boxer was an enormous beast, nearly eighteen hands high and as strong as two ordinary horses put together. A white stripe down his nose gave him a somewhat stupid appearance, and indeed he was not very intelligent, but he was respected by all for his steadiness of character and tremendous powers of work. After the horses came Muriel, the white goat, and Benjamin, the donkey. Benjamin was the oldest and the worst-tempered animal on the farm. He rarely spoke, and when he did, it was usually to make some cynical remark; for example, he would say that ""God had given him a tail to keep the flies off, but that he would rather have had no tail and no flies."" He was the only animal on the farm that never laughed. If asked why, he would say that he saw nothing to laugh at. However, without openly admitting it, he was devoted to Boxer; the two of them usually spent their Sundays together in the small paddock beyond the orchard, grazing side by side without speaking.",67.032,66.956
4,"The two horses had just lain down when a brood of ducklings, which had lost their mother, filed into the barn, cheeping feebly and wandering from side to side to find some place where they would not be trodden on. Clover made a sort of wall round them with her great foreleg, and the ducklings nestled down inside it and promptly fell asleep. At the last moment Mollie, the foolish, pretty white mare who drew Mr. Jones’s trap, came mincing daintily in, chewing at a lump of sugar. She took a place near the front and began flirting her white mane, hoping to draw attention to the red ribbons it was plaited with. Last of all came the cat, who looked round, as usual, for the warmest place, and finally squeezed herself in between Boxer and Clover; there she purred contentedly throughout Major’s speech without listening to a word of what he was saying.","As soon as the two horses lay down, the orphaned ducklings rushed into the barn, chirping softly as they scurried around, hoping to find a safe spot. Mrs. Fat used her front legs to create an enclosure for them, and the ducklings quickly nestled inside and fell asleep without realizing it. Just before the meeting began, Mollie, a foolish white mare who usually pulled Mr. Jones's small cart, sashayed in while chewing on a lump of sugar. She immediately took a spot in front of the platform and shook her mane, hoping the others would notice the red ribbon adorning it. Finally, there was a cat, which looked around and, as usual, sought out a warm place for itself. It squeezed in between Boxer and Mrs. Fat, purring contentedly, indifferent to whatever the Leader had to say.",14.965,14.217,"Just as the two horses had lain down, the orphaned ducklings, chirping loudly, entered the barn in a single file; waddling around, they were looking for a place where they wouldn't get trampled. Clover built a wall around the ducklings with her large foreleg; they huddled there and immediately fell asleep. At the last moment, Mollie, the white mare with long hair but short on brains, who pulled Mr. Jones's two-wheeled cart, arrived; with a lump of sugar in her mouth, she gracefully entered. She chose a spot at the front; hoping to draw attention, she began to sway her white mane, braided with red ribbons, from side to side. Finally, the cat appeared; true to its nature, it immediately began to look for the warmest spot and eventually nestled between Boxer and Clover; it purred contentedly throughout Old Major's speech –without listening to a single word he said.",20.406,19.741,"As soon as the two horses lay down, a group of ducklings that had lost their mother entered the barn, chirping weakly and wandering from side to side in search of a place where they wouldn't be in danger of being stepped on. Clover formed a sort of wall with her enormous front hoof, and the ducklings nestled there, falling asleep immediately. At the last moment, Mollie, the pretty and silly white mare that pulled Mr. Jones's cart, entered affectedly, chewing on a sugar lump. She positioned herself in front, flirting with her white mane to draw attention to the red ribbons with which it had been braided. The last to appear was the cat, who, as usual, sought the warmest place, finally settling between Boxer and Clover; there she purred contentedly during Major's speech, without hearing a single word of what he was saying.",32.562,32.1
5,"All the animals were now present except Moses, the tame raven, who slept on a perch behind the back door. When Major saw that they had all made themselves comfortable and were waiting attentively, he cleared his throat and began:","So all the animals in the Manor Farm were present, except for the raven Moses, who was sleeping on the fence just outside the back door. When the Leader saw that everyone was settled and ready to listen, he cleared his throat and began:",29.916,28.27,"Except for the pet raven Moses, who was sleeping on the perch near the back door, all the animals had arrived. The leader, seeing that everyone had taken their place and was waiting in silence, cleared his throat and began to speak:",18.1,15.506,"All the animals were already present —except for Moses, the tame raven, who was sleeping on a perch behind the back door—. When Major saw that they were all settled and waiting attentively, he cleared his throat and began:",59.788,58.882
6,"“Comrades, you have heard already about the strange dream that I had last night. But I will come to the dream later. I have something else to say first. I do not think, comrades, that I shall be with you for many months longer, and before I die, I feel it my duty to pass on to you such wisdom as I have acquired. I have had a long life, I have had much time for thought as I lay alone in my stall, and I think I may say that I understand the nature of life on this earth as well as any animal now living. It is about this that I wish to speak to you.","""Comrades! As you all know, last night I had a strange dream. But I will talk about that later. First, I want to discuss with you some entirely different matters. Comrades, I think that I won't be able to stay with you much longer, so I believe that before I die, I have a responsibility to share with you the experiences I have accumulated throughout my life. I have had what can be called a long life, and I have thought a lot while lying alone in the barn. I think I can say that I understand life as well as any animal in this world. That is what I want to tell you, comrades.",21.046,20.137,"""Comrades, you all know that I had a strange dream last night. I will come to the dream later. I want to tell you something else first. Comrades, I don't think I have much time left. Therefore, I consider it my duty to pass on to you the knowledge and experiences I have gained so far. I have lived a long life, and while lying alone in my stall, I had much time to think; I can say that I have understood the order of this world as much as any living animal. What I want to talk to you about today is precisely this.",26.754,26.051,"—Comrades: you have already heard about the strange dream I had last night. But I will talk about that later. First, I have to say something else. I do not believe, comrades, that I will be with you for many more months, and before I die, I feel it is my duty to pass on to you the wisdom I have acquired. I have lived many years, had plenty of time to meditate while I have been alone in my sty, and I believe I can say that I understand the meaning of life in this world as well as any other living animal. It is about this that I wish to speak to you.",47.844,47.409
7,"“Now, comrades, what is the nature of this life of ours? Let us face it: our lives are miserable, laborious, and short. We are born, we are given just so much food as will keep the breath in our bodies, and those of us who are capable of it are forced to work to the last atom of our strength; and the very instant that our usefulness has come to an end we are slaughtered with hideous cruelty. No animal in England knows the meaning of happiness or leisure after he is a year old. No animal in England is free. The life of an animal is misery and slavery: that is the plain truth.","Now, comrades, what is the true nature of our lives? We must look straight at the truth. Our lives are toil, misery, and short-lived. We are born, we are given just enough food to keep us from starving, those who can work must work until they are exhausted, and when we can no longer work, we are slaughtered in a most brutal and savage manner. No animal in England knows the meaning of happiness and joy from the moment they are one year old. No animal in England is free. The life of an animal is one of misery and slavery: that is the plain truth.",40.084,39.647,"""Yes comrades, what kind of life are we living? Let's not be afraid to say it openly: Our short lives pass by in poverty, struggling and toiling from morning till night. After coming into the world, they give us just enough food to survive; they make those of us who remain standing work until we drop; and when we become useless to them, they slaughter us with terrible cruelty. In England, after reaching one year of age, no animal knows what happiness is, no animal can rest or have fun. In England, no animal is free. What is our life but misery and slavery! This, in all its starkness, is the truth.",8.745,6.981,"""Let's see, comrades: What is the reality of this life of ours? Let's face it: our lives are sad, laborious, and short. We are born, we are given the necessary food to sustain ourselves, and those of us who are able to work are forced to do so until the last ounce of our strength; and the very moment we are no longer useful, we are killed with appalling cruelty. No animal in England knows the meaning of happiness or leisure after reaching one year of age. There is no free animal in England. The life of an animal is only misery and slavery; this is the plain truth.",48.578,48.178
8,"“But is this simply part of the order of nature? Is it because this land of ours is so poor that it cannot afford a decent life to those who dwell upon it? No, comrades, a thousand times no! The soil of England is fertile, its climate is good, it is capable of affording food in abundance to an enormously greater number of animals than now inhabit it. This single farm of ours would support a dozen horses, twenty cows, hundreds of sheep — and all of them living in a comfort and a dignity that are now almost beyond our imagining. Why then do we continue in this miserable condition? Because nearly the whole of the produce of our labour is stolen from us by human beings. There, comrades, is the answer to all our problems. It is summed up in a single word — Man. Man is the only real enemy we have. Remove Man from the scene, and the root cause of hunger and overwork is abolished for ever.","But is that the law of nature? Could it be that our country is so poor that it cannot support the animals living here? No, a thousand times no, comrades. Our land is fertile, the weather is favorable, and it can easily provide food for a much larger number of animals than it currently does. Just our farm alone could support a dozen horses, twenty cows, hundreds of sheep, and all of them could live in comfort and dignity that we cannot even imagine now. So why do we continue to live in such miserable conditions? Because almost everything we produce is taken by humans. That is the cause of all our problems. In short, in one word: Man. Man is our enemy. If there were no humans, we would never be hungry again, and we would no longer have to do hard labor.",21.004,20.515,"""So, is this situation a law of Nature? Is our country so poor that it cannot offer a decent life to those living on its land? No, comrades, never! The lands of England are fertile; the air and water of our homeland are good; today, it can provide plenty of food for many more animals than those living in this country. Even just our farm alone can feed a dozen horses, twenty cows, hundreds of sheep; not just feed, but can give them a life of comfort and dignity that we cannot even dream of today. So, why should we submit to this misery? Humans are stealing almost all of what we produce with our labor. Here, comrades, the answer to all our problems lies here. It can be summarized in a single word: Man. Our only real enemy is Man. Remove Man, and the root cause of hunger and overwork will be abolished forever from the earth.",26.416,25.965,"""But, does this really form part of the order of nature?"" ""Is it perhaps because this land of ours is so poor that it cannot provide a decent life for all its inhabitants?"" ""No, comrades; a thousand times no."" ""The soil of England is fertile, its climate is good, it is capable of providing abundant food for a much larger number of animals than currently inhabit it."" ""Our farm alone can support a dozen horses, twenty cows, hundreds of sheep; and all of them living with a comfort and dignity that at this moment is almost beyond our imagination."" ""Why, then, do we continue in this miserable condition?"" ""Because human beings take away almost all the fruit of our labor."" ""There it is, comrades, the answer to all our problems."" ""Everything is explained in a single word: Man."" ""Man is the only real enemy we have."" ""Remove man from the scene and the root cause of our hunger and overwork will be abolished forever.""",43.729,43.451
9,"“Man is the only creature that consumes without producing. He does not give milk, he does not lay eggs, he is too weak to pull the plough, he cannot run fast enough to catch rabbits. Yet he is lord of all the animals. He sets them to work, he gives back to them the bare minimum that will prevent them from starving, and the rest he keeps for himself. Our labour tills the soil, our dung fertilises it, and yet there is not one of us that owns more than his bare skin. You cows that I see before me, how many thousands of gallons of milk have you given during this last year? And what has happened to that milk which should have been breeding up sturdy calves? Every drop of it has gone down the throats of our enemies. And you hens, how many eggs have you laid in this last year, and how many of those eggs ever hatched into chickens? The rest have all gone to market to bring in money for Jones and his men. And you, Clover, where are those four foals you bore, who should have been the support and pleasure of your old age? Each was sold at a year old — you will never see one of them again. In return for your four confinements and all your labour in the fields, what have you ever had except your bare rations and a stall?","Humans are the only creatures that eat without working. Humans do not produce milk, do not lay eggs, cannot pull a plow, and do not run as fast as a rabbit. Yet they are the masters of all of us. They make us work, take away all the fruits of our labor, and only feed us enough to keep us from starving. We plow the fields, fertilize them with our dung, but what do we get? Nothing but skin and bones. Comrades cows sitting in front of me, how many liters of milk did you produce last year? And where did the milk that was supposed to nourish your calves go? Our enemy drank every last drop. And you, hens, how many eggs did you lay last year, and how many of those hatched into chicks? Old Jones and his men took them all to the market to sell for money. Mrs. Fat, where are your four children, your joy and support in your old age? They were sold when they were just a year old, and you will never see them again. A starvation diet and a shed, that's all your four labors and your farm work have earned you!",16.049,15.619,"""Man is the only creature that consumes without producing. He does not give milk, he does not lay eggs, he is not strong enough to pull the plow, he cannot run fast enough to catch a rabbit. Yet, he is the lord of all the animals. He sets them to work, he gives them just enough food to keep them from starving, and the rest he keeps for himself. We plow the fields with our labor, we enrich the soil with our manure; yet none of us has anything except our bare skin. You, cows sitting before me; how many thousands of liters of milk did you give this year? Where did the milk that was necessary to raise sturdy calves go? Every drop of it has gone down the throats of our enemies. You, hens; how many eggs did you lay this year, how many of those eggs hatched into chicks? Almost all of them were sold at the market, bringing money to Jones and his men. And you, Clover, where are those four foals you bore; where are those foals you would lean on and enjoy when you grow old? All four were sold when they reached a year old; you will never see them again. What did you get in return for those four foals you gave to the humans and your labor in the fields, other than a handful of feed and a cold barn?",42.349,42.13,"»Man is the only creature that consumes without producing. He does not give milk, he does not lay eggs, he is too weak to pull the plow, and his speed does not even allow him to catch rabbits. Yet he is lord and master of all the animals. He makes them work, gives them the bare minimum to keep them alive, and keeps the rest for himself. Our labor tills the soil, our manure fertilizes it, and yet there is not one of us that owns more than his skin. You, cows, who are here, how many thousands of liters of milk have you given this last year? And what has become of that milk which should have been used to raise sturdy calves? Every last drop has gone down the throats of our enemies. And you, hens, how many eggs have you laid this year and how many chicks have hatched from those eggs? All the rest has gone to the market to produce money for Jones and his people. And you, Clover, where are those four foals you bore, that should have been the support and joy of your old age? All were sold at a year old; you will never see them again. As a reward for your four offspring and all your work in the fields, what have you had except for your meager rations and a stall?",54.969,54.802
