line_no,en,vi,vi_sc_add1,vi_sc_exp,tr,tr_sc_add1,tr_sc_exp,es,es_sc_add1,es_sc_exp
0,CHAPTER I,CHAPTER 1,70.711,50.0,I,36.788,36.788,,0.0,0.0
1,JONATHAN HARKER’S JOURNAL,Jonathan Harker's Diary (Shorthand),19.305,8.117,Jonathan Harker's diary,48.549,27.516,I.– FROM THE JOURNAL OF JONATHAN HARKER,14.491,5.67
2,(Kept in shorthand.),Jonathan Harker's Diary (Shorthand),25.407,10.682,(written in stenography),25.891,11.51,"Bistritz, May 3.",19.673,8.746
3,"3 May. Bistritz.—Left Munich at 8:35 P. M., on 1st May, arriving at Vienna early next morning; should have arrived at 6:46, but train was an hour late. Buda-Pesth seems a wonderful place, from the glimpse which I got of it from the train and the little I could walk through the streets. I feared to go very far from the station, as we had arrived late and would start as near the correct time as possible. The impression I had was that we were leaving the West and entering the East; the most western of splendid bridges over the Danube, which is here of noble width and depth, took us among the traditions of Turkish rule.","• Bistritz, May 3 Left Munich at 8 PM on May 1st; arrived in Vienna early the next morning. We were supposed to arrive at 6:50, but the train was delayed by an hour. And during the continued journey to Budapest, as imagined from what was witnessed while sitting on the train, and from what was admired in a few streets during a walk when the train temporarily stopped, I found this to be a beautiful city. But because I was very afraid of going too far from the station, as even if we were late, we still had to continue our departure as planned... I had a very clear impression of the journey leaving the West to reach the world of the East. After the train glided over the beautiful bridges with exemplary Western architecture spanning the wide and deep Danube river here, we immediately wandered into a region rich in Turkish customs.",9.314,8.327,"May 3rd. Bistriţa2 - 8 PM on the evening of May 1st. We left Munich at 8:35 and arrived in Vienna early the next morning; we should have arrived at 6:46, but the train was an hour late. From what I could see from the train and the short walk I took in the streets, Budapest looks like a wonderful place. Since we arrived late in Budapest and would be departing as close to the scheduled time as possible, I was afraid to stray too far from the station. I got the impression that we were leaving the West and entering the East; the most Western of the magnificent bridges over the Danube River, with its noble breadth and depth, carried us into the traditions of Turkish rule.",37.777,37.295,"I left Munich at 8:35 PM on May 1st, arriving in Vienna early the next morning; I should have arrived at 6:46, but the train was an hour late. Budapest seems like a wonderful place, judging by the little I could see of it from the train and the short walk I took through its streets. I feared straying too far from the station, as we had arrived late and would depart as close to the scheduled time as possible. The impression I had was that we were leaving the West and entering the East. By the most western of the splendid bridges over the Danube, which here is of great width and depth, we reached places once under Turkish rule.",52.929,52.581
4,"We left in pretty good time, and came after nightfall to Klausenburgh. Here I stopped for the night at the Hotel Royale. I had for dinner, or rather supper, a chicken done up some way with red pepper, which was very good but thirsty. (Mem., get recipe for Mina.) I asked the waiter, and he said it was called “paprika hendl,” and that, as it was a national dish, I should be able to get it anywhere along the Carpathians. I found my smattering of German very useful here; indeed, I don’t know how I should be able to get on without it.","Leaving Budapest not too late, we arrived in Klausenburgh by early evening. Here, I had to stay overnight at the Royal Hotel. They served me dinner, or rather a soup, a young chicken cooked with red pepper, quite tasty, but it would definitely make you very thirsty! (I thought about this dish from Mina's perspective). The waiter told me it was paprika hendi, a traditional dish that I could find everywhere in the Carpathian region. My basic knowledge of German proved to be quite useful, because honestly, if I didn't know any, I wouldn't have known how to manage.",8.876,7.513,"We departed with quite good timing and arrived in Klausenburg after nightfall. I spent the night here at the Royale Hotel. For dinner, or rather a late-night dinner, I had chicken cooked with red pepper; it tasted very good but was quite thirst-inducing. (Note: Get the recipe for Mina.) I asked the waiter and he said it was called paprika hendl and that I could find it everywhere in the Carpathian Mountains as it is a local dish. My broken German was very useful here; I really don't know how I would have managed without it.",24.145,23.391,"We left with quite good weather, and it was pitch dark when we arrived in Klausenburg, where I spent the night at the Royale hotel. At the meal, or rather, at dinner, I ate chicken prepared with red paprika, which was very tasty but made me very thirsty. (Remember to get the recipe for Mina). I asked the waiter and he told me it was called ""paprika hendl,"" and that, as it was a national dish, it would be very easy for me to get it anywhere in the Carpathians. I found that my limited knowledge of German was very useful there; in fact, I don't know how I would have managed without it.",26.545,25.819
5,"Having had some time at my disposal when in London, I had visited the British Museum, and made search among the books and maps in the library regarding Transylvania; it had struck me that some foreknowledge of the country could hardly fail to have some importance in dealing with a nobleman of that country. I find that the district he named is in the extreme east of the country, just on the borders of three states, Transylvania, Moldavia and Bukovina, in the midst of the Carpathian mountains; one of the wildest and least known portions of Europe. I was not able to light on any map or work giving the exact locality of the Castle Dracula, as there are no maps of this country as yet to compare with our own Ordnance Survey maps; but I found that Bistritz, the post town named by Count Dracula, is a fairly well-known place. I shall enter here some of my notes, as they may refresh my memory when I talk over my travels with Mina.","In London, during my free time, I often went to the British Museum or the National Library to look up geographical maps and books about Transylvania. I found it quite interesting to know a little about this place because I was about to have a business deal with a gentleman there. The land that this gentleman mentioned in his letter to me is located in the eastern part of the country, at the border of three regions: Transylvania, Moldavia, and Bukovina, in the Carpathian Mountains. This is one of the least known and most wild regions of Europe. But no book or map could show me the exact location of the castle named Count Dracula, as there is still no detailed map of this place. However, my research did inform me that Bistritz - the place Count Dracula mentioned to me and where I would have to travel by carriage - is a small, ancient city known to many people. I will recount my unforgettable impressions. That will revive a memory when recalling the excursions with Mina.",13.0,12.09,"When I had some time to myself in London, I visited the British Museum and did some research in the library among books and maps related to Transylvania; I thought that having some preliminary knowledge about the country wouldn't be insignificant when negotiating with a nobleman from that country. I saw that the region it is named after is at the easternmost edge of the country, at the border of Transylvania, Moldavia, and Bukovina, in the middle of the Carpathian Mountains; one of the wildest and least known parts of Europe. I couldn't find a map or study that gave the exact location of Dracula's Castle, as this country didn't have maps comparable to our detailed Ordnance Survey maps; but I saw that the town of Bistriţa, which Count Dracula named, was a fairly well-known place. While talking to Mina about my journey, I will record some of my notes here as they might refresh my memory.",27.767,27.299,"Since I had some free time when I was in London, I visited the British Museum and studied the books and maps in the library that referred to Transylvania; it had occurred to me that prior knowledge of the country would always be useful and important when dealing with a nobleman from the region. I discovered that the district he had mentioned was located in the easternmost part of the country, right on the border of three states: Transylvania, Moldavia, and Bukovina, in the center of the Carpathian Mountains; one of the wildest and least known parts of Europe. I could not find any map or work that shed light on the exact location of Dracula's castle, as there are no maps in this country that can compare in accuracy with ours; but I discovered that Bistritz, the post town mentioned by Count Dracula, was a fairly well-known place. I am going to include some of my notes here, as they may refresh my memory when I recount my travels to Mina.",40.613,40.255
6,"In the population of Transylvania there are four distinct nationalities: Saxons in the South, and mixed with them the Wallachs, who are the descendants of the Dacians; Magyars in the West, and Szekelys in the East and North. I am going among the latter, who claim to be descended from Attila and the Huns. This may be so, for when the Magyars conquered the country in the eleventh century they found the Huns settled in it. I read that every known superstition in the world is gathered into the horseshoe of the Carpathians, as if it were the centre of some sort of imaginative whirlpool; if so my stay may be very interesting. (Mem., I must ask the Count all about them.)","There are four races living in Transylvania: in the south are the Saxons living mixed with the Wallachians, who originate from the Dacian ethnicity; in the west are the Magyars; and in the east and north are the Szekelys. I will stay with the Szekelys. It is said that they descend from Attila and are the descendants of the Huns. This might be true because in the twelfth century, when the Magyars conquered the land they now inhabit, the Huns had already settled there. It seems that all the superstitions in the world exist in the Carpathians, and they always stir the imagination of the local people. If this is indeed the case, then my stay in this land will surely be very interesting. (I will certainly always bother the count with questions about these superstitious beliefs).",19.585,18.824,"There are four different nationalities in the population of Transylvania: in the south, the Saxons and the Wallachians, who are mixed with them and descended from the Dacians; in the west, the Hungarians; in the east and north, the Székelys. I am going among the last group, who claim to be descended from Attila and the Huns. This claim might be true because when the Hungarians conquered the country in the eleventh century, they found that the Huns had already settled there. I read that all known superstitions in the world seem to gather in the horseshoe formed by the Carpathian Mountains as if it were the center of a fanciful vortex; if so, my visit could be very interesting. (Note: I must ask the Count about all this.)",39.652,39.183,"In the population of Transylvania, there are four distinct nationalities: Saxons in the south, and mixed with them the Vlachs, who are descendants of the Dacians; Magyars in the west, and Szeklers in the east and north. I am among the latter, who claim to be descendants of Attila and the Huns. This may be true, since when the Magyars conquered the country in the 11th century, they found the Huns, who had already settled there. I read that all the superstitions known in the world are gathered in the Carpathian horseshoe, as if it were the center of some kind of imaginative vortex; if so, my stay may be very interesting. (Remember to ask the Count about these superstitions).",56.357,56.031
7,"I did not sleep well, though my bed was comfortable enough, for I had all sorts of queer dreams. There was a dog howling all night under my window, which may have had something to do with it; or it may have been the paprika, for I had to drink up all the water in my carafe, and was still thirsty. Towards morning I slept and was wakened by the continuous knocking at my door, so I guess I must have been sleeping soundly then. I had for breakfast more paprika, and a sort of porridge of maize flour which they said was “mamaliga,” and egg-plant stuffed with forcemeat, a very excellent dish, which they call “impletata.” (Mem., get recipe for this also.) I had to hurry breakfast, for the train started a little before eight, or rather it ought to have done so, for after rushing to the station at 7:30 I had to sit in the carriage for more than an hour before we began to move. It seems to me that the further east you go the more unpunctual are the trains. What ought they to be in China?","The first night I couldn't sleep soundly, not because of the unfamiliar house and surroundings, but because I had strange dreams. Throughout the night, I always felt like there was a wolf howling loudly right below my window: was it due to my insomnia or the paprika dish? Because I had drained the water bottle in the room and still had a burning thirst. But eventually, I fell into a deep sleep when it was nearing dawn, as I was awakened by the sound of knocking, and it seemed the person knocking had to do so for a very long time. At breakfast, they served me paprika again, a bit of oatmeal made from cornmeal which they called mamaliga, and a few bowls of stuffed pastries - a delicious dish named impletata. (I noted down the recipe for Mina). I ate hastily, as the train was supposed to depart a few minutes before eight; to be precise, it was supposed to leave at a few minutes to eight, yet after a breathless sprint to the station at seven-thirty, I still had to wait over an hour in the carriage before the train started moving. I have a feeling that the farther east we go, the later the trains run. I wonder how things are in China?",6.889,5.582,"Although my bed was comfortable enough, I couldn't sleep well because I had all sorts of strange dreams. A dog barked under my window all night; maybe my sleeplessness had something to do with that; or maybe it was because of the red pepper since I had to drink all the water in my pitcher but still couldn't quench my thirst. I fell asleep towards morning and woke up to the persistent knocking on my door; at that moment, I think I was in a deep sleep. For breakfast, I ate some more red pepper, a type of porridge made from cornmeal which they said was called mamaliga, and a dish called impletata, which is eggplant stuffed with minced meat and is an excellent meal. (Note: Get the recipe for this as well.) Since the train was supposed to leave a little before eight - or rather it was supposed to leave at 7. 30, I had to rush my breakfast because after running to the station, I had to sit in the carriage for more than an hour before we started moving. It seems to me that as we move further east, the trains get more delayed. Who knows what they are like in China?",26.7,26.295,"I did not sleep well, although my bed was sufficiently comfortable, because I had all kinds of strange dreams. Throughout the night a dog howled under my window, which may have had something to do with it; or it may have also been the paprika, since I had to drink all the water from my jug, and I was still thirsty. In the early morning, I fell asleep, but I was awakened by some insistent knocks on my door, so I suppose that at that moment I was sleeping deeply. I ate more bell pepper for breakfast, a kind of porridge made from cornmeal that they say was ""mamaliga"", and eggplant stuffed with minced meat, an excellent dish they call ""impletata"" (remember to also get the recipe for this). I hurried to have breakfast, as the train was leaving a little after eight, or rather, it should have left, because after running to the station at seven-thirty, I had to wait sitting in the carriage for more than an hour before we started moving. It seems to me that the further east you go, the less punctual the trains are. What will they be like in China?",33.464,33.128
8,"All day long we seemed to dawdle through a country which was full of beauty of every kind. Sometimes we saw little towns or castles on the top of steep hills such as we see in old missals; sometimes we ran by rivers and streams which seemed from the wide stony margin on each side of them to be subject to great floods. It takes a lot of water, and running strong, to sweep the outside edge of a river clear. At every station there were groups of people, sometimes crowds, and in all sorts of attire. Some of them were just like the peasants at home or those I saw coming through France and Germany, with short jackets and round hats and home-made trousers; but others were very picturesque. The women looked pretty, except when you got near them, but they were very clumsy about the waist. They had all full white sleeves of some kind or other, and most of them had big belts with a lot of strips of something fluttering from them like the dresses in a ballet, but of course there were petticoats under them. The strangest figures we saw were the Slovaks, who were more barbarian than the rest, with their big cow-boy hats, great baggy dirty-white trousers, white linen shirts, and enormous heavy leather belts, nearly a foot wide, all studded over with brass nails. They wore high boots, with their trousers tucked into them, and had long black hair and heavy black moustaches. They are very picturesque, but do not look prepossessing. On the stage they would be set down at once as some old Oriental band of brigands. They are, however, I am told, very harmless and rather wanting in natural self-assertion.","All day long, our train traveled through a beautiful and diverse land. At times, we admired small cities with castles perched precariously on steep hills, reminiscent of scenes described in ancient Biblical texts; at other times, the train ran alongside large and small streams with rocky, winding banks resembling nature's own railings. At the stations where we stopped, every platform was bustling with crowds dressed in vibrant, colorful attire of various kinds. Some people looked very similar to the farmers in our country or in France and Germany: they wore simple mesh shirts with rather wide-cut trousers and round-brimmed hats; but others were dressed in more colorful outfits. The women here seem very healthy and quite beautiful if you don't look at them too closely. They all wear oversized white-sleeved shirts, with leather belts that are always fluttering over their splendid skirts. However, I find the Slovakians to be the most peculiar; they wear wide-brimmed cowboy-style hats, baggy pants in a dull color, white linen shirts, and wide leather belts studded with brass rivets. Particularly, every man likes to tuck his pants into a pair of long boots. Their long black hair and thick beards make them look more distinctive but not at all charming. Honestly, if I were traveling by horse-drawn carriage, I might have mistaken them for a band of highway robbers, although I have been told that they have never done anything bad to anyone; on the contrary, they are always quite cowardly.",7.637,7.12,"Throughout the day, we slowly progressed through a terrain filled with all kinds of beauty. Sometimes, at the tops of steep hills, we saw small villages and castles similar to those we had seen in old prayer books; sometimes, we passed by rivers and streams with wide, stony banks that suggested they had been subjected to great floods. It takes a large amount of strong flowing water to sweep and clean the outer edges of a river. At every train station, there were crowds of people dressed in various kinds of attire, sometimes large gatherings. Some wore short jackets, round hats, and homemade trousers, just like those in our region or those I saw while passing through France and Germany; but others were very interesting. The women looked beautiful unless you got close to them, but their waistlines were quite thick. All of their clothes had white sleeves in one way or another; many wore wide belts with lots of ribbons hanging from them, resembling ballet dresses; but of course, they had underskirts underneath. The strangest people we saw were the Slovaks, who looked more barbaric than the rest with their large cowboy hats, wide, sack-like dirty white trousers, white linen shirts, and enormous, heavy belts almost a foot wide, studded all over with brass nails. They wore high boots into which they tucked their trousers, and they had long black hair and thick black mustaches. They were very impressive but not attractive. They could be placed on stage right now as an old Eastern bandit gang. But as I was told, they were quite harmless and moreover, people who lacked self-defense skills.",22.45,22.133,"It seemed that throughout the day we wandered through a country that was full of all kinds of beauties. Sometimes we saw small villages or castles on the tops of steep hills, such as those seen in old missals; sometimes we ran alongside rivers and streams, which, by the wide and stony margins on either side of them, seemed to be subject to great floods. It takes a great amount of water, with a very strong current, to be able to clean the outer bank of a river. At all the stations there were groups of people, sometimes crowds, and in all kinds of attire. Some of them were exactly like the peasants of my country, or those I had seen when crossing France and Germany, with short jackets and round hats and pants made by themselves; but others were very picturesque. The women were pretty, except when one got close to them, for they were quite thick around the waist. They all wore long white sleeves, and most of them had wide belts with a bunch of fringes of something hanging like in ballet dresses, but of course they wore petticoats underneath them. The strangest figures we saw were the Slovaks, who were more barbaric than the rest, with their wide cowboy hats, large baggy and dirty pants, white linen shirts, and huge and heavy leather belts, almost a foot wide, completely studded with tin nails. They wore high boots, with their pants tucked inside them, and had long black hair and heavy black mustaches. They were very picturesque, but they did not seem friendly. In any setting, they would be immediately recognized as some old gang of bandits. However, I am told that they are quite harmless and, moreover, quite shy.",41.985,41.796
9,"It was on the dark side of twilight when we got to Bistritz, which is a very interesting old place. Being practically on the frontier—for the Borgo Pass leads from it into Bukovina—it has had a very stormy existence, and it certainly shows marks of it. Fifty years ago a series of great fires took place, which made terrible havoc on five separate occasions. At the very beginning of the seventeenth century it underwent a siege of three weeks and lost 13,000 people, the casualties of war proper being assisted by famine and disease.","We arrived in Bistritz at midnight. As I mentioned, Bistritz is an ancient city with a unique past. Located near the border - indeed, when leaving Bistritz, just crossing the Borgo Pass leads to Bukovina - this city has experienced numerous ups and downs, many of which are still evident today. Fifty years ago, terrifying fires continuously occurred, flattening everything. At the beginning of the seventeenth century, this city also had to withstand a siege for three weeks, resulting in thirteen thousand deaths, not to mention the victims of famine and disease.",14.562,13.5,"When we arrived in Bistriţa, a very interesting old settlement, it was the dark side of twilight. Since it is almost on the border - as the Borgo Pass starts there and extends to Bukovina - it has quite a stormy nature and definitely bears the traces of it. Fifty years ago, there was a series of major fires that caused terrible damage at five different times. At the very beginning of the seventeenth century, the city was subjected to a siege that lasted three weeks and lost 13,000 people from its population; war-related losses increased due to famine and disease.",29.412,28.682,"It was already getting dark when we arrived in Bistritz, which is a very interesting old town. Since it is practically on the border, as the Borgo Pass leads from there to Bucovina, it has had a rather turbulent existence, and you can certainly see the signs of it. Fifty years ago, there were major fires that caused terrible devastation on five different occasions. At the beginning of the 17th century, it endured a three-week siege and lost thirteen thousand people, with casualties from war compounded by those from hunger and disease.",26.912,26.017
