line_no,en,vi,vi_sc_add1,vi_sc_exp,tr,tr_sc_add1,tr_sc_exp,es,es_sc_add1,es_sc_exp
0,CHAPTER I.,Chapter 1,42.888,30.327,First chapter,42.888,30.327,Chapter 1,42.888,30.327
1,"The studio was filled with the rich odour of roses, and when the light summer wind stirred amidst the trees of the garden, there came through the open door the heavy scent of the lilac, or the more delicate perfume of the pink-flowering thorn.","The studio was filled with the fragrance of roses, and when the gentle summer breeze stirred among the trees in the garden, the scent of lilacs wafted through the open door, mingling with the more delicate aroma of blooming wild peach blossoms.",33.992,32.355,"The studio was filled with the languid scent of roses; when a light summer breeze wandered among the trees in the garden, the heavy fragrance of lilacs or the more delicate perfume of pink-flowered thorn trees wafted in through the open door.",33.699,32.053,"The intense perfume of the roses embalmed the studio, and when the light breeze stirred the trees in the garden, an intense scent of lilacs or the more delicate aroma of the pink flowers of the hawthorns entered through the open door.",28.5,26.369
2,"From the corner of the divan of Persian saddle-bags on which he was lying, smoking, as was his custom, innumerable cigarettes, Lord Henry Wotton could just catch the gleam of the honey-sweet and honey-coloured blossoms of a laburnum, whose tremulous branches seemed hardly able to bear the burden of a beauty so flamelike as theirs; and now and then the fantastic shadows of birds in flight flitted across the long tussore-silk curtains that were stretched in front of the huge window, producing a kind of momentary Japanese effect, and making him think of those pallid, jade-faced painters of Tokyo who, through the medium of an art that is necessarily immobile, seek to convey the sense of swiftness and motion. The sullen murmur of the bees shouldering their way through the long unmown grass, or circling with monotonous insistence round the dusty gilt horns of the straggling woodbine, seemed to make the stillness more oppressive. The dim roar of London was like the bourdon note of a distant organ.","From the corner of the Persian camel saddlebag-patterned divan on which he habitually lay smoking countless cigarettes, Lord Henry Wotton could only faintly see the honey-sweet and honey-colored blossoms of a laburnum tree whose trembling branches seemed to struggle under the weight of such a blazing beauty; and occasionally, the strange shadows of birds in flight would flicker across the long tussore silk curtains drawn before the wide window, evoking a sensation somewhat akin to a fleeting Japanese impression, and making him think of the green-faced, yellow-fanged artists in Tokyo, who, through the medium of an inherently static art, had attempted to convey a sense of swiftness and movement. The mournful hum of bees threading through the long, uncut grass, or circling with monotonous persistence around the golden-tipped horns of the overgrown honeysuckle, seemed to make the stillness even more oppressive. The distant roar of London was like the pedal note of a far-off organ.",30.106,29.675,"Lord Henry Wotton, who was lying in the corner of the divan adorned with Iranian saddlebags, smoking countless cigarettes as was his habit, could make out the honey-colored, honey-sweet flowers of the yellow wisteria tree from where he was. The tree's trembling branches seemed to struggle under the burden of such flame-like beauty. Occasionally, the shadows of birds, like dreams, would fall upon the long, silken curtains stretched in front of the large window. At first glance, these curtains, which evoked a Japanese atmosphere, reminded Lord Henry of the pale, emerald-faced painters of Tokyo; painters who tried to convey movement and speed through the necessarily static medium of art. The dull hum of bees, either trying to make their way through the tall, uncut grass or circling monotonously around the dusty, gilded horns of the sprawling French marigolds, seemed to make the tranquility of the surroundings all the more tedious. The faint hum of London resembled the bass notes of a distant organ melody.",16.587,15.877,"Lord Henry Wotton, who had already consumed, as was his custom, innumerable cigarettes, glimpsed, from the end of the sofa where he was lying —upholstered in the style of Persian carpets—, the glow of the blossoms of a broom, sweet and honey-colored, whose trembling branches barely seemed capable of bearing the weight of such dazzling beauty as theirs; and, from time to time, the fantastic shadows of birds in flight slid over the long Indian silk curtains hanging in front of the immense windows, producing something like a Japanese effect, which made him think of the painters of Tokyo, with faces as pale as jade, who, through a necessarily motionless art, try to convey the sensation of speed and movement. The obstinate buzzing of bees, making their way through the tall unmown grass, or circling with monotonous insistence around the dusty golden horns of the disordered honeysuckles, seemed to make the stillness more oppressive, while the confused noises of London were like the deep notes of a distant organ.",29.449,29.004
3,"In the centre of the room, clamped to an upright easel, stood the full-length portrait of a young man of extraordinary personal beauty, and in front of it, some little distance away, was sitting the artist himself, Basil Hallward, whose sudden disappearance some years ago caused, at the time, such public excitement and gave rise to so many strange conjectures.","In the middle of the room, clamped tightly onto an upright easel, was a full-length portrait of a young man with extraordinary personal beauty, and sitting in front of it, a little further away, was the artist himself, Basil Hallward, whose sudden disappearance a few years ago had caused, at that time, an overwhelming public sensation and generated a myriad of strange speculations.",43.043,42.171,"In the very center of the room, on a standing canvas, stood a portrait of an extraordinarily beautiful young man. In front of it, a little further away, sat the painter of the portrait: Basil Hallward, who had caused quite a stir a few years ago by suddenly disappearing and giving rise to a host of strange speculations.",16.505,14.727,"In the center of the room, on a straight easel, rested the full-length portrait of a young man of extraordinary beauty; and, in front, at a certain distance, sat the artist himself, Basil Hallward, whose sudden disappearance a few years ago so moved society and gave rise to such strange suppositions.",36.521,35.623
4,"As the painter looked at the gracious and comely form he had so skilfully mirrored in his art, a smile of pleasure passed across his face, and seemed about to linger there. But he suddenly started up, and closing his eyes, placed his fingers upon the lids, as though he sought to imprison within his brain some curious dream from which he feared he might awake.","As the artist gazed at the elegant and beautiful figure that he had skillfully captured with his art, a contented smile briefly crossed his face and seemed about to linger there. But he suddenly stood up and, closing his eyes, placed his fingers on his eyelids, as if trying to imprison in his mind a strange dream from which he feared he might awaken.",37.65,36.745,"As he gazed at the elegant and handsome figure reflected in the artist's work, a smile of pleasure spread across his face, and it seemed as if he wanted to linger there for a while. However, he suddenly started and straightened up, closing his eyes and pressing his fingertips against his eyelids as if trying to trap a strange dream in his mind that he feared losing upon waking.",19.148,17.58,"Upon contemplating the handsome and elegant figure that he had so skillfully depicted thanks to his art, a smile of satisfaction, which perhaps could have lasted longer, illuminated his face. But the artist abruptly stood up and, closing his eyes, covered his eyelids with his fingers, as if trying to capture in his mind some strange dream from which he feared to awaken.",21.804,20.445
5,"“It is your best work, Basil, the best thing you have ever done,” said Lord Henry languidly. “You must certainly send it next year to the Grosvenor. The Academy is too large and too vulgar. Whenever I have gone there, there have been either so many people that I have not been able to see the pictures, which was dreadful, or so many pictures that I have not been able to see the people, which was worse. The Grosvenor is really the only place.”","""That is your most beautiful work, Basil, the most beautiful thing you have ever created,"" Lord Henry said languidly. ""Next year you must certainly send it to the Grosvenor. The Academy is too large and too vulgar. Every time I go there, it is either so crowded that I cannot see the paintings, which are dreadful, or there are so many paintings that I cannot see the people, which is even worse. The Grosvenor is really the only place.""",41.09,40.439,"Lord Henry said in a lazy voice, ""This is your best work, Basil, the finest thing you have done."" ""You must send it to the Grosvenor Gallery next year, without a doubt. The Academy is too large, too vulgar. Whenever I went there, I either couldn't see the paintings because of the crowd, which is a terrible thing, or I couldn't see the people because of the multitude of paintings, which is even worse. Believe me, the only option is the Grosvenor Gallery.""",24.546,23.608,"—It is your best work, Basil —said Lord Henry with a languid tone—, the best you have done. Be sure to send it to the Grosvenor Gallery next year. The Academy is too large and too vulgar. Every time I go there, either there are so many people that I can't see the paintings, which is horrible, or there are so many paintings that I can't see the people, which is even worse. The Grosvenor Gallery is the right place.",32.412,31.611
6,"“I don’t think I shall send it anywhere,” he answered, tossing his head back in that odd way that used to make his friends laugh at him at Oxford. “No, I won’t send it anywhere.”","“I don't think I'll send it anywhere,” he replied, tossing his head back in that peculiar way that often made his friends laugh at him in Oxford. “No: I won't send it anywhere.”",47.339,46.008,"The painter replied, ""I don't think I'll send this anywhere,"" throwing his head back with that strange motion that had always amused his friends when he was in Oxford. ""No, I won't send it anywhere.""",15.146,11.75,"—I don't think I'll send it anywhere —replied the artist, throwing his head back in that curious way that always made his friends from Oxford laugh—. No; I won't send the portrait anywhere.",17.84,15.167
7,"Lord Henry elevated his eyebrows and looked at him in amazement through the thin blue wreaths of smoke that curled up in such fanciful whorls from his heavy, opium-tainted cigarette. “Not send it anywhere? My dear fellow, why? Have you any reason? What odd chaps you painters are! You do anything in the world to gain a reputation. As soon as you have one, you seem to want to throw it away. It is silly of you, for there is only one thing in the world worse than being talked about, and that is not being talked about. A portrait like this would set you far above all the young men in England, and make the old men quite jealous, if old men are ever capable of any emotion.”","Lord Henry raised an eyebrow and looked at him in astonishment through the thin blue smoke curling into surreal spirals from his opium-laden cigarette. “Not sending it anywhere? My friend, why? Do you have any reason? You artists are truly peculiar creatures! You do everything in the world to gain fame. Yet the moment you have it, it seems you want to throw it away. That is your folly, for there is only one thing in this world worse than being talked about, and that is not being talked about. A portrait like this would place you above all the young men in England, and make the old ones seethe with envy, if those old men are still capable of feeling any emotion.”",45.23,44.85,"Lord Henry raised his eyebrows; he looked at his friend in astonishment through the thin, blue rings of smoke spiraling up from the thick, opium-laced cigarette he was smoking. “Aren't you going to send it anywhere? My dear friend, why? Do you have a reason? You painters are such strange people! You do everything to gain fame. And as soon as you gain it, you want to squander it! What you're doing is nonsense, because if there's anything worse in this world than being talked about, it's not being talked about. Such a portrait would place you higher than all the young painters in England and make the old ones die of envy; though I don't know if the old ones have any feelings left.”",20.683,19.874,"Lord Henry raised his eyebrows and looked at him with astonishment through the thin curls of smoke that, emerging from his opium-laced cigarette, twisted into strange shapes. —Aren't you going to send it anywhere? Why, my dear friend? What reason could you give? Why are you painters such strange people? You do anything to earn a reputation, but as soon as you have it, it seems you don't want it anymore. It's foolish, because in the world there's only one thing worse than being talked about, and that is not being talked about. A portrait like that would place you far above all the young English painters and would arouse the jealousy of the old ones, if the old ones are still capable of emotions.",31.304,30.762
8,"“I know you will laugh at me,” he replied, “but I really can’t exhibit it. I have put too much of myself into it.”","“I know you will laugh at me,” he replied, “but I really can't display it. I've put too much of myself into it already.”",71.701,70.744,"Painter Hallward said, ""I know you will mock me, but still, I really can't exhibit this painting."" ""I have put so much of myself into it.""",26.106,23.391,"—I know you're going to laugh at me —replied Hallward—, but I can't exhibit that portrait. I've put too much of myself into it.",31.928,29.596
9,Lord Henry stretched himself out on the divan and laughed.,Lord Henry stretched out on the couch and laughed.,39.137,32.217,Lord Henry lay full length on the divan and laughed.,56.63,51.931,"Lord Henry, stretching out on the sofa, let out a laugh.",19.905,13.912
