line_no,en,vi,vi_sc_add1,vi_sc_exp,tr,tr_sc_add1,tr_sc_exp,es,es_sc_add1,es_sc_exp
0,I Night,I – Night,57.735,34.668,I Night,100.0,100.0,I THE NIGHT,57.735,34.668
1,1,1,100.0,100.0,1,100.0,100.0,CHAPTER 1,70.711,50.0
2,"We slept in what had once been the gymnasium. The floor was of varnished wood, with stripes and circles painted on it, for the games that were formerly played there; the hoops for the basketball nets were still in place, though the nets were gone. A balcony ran around the room, for the spectators, and I thought I could smell, faintly like an afterimage, the pungent scent of sweat, shot through with the sweet taint of chewing gum and perfume from the watching girls, felt-skirted as I knew from pictures, later in miniskirts, then pants, then in one earring, spiky green-streaked hair. Dances would have been held there; themusic lingered, a palimpsest of unheard sound, style upon style, an undercurrent of drums, a forlorn wail, garlands made of tissue-paper flowers, cardboard devils, a revolving ball of mirrors, powdering the dancers with a snow of light.","We slept in what used to be the gymnasium. The floor was made of varnished wood, painted with circles and lines for games of the past; the basketball hoops were still there, though the nets were gone. A long balcony ran along the four walls, meant for spectators, and I could almost smell, faintly like a lingering echo, the pungent scent of sweat, mixed with hints of chewing gum and perfume from the girls watching, dressed in wool skirts – I saw it in movies – then over time to mini skirts, pants, and finally with one ear pierced, hair streaked with blue and spiked with gel. Perhaps dances were also held here: the music still lingers, layers of sound overlapping without listeners, one tune covering another, the drumbeats blending, the mournful wails, garlands made of crepe paper, cardboard devil masks, the glass ball on the ceiling slowly turning, scattering clusters of light over the dancing couples.",23.979,23.483,"We used to sleep in a place that was once a gymnasium. The floor was polished parquet, bearing the lines and circles drawn for games played in the past; the hoops of the basketball nets were still in place, but the nets were gone. A balcony surrounded the hall, for spectators, and from what I know from pictures, I imagined I could smell the sharp scent of sweat mingling with the pleasant aroma of gum and perfume from the girls in felt skirts at first, then mini-skirts, later pants, and finally with earrings in one ear and stiff hair with green streaks, like a fleeting afterimage. Balls were also held there; the music would be dying: like a parchment of unheard sound, layer upon layer, with drum sounds coming from underneath, a desperate cry; garlands made of thin paper flowers; cardboard devil masks; a rotating glass ball sprinkling a snow of light over the dancers.",23.043,22.47,"We slept in what had once been the gymnasium. The floor, made of varnished wood, had lines and circles painted on it for various sports. The basketball hoops were still there, but the nets had disappeared. The room was surrounded by a gallery for the audience; and I had the impression that I could perceive, like in a vague mirage, the acrid smell of sweat mixed with that sweet touch of chewing gum and the perfume of the girls who were among the audience, dressed in felt skirts — that's how I had seen them in the photos —, later in miniskirts, then in pants, finally with a single earring and styled with crests of green stripes. Dances had been held here; the music persisted, a palimpsest of sounds that no one listened to, one style after another, a background of drums, a melancholic wail, garlands of flowers made of tissue paper, cardboard demons, a rotating mirror ball that sprinkled the dancers with flakes of light.",23.406,22.887
3,"There was old sex in the room and loneliness, and expectation, of something without a shape or name. I remember that yearning, for something that was always about to happen and was never the same as the hands that were on us there and then, in the small of the back, or out back, in the parking lot, or in the television room with the sound turned down and only the pictures flickering over lifting flesh. We yearned for the future. How did we learn it, that talent for insatiability? It was in the air; and it was still in the air, an after-thought, as we tried to sleep, in the army cots that had been set","At that time, the room was filled with the scent of old intimacy and loneliness, and a longing, waiting for something without shape or name. I still remember that longing, yearning for something always just ahead and always new, like the hands that had been placed on me there, at that moment, on the small of my back, or further away, in the parking lot, or in the room with the TV turned down low, only flickering images casting shadows on the moving flesh. We long for the future. Where does that talent come from, that never-satisfied desire? It hovers in the air; and it remains in the air, like a late thought, when we try to lull ourselves to sleep, on the military folding beds arranged in rows, spaced apart to prevent any intention of conversation.",23.647,23.031,"There was a sexuality left in the past in the room, and loneliness and expectation, of something without form or name. I remember the longing we felt for something always changing and about to happen, like the hands on us there and then, in the parking lot or on the bodies moving up and down, in the silent TV room where only the images flickered, on the narrowest part of the back or outside. We also longed for the future. How did we acquire this ability, this insatiability? It was in the air; it was still in the air as we tried to sleep on military-issue portable beds lined up at intervals that made conversation impossible; like a belated thought.",35.846,35.317,"In the room, there were reminiscences of sex and loneliness and expectation, the expectation of something without form or name. I remember that sensation, the longing for something that was always about to happen and was never the same, just as the hands that, without wasting time, caressed our lumbar region were not the same, or slipped between our clothes when we crouched in the parking lot or in the television room with the device muted and the images flickering over our exalted flesh. We sighed for the future. Where did we get that talent for insatiability? It floated in the air; and it was still breathed in, like a late idea, when we tried to sleep on the army cots arranged in a row and separated from each other so we couldn't talk.",36.079,35.606
4,"up in rows, with spaces between so we could not talk. We had flannelette sheets, like children's, and army-issue blankets, old ones that still said U.S. We folded our clothes neatly and laid them on the stools at the ends of the beds. The lights were turned down but not out. Aunt Sara and Aunt Elizabeth patrolled; they had electric cattle prods slung on thongs from their leather belts.","It hovers in the air; and it remains in the air, like a late thought, when we try to lull ourselves to sleep, on the military folding beds arranged in rows, spaced apart to prevent any intention of conversation. The beds are made with faux flannel sheets, like children's, and the blankets are also military issue, old blankets still bearing the U.S. mark. Clothes are neatly folded and placed on the stool at the foot of the bed. The lights are dim but not completely off. Aunt Sara and Aunt Elizabeth hover around supervising, cattle prods dangling from their leather belts.",18.811,17.987,"It was in the air; it was still in the air as we tried to sleep on military-issue portable beds lined up at intervals that made conversation impossible; like a belated thought. We had flannel sheets, similar to those of children, and still old military-issue blankets with ""US"" written on them. We would neatly fold our clothes and place them on the stools at the foot of the beds. The lights were not turned off but dimmed. Aunt Sara and Aunt Elizabeth would patrol; they had electric prods hanging from the straps on their leather belts.",23.36,22.551,"It floated in the air; and it was still breathed in, like a late idea, when we tried to sleep on the army cots arranged in a row and separated from each other so we couldn't talk. We had cotton flannel sheets, like the ones children use, and army blankets, so old they still bore the initials U. S. We folded our clothes very neatly and left them on the stool at the foot of the bed. The lights would dim immediately but were never turned off. Aunt Sara and Aunt Elizabeth made the rounds; on their leather belts they carried electric prods like the ones used for cattle.",19.234,18.411
5,"No guns though, even they could not be trustedwith guns. Guns were for the guards, specially picked from the Angels. The guards weren't allowed inside the building except when called, and we weren't allowed out, except for our walks, twice daily, two by two around the football field, which was enclosed now by a chain-link fence topped with barbed wire. The Angels stood outside it with their backs to us. They were objects of fear to us, but of something else as well. If only they would look. If only we could talk to them. Something could be exchanged,we thought, some deal made, some tradeoff, we still had our bodies. That was our fantasy.","But not the guns; even they couldn't put guns in our hands. The guns were reserved for the guards, the Angels carefully chosen. The guards were not allowed inside the school unless summoned, and we were not allowed out, except for the twice-daily walks, in pairs, around the football field, fenced with wire mesh and barbed wire. Outside, the Angels stood with their backs turned. They instilled fear, and kindled other feelings within us. If only they would turn and look. If only we could speak to them. We imagined we could exchange something, establish a deal, a barter; we still had our bodies. Such were our dreams.",25.89,25.189,"Still, they had no weapons; they were too untrustworthy to be given weapons. The weapons were especially for the Guardians chosen from among the Angels. The Guardians were not allowed to enter the building unless summoned, and we were not allowed to go outside, except for our walks; twice a day, in pairs, around the football field now surrounded by barbed wire. The Angels would stand outside this fence with their backs turned to us. They were objects of fear for us, but they were also something else. Oh, if only they would look! If only we could talk to them. We thought something could be exchanged, a deal, a trade, we still had our bodies. This was our fantasy.",34.363,33.837,"However, they did not carry weapons; not even those would have been entrusted to them. Their use was reserved for the Guardians, who were specially chosen from among the Angels. The presence of Guardians inside the building was not allowed, except when they were called; and we were not allowed to go out, except for our walks, twice a day and in pairs, around the football field that was now fenced with a chain-link fence topped with barbed wire. The Angels remained outside, turning their backs to us. For us, they were a source of fear, and also something more. If only they would look at us, if we could talk to them... We believed that we could exchange something, make a deal, reach an agreement, we still had our bodies... This was our fantasy.",30.716,30.241
6,"We learned to whisper almost without sound. In the semi-darkness we could stretch out our arms, when the Aunts weren't looking, and touch each other's hands across space. We learned to lip-read, our heads flat on the beds, turned sideways, watching each other's mouths. In this way we exchanged names, from bed to bed: Alma. Janine. Dolores. Moira. June.","We learned to whisper almost inaudibly. In the dim light, we could reach out, when the aunts weren't paying attention, and touch each other through the gaps between the beds. We learned to read each other's lips, cheek pressed against the bed, lying on our sides, watching each other's mouths move. In this way, names were passed along, from bed to bed. Alma. Janine. Dolores. Moira. June.",39.69,38.91,"We almost learned to whisper silently. In the semi-darkness, we could reach out our arms, and when the Aunts weren't looking, we could cross the void and touch each other's hands. We also learned to read lips, our heads pressed against the pillow, turned sideways, watching each other's lips. We communicated our names this way, from bed to bed: Alma. Janine. Dolores. Moira. June.",49.423,48.743,"We learned to whisper almost without making a sound. In the semi-darkness, when the Aunts weren't looking, we would stretch out our arms and touch each other's hands. We learned to read the movement of the lips: with our heads pressed against the bed, lying on our sides, we watched each other's mouths. Thus, from one bed to another, we communicated the names: Alma, Janine, Dolores, Moira, June.",33.971,33.057
7,II Shopping,II – Shopping,57.735,34.668,II Shopping,100.0,100.0,II THE PURCHASE,48.549,27.516
8,2,2,100.0,100.0,2,100.0,100.0,CHAPTER 2,70.711,50.0
9,"A chair, a table, a lamp. Above, on the white ceiling, a relief ornament in the shape of a wreath, and in the center of it a blank space, plastered over, like the place in a face where the eye has been taken out. There must have been a chandelier, once. They've removed anything you could tie a rope to.","One chair, one table, one lamp. High up on the whitewashed ceiling, a wreath in relief, with a gaping hole of plaster in the center, like an empty socket where an eye had been removed. There must have once hung a chandelier here. They had taken away everything that could be used to tie a rope to.",17.585,15.798,"A chair, a table, a lamp. A relief decoration in the shape of a wreath on the white ceiling and in the middle a plastered empty area resembling a hole in a face with one eye removed. There must have been a chandelier hanging there once. They have removed everything that could be hung.",34.597,33.73,"A chair, a table, a lamp. Above, on the white ceiling, a relief ornament in the shape of a garland, and in the center of it a blank space covered with plaster, like a face from which the eyes have been gouged out. There must have once been a chandelier there. But they have removed all the objects to which a rope could be tied.",54.391,53.789
