line_no,en,vi,vi_sc_add1,vi_sc_exp,tr,tr_sc_add1,tr_sc_exp,es,es_sc_add1,es_sc_exp
0,Chapter 1,Chapter 1,100.0,100.0,FIRST BOOK,0.0,0.0,CHAPTER I,70.711,50.0
1,"The family of Dashwood had long been settled in Sussex. Their estate was large, and their residence was at Norland Park, in the centre of their property, where, for many generations, they had lived in so respectable a manner as to engage the general good opinion of their surrounding acquaintance. The late owner of this estate was a single man, who lived to a very advanced age, and who for many years of his life, had a constant companion and housekeeper in his sister. But her death, which happened ten years before his own, produced a great alteration in his home; for to supply her loss, he invited and received into his house the family of his nephew Mr. Henry Dashwood, the legal inheritor of the Norland estate, and the person to whom he intended to bequeath it. In the society of his nephew and niece, and their children, the old Gentleman's days were comfortably spent. His attachment to them all increased. The constant attention of Mr. and Mrs. Henry Dashwood to his wishes, which proceeded not merely from interest, but from goodness of heart, gave him every degree of solid comfort which his age could receive; and the cheerfulness of the children added a relish to his existence.","The Dashwood family had long been settled in Sussex. They had a large estate, their residence located at Norland Park, amidst the land they owned, where many generations had lived in a respectable manner, earning the goodwill of the surrounding families. The owner of this estate was a single man, who lived to a fairly old age, and for many years had his sister living with him to keep him company and manage his household. But this sister had died ten years before he passed away, bringing profound changes to his home; to compensate for the loss, he invited the family of his nephew, Henry Dashwood, to live with him. Henry was the heir to the Norland estate by law, and also the person he intended to bequeath it to. With the presence of his nephew's family, including his wife and children, the old man's final days were comfortable. He grew increasingly fond of them. Henry Dashwood and his wife attended to all the old man's wishes, not merely out of self-interest, but also out of a genuine desire to provide him with all the comfort his advanced age could receive; and the lively children added joy to his life. G",24.986,24.585,"The Dashwood family had settled in Sussex a long time ago. They were large landowners; their house was at Norland Park in the middle of the estate, and for generations, they had lived there in a very respectable manner, earning the respect of the people around them. The last owner of the estate was an unmarried man who had reached a very advanced age and had kept his sister as his companion and housekeeper for most of his life. But the death of his sister ten years ago had created a great change in his home; to fill the void left by his sister, he invited and accepted into his home the family of his nephew, Mr. Henry Dashwood, who was the legal heir to the Norland estate and whom he also intended to leave the estate to. In the company of his nephew, his nephew's wife, and their children, the old gentleman's last days were comfortable. His attachment to all of them increased. The continuous care that Mr. and Mrs. Henry Dashwood showed him, which stemmed not so much from self-interest but from good-heartedness, provided him with every comfort that his age could enjoy; the children's cheerfulness also added a special joy to his life.",24.093,23.653,"The Dashwood family had long been settled in Sussex. Their property was of good size, and at its center was the residence, Norland Park, where the dignified manner in which they had lived for many generations earned them the respect of all the local acquaintances. The last owner of this property had been a bachelor who reached a very advanced age and who, for much of his life, had his sister as a faithful companion and housekeeper. But her death, which occurred ten years before his own, caused great changes in his household. To compensate for such a loss, he invited and received into his home the family of his nephew, Mr. Henry Dashwood, the rightful heir to the Norland estate and the person to whom he intended to leave it in his will. In the company of his nephew and niece, and their children, life passed comfortably for the elderly gentleman. His attachment to all of them grew over time. The constant attention that Mr. Henry Dashwood and his wife paid to his wishes, born not of mere interest but of the goodness of their hearts, made his life comfortable in all that, due to his age, could suit him; and the joy of the children added new delights to his existence.",35.694,35.372
2,"By a former marriage, Mr. Henry Dashwood had one son: by his present lady, three daughters. The son, a steady respectable young man, was amply provided for by the fortune of his mother, which had been large, and half of which devolved on him on his coming of age. By his own marriage, likewise, which happened soon afterwards, he added to his wealth. To him therefore the succession to the Norland estate was not so really important as to his sisters; for their fortune, independent of what might arise to them from their father's inheriting that property, could be but small. Their mother had nothing, and their father only seven thousand pounds in his own disposal; for the remaining moiety of his first wife's fortune was also secured to her child, and he had only a life–interest in it.","Mr. Henry Daswood had one son from his first marriage and three daughters from his second marriage. The young man had a steady temperament and was well-respected, being adequately provided for by his mother's substantial estate, half of which was allocated to him upon reaching adulthood. Likewise, through his marriage shortly after reaching adulthood, his estate was further increased. Therefore, inheriting the Norland estate was not as crucial for him as it was for his half-sisters; for they only inherited a small portion from their father. Their mother had no estate, and their father only had £7000; because the remaining small portion of the first wife's estate was reserved for her son, while he only enjoyed the income generated from this amount.",13.284,12.413,"Mr. Henry Dashwood had a son from his previous marriage and three daughters from his current wife. His son, a sensible and respectable young man, had a reasonable income from the large fortune that his mother had left him half of when he came of age. His own marriage, which took place shortly after, also significantly increased his wealth. Therefore, the ownership of the Norland estate was not as crucial to him as it was to his sisters; because aside from the share they might receive from their father's inheritance of that estate, the girls would not have much of a dowry. Their mother had nothing; their father had only seven thousand pounds, as the fortune of his first wife was tied up for her child, leaving him only a lifetime interest income.",21.603,20.925,"From a previous marriage, Mr. Henry Dashwood had a son; and from his current wife, three daughters. The son, a serious and respectable young man, had his future secured by his mother's fortune, which was considerable, and of which he had come into possession of half upon reaching the age of majority. Moreover, his own marriage, which occurred shortly after, made him even wealthier. For him, then, the inheritance of the Norland estate was not truly as important as it was for his sisters; for they, regardless of what might come to them if their father inherited that property, were of a fortune that can only be considered meager. Their mother had nothing, and the father could only dispose of seven thousand pounds, because the son was also a beneficiary of the remaining half of his first wife's fortune, and he only had the right to the usufruct of that patrimony while he lived.",26.04,25.527
3,"The old gentleman died: his will was read, and like almost every other will, gave as much disappointment as pleasure. He was neither so unjust, nor so ungrateful, as to leave his estate from his nephew;—but he left it to him on such terms as destroyed half the value of the bequest. Mr. Dashwood had wished for it more for the sake of his wife and daughters than for himself or his son;—but to his son, and his son's son, a child of four years old, it was secured, in such a way, as to leave to himself no power of providing for those who were most dear to him, and who most needed a provision by any charge on the estate, or by any sale of its valuable woods. The whole was tied up for the benefit of this child, who, in occasional visits with his father and mother at Norland, had so far gained on the affections of his uncle, by such attractions as are by no means unusual in children of two or three years old; an imperfect articulation, an earnest desire of having his own way, many cunning tricks, and a great deal of noise, as to outweigh all the value of all the attention which, for years, he had received from his niece and her daughters. He meant not to be unkind, however, and, as a mark of his affection for the three girls, he left them a thousand pounds a–piece.","When the old man passed away, his will was opened and read, and, like most other wills, it created both disappointment and joy. He was neither biased nor ungrateful, withholding the portion of the estate that the grandchild deserved; but he left the grandchild to inherit through provisions that reduced the inheritance value by half. Mr. Henry Daswood had wished for more for his wife and three daughters and less for himself or his son. This son, along with his four-year-old child, inherited in such a way that he no longer had any authority to provide for those dearest to him—those who needed provision the most through portions of the estate or through the sale of valuable timber on his land. Everything was allocated to that child, who had won the affection of his grandfather through visits to his parents in Norland, affections that were nothing unusual for a two or three-year-old child: innocent speech, a lively temperament wanting to have his own way, many amusing antics and much noise, as if overshadowing all the value of the care and attention that the old man had received for many years from his granddaughter and her three daughters. However, the old man was not mean-spirited, and to show his affection for the three girls, he left 1000 pounds to each of them.",16.167,15.738,"The old gentleman died; his will was read, and like almost every will, it caused both joy and disappointment. He had not been so unjust or ungrateful as to leave his property to anyone other than his nephew; -but he had left the property to his nephew under such conditions that half of its value was lost. Mr. Dashwood had wanted the inheritance more for his wife and daughters than for himself or his son: -but the inheritance was mortgaged to his son and his son's four-year-old son, moreover, without leaving him the possibility to take care of those closest to him and most in need of income by renting out the land or selling its valuable forests. Everything was given to the possession of this child who, during his rare visits to Norland with his father and mother, had won his uncle's affection to such an extent that it diminished the value of all the affection he had received for years from his nephew and daughters, with his captivating qualities unusual in two or three-year-old children, his half-spoken words, his desire to do as he pleased, his cunning tricks, and his noise and clamor. However, he did not want to be heartless and, as a sign of the affection he felt for the three girls, he left them one thousand pounds each.",22.688,22.364,"The elderly gentleman passed away, his will was read, and, like almost all wills, it brought both disappointments and joys. In his last will, he was neither so unjust nor so ungrateful as to deprive his nephew of the lands, but he left them under such terms that they destroyed half the value of the legacy. Mr. Dashwood had desired these properties more for the well-being of his wife and daughters than for himself and his son; however, the inheritance was assigned to his son, and to his son's son, a four-year-old child, in such a way that it deprived him of any possibility to care for those dearest to him and who most needed support, whether through an eventual mortgage on the properties or the sale of their valuable forests. Necessary provisions had been made to ensure that everything would benefit this child, who, during his occasional visits to Norland with his father and mother, had won his uncle's affection with those charming traits that are not uncommon in children of two or three years old: imperfect pronunciation, the unwavering desire to always have his way, countless pranks and tricks, and lots of noise, charms that ultimately ended up outweighing the value of all the attentions that the gentleman had received for years from his niece and her daughters. It was not his intention, however, to lack kindness, and as a sign of his affection for the three girls, he left a thousand pounds to each of them.",32.025,31.744
4,"Mr. Dashwood's disappointment was, at first, severe; but his temper was cheerful and sanguine; and he might reasonably hope to live many years, and by living economically, lay by a considerable sum from the produce of an estate already large, and capable of almost immediate improvement. But the fortune, which had been so tardy in coming, was his only one twelvemonth. He survived his uncle no longer; and ten thousand pounds, including the late legacies, was all that remained for his widow and daughters.","Mr. Daswood was initially deeply disappointed but appeared cheerful and confident: he had reason to hope to live many more years, and if he lived frugally, he could build up a considerable amount from the extensive and profitable land, which almost immediately had the potential to improve the situation. But because it was created too late, the estate lasted only 12 months. He only outlived his uncle by such a short time, and his widow and daughters were left with only 10,000 pounds, including future inheritances.",12.003,10.385,"Mr. Dashwood's disappointment was severe at first; but his temperament was cheerful and optimistic; he could naturally expect to live many more years, and by living frugally, he could set aside a considerable amount from the produce income of an already extensive estate that was almost immediately ready to be operated. But the fortune, which was quite delayed in arriving, became his income for only one year. He did not live long after his uncle; including the last inheritances, only ten thousand pounds remained for his widow and daughters.",28.045,27.127,"At first, Mr. Dashwood's disappointment was profound; but he was of a cheerful and trusting temperament; he could reasonably expect to live many years and, by living frugally, save a considerable sum from the income of an already sizable estate, and one capable of almost immediate increase. But the fortune, which had taken so long to arrive, was his for only a year. He survived his uncle by no more than that, and ten thousand pounds, including the last legacies, was all that remained for his widow and daughters.",43.025,42.41
5,"His son was sent for as soon as his danger was known, and to him Mr. Dashwood recommended, with all the strength and urgency which illness could command, the interest of his mother–in–law and sisters.","The son of the man was summoned immediately when he recognized the perilous state of his condition and, with all the strength and urgency that his severe illness allowed, Mr. Daswood urged him regarding the rights of his stepmother and his three half-sisters.",18.985,16.934,"When his life-threatening condition was discovered, his son was immediately summoned; Mr. Dashwood, with all the strength and insistence his illness allowed, bequeathed the care of his stepmother and sisters to his son.",24.153,21.59,"As soon as it was known that Mr. Dashwood's life was in danger, they sent for his son, and the father entrusted him, with the intensity and urgency that the illness necessitated, with the well-being of his stepmother and sisters.",12.818,9.709
6,"Mr. John Dashwood had not the strong feelings of the rest of the family; but he was affected by a recommendation of such a nature at such a time, and he promised to do every thing in his power to make them comfortable. His father was rendered easy by such an assurance, and Mr. John Dashwood had then leisure to consider how much there might prudently be in his power to do for them.","Mr. John Dashwood did not have any close emotional ties with the remaining members of the family; but he was influenced by the suggestion made in such a manner and under such circumstances, and he promised to do everything within his power to ensure they lived comfortably. The father felt relieved by this promise, and Mr. John Dashwood had ample time to calculate how he could exercise his abilities prudently to take care of them.",28.185,27.21,Mr. John Dashwood did not possess the strong emotions of the other family members; but he was affected by such a will conversation at such a time and promised to do his best to comfort them. This assurance relieved his father; then Mr. John Dashwood found time to consider what he could do for them within the bounds of reason.,22.299,21.069,"Mr. John Dashwood did not have the depth of feelings of the rest of the family, but he was affected by such a recommendation at a moment like that, and he promised to do everything possible for the well-being of his relatives. The father felt reassured by such a promise, and Mr. John Dashwood then took his time to consider how much he could prudently do for them.",35.647,34.784
7,"He was not an ill–disposed young man, unless to be rather cold hearted and rather selfish is to be ill–disposed: but he was, in general, well respected; for he conducted himself with propriety in the discharge of his ordinary duties. Had he married a more amiable woman, he might have been made still more respectable than he was:—he might even have been made amiable himself; for he was very young when he married, and very fond of his wife. But Mrs. John Dashwood was a strong caricature of himself;—more narrow–minded and selfish.","He was not a callous young man; it was merely his indifference and considerable selfishness that made him appear so. Generally, he was respected because he was conscious of properly fulfilling his usual obligations. If he had married a more compassionate wife, he might have been more esteemed, and he himself might have become more amiable; all because he married at a young age and deeply loved his wife. But Mrs. John Dashwood turned out to be a caricature of him: narrower-minded and more selfish.",17.819,16.825,"He was not a heartless young man, if being a little insensitive, even selfish, does not count as heartlessness: but he was generally respected, because he conducted his daily affairs with a sense of propriety and decorum. He might have become even more esteemed had he married a more charming woman: -he was very young when he married and was very fond of his wife. But Mrs. John Dashwood was a strong caricature of her husband; -narrower-minded and more selfish.",30.581,29.948,"John Dashwood was not an ill-disposed young man, unless being somewhat cold-hearted and a little selfish counts as ill-disposed; but in general, he was respected because he behaved correctly in the performance of his everyday duties. Had he married a kinder woman, he might have become more respectable than he was —he might even have turned into a kind person himself— because he was very young when he married and was very fond of his wife. But Mrs. John Dashwood was a harsh caricature of her husband, narrower-minded and more selfish than he was.",37.565,36.957
8,"When he gave his promise to his father, he meditated within himself to increase the fortunes of his sisters by the present of a thousand pounds a–piece. He then really thought himself equal to it. The prospect of four thousand a–year, in addition to his present income, besides the remaining half of his own mother's fortune, warmed his heart, and made him feel capable of generosity.— ""Yes, he would give them three thousand pounds: it would be liberal and handsome! It would be enough to make them completely easy. Three thousand pounds! he could spare so considerable a sum with little inconvenience.""— He thought of it all day long, and for many days successively, and he did not repent.","When he promised his father, he planned to increase the inheritance of each half-sister by 1000 pounds. At that time, he thought he was truly capable of doing this. The prospect of 4000 pounds per year added to his current income, not to mention half of his late mother's estate, warmed his heart and made him feel generous. ""Yes, he would give the three sisters 3000 pounds, a generous and seemingly significant amount. Enough to help the three sisters live comfortably. 3000 pounds! He could allocate such a large sum without much effort."" He thought about this all day, and for many days afterwards he did not regret it.",20.949,20.202,"When he promised his father, he deliberated within himself and thought of increasing his sisters' fortunes by giving them a gift of a thousand pounds each. Then he decided that he could indeed manage this much. Thinking about an additional four thousand pounds a year to his current income, plus the remaining half of his mother's fortune, warmed his heart and made him feel that he had the power to be generous. ""Yes, he would give them three thousand pounds: it would be generous and grand! This would be enough to make them quite comfortable. Three thousand pounds! He could set aside such a significant amount without much trouble."" -He thought about this all day, then for many days in a row, and he did not regret it.",34.546,34.052,"When making the promise to his father, he had internally weighed the possibility of increasing his sisters' fortune by gifting them a thousand pounds each. At that moment, he truly felt up to such a task. The prospect of increasing his current income by four thousand pounds annually, which would be added to the remaining half of his own mother's fortune, gladdened his heart and made him feel very generous. “Yes, he would give them three thousand pounds: What a splendid and generous gesture! It would be enough to leave them in complete comfort. Three thousand pounds! He could part with such a considerable sum with almost no inconvenience.” He thought about it all day, and for many successive days, and he did not regret it.",34.667,34.16
9,"No sooner was his father's funeral over, than Mrs. John Dashwood, without sending any notice of her intention to her mother–in–law, arrived with her child and their attendants. No one could dispute her right to come; the house was her husband's from the moment of his father's decease; but the indelicacy of her conduct was so much the greater, and to a woman in Mrs. Dashwood's situation, with only common feelings, must have been highly unpleasing;—but in HER mind there was a sense of honor so keen, a generosity so romantic, that any offence of the kind, by whomsoever given or received, was to her a source of immovable disgust. Mrs. John Dashwood had never been a favourite with any of her husband's family; but she had had no opportunity, till the present, of shewing them with how little attention to the comfort of other people she could act when occasion required it.","Immediately after her husband's father's funeral was over, John Daswood's wife, along with her child and servants, moved in without informing her husband's stepmother. No one could question her right to move in: the estate had belonged to her husband since the moment the old man passed away, but what was notable was her lack of tact. For a woman in Mrs. Daswood's situation, even ordinary feelings would be enough to cause discomfort; moreover, her sense of honor, a notion so encompassing it bordered on the romantic, made any offense caused or received by anyone a source of unshakable disgust for her. John Daswood's wife had never been liked by anyone in her husband's family, and this was even before she had the chance to show them her insensitivity to others' feelings in such a delicate situation.",11.954,11.056,"As soon as her father's funeral was over, Mrs. John Dashwood arrived with her child and helpers without informing her stepmother of her intentions. No one could dispute her right to come; from the moment her father died, the house belonged to her husband; but the rudeness of her behavior was significant, and it would have been quite distressing for any woman in Mrs. Dashwood's situation, even if she had only ordinary feelings. However, Mrs. Dashwood possessed such a strong sense of honor, such passionate nobility, that any insult, no matter who it came from or who it was directed at, was a source of profound disgust for her. Mrs. John Dashwood was not someone anyone in her husband's family liked; but until now, she had never had the opportunity to show them how little concern she could act with for the welfare of others when the situation demanded it.",23.973,23.407,"No sooner had the funeral of his father ended when John Dashwood's wife, without having given any notice of her intentions to her mother-in-law, arrived with her son and her servants. No one could dispute her right to come: the house belonged to her husband from the very moment of his father's death. But that very fact aggravated the lack of delicacy in her conduct, and no special sensitivity was needed for any woman in Mrs. Dashwood's situation to feel greatly wronged by it; in her, however, there was such a high sense of honor, such a romantic generosity, that any offense of this kind, whether exercised or received by anyone, became a source of indelible displeasure. Mrs. John Dashwood had never counted on the special favor of anyone in her husband's family; but, until now, she had not had the opportunity to show them how little consideration for the well-being of others she could act with when the occasion required it.",25.504,24.975
