line_no,en,vi,vi_sc_add1,vi_sc_exp,tr,tr_sc_add1,tr_sc_exp,es,es_sc_add1,es_sc_exp
0,CHAPTER I.,Part One RESURRECTION,0.0,0.0,I,13.534,13.534,I.,60.653,60.653
1,The Period,1. At that time,0.0,0.0,Period,36.788,36.788,THE PERIOD,100.0,100.0
2,"It was the best of times, it was the worst of times, it was the age of wisdom, it was the age of foolishness, it was the epoch of belief, it was the epoch of incredulity, it was the season of Light, it was the season of Darkness, it was the spring of hope, it was the winter of despair, we had everything before us, we had nothing before us, we were all going direct to Heaven, we were all going direct the other way—in short, the period was so far like the present period, that some of its noisiest authorities insisted on its being received, for good or for evil, in the superlative degree of comparison only.","It was the best of times, it was the worst of times, it was the age of wisdom, it was the age of foolishness, it was the epoch of belief, it was the epoch of incredulity, it was the season of Light, it was the season of Darkness, it was the spring of hope, it was the winter of despair, we had everything before us, we had nothing before us, we were all going direct to Heaven, we were all going direct the other way – in short, the period was so far like the present period, that some of its noisiest authorities insisted on its being received, for good or for evil, in the superlative degree of comparison only.",96.713,96.693,"It was the best of times, it was the worst of times, it was the age of wisdom, it was the age of foolishness, it was the epoch of belief, it was the epoch of incredulity, it was the season of Light, it was the season of Darkness, it was the spring of hope, it was the winter of despair, we had everything before us, we had nothing before us, we were all going direct to Heaven, we were all going direct the other way – in short, the period was so far like the present period, that some of its noisiest authorities insisted on its being received, for good or for evil, in the superlative degree of comparison only.",96.713,96.693,"It was the best of times and the most detestable of times; the age of wisdom and the age of foolishness, the epoch of belief and the epoch of incredulity, the era of Light and the era of Darkness, the spring of hope and the winter of despair. We had everything before us and we had nothing before us, we were all going direct to Heaven and we were all going direct the other way: in short, the period was so far like the present period, that some of its noisiest authorities insisted on its being received, for good or for evil, in the superlative degree of comparison only.",59.887,59.654
3,"There were a king with a large jaw and a queen with a plain face, on the throne of England; there were a king with a large jaw and a queen with a fair face, on the throne of France. In both countries it was clearer than crystal to the lords of the State preserves of loaves and fishes, that things in general were settled for ever.","There was a King with a stubborn chin and an ordinary Queen on the throne of England; there was a King with a stubborn chin and a beautiful Queen on the throne of France. In both countries, for those who monopolized the nation's treasures of bread and fish, it was as clear as daylight that everything had ultimately been ordained for eternity.",29.309,28.306,"On the throne of England sat a king with a large jaw and a queen with a plain face, while on the throne of France sat a king with a large jaw and a queen with a fair face. In both countries, the nobles, who were well-fed at the expense of the people's hunger, had a belief that everything would continue forever in such a state of bliss.",49.351,48.68,"A king with well-developed jaws and a queen with a flattened face sat on the throne of England, and a king with large jaws and a queen with a beautiful face occupied the throne of France. The lords of the great bread and fish stores of both countries saw as clear as crystal that the public good was secured forever.",28.176,27.084
4,"It was the year of Our Lord one thousand seven hundred and seventy-five. Spiritual revelations were conceded to England at that favoured period, as at this. Mrs. Southcott had recently attained her five-and-twentieth blessed birthday, of whom a prophetic private in the Life Guards had heralded the sublime appearance by announcing that arrangements were made for the swallowing up of London and Westminster. Even the Cock-lane ghost had been laid only a round dozen of years, after rapping out its messages, as the spirits of this very year last past (supernaturally deficient in originality) rapped out theirs. Mere messages in the earthly order of events had lately come to the English Crown and People, from a congress of British subjects in America: which, strange to relate, have proved more important to the human race than any communications yet received through any of the chickens of the Cock-lane brood.","It was the year 1775. Prophecies and revelations were becoming popular in England at that time, just as they are now. That year, the prophetess Southcott had just turned the blessed age of twenty-five, but even before that, a humble soldier with the ability to predict in the Guards had foretold her extraordinary advent by declaring that fate had decreed London and Westminster must be buried*. Even the ghost of Cock Lane*, after tapping out its messages, had only been at rest for about twelve years when, just a year before that time, many other spirits (not necessarily of supernatural origin) began tapping out messages again. These messages were all about the mundane events that had recently occurred to the King and the people of England, originating from a congress of English subjects in America*. Strangely enough, this matter turned out to be more important to humanity than all the messages received through any goblin in Cock Lane.",10.943,9.937,"It was the year 1775 AD. In this extraordinary period in England, as it is now, communication with the spirit world was commonplace. Joanna Southcott had just turned twenty-five, and years earlier, a soldier in the Guards Regiment with the gift of prophecy had proclaimed that preparations were being made for the destruction of London and Westminster, actually heralding the arrival of this exalted being into the world. It had only been twelve years since the ghost of Cock Lane, like the spirits that have recently emerged, lightly tapped on tables (never having a share of originality) and left its messages before being exorcised. Simple messages concerning worldly matters were just beginning to reach the throne and people of England from the congress of British citizens in America; interestingly, these messages turned out to be more important for all humanity than any messages received by the girls in the houses of Cock Lane.",8.534,7.371,"It was the year of Our Lord one thousand seven hundred and seventy-five. In such a favored period, spiritual revelations could not be lacking in England. Mrs. Southcott had recently celebrated her twenty-fifth birthday, whose sublime appearance in the world had been duly announced by a guardsman, a private prophet, predicting that preparations were being made to swallow up London and Westminster. Even the ghost of Cock Lane had been definitively buried, after wandering the world for twelve years, and revealing its messages to mortals in the same manner as the spirits of the previous year, showing a supernatural poverty of originality in their revelations. The only earthly messages received by the Crown and the English People came from a congress of British subjects residing in America, messages that, strangely enough, have proven to be of much greater significance to the human race than any received through the mediation of any of the chicks from Cock Lane.",27.231,26.735
5,"France, less favoured on the whole as to matters spiritual than her sister of the shield and trident, rolled with exceeding smoothness down hill, making paper money and spending it. Under the guidance of her Christian pastors, she entertained herself, besides, with such humane achievements as sentencing a youth to have his hands cut off, his tongue torn out with pincers, and his body burned alive, because he had not kneeled down in the rain to do honour to a dirty procession of monks which passed within his view, at a distance of some fifty or sixty yards. It is likely enough that, rooted in the woods of France and Norway, there were growing trees, when that sufferer was put to death, already marked by the Woodman, Fate, to come down and be sawn into boards, to make a certain movable framework with a sack and a knife in it, terrible in history. It is likely enough that in the rough outhouses of some tillers of the heavy lands adjacent to Paris, there were sheltered from the weather that very day, rude carts, bespattered with rustic mire, snuffed about by pigs, and roosted in by poultry, which the Farmer, Death, had already set apart to be his tumbrils of the Revolution. But that Woodman and that Farmer, though they work unceasingly, work silently, and no one heard them as they went about with muffled tread: the rather, forasmuch as to entertain any suspicion that they were awake, was to be atheistical and traitorous.","Generally not favoring mystical matters like its sister wielding a shield and trident*, France kept printing money to spend while plunging into the abyss faster and faster. Moreover, under the guidance of Christian shepherds, France entertained itself with humanitarian achievements such as sentencing a young man to have both hands cut off, his tongue clamped and pulled out, and his body burned alive, because he refused to kneel in the rain to show respect to a filthy procession of monks passing within forty or fifty meters of him*. It is very likely that when that wretched man received his death sentence, many tall trees growing, originating from the forests of France and Norway, had already been marked by the Woodsman Fate to be felled and sawn into planks, to create the mobile guillotine with its blade and sack, a dreadful device in history. It is very likely that in the makeshift sheds of the poor farmers near Paris, even from that day, there were crude carts sheltering from the sun and rain, smeared with rural mud, serving as perches for chickens and rooting places for pigs, carts that the Farmer Death had reserved as vehicles to transport prisoners to the Revolutionary execution grounds. Those Woodsman and Farmer, though working incessantly, did so very quietly, with no one hearing a sound as they stealthily moved around - on the contrary, merely causing someone to suspect that they were aware of this was enough to be accused of impiety and rebellion.",16.717,16.301,"France, which was not as ambitious in spiritual matters as her sister with the shield and trident, was printing paper money and spending it while speeding downhill. Moreover, it did not kneel in the rain to pay respect to a filthy procession of priests fifty or sixty meters away, and instead entertained itself with some humane acts under the guidance of Christian priests, such as cutting off a young man's hands, tearing out his tongue with pliers, and burning his body alive. Long before that poor young man was executed, some of the large trees rooted in the forests of France and Norway were likely to be cut down and turned into timber by the Woodcutter, that is, Fate, and then made into a moving wooden frame, a black mark in history, containing a sack and a knife. On that very day, perhaps, clumsy carts were placed to protect from the rain in the makeshift small outbuildings of farmers working the hard soils near Paris; these were the carts, muddied by the village, sniffed by pigs, perched upon by poultry, and reserved by the Farmer, that is, Death, to transport the victims of the Revolution to the guillotine. These Woodcutter and Farmer worked incessantly but very quietly, and no one heard them as they went about with their ropes; to suspect that they were awake would be blasphemy and treachery.",18.864,18.487,"Less favored was France in spiritual matters compared to her sister of the shield and trident, rolling charmingly and smoothly downhill, printing paper money and spending it with great delight. Under the direction of her most Christian shepherds, she also allowed herself to indulge in humanitarian distractions such as sentencing a young man or two to have their hands cut off, their tongues torn out with pincers, and to be burned alive, for the heinous crime of not having fallen to their knees in the muddy road on a rainy day to pay due homage to a procession of friars that passed within sight, though fifty or sixty yards away. It is very likely that, when that criminal was led to his execution, the woodcutter Destiny had already marked in the forests of France and Normandy the ancient trees that the saw would turn into planks to build that movable platform, equipped with its basket and blade, which has gained such terrible fame in history. It is also very possible that, in the rustic sheds attached to the huts of the farmers near Paris, on the same day, there were primitive carts, splattered with mud licked by pigs and serving as perches for poultry, which the reaper Death had selected to be the carriages of the Revolution. True it is that, although the Woodcutter and the Reaper worked incessantly, their labor was silent and no human ear could perceive their muffled steps, all the more so because harboring any suspicion that they were awake was as much as confessing oneself to the world as an atheist and a traitor.",18.862,18.477
6,"In England, there was scarcely an amount of order and protection to justify much national boasting. Daring burglaries by armed men, and highway robberies, took place in the capital itself every night; families were publicly cautioned not to go out of town without removing their furniture to upholsterers’ warehouses for security; the highwayman in the dark was a City tradesman in the light, and, being recognised and challenged by his fellow-tradesman whom he stopped in his character of “the Captain,” gallantly shot him through the head and rode away; the mail was waylaid by seven robbers, and the guard shot three dead, and then got shot dead himself by the other four, “in consequence of the failure of his ammunition:” after which the mail was robbed in peace; that magnificent potentate, the Lord Mayor of London, was made to stand and deliver on Turnham Green, by one highwayman, who despoiled the illustrious creature in sight of all his retinue; prisoners in London gaols fought battles with their turnkeys, and the majesty of the law fired blunderbusses in among them, loaded with rounds of shot and ball; thieves snipped off diamond crosses from the necks of noble lords at Court drawing-rooms; musketeers went into St. Giles’s, to search for contraband goods, and the mob fired on the musketeers, and the musketeers fired on the mob, and nobody thought any of these occurrences much out of the common way. In the midst of them, the hangman, ever busy and ever worse than useless, was in constant requisition; now, stringing up long rows of miscellaneous criminals; now, hanging a housebreaker on Saturday who had been taken on Tuesday; now, burning people in the hand at Newgate by the dozen, and now burning pamphlets at the door of Westminster Hall; to-day, taking the life of an atrocious murderer, and to-morrow of a wretched pilferer who had robbed a farmer’s boy of sixpence.","In England, there were hardly any protective laws that justified such national pride. Armed robberies and highway robberies occurred nightly right in the capital; families were publicly warned not to leave the city without moving all their belongings to the warehouses of merchants for safety; the highwayman in the dark was a city merchant in the light, and when identified and questioned by a colleague whom he had robbed in the role of the Chief, he brazenly shot the other in the head and then rode away; the mail coach was ambushed by seven robbers, the escort shot dead three of them, then ""due to ammunition failure,"" he himself was shot dead by the remaining four, after which the mail coach was peacefully robbed; the Lord Mayor of London, the venerable ruler, was also forced to stand still and hand over at Turnham Green because a thief had completely robbed this dignitary right in front of all his attendants; prisoners in London prison fought with the guards and the supreme law wielded blunderbusses, firing volleys of lead and iron balls into the chaos; thieves cut off diamond-encrusted crosses worn around the necks of noble lords at court celebrations; a group of royal guards stormed into the St. Giles area searching for contraband and thus the populace shot at the soldiers, the soldiers shot at the populace, and no one found this unusual. In that context, the type of person who was more useless than useful and busy, the executioner was continuously ordered to act; sometimes hanging long rows of various criminals; sometimes hanging on Saturday a thief who had just been caught on Tuesday; sometimes burning a dozen people alive right in front of Newgate prison; and sometimes burning a pile of pamphlets right in front of Westminster Hall; today taking the life of a brutal murderer, and tomorrow taking the life of a miserable petty thief who had stolen six pence from a farmer's son.",19.096,18.786,"In England, there was almost no order and security to justify all the national boasting. Even in the capital, armed men were recklessly robbing houses and waylaying roads every night; people were advised not to leave the city without placing their belongings in upholsterers' warehouses for safety; a highwayman at night could appear as a merchant during the day; once, a man whose path was blocked by someone identifying as ""Captain"" turned out to be the owner of the neighboring shop, the man recognized the highwayman, challenged him, and even bravely shot him in the head and continued on his way; on another occasion, seven highwaymen ambushed a mail coach, the coach guard shot three of them but was shot by the remaining four due to ""running out of ammunition."" Thus, the robbery took place peacefully; then, this magnificent person, the Governor of London, was waylaid at Turnham Green, the highwayman stripped this venerable figure of everything in front of all his companions; prisoners in London prisons were fighting with the guards, the mighty law was unloading its cartridge rifles on them; thieves were cutting off diamond crosses from the necks of noble lords in palace halls; when soldiers with muskets went to St Giles to look for contraband, the people were shooting at them, and they were shooting back at the people, moreover, no one saw anything extraordinary in this. In the midst of all this, the executioner, who was always busy and more miserable than even the most useless person, was struggling to keep up with the demands; sometimes hanging a variety of criminals, sometimes hanging a thief caught on Tuesday by Saturday; sometimes branding the hands of dozens of men, sometimes burning pamphlets in front of Westminster Hall; today he would take the life of a cruel murderer, tomorrow that of a despicable thief who stole a few pennies from a farmer's son.",13.627,13.238,"In England, there was barely an atom of order and protection left to justify the national boast. The capital itself was every night the scene of armed robberies and the most daring and scandalous crimes. Publicly and officially, families were advised not to leave the city without first taking their furniture to the upholsterers' warehouses, the only places that offered them some guarantee. He who was a bandit under the cover of night appeared as an honorable merchant of the city in the light of day, and if ever recognized by the genuine merchant to whom he presented himself as a ""captain,"" he would coolly fire a shot that sent him to a better world and then make a swift escape. The mail coach was attacked by seven bandits, of whom three were killed by the guard, who in turn were killed by the remaining four ""due to running out of ammunition"": subsequently, the coach was thoroughly and calmly robbed. The very high and mighty Lord Mayor of London was kidnapped and forced to live for some time in Turnham Green by a daring bandit, who had the honor of robbing such an illustrious figure right under the noses of his numerous escort and equally numerous servants. In the prisons of London, prisoners fought fierce battles with their jailers, whom the majesty of the law rewarded with musket shots. In the very halls of the court, skillful hands relieved the highest lords of the diamond crosses that adorned their necks. Musketeers entered St. Giles in search of contraband, and the mob fired upon the musketeers, and the musketeers fired upon the mob, without anyone thinking that such an event was anything but a common and trivial incident of life. Meanwhile, the executioner, always on duty, always busy, could not keep up with the various places where he was needed, today leaving large clusters of criminals hanging from his ropes and tomorrow hanging a common thief who broke into a neighbor's house on Thursday and embarked on the journey to eternity the following Saturday; to burn dozens of people in Newgate today, and hundreds of pamphlets at the door of Westminster Hall tomorrow; to send a ferocious scoundrel to eternity today, and do the same tomorrow with a miserable pickpocket who stole six pence from a farmer's son.",12.738,12.425
7,"All these things, and a thousand like them, came to pass in and close upon the dear old year one thousand seven hundred and seventy-five. Environed by them, while the Woodman and the Farmer worked unheeded, those two of the large jaws, and those other two of the plain and the fair faces, trod with stir enough, and carried their divine rights with a high hand. Thus did the year one thousand seven hundred and seventy-five conduct their Greatnesses, and myriads of small creatures—the creatures of this chronicle among the rest—along the roads that lay before them.","All those events, and thousands of similar ones, continuously occurred in the memorable distant year of 1775. Amidst those events, while the Woodman and the Farmer worked silently, the two square-jawed men and the two with one plain and one beautiful face still stamped their feet quite noisily, raising high the sacred privileges of kings. Therefore, these great figures along with countless humble people - those whose stories are recorded in books - would be led by the year 1775 along the paths of destiny.",11.402,10.34,"Here, all these events and thousands of similar ones took place in the beloved year 1775 and immediately thereafter. While things were in this state and the Woodcutter and the Farmer worked without anyone caring, those two big-jawed men and the two women, one with a grim face and the other with a clean face, continued to carry their divine right, even if their pants were on fire. Indeed, their majesty lasted throughout the year 1775, and in the same year, countless little people –among them the little people mentioned in this historical record– walked the roads that lay before them.",13.791,12.699,"All these things, and a thousand others of the same kind that I could mention, were our daily bread in the blessed year of seventeen seventy-five without being an obstacle so that, while the Woodcutter and the Peasant Woman continued their silent labor, the two mortals with the developed jaws and the two with the flattened and beautiful faces, respectively, carried their divine rights at the tip of the spear. Thus did the year of seventeen seventy-five lead Their Excellencies and the millions of insignificant creatures, among them those who are to appear in the present chronicle, to their respective destinies, along the paths that were open before their steps.",15.509,14.59
8,CHAPTER II.,"2. The Mail Coach On a late Friday night in November, the Dover road stretched out before the first character related to this story.",3.811,1.388,II,13.534,13.534,II.,60.653,60.653
9,The Mail,"2. The Mail Coach On a late Friday night in November, the Dover road stretched out before the first character related to this story.",5.39,2.776,Post Coach,0.0,0.0,THE DILIGENCE,70.711,50.0
