"Multiple_ents","Single_ent","annotation_id","annotator","created_at","en","es","es_translation","id","lead_time","line_no","modify_feedback","sentiment","tr","tr_translation","updated_at","vi","vi_translation"
"","['cassie hiney']",51,"1","2024-09-23T03:08:03.762799Z","“Well, there’s no harm in just going with a friend. I’m sure you could ask Cassie Hiney.” And I could have asked Cassie Hiney, who was actually perfectly nice and pleasant and cute, despite having a fantastically unfortunate last name.","—Bueno, no hay nada malo en ir con una amiga. Seguro que podrías pedírselo a Cassie Hiney. Sí, podría habérselo pedido a Cassie Hiney, que era muy maja, simpática y guapa, pese a su tremendamente desafortunado apellido, que en inglés significa «culo».","—Well, there's nothing wrong with going with a friend. I'm sure you could ask Cassie Hiney. Yes, he could have asked Cassie Hiney, who was very nice, friendly, and pretty, despite her tremendously unfortunate last name, which in English means ""butt"".",1338,51.898,7,"","Aligned 😊","“Bir arkadaşla gitmenin bir zaran olmaz. Eminim, Cassie Hiney'yi davet edebilirsin.” Olağanüstü talihsiz bir soyadı olmasına rağmen, aslında gayet hoş, güzel ve sevimli olan Cassie Hiney’yi1 davet edebilirdim.","“There is no harm in going with a friend. I am sure you can invite Cassie Hiney.” Despite having an extraordinarily unfortunate last name despite, I could actually invite the quite nice, beautiful, and charming Cassie Hiney.","2024-09-23T03:08:03.762822Z","“Ờ, đi cùng một người bạn thì có sao đâu con. Chắc chắn con có thể mời Cassie Hiney mà.” Dám là tôi mời Cassie Hiney lắm chứ, một cô bạn thực sự dễ mến, thân thiện và xinh lung linh, nhưng ngặt nỗi bạn ấy lại mang một cái họ vô địch về độ nhạy cảm[3].","“Well, what's wrong with going with a friend, dear?” “Surely you can invite Cassie Hiney.” I would definitely invite Cassie Hiney, a truly nice, friendly, and stunningly beautiful girl, but unfortunately, she has an extremely sensitive last name[3]."
"","['chuck parson']",52,"1","2024-09-23T03:08:31.309196Z","I was trying to think of another one when we all three simultaneously saw the human-shaped container of anabolic steroids known as Chuck Parson walking toward us with some intent. Chuck Parson did not participate in organized sports, because to do so would distract from the larger goal of his life: to one day be convicted of homicide. “Hey, faggots,” he called.","Estaba pensando en otra ocurrencia cuando los tres a la vez vimos al bote de esteroides anabólicos con forma humana conocido como Chuck Parson acercándose a nosotros con algún propósito. Chuck Parson no participaba en deportes de grupo porque eso lo distraería de su principal objetivo en la vida: que algún día lo condenaran por homicidio. —Hola, maricas —dijo.","I was thinking about another occurrence when the three of us simultaneously saw the human-shaped bottle of anabolic steroids known as Chuck Parson approaching us with some purpose. Chuck Parson didn't participate in team sports because that would distract him from his main goal in life: to one day be convicted of homicide. —Hello, faggots —he said.",1339,16.247,34,"","Aligned 😊","Başka bir tane düşünmeye çalışıyordum ki hepimiz o anda, bize doğru bir amaçla yürüyen ve Chuck Parson olarak tanınan insan şeklindeki anabolik steroit kabım gördük. Chuck Parson sporlara katılmazdı çünkü bu, dikkatini hayatının en büyük amacından başka yöne çekerdi: bir gün cinayetten mahkûm edilmek. “Hey, ibneler,” diye seslendi.","I was trying to think of another one when we all saw, at that moment, the human-shaped anabolic steroid container known as Chuck Parson walking towards us with a purpose. Chuck Parson did not participate in sports because it would distract him from the greatest goal of his life: to one day be convicted of murder. ""Hey, faggots,"" he called out.","2024-09-23T03:08:31.309218Z","Tôi đang nghĩ dở vế tiếp theo thì cả ba thằng cùng trông thấy cái bình đựng hoóc-môn tăng cơ có hình dạng con người tên là Chuck Parson đang hằm hằm tiến lại phía chúng tôi. Chuck Parson không chơi trong đội thể thao nào cả vì như thế sẽ làm xao nhãng mục tiêu to tát của đời nó: một ngày nào đó được kết tội giết người. “Này, mấy thằng ái kia,” nó gọi.","I was still thinking about the next part when all three of us saw the muscle-building hormone container shaped like a human named Chuck Parson angrily approaching us. Chuck Parson didn't play on any sports team because it would distract him from his life's grand goal: to one day be convicted of murder. ""Hey, you fags,"" he called."
"","['chuck']",53,"1","2024-09-23T03:09:15.646851Z","“Chuck,” I answered, as friendly as I could muster. Chuck hadn’t given us any serious trouble in a couple years—someone in cool kid land laid down the edict that we were to be left alone. So it was a little unusual for him even to talk to us.","—Chuck —le contesté lo más amigablemente que pude. Chuck no nos había causado ningún problema grave en los dos últimos años, porque alguien del bando de los guays había dado la orden de que nos dejaran en paz, así que Chuck ni siquiera nos dirigía la palabra.","—Chuck —I responded as amicably as I could. Chuck hadn't caused us any serious problems in the last two years, because someone from the cool kids' side had given the order to leave us alone, so Chuck didn't even speak to us.",1340,11.643,35,"","Aligned 😊","Rol yapabileceğim kadar arkadaşça, “Chuck,” diye karşılık verdim. Chuck birkaç yıldır bize ciddi bir sorun yaratmıyordu... havalı çocuklar ülkesinden biri, rahat bırakılmamız gerektiğiyle ilgili bir ferman çıkarmıştı. Yani bizimle konuşması bile biraz tuhaftı.","As friendly as I could manage, I replied, ""Chuck."" Chuck hadn't caused us any serious problems for a few years... someone from the land of the cool kids had issued a decree that we should be left alone. So it was a bit strange for him to even talk to us.","2024-09-23T03:09:15.646866Z","“Chào Chuck,” tôi đáp, dàn hòa cầu thân hết mức có thể. Mấy năm nay Chuck không xích mích gì nghiêm trọng với bọn tôi–có đứa trong đám có máu mặt đã phán rằng như thế là bọn tôi được yên thân. Thế nên khi chính Chuck bắt chuyện với bọn tôi thì điều này có vẻ kì kì.","""Hello Chuck,"" I replied, trying to be as conciliatory as possible. In recent years, Chuck hasn't had any serious conflicts with us—some of the more influential members had declared that this meant we were safe. So when Chuck himself started a conversation with us, it seemed a bit strange."
"","['chuc', 'chuck']",55,"1","2024-09-23T03:10:46.542356Z","It was so pathetically easy to forget about Chuck, to talk about prom even though I didn’t give a shit about prom. Such was life that morning: nothing really mattered that much, not the good things and not the bad ones. We were in the business of mutual amusement, and we were reasonably prosperous.","Era patéticamente fácil olvidarse de Chuck y hablar del baile de graduación, aunque me importaba una mierda. Así era la vida aquella mañana: nada importaba demasiado, ni las cosas buenas ni las malas. Nos dedicábamos a divertirnos, y nos iba razonablemente bien.","It was pathetically easy to forget about Chuck and talk about the prom, even though I didn't give a damn. That's how life was that morning: nothing mattered too much, neither the good things nor the bad. We were dedicated to having fun, and we were doing reasonably well.",1341,18.96,44,"","Aligned 😊","Chuck’ı boş verip hiç umurumda olmamasına rağmen baloyla ilgili konuşmak acınacak derecede kolaydı. O sabah hayat böyleydi: Hiçbir şey o kadar önemli değildi, iyi şeyler de, kötü şeyler de. Müşterek eğlence içindeydik ve epey başarılıydık.","Ignoring Chuck and talking about the prom, even though I didn't care at all, was pathetically easy. That morning, life was like this: Nothing was that important, neither the good things nor the bad things. We were in shared amusement and we were quite successful.","2024-09-23T03:10:46.542378Z","Dễ như bỡn thế là đã quên được Chuck, để say sưa bàn tán về buổi dạ hội dù tôi chẳng mảy may quan tâm đến nó. Cái sự đời sáng ngày hôm ấy: chẳng có gì thực sự quá hệ trọng, cả chuyện tốt lẫn chuyện xấu. Chúng tôi bận mỗi việc mua vui tiêu khiển cho nhau, và chúng tôi đã ung dung hào phóng một cách rất chính đáng.","It was so easy to forget Chuck, to eagerly discuss the ball even though I didn't care about it at all. The events of that morning: nothing was really too important, neither the good nor the bad. We were only busy entertaining each other, and we were leisurely generous in a very rightful way."
"","['angela']",54,"1","2024-09-23T03:09:58.725358Z","“You just gotta tell her, man,” I said. “You just gotta say, ‘Angela, I really like you, but there’s something you need to know: when we go to my house and hook up, we’ll be watched by the twenty-four hundred eyes of twelve hundred black Santas.”","—Solo tienes que contárselo, tío —le dije—. Solo tienes que decirle: «Angela, me gustas, de verdad, pero hay algo que tienes que saber: cuando vayamos a mi casa y nos enrollemos, dos mil cuatrocientos ojos de mil doscientos Santa Claus negros nos observarán».","—You just have to tell her, man —I said to him—. You just have to say: ""Angela, I really like you, but there's something you need to know: when we go to my house and we make out, two thousand four hundred eyes of twelve hundred black Santa Clauses will be watching us.""",1342,4.871,93,"","Aligned 😊","“Dostum, Angela’ya söylemelisin,” dedim. “Demen gereken şu: ‘Angela, senden gerçekten hoşlanıyorum ama bilmen gereken bir şey var: Evime gidip oynaştığımızda, bin iki yüz zenci Noel babamn iki bin dört yüz gözü tarafından izleniyor olacağız.","“Buddy, you need to tell Angela,” I said. “What you need to say is this: ‘Angela, I really like you, but there’s something you need to know: When we go to my place and fool around, we will be watched by twelve hundred black Santa Clauses' two thousand four hundred eyes.”","2024-09-23T03:09:58.725379Z","“Ông chỉ việc nói với Angela thôi,” tôi nói. “Đại loại như, ‘Angela này, tớ thực sự thích cậu, nhưng có điều này cậu cần phải biết: khi ở trong nhà tớ và dính lấy nhau, tụi mình sẽ được quan sát bằng hai ngàn bốn trăm con mắt của một ngàn hai trăm ông già Noel da đen.","“You just need to talk to Angela,” I said. “Something like, ‘Angela, I really like you, but there’s something you need to know: when we’re at my house and close together, we’ll be watched by two thousand four hundred eyes of one thousand two hundred black Santas.’”"
"","['margo']",56,"1","2024-09-23T03:12:24.377659Z","I laughed awkwardly, then walked over and knelt by the window, my face inches from hers. I couldn’t imagine why she was here, in my window, like this. “To what do I owe the pleasure?” I asked. Margo and I were still friendly, I guess, but we weren’t meet-in-the-dead-of-night-wearing-black-face-paint friendly. She had friends for that, I’m sure. I just wasn’t among them.","Me reí con torpeza y luego me acerqué a la ventana, me arrodillé y me coloqué a solo unos centímetros de su cara. No podía imaginarme por qué estaba allí, en mi ventana, y con la cara pintada. —¿A qué debo el placer? —le pregunté. Margo y yo seguíamos teniendo buen rollo, supongo, pero no hasta el punto de quedar en plena noche con la cara pintada de negro. Para eso ya tenía a sus amigos, seguro. Yo no estaba entre ellos.","I laughed awkwardly and then approached the window, knelt down, and positioned myself just a few centimeters from his face. I couldn't imagine why he was there, at my window, with his face painted. —To what do I owe the pleasure? —I asked him. Margo and I still had a good vibe, I suppose, but not to the point of meeting in the middle of the night with our faces painted black. For that, she already had her friends, surely. I was not among them.",1343,22.569,101,"","Aligned 😊","Tuhaf bir şekilde, güldüm, sonra oraya doğru yürüdüm, pencerenin kenarına diz çöküp oturdum, yüzüm onunkine çok yalandı. Neden burada, penceremde, bu şekilde olduğunu tahmin edemedim. “Bu şerefi neye borçluyum?” diye sordum. Margo’yla hâlâ samimiydik, sanırım ama “gecenin köründe siyah boyalı bir yüzle buluşma” ayarlayacak kadar değil. Bunun için de arkadaşları olduğuna «minim. Sadece ben onların arasında değildim.","Strangely, I laughed, then walked over there, knelt by the window, and sat down, my face very close to hers. I couldn't guess why she was here, at my window, in this manner. “To what do I owe this honor?” I asked. I was still close with Margo, I think, but not close enough to arrange a “meeting in the dead of night with a face painted black.” She had friends for that. I just wasn't among them.","2024-09-23T03:12:24.377680Z","Tôi cười như mếu, rồi đi đến cửa sổ và quì xuống, mặt tôi chỉ cách mặt cô ấy vài phân. Tôi không thể hiểu được sao cô ấy lại ở đây, bên cửa sổ phòng tôi, như thế này. “Sao tớ lại có vinh hạnh này đây?” tôi hỏi. Margo và tôi vẫn là bạn bè, tôi nghĩ thế, nhưng không phải kiểu bạn gặp-nhau-lúc-nửa-đêm-với-bộ-mặt-bôi-đen. Tôi dám chắc cô ấy có bạn bè cho kiểu hoàn cảnh này. Và tôi không nằm trong số bạn đó.","I smiled wryly, then walked to the window and knelt down, my face just a few inches from hers. I couldn't understand why she was here, by my window, like this. ""Why do I have this honor?"" I asked. Margo and I were still friends, I thought, but not the kind of friends who meet-in-the-middle-of-the-night-with-blackened-faces. I was sure she had friends for this kind of situation. And I was not one of those friends."
"","['margo']",58,"1","2024-09-23T03:20:03.416774Z","Margo faltered for only the briefest moment. “Dad, to answer that question would take hours of backstory, and I know that you’re probably very tired, so just go back t—”","Margo dudó solo un instante. —Papá, responderte a esa pregunta exigiría horas y sé que seguramente estás muy cansado, así que vuelve a…","Margo hesitated for just a moment. —Dad, answering that question would take hours and I know you're probably very tired, so go back to...",1344,8.06,122,"","Aligned 😊","Margo çok kısa bir an bocaladı. “Baba, bu soruya cevap vermek saatler boyu hikâye anlatmamı gerektirir ve biliyorum ki muhtemelen çok yorgunsun, yani sadece geri dö...","Margo hesitated for a very brief moment. “Dad, answering this question would require me to tell stories for hours, and I know you're probably very tired, so just go back...”","2024-09-23T03:20:03.416795Z","Margo thoáng hoảng hồn trong một tích tắc vô cùng ngắn. “Giải thích đầu đuôi dài dòng lắm ạ, bây giờ chắc bố mệt rồi thì đi ng...","Margo was momentarily startled for a very brief second. “Explaining everything in detail would take a long time, you must be tired now, so go to sl...”"
"","['margo', 'margo—']",59,"1","2024-09-23T03:20:43.181228Z","“Yeah, I know,” Margo answered. “There’s school tomorrow and the day after that, and thinking about that too long could make a girl bonkers. So, yeah. It’s a school night. That’s why we’ve got to get going, because we’ve got to be back by morning.”","—Sí, lo sé —me contestó Margo—. Mañana tenemos clase, y pasado mañana, y si lo pienso demasiado, acabaré zumbada. Así que sí, es una noche antes de clase. Por eso tenemos que irnos ya, porque tenemos que estar de vuelta por la mañana.","—Yes, I know —Margo replied to me—. We have class tomorrow, and the day after tomorrow, and if I think about it too much, I'll end up going crazy. So yes, it is a night before class. That's why we have to leave now, because we need to be back by morning.",1345,24.367,134,"","Aligned 😊","Margo, “Evet, biliyorum,” diye karşılık verdi. ‘Yarın okul var ve ondan sonraki gün de, bunun üzerine çok uzun süre düşünmek bir kıza keçileri kaçırtabüir. Yani evet, yann okul var. Başlamak zorunda olmamızın nedeni de bu, çünkü sabah geri dönmüş olmalıyız.","Margo replied, ""Yes, I know."" 'There is school tomorrow and the day after that, thinking about this for too long can drive a girl crazy. So yes, there is school tomorrow. That's why we have to start, because we need to be back by morning.""","2024-09-23T03:20:43.181250Z","“Ừa, tớ biết chứ,” Margo đáp. “Mai phải đi học, ngày kia cũng thế, cơ mà con trai suy đi tính lại lâu la có thể khiến con gái cáu điên lên đấy. Rồi, coi như đây là trường học ban đêm đi. Thế nên bây giờ chúng ta đi, vì phải trở về trước khi trời sáng.","“Yeah, I know,” Margo replied. “We have to go to school tomorrow, and the day after too, but boys taking a long time to think things through can drive girls crazy. Alright, let's consider this night school. So now we go, because we have to be back before dawn.”"
"","['margo']",60,"1","2024-09-23T03:21:52.272013Z","And so I went. I slid out the window, and we ran along the side of my house, heads down, until we opened the doors of the minivan. Margo whispered not to close the doors—too much noise—so with the doors open, I put it in neutral, pushed off the cement with my foot, and then let the minivan roll down the driveway. We rolled slowly past a couple houses before I turned on the engine and the headlights. We closed the doors, and then I drove through the serpentine streets of Jefferson Park’s endlessness, the houses all still new-looking and plastic, like a toy village housing tens of thousands of real people.","Y fui. Salté por la ventana y corrimos por la pared lateral de mi casa con la cabeza agachada hasta que abrimos las puertas del monovolumen. Margo me susurró que no cerrara las puertas —demasiado ruido—, así que, con las puertas abiertas, puse el coche en punto muerto, empujé con el pie en el asfalto, y el monovolumen rodó por el camino. Avanzamos despacio hasta dejar atrás un par de casas y luego encendí el motor y las luces. Cerramos las puertas y conduje por las sinuosas calles de la interminable Jefferson Park, con sus casas que todavía parecían nuevas y de plástico, como un pueblo de juguete que albergara decenas de miles de personas reales.","And I went. I jumped out the window and we ran along the side wall of my house with our heads down until we opened the doors of the minivan. Margo whispered to me not to close the doors —too much noise—, so, with the doors open, I put the car in neutral, pushed off with my foot on the asphalt, and the minivan rolled down the driveway. We moved slowly past a couple of houses and then I turned on the engine and the lights. We closed the doors and I drove through the winding streets of the endless Jefferson Park, with its houses that still looked new and plastic, like a toy town that housed tens of thousands of real people.",1346,60.766,141,"","Aligned 😊","Ben de gittim. Pencereden dışarı doğru kaydım ve arabanın kapılarım açana kadar, evimin yan tarafı boyunca başımız aşağıda koştuk. Margo kapılan kapatmamam için fısıldadı çok ses yapacaktıve öylece açık kapılarla, arabayı boşa alıp ayağımla ittim ve garaj ile cadde arasındaki yoldan kaydırdım. Ben motoru ve farları açma dan önce, birkaç evin önünden yavaşça geçtik. Kapıları kapattık ve sonra Jefferson Park’m sonsuzluğunun kıvrımlı sokaklarında arabayı sürdüm, evlerin hepsi hâlâ yeni görünümlü ve plastikti, on binlerce gerçek insanın barındığı oyuncak bir köy gibi.","I went too. I slid out through the window and ran along the side of my house, heads down, until I opened the car doors. Margo whispered not to close the doors because it would make too much noise, so with the doors left open, I put the car in neutral, pushed it with my foot, and slid it down the path between the garage and the street. I didn't turn on the engine or the headlights Before that, we slowly passed in front of a few houses. We closed the doors and then I drove the car through the winding streets of Jefferson Park's infinity, with all the houses still looking new and plastic, like a toy village housing tens of thousands of real people.","2024-09-23T03:21:52.272035Z","Và thế là tôi đi. Tôi lặng lẽ nhảy qua cửa sổ, và chúng tôi khom người chạy dọc hông nhà, cho đến khi mở được cửa chiếc minivan. Margo thì thầm bảo đừng đóng cửa xe–như vậy gây tiếng động quá lớn–thế là với cửa xe để mở, tôi không khởi động xe mà thò chân ra đẩy xuống nền xi-măng, để xe từ từ lăn xuống đường. Chúng tôi chầm chậm qua mấy ngôi nhà rồi tôi mới khởi động máy và bật đèn. Chúng tôi đóng cửa xe, và tôi bắt đầu lái qua những con phố ngoằn ngoèo tưởng như vô tận của khu Jefferson Park, những căn nhà còn mới và bằng chất dẻo, trông như một ngôi làng đồ chơi với hàng chục ngàn con người bằng xương bằng thịt.","And so I went. I quietly jumped through the window, and we crouched and ran along the side of the house until we could open the door of the minivan. Margo whispered not to close the car door—it would make too much noise—so with the door left open, I didn't start the car but pushed my foot against the cement, letting the car slowly roll down the road. We slowly passed a few houses before I started the engine and turned on the lights. We closed the car door, and I began driving through the seemingly endless winding streets of Jefferson Park, the houses still new and made of plastic, looking like a toy village with tens of thousands of real people."
"","['margo']",61,"1","2024-09-23T03:25:40.859349Z","Margo managed to speak in her usual manic soliloquy without answering my question. “Did you know that for pretty much the entire history of the human species, the average life span was less than thirty years? You could count on ten years or so of real adulthood, right? There was no planning for retirement. There was no planning for a career. There was no planning. No time for planning. No time for a future. But then the life spans started getting longer, and people started having more and more future, and so they spent more time thinking about it. About the future. And now life has become the future. Every moment of your life is lived for the future—you go to high school so you can go to college so you can get a good job so you can get a nice house so you can afford to send your kids to college so they can get a good job so they can get a nice house so they can afford to send their kids to college.”","Margo se las arregló para soltarme uno de sus habituales monólogos frenéticos sin contestar a mi pregunta. —¿Sabías que, durante casi toda la historia de la especie humana, el promedio de vida ha sido inferior a treinta años? Disponían de unos diez años de vida adulta, ¿no? No planificaban su jubilación. No planificaban su carrera profesional. No planificaban nada. No tenían tiempo para hacer planes. No tenían tiempo para pensar en el futuro. Pero luego las expectativas de vida empezaron a aumentar y la gente empezó a tener cada vez más futuro, así que pasaba más tiempo pensando en él. En el futuro. Y ahora la vida se ha convertido en el futuro. Vives cada instante de tu vida por el futuro… Vas al instituto para poder ir a la universidad, y así podrás encontrar un buen trabajo, y así podrás comprarte una bonita casa, y así podrás permitirte mandar a tus hijos a la universidad para que puedan encontrar un buen trabajo y así puedan comprarse una bonita casa y así puedan permitirse mandar a sus hijos a la universidad.","Margo managed to unleash one of her usual frenetic monologues without answering my question. —Did you know that, for almost the entire history of the human species, the average lifespan has been less than thirty years? They had about ten years of adult life, right? They didn't plan for retirement. They didn't plan their professional career. They didn't plan anything. They didn't have time to make plans. They didn't have time to think about the future. But then life expectancy started to increase and people began to have more and more future, so they spent more time thinking about it. About the future. And now life has become the future. You live every moment of your life for the future… You go to high school so you can go to college, and that way you can find a good job, and that way you can buy a nice house, and that way you can afford to send your kids to college so they can find a good job and that way they can buy a nice house and that way they can afford to send their kids to college.",1347,23.78,178,"","Aligned 😊","Margo her zamanki delice monologunda soruma cevap vermeden konuşmayı başardı. “Neredeyse tüm insanlık tarihinde, ortalama yaşam süresinin otuz yıldan az olduğunu biliyor muydun? On yıl falan gerçek yetişkinlik yaşayacağına güvenebiliyormuşsun, değil mi? Emekliliği planlamak yokmuş. Kariyer planlamak yokmuş. Planlamak yokmuş. Plan yapmak için zaman yokmuş. Gelecek için zaman yokmuş. Ama sonra yaşam süreleri uzamaya başlamış ve insanlar gittikçe daha fazla geleceğe sahip olmaya başlamış ve böylece konu hakkında düşünmek için daha fazla zaman harcamışlar. Gelecek hakkında. Ve şimdi hayat gelecek haline geldi. Hayatının her anı gelecek için yaşanıyor... liseye gidiyorsun ki üniversiteye gidebilesin, böylece iyi bir iş bulabilesin ki güzel bir ev alabilesin, böylece çocuklarını üniversiteye göndermeyi karşılayabilesin ki çocukların iyi bir iş bulabilsin, böylece güzel bir ev alabilsinler ki çocuklarını üniversiteye göndermeyi karşılayabilsinler.","Margo, as usual, managed to speak in her crazy monologue without answering my question. “Did you know that for almost all of human history, the average lifespan was less than thirty years? You could only count on living a real adulthood for about ten years, right? There was no planning for retirement. There was no planning for a career. There was no planning. There was no time to make plans. There was no time for the future. But then lifespans started to increase, and people began to have more and more of a future, so they spent more time thinking about it. About the future. And now life has become the future. Every moment of your life is lived for the future... you go to high school so you can go to college, so you can get a good job, so you can buy a nice house, so you can afford to send your kids to college, so your kids can get a good job, so they can buy a nice house, so they can afford to send their kids to college.”","2024-09-23T03:25:40.859367Z","Margo đáp bằng kiểu độc thoại xen lẫn chút hưng phấn quen thuộc mà không trả lời trực tiếp câu hỏi của tôi. “Cậu biết không, từ xưa lắc xưa lơ và kéo dài rất lâu trong lịch sử nhân loại, tuổi thọ trung bình của con người chưa đến ba mươi. Tức là người ta có khoảng mười năm của tuổi trưởng thành, phải không? Như thế tức là chẳng cần lập kế hoạch nghỉ hưu. Chẳng có kế hoạch xây dựng sự nghiệp nữa. Chẳng có khái niệm lên kế hoạch. Làm gì có thời gian để lên kế hoạch. Không có thời gian cho tương lai. Nhưng rồi vòng đời bắt đầu dài dần ra, con người bắt đầu có nhiều cái gọi là tương lai hơn, thế là họ dành nhiều thời gian nghĩ đến nó hơn. Nghĩ về tương lai. Và bây giờ sự sống đã trở thành tương lai rồi. Mỗi khoảnh khắc trong đời cậu đều sống vì tương lai–cậu học phổ thông để có thể vào đại học để có được công việc tốt để mua được nhà đẹp để kiếm được tiền lo cho con cái cậu vào đại học để chúng có được công việc tốt để chúng mua được nhà đẹp để chúng kiếm được tiền lo cho con cái chúng vào đại học.”","Margo responded in a monologue style mixed with a familiar excitement without directly answering my question. ""You know, from ancient times and for a very long period in human history, the average lifespan of humans was less than thirty. That means people had about ten years of adulthood, right? So there was no need to plan for retirement. No career planning either. No concept of planning at all. There was no time to plan. No time for the future. But then lifespans started to lengthen, and people began to have more of what we call the future, so they spent more time thinking about it. Thinking about the future. And now life has become the future. Every moment in your life is lived for the future—you go to high school to get into college to get a good job to buy a nice house to earn money to send your kids to college so they can get good jobs to buy nice houses to earn money to send their kids to college."""
