"Multiple_ents","Single_ent","annotation_id","annotator","created_at","en","es","es_translation","id","lead_time","line_no","modify_feedback","sentiment","tr","tr_translation","updated_at","vi","vi_translation"
"","['tía lydia', 'lydia', 'lydia teyze', 'aunt lydia']",386,"1","2024-09-24T06:02:37.561520Z","But a chair, sunlight, flowers: these are not to be dismissed. I am alive, I live, I breathe, I put my hand out, unfolded, into the sunlight. Where I am is not a prison but a privilege, as Aunt Lydia said, who was in love with either/or.","Pero la silla, la luz del sol, las flores... no deben despreciarse. Estoy viva, vivo, respiro, saco la mano abierta a la luz del sol. El lugar en que me encuentro no es una prisión sino un privilegio, como decía Tía Lydia, a quien le encantaban los extremos.","But the chair, the sunlight, the flowers... should not be despised. I am alive, I live, I breathe, I extend my open hand to the sunlight. The place where I am is not a prison but a privilege, as Aunt Lydia used to say, who loved extremes.",1943,12.089,16,"","Aligned 😊","Ancak sandalye, gün ışığı, çiçekler: Bunlar ortadan kaldırılamaz. Canlıyım ben, yaşıyorum, nefes alıyorum, uzatıyorum elimi hiç kırmadan gün ışığının içine. Bulunduğum yer bir hapishane değil, aksine bir ayrıcalık, ya/ya da'lı lafları seven Lydia Teyze'nin dediği gibi.","However, the chair, daylight, flowers: These cannot be removed. I am alive, I am living, I am breathing, I extend my hand into the daylight without breaking it. The place I am in is not a prison, on the contrary, it is a privilege, as Aunt Lydia, who loves 'either/or' phrases, would say.","2024-09-24T06:02:37.561543Z","Nhưng mà ghế, nắng, và hoa: không nên chối. Tôi còn sống, tôi sống, tôi hít thở, tôi duỗi bàn tay, xòe rộng, vươn vào ánh nắng. Nơi tôi ở không phải nhà tù, mà là một đặc ân, dì Lydia bảo vậy, trung thành với công thức hoặc-hoặc của mình.","But chairs, sunlight, and flowers: should not be denied. I am still alive, I live, I breathe, I stretch my hand, spread wide, reaching into the sunlight. Where I live is not a prison, but a privilege, Aunt Lydia said so, faithful to her either-or formula."
"","['cora']",387,"1","2024-09-24T06:02:51.822260Z","Anyways, they're doing it for us all, said Cora, or so they say. If I hadn't of got my tubes tied, it could of been me, say I was ten years younger. It's not that bad. It's not what you'd call hard work.","De todas maneras, ellos lo hacen por nosotras, o eso dicen, prosiguió Cora. Si yo no tuviera las trompas ligadas, podría tocarme a mí, en el caso de que fuera diez años más joven. No es tan malo. No es lo que se llama un trabajo duro.","Anyway, they do it for us, or so they say, continued Cora. If I didn't have my tubes tied, it could be me, if I were ten years younger. It's not that bad. It's not what you would call hard work.",1944,11.411,30,"","Aligned 😊","Her neyse, hepimiz için yapıyorlar bunu, dedi Cora'ya da öyle söylüyorlar. Tüplerim bağlanmamış olsaydı, ben de onlardan olabilirdim, on yaş daha genç olsaydım, sözgelimi. O kadar kötü değil. Hem ağır iş de denmez buna.","Anyway, they do this for all of us, they say the same to Cora. If my tubes hadn't been tied, I could have been one of them, if I were ten years younger, for instance. It's not that bad. Besides, you can't call this hard work.","2024-09-24T06:02:51.822281Z","Sao đi nữa, họ làm thế cũng chỉ vì chúng mình, Cora nói, hoặc ít ra họ bảo vậy. Nếu tôi không thắt rồi, biết đâu chẳng đến lượt tôi, ấy là giá sử tôi trẻ lại mười năm. Không tệ đến thế đâu. Ít ra đâu có gì gọi là nặng nhọc.","Anyway, they do it just for us, Cora said, or at least that's what they claim. If I hadn't tied it already, who knows, it might have been my turn, that is if I were ten years younger. It's not that bad. At least there's nothing you could call strenuous."
"","['rita']",403,"1","2024-09-24T15:58:46.228901Z","Or I would help Rita make the bread, sinking my hands into that soft resistant warmth which is so much like flesh. I hunger to touch something, other than cloth or wood. I hunger to commit the act of touch.","O ayudaría a Rita a hacer el pan, hundiendo las manos en esa blanda y resistente calidez que se parece tanto a la Carne. Me muero por tocar algo, algo que no sea tela ni madera. Me muero por cometer el acto de tocar.","Or I would help Rita make the bread, sinking my hands into that soft and resilient warmth that resembles Flesh so much. I'm dying to touch something, something that isn't fabric or wood. I'm dying to commit the act of touching.",1945,12.0,35,"","Aligned 😊","Ya da, Rita'nın ekmek yapmasına yardım ederdim, ete çok benzeyen o yumuşak, direngen sıcaklığa ellerimi batırarak. Bir şeye dokunmaya açım, kumaş ya da ağaç dışında bir şeye. Dokunma edimini gerçekleştirmeye açım.","Or, I would help Rita make bread, plunging my hands into that soft, resilient warmth that resembles meat. I am craving to touch something, something other than fabric or wood. I am craving the act of touching.","2024-09-24T15:58:46.228925Z","Hoặc tôi sẽ giúp Rita làm bánh mì, nhúng ngập tay trong cái chất ấm mềm quanh quánh rất giống da thịt. Tôi thèm được đụng chạm đến điên lên, bất cứ thứ gì không phải vải cũng không phải gỗ. Tôi thèm phạm phải hành vi đụng chạm.","Or I will help Rita make bread, immersing my hands in the warm, soft, doughy substance that feels very much like flesh. I crave touch so intensely, anything that isn't fabric or wood. I long to commit the act of touching."
"","['serena joy']",404,"1","2024-09-24T16:00:00.047364Z","The first time was on television, when I was eight or nine. It was when my mother was sleeping in, on Sunday mornings, and I would get up early and go to the television set in my mother's study and flip through the channels, looking for cartoons. Sometimes when I couldn't find any I would watch the Growing Souls Gospel Hour, where they would tell Bible stories for children and sing hymns. One of the women was called Serena Joy. She was the lead soprano. She was ash blond, petite, with a snub nose and huge blue eyes which she'd turn upwards during hymns. She could smile and cry at the same time, one tear or two sliding gracefully down her cheek, as if on cue, as her voice lifted through its highest notes, tremulous, effortless. It was after that she went on to other things.","La primera vez fue en la televisión, cuando tenía ocho o nueve años. Los domingos por la mañana, mi madre se quedaba durmiendo, y yo me levantaba temprano y me sentaba ante el aparato de la televisión, en su estudio, y pasaba torpemente de un canal a otro, buscando los dibujos animados. En ocasiones, si no los encontraba, miraba La Hora del Evangelio para las Almas Inocentes, donde contaban relatos bíblicos para niños y cantaban himnos. Una de las mujeres se llamaba Serena Joy. Era la soprano y protagonista, una mujer menuda, de pelo rubio ceniza, nariz respingona y ojos azules que, durante los himnos, siempre miraba al cielo. Era capaz de reír y llorar al mismo tiempo, dejando deslizar graciosamente una o dos lágrimas por las mejillas, como si fuera algo estudiado, mientras su voz se elevaba con las notas más altas, trémula, sin ningún esfuerzo. Fue más tarde cuando se dedicó a otras cosas.","The first time was on television, when I was eight or nine years old. On Sunday mornings, my mother would stay in bed sleeping, and I would get up early and sit in front of the television set in her study, clumsily switching from one channel to another, looking for cartoons. Sometimes, if I couldn't find them, I would watch The Hour of the Gospel for Innocent Souls, where they told biblical stories for children and sang hymns. One of the women was named Serena Joy. She was the soprano and main character, a petite woman with ash-blonde hair, a turned-up nose, and blue eyes that always looked up at the sky during the hymns. She was capable of laughing and crying at the same time, gracefully letting one or two tears slide down her cheeks, as if it were something rehearsed, while her voice rose with the highest notes, trembling, without any effort. It was later that she dedicated herself to other things.",1946,73.631,79,"","Aligned 😊","Sekiz ya da dokuz yaşındayken ilk kez televizyonda görmüştüm onu. Pazar sabahları annem uyurken, erken kalkıp çalışma odasındaki televizyona gider ve çizgi film arayarak kanalları tarardım. Kimi zaman çizgi film bulamadığımda çocuklar için İncil masallarını anlattıklarını ve ilahi söyledikleri Yetişen Ruhların İncili Şerif Saati'ni seyrederdim. Kadınlardan birinin adı Serena Joy'du. Baş sopranoydu. Sarışın ve narindi, burnu küçük ve kalkık ve ilahi söylerken yukarı kaldırdığı gözleri iri maviydi. Aynı anda hem gülümseyip hem ağlayabilirdi, sesi en yüksek notalara titrek, çabasız tırmanırken bir iki damla göz yaşı, sıraya girmiş gibi, zarafetle yanağından aşağı süzülürdü. Diğer işlere girmesi bundan sonra olmuştu.","I first saw her on television when I was eight or nine years old. On Sunday mornings, while my mother slept, I would get up early, go to the television in the study, and scan the channels looking for cartoons. Sometimes, when I couldn't find any cartoons, I would watch the Bible Hour for Growing Souls, where they told Bible stories for children and sang hymns. One of the women was named Serena Joy. She was the lead soprano. She was blonde and delicate, with a small, upturned nose and large blue eyes that she lifted upwards while singing hymns. She could both smile and cry at the same time, and as her voice climbed effortlessly to the highest notes, a few tears would gracefully trickle down her cheek, as if queued up. Her involvement in other matters came after this.","2024-09-24T16:00:00.047386Z","Lần đầu là trên ti vi, hồi tôi lên tám hay chín gì đó. Đó là thời mẹ tôi thường ngủ nướng, mỗi sáng Chủ nhật, còn tôi dậy sớm chạy đến bên ti vi trong phòng làm việc của mẹ, chuyển hết kênh này đến kênh khác tìm xem hoạt hình. Đôi khi không có, tôi xem chương trình Phúc âm “Linh hồn đang lớn”, có chuyện Kinh thánh kể cho trẻ con và thánh ca. Trong các bà trên đó có một người tên Serena Joy. Bà dẫn bè nữ cao. Tóc vàng tro, nhỏ nhắn, mũi hếch, mắt to xanh mỗi lúc hát lại ngước lên trời. Bà có thể khóc cười cùng lúc, một hai giọt lệ lăn xuống má yểu điệu, như thể chực sẵn, trong khi giọng hát vút lên tới nốt cao chót vót, rung rẩy, như không. Phải sau này bà mới chuyển sang theo đuổi thứ khác.","The first time was on TV, when I was about eight or nine years old. That was the time when my mother usually slept in, every Sunday morning, while I would wake up early and run to the TV in her study, switching from channel to channel looking for cartoons. Sometimes there were none, so I watched the Gospel program ""Growing Souls,"" which had Bible stories for children and hymns. Among the women on that show, there was one named Serena Joy. She led the soprano section. Ash blonde hair, petite, upturned nose, big blue eyes that looked up to the sky whenever she sang. She could cry and laugh at the same time, with one or two delicate tears rolling down her cheeks, seemingly on cue, while her voice soared to the highest notes, trembling, as if effortlessly. It was only later that she switched to pursuing something else."
"","['luke']",405,"1","2024-09-24T16:00:14.629978Z","Luke and I used to walk together, sometimes, along these streets. We used to talk about buying a house like one of these, an old big house, fixing it up. We would have a garden, swings for the children. We would have children. Although we knew it wasn't too likely we could ever afford it, it was something to talk about, a game for Sundays. Such freedom now seems almost weightless.","En ocasiones, Luke y yo paseábamos juntos por estas calles. Decíamos que nos compraríamos una casa como ésta, una casa grande, y que la arreglaríamos. Tendríamos un jardín y columpios para los niños. Porque tendríamos niños. Aunque sabíamos que no era muy probable que pudiéramos permitirnos ese lujo, al menos era un tema de conversación, un juego para los domingos. Ahora, aquella libertad parece una quimera.","Sometimes, Luke and I would walk together through these streets. We would say that we would buy a house like this one, a big house, and that we would fix it up. We would have a garden and swings for the children. Because we would have children. Even though we knew it was not very likely that we could afford such a luxury, at least it was a topic of conversation, a game for Sundays. Now, that freedom seems like a chimera.",1947,14.412,139,"","Aligned 😊","Luke ve ben ara sıra bu caddelerde yürürdük. Bunlara benzeyen bir ev, büyük eski bir ev satın almak ve onu tamir etmekten söz ederdik. Bir bahçemiz olacaktı, içinde de çocuklar için salıncaklar. Çocuklarımız olacaktı. Bunun altından kalkmamızın pek mümkün olmayacağını bilmemize rağmen, konuşacak bir şeydi bu. Pazar günlerinin bir oyunu. Böylesi bir özgürlüğün şimdi sözü bile edilemez.","Luke and I used to walk these streets from time to time. We would talk about buying a house like these, a big old house, and fixing it up. We would have a garden, with swings for the children. We would have children. Even though we knew it was unlikely we could manage it, it was something to talk about. A Sunday game. Such freedom is now unthinkable.","2024-09-24T16:00:14.630001Z","Luke và tôi thường sóng bước bên nhau, đôi lần, trên những phố này. Chúng tôi thường nói chuyện mua một ngôi nhà như ở đây, một nhà cổ thật to, sang sửa lại. Sẽ có cả vườn, trồng đu cho các con. Chúng tôi sẽ có con. Dù biết xác suất thực hiện những xa xỉ đó là khá thấp, chúng tôi vẫn ưa nói về nó, một trò giải khuây Chủ nhật. Thứ tự do ấy giờ cảm giác như phi thực.","Luke and I often walked side by side, sometimes, on these streets. We often talked about buying a house like the ones here, a really big old house, and renovating it. There would be a garden, with swings for the children. We would have children. Even though we knew the chances of realizing those luxuries were quite low, we still liked to talk about it, a Sunday pastime. That freedom now feels unreal."
"","['tía lydia', 'lydia', 'lydia teyze', 'aunt lydia']",406,"1","2024-09-24T16:00:28.701244Z","There is more than one kind of freedom, said Aunt Lydia. Freedom to and freedom from. In the days of anarchy, it was freedom to. Now you are being given freedom from. Don't underrate it.","Hay más de un tipo de libertad, decía Tía Lydia. Libertad para y libertad de. En los tiempos de la anarquía, habla libertad para. Ahora nos dan libertad de. No la menospreciéis.","There is more than one kind of freedom, Aunt Lydia used to say. Freedom to and freedom from. In the days of anarchy, it was freedom to. Now we are given freedom from. Do not underrate it.",1948,13.883,146,"","Aligned 😊","Birden fazla özgürlük çeşidi vardır, derdi Lydia Teyze. Bir şeyler yapma ve bir şeylerden sakınma özgürlüğü. Anarşi günlerinde, bir şeyler yapma özgürlüğü vardı. Şimdiyse size sakınma özgürlüğü veriliyor. Azımsamayın bunu sakın.","There are multiple types of freedom, Aunt Lydia used to say. The freedom to do things and the freedom to refrain from things. In the days of anarchy, there was the freedom to do things. Now you are given the freedom to refrain. Do not underestimate this.","2024-09-24T16:00:28.701268Z","Không phải chỉ có một thứ tự do, dì Lydia bảo. Có tự do được hành động và có tự do nhờ giải thoát. Thời vô chính phủ, có tự do hành động. Giờ các cô được nhận tự do giải thoát. Đừng coi thường.","There is not just one kind of freedom, Aunt Lydia said. There is freedom to act and freedom through liberation. In the time of anarchy, there was freedom to act. Now you are granted freedom through liberation. Do not underestimate it."
"","['janine']",407,"1","2024-09-24T16:00:38.791597Z","Janine looks at me, then, and around the corners of her mouth there is the trace of a smirk. She glances down to where my own belly lies flat under my red robe, and the wings cover her face. I can see only a little of her forehead, and the pinkish tip of her nose.","En aquellos tiempos, su nombre era Janine. Janine me mira y en las comisuras de sus labios asoma una sonrisa afectada. Baja la vista hasta mi vientre —una tabla debajo del traje rojo— y la toca le cubre la cara. Sólo puedo ver un pequeño trozo de su frente y la punta rosada de su nariz.","Janine looks at me and an affected smile appears at the corners of her lips. She lowers her gaze to my belly—a board beneath the red suit—and touches it, covering her face. I can only see a small piece of his forehead and the pink tip of his nose.",1949,9.901,162,"","Aligned 😊","Önceki zamanda ismi Janine'di. Janine bana bakıyor ve ağzının kenarlarında bir sırıtışın çizgileri beliriyor. Elbisenin altında karnımın dümdüz kaldığı yere bakıyor ve kanatlar yüzümü kapatıyor. Sadece alnının küçük bir bölümünü ve burnunun pembemsi ucunu görebiliyorum.","Janine is looking at me and the lines of a smirk are forming at the corners of her mouth. She is looking at the place where my stomach remains flat under the dress and the wings are covering my face. I can only see a small part of her forehead and the pinkish tip of her nose.","2024-09-24T16:00:38.791621Z","Tên cô, ngày đó, Janine. Janine nhìn tôi, thế đấy, và quanh khóe miệng nhíu bóng một cái cười khẩy. Cô ta trượt mắt xuống bụng tôi lép xẹp dưới tấm váy đỏ, rồi đôi cánh che khuất mặt cô. Tôi chỉ còn thấy chỏm trán, và cái đàu mũi hồng hồng.","Janine looked at me, like that, and a sneer flickered at the corner of her mouth. She slid her eyes down to my flat stomach under the red dress, then the wings obscured her face. I could only see the top of her forehead, and the tip of her pink nose."
"","['luke']",408,"1","2024-09-24T16:00:51.796923Z","I take the chicken, wrapped in butcher's paper and trussed with string. Not many things are plastic, anymore. I remember those endless white plastic shopping bags, from the supermarket; I hated to waste them and would stuff them in under the sink, until the day would come when there would be too many and I would open the cupboard door and they would bulge out, sliding over the floor. Luke used to complain about it. Periodically he would take all the bags and throw them out.","Cojo el pollo, envuelto en papel parafinado y atado con un cordel. Ya no quedan muchas cosas de plástico. Recuerdo aquellas bolsas blancas de plástico que daban en los supermercados; como odiaba desperdiciarlas, las amontonaba debajo del fregadero hasta que llegaba un momento en que había tantas que al abrir la puerta del armario resbalaban hasta el suelo. Luke solía quejarse y de vez en cuando las sacaba todas y las tiraba.","I grab the chicken, wrapped in paraffin paper and tied with a string. There aren't many plastic things left anymore. I remember those white plastic bags they used to give out at supermarkets; how I hated wasting them, I would pile them up under the sink until there came a point when there were so many that when you opened the cabinet door, they would slip to the floor. Luke used to complain and every now and then he would take them all out and throw them away.",1950,12.814,164,"","Aligned 😊","Kasap kağıdına sarılıp iple bağlanmış pilici alıyorum. Plastik olan pek bir şey kalmadı, artık. Sonu gelmez beyaz plastik alış veriş torbalarını hatırlıyorum, süpermarketten alınan; onları atmaktan nefret eder, lavabonun altına tıkıştırırdım, ta ki aşırı çoğalıp dolabın kapısını açtığımda dışarı fırlayarak yerlere saçılma günleri gelinceye kadar. Luke yakınırdı bundan. Belirli aralıklarla bütün torbaları toplayıp dışarı atardı.","I'm taking the chicken wrapped in butcher paper and tied with string. There isn't much left that's plastic anymore. I remember the endless white plastic shopping bags from the supermarket; I hated throwing them away and would stuff them under the sink until the days when they multiplied so much that they would burst out and scatter all over the floor when I opened the cabinet door. Luke used to complain about this. He would periodically gather all the bags and throw them out.","2024-09-24T16:00:51.796937Z","Tôi nhận con gà, quấn trong giấy phèn buộc dây. Đồ bằng chất dẻo không thấy mấy, không thấy nữa. Tôi nhớ đến thứ túi ni lông trắng to không thấy đáy, đựng đồ siêu thị mua về; tôi chẳng bao giờ muốn vứt chúng đi, toàn dúi vào dưới bồn rửa, tới một hôm nào đó khi tôi mở cửa tủ chúng đổ tràn ra, vung vãi trên sàn. Luke lúc nào cũng than phiền chuyện đó. Cứ đều đặn anh lại vơ tất cả đống túi quăng đi.","I received the chicken, wrapped in parchment paper and tied with string. Plastic items are rarely seen, not seen anymore. I remember the large bottomless white plastic bags used to carry groceries from the supermarket; I never wanted to throw them away, always stuffing them under the sink, until one day when I opened the cabinet door and they spilled out, scattered all over the floor. Luke always complained about that. He regularly gathered all the bags and threw them away."
"","['gleninki', 'ofglen', 'deglen']",409,"1","2024-09-24T16:01:40.737826Z","I stop walking. Ofglen stops beside me and I know that she too cannot take her eyes off these women. We are fascinated, but also repelled. They seem undressed. It has taken so little time to change our minds, about things like this.","Me detengo. Deglen se para junto a mí y comprendo que ella tampoco puede quitarles los ojos de encima a esas mujeres. Nos fascinan y al mismo tiempo nos repugnan. Parece que fueran desnudas. Qué poco tiempo han tardado en cambiar nuestra mentalidad con respecto a este tipo de cosas.","I stop. Deglen stands next to me, and I understand that she also can't take her eyes off those women. They fascinate us and at the same time repulse us. It seems as if they were naked. How little time it has taken to change our mentality regarding these kinds of things.",1951,48.613,168,"","Aligned 😊","Yürümekten vazgeçiyorum. Gleninki de duruyor yanımda ve onun da gözlerini bu kadınlardan ayıramadığını biliyorum. Büyülendik, ancak tiksindik de. Çıplak gibiler. Çok kısa sürmüş, fikrimizi değiştirmemiz, bu tür şeyler hakkında.","I give up on walking. Glen's also stops beside me, and I know he can't take his eyes off these women either. We are mesmerized, but also disgusted. They are almost naked. It didn't take long for us to change our minds about these kinds of things.","2024-09-24T16:01:40.737850Z","Tôi dừng bước. Bên tôi Ofglen cũng ngừng lại và tôi biết cô ta cũng không thể rời mắt khỏi đám đàn bà kia. Chúng tôi mê hồn, nhưng cũng kinh tởm. Họ cứ như lõa thể. Chỉ sau chút ít thời gian đầu óc chúng tôi đã đổi cả, về những chuyện thế này.","I stopped walking. Beside me, Ofglen also stopped, and I knew she couldn't take her eyes off those women either. We were mesmerized, but also disgusted. They seemed almost naked. It didn't take long for our minds to change about such things."
"","['tía lydia', 'lydia', 'lydia teyze', 'aunt lydia']",410,"1","2024-09-24T16:09:27.540133Z","I also know better than to say yes. Modesty is invisibility, said Aunt Lydia. Never forget it. To be seen—to be seen—is to be—her voice trembled—penetrated. What you must be, girls, is impenetrable. She called us girls.","También me cuido muy bien de decir que sí. Recato e invisibilidad son sinónimos, decía Tía Lydia. No lo olvidéis nunca. Si os ven —si os v en es como si os penetraran, decía con voz temblorosa. Y vosotras, niñas, debéis ser impenetrables. Nos llamaba niñas.","I also take great care to say yes. Modesty and invisibility are synonyms, Aunt Lydia used to say. Never forget it. If they see you —if they see you, it is as if they penetrate you, she said with a trembling voice. And you, girls, must be impenetrable. He called us girls.",1952,466.571,175,"","Aligned 😊","Evet demeyecek kadar da akıllıyım. Alçak gönüllülük görünmezliktir, derdi Lydia Teyze. Asla unutmayın bunu. Görülmek -görülmek derken sesi titriyordu- ulaşılmaktır. Olmanız gereken şey, kızlar, ulaşılmazlık. Kızlar derdi bize.","I'm smart enough not to say yes. Aunt Lydia used to say that humility is invisibility. Never forget this. To be seen - her voice trembled as she said it - is to be reachable. What you need to be, girls, is unreachable. She used to call us girls.","2024-09-24T16:09:27.540154Z","Tôi cũng biết khôn hồn đừng nói vâng. Khiêm cung là phải vô hình, dì Lydia bảo thế. Đừng bao giờ quên. Bị nhìn thấy - bị nhìn thấy - cũng tức là - giọng dì run rẩy - bị xuyên thủng. Bổn phận của các cô là không để bị xuyên thấu, các cô bé ạ. Dì gọi chúng tôi là các cô bé.","I also know that it's wise not to say yes. Humility must be invisible, Aunt Lydia said so. Never forget. To be seen - to be seen - also means - her voice trembling - to be penetrated. Your duty is not to be penetrated, girls. She called us girls."
