"Multiple_ents","Single_ent","annotation_id","annotator","created_at","en","es","es_translation","id","lead_time","line_no","modify_feedback","sentiment","tr","tr_translation","updated_at","vi","vi_translation"
"","['henry wotton', 'lord henry wotton']",24,"5","2024-09-21T19:20:44.755611Z","From the corner of the divan of Persian saddle-bags on which he was lying, smoking, as was his custom, innumerable cigarettes, Lord Henry Wotton could just catch the gleam of the honey-sweet and honey-coloured blossoms of a laburnum, whose tremulous branches seemed hardly able to bear the burden of a beauty so flamelike as theirs; and now and then the fantastic shadows of birds in flight flitted across the long tussore-silk curtains that were stretched in front of the huge window, producing a kind of momentary Japanese effect, and making him think of those pallid, jade-faced painters of Tokyo who, through the medium of an art that is necessarily immobile, seek to convey the sense of swiftness and motion. The sullen murmur of the bees shouldering their way through the long unmown grass, or circling with monotonous insistence round the dusty gilt horns of the straggling woodbine, seemed to make the stillness more oppressive. The dim roar of London was like the bourdon note of a distant organ.","Lord Henry Wotton, que había consumido ya, según su costumbre, innumerables cigarrillos, vislumbraba, desde el extremo del sofá donde estaba tumbado —tapizado al estilo de las alfombras persas—, el resplandor de las floraciones de un codeso, de dulzura y color de miel, cuyas ramas estremecidas apenas parecían capaces de soportar el peso de una belleza tan deslumbrante como la suya; y, de cuando en cuando, las sombras fantásticas de pájaros en vuelo se deslizaban sobre las largas cortinas de seda india colgadas delante de las inmensas ventanas, produciendo algo así como un efecto japonés, lo que le hacía pensar en los pintores de Tokyo, de rostros tan pálidos como el jade, que, por medio de un arte necesariamente inmóvil, tratan de transmitir la sensación de velocidad y de movimiento. El zumbido obstinado de las abejas, abriéndose camino entre el alto césped sin segar, o dando vueltas con monótona insistencia en torno a los polvorientos cuernos dorados de las desordenadas madreselvas, parecían hacer más opresiva la quietud, mientras los ruidos confusos de Londres eran como las notas graves de un órgano lejano.","Lord Henry Wotton, who had already consumed, as was his custom, innumerable cigarettes, glimpsed, from the end of the sofa where he was lying —upholstered in the style of Persian carpets—, the glow of the blossoms of a broom, sweet and honey-colored, whose trembling branches barely seemed capable of bearing the weight of such dazzling beauty as theirs; and, from time to time, the fantastic shadows of birds in flight slid over the long Indian silk curtains hanging in front of the immense windows, producing something like a Japanese effect, which made him think of the painters of Tokyo, with faces as pale as jade, who, through a necessarily motionless art, try to convey the sensation of speed and movement. The obstinate buzzing of bees, making their way through the tall unmown grass, or circling with monotonous insistence around the dusty golden horns of the disordered honeysuckles, seemed to make the stillness more oppressive, while the confused noises of London were like the deep notes of a distant organ.",1865,14.853,2,"","Aligned 😊","İran heybeleriyle döşenmiş divanın köşesinde uzanmış, huyu olduğu üzere sayısız sigara tüttüren Lord Henry Wotton, bulunduğu yerden sarı salkım ağacının balrengi, bal tatlısı çiçeklerini seçebiliyordu. Ağacın titrek dalları, böylesi aleve benzer bir güzelliğin yükünü taşımakta güçlük çeker gibiydi. Kocaman pencerenin önünde gerili duran uzun, ipekli perdelerin üzerine arada düş gibi kuş gölgeleri vuruyordu. İlk bakışta bir Japon havası çağrıştıran bu perdeler Lord Henry’ye, Tokyo’nun solgun, zümrüt benizli ressamlarını anımsatıyordu; zorunluluk gereği durağan olan bir sanat aracılığıyla hareket ve hız aktarmaya çalışan ressamlar. Yüksek, biçilmemiş otlar arasında kendilerine yol açmaya çalışan ya da sere serpe frenkasmalarının tozlu, yaldızlı boynuzlarının çevresinde tekdüze bir ısrarla dönüp duran arıların donuk mırıltısı, ortalığın dinginliğini büsbütün sıkıcı kılar gibiydi. Londra’nın hafif uğultusu uzaktaki bir org melodisinin pes sedasını andırıyordu.","Lord Henry Wotton, who was lying in the corner of the divan adorned with Iranian saddlebags, smoking countless cigarettes as was his habit, could make out the honey-colored, honey-sweet flowers of the yellow wisteria tree from where he was. The tree's trembling branches seemed to struggle under the burden of such flame-like beauty. Occasionally, the shadows of birds, like dreams, would fall upon the long, silken curtains stretched in front of the large window. At first glance, these curtains, which evoked a Japanese atmosphere, reminded Lord Henry of the pale, emerald-faced painters of Tokyo; painters who tried to convey movement and speed through the necessarily static medium of art. The dull hum of bees, either trying to make their way through the tall, uncut grass or circling monotonously around the dusty, gilded horns of the sprawling French marigolds, seemed to make the tranquility of the surroundings all the more tedious. The faint hum of London resembled the bass notes of a distant organ melody.","2024-09-21T19:20:44.755635Z","Từ góc chiếc đi-văng bọc thảm giả túi yên lạc đà Ba Tư mà trên đó y nằm hút, theo thói quen, vô số điếu thuốc, huân tước Henry Wotton chỉ có thể loáng thoáng thấy được những bông hoa ngọt-mật và màu-mật của một cây kim tước mà những cái cành run rẩy của nó dường như khó khăn lắm mới có thể mang nổi gánh nặng một vẻ đẹp rừng rực nhường ấy; và thỉnh thoảng, những chiếc bóng dị thường của lũ chim đang bay lượn lại vụt qua các tấm màn lụa tuýt-so dài căng trước ô cửa rộng, gây nên cảm giác gì đó từa tựa như một ấn tượng Nhật Bản nhất thời, và khiến y nghĩ về những họa sỹ mặt xanh nanh vàng ở Tokyo, những kẻ, nhờ vào sự trung gian của một nghệ thuật vốn dĩ tất yếu là bất động, đã cố gắng chuyển tải ý thức về sự mau lẹ và sự chuyển động. Tiếng rì rầm rầu rĩ của lũ ong đang len lỏi qua bãi cỏ dài chưa cắt, hoặc xoay tròn với sự cố chấp đơn điệu quanh các cái sừng thiếp vàng phủ bụi phấn của cây kim ngân bò lan um tùm, dường như khiến cho cảnh tĩnh mịch ấy lại còn ngột ngạt hơn. Tiếng gầm âm ỉ của thành London hệt như nốt buộc-đông của cây đàn ống xa xôi.","From the corner of the Persian camel saddlebag-patterned divan on which he habitually lay smoking countless cigarettes, Lord Henry Wotton could only faintly see the honey-sweet and honey-colored blossoms of a laburnum tree whose trembling branches seemed to struggle under the weight of such a blazing beauty; and occasionally, the strange shadows of birds in flight would flicker across the long tussore silk curtains drawn before the wide window, evoking a sensation somewhat akin to a fleeting Japanese impression, and making him think of the green-faced, yellow-fanged artists in Tokyo, who, through the medium of an inherently static art, had attempted to convey a sense of swiftness and movement. The mournful hum of bees threading through the long, uncut grass, or circling with monotonous persistence around the golden-tipped horns of the overgrown honeysuckle, seemed to make the stillness even more oppressive. The distant roar of London was like the pedal note of a far-off organ."
"","['basil hallwar', 'basil hallward']",16,"4","2024-09-20T21:14:21.653393Z","In the centre of the room, clamped to an upright easel, stood the full-length portrait of a young man of extraordinary personal beauty, and in front of it, some little distance away, was sitting the artist himself, Basil Hallward, whose sudden disappearance some years ago caused, at the time, such public excitement and gave rise to so many strange conjectures.","En el centro de la pieza, sobre un caballete recto, descansaba el retrato de cuerpo entero de un joven de extraordinaria belleza; y, delante, a cierta distancia, estaba sentado el artista en persona, el Basil Hallward cuya repentina desaparición, hace algunos años, tanto conmoviera a la sociedad y diera origen a tan extrañas suposiciones.","In the center of the room, on a straight easel, rested the full-length portrait of a young man of extraordinary beauty; and, in front, at a certain distance, sat the artist himself, Basil Hallward, whose sudden disappearance a few years ago so moved society and gave rise to such strange suppositions.",1866,10.404,3,"","Aligned 😊","Odanın en ortasında, ayaklı bir kanvasta, olağanüstü güzellikteki bir genç erkeğin boy resmi duruyordu. Önünde, biraz ötede de portrenin ressamı oturmaktaydı: birkaç yıl önce, ansızın ortadan yitmesiyle bir süre büyük heyecan yaratan ve bir sürü garip tahminlere yol açan Basil Hallward.","In the very center of the room, on a standing canvas, stood a portrait of an extraordinarily beautiful young man. In front of it, a little further away, sat the painter of the portrait: Basil Hallward, who had caused quite a stir a few years ago by suddenly disappearing and giving rise to a host of strange speculations.","2024-09-20T21:14:21.653415Z","Ở giữa phòng, kẹp chặt vào một giá vẽ đứng thẳng, đặt bức chân dung toàn thân của một thanh niên có vẻ đẹp cá nhân khác thường, và ngồi trước mặt nó, hơi xa hơn đôi chút, là chính nghệ sỹ sáng tác, Basil Hallward, người mà sự biến mất đột ngột vài năm trước của y đã gây nên, vào thời ấy, sự náo động quá đỗi trong công chúng, và tạo ra cơ man phỏng đoán lạ lùng.","In the middle of the room, clamped tightly onto an upright easel, was a full-length portrait of a young man with extraordinary personal beauty, and sitting in front of it, a little further away, was the artist himself, Basil Hallward, whose sudden disappearance a few years ago had caused, at that time, an overwhelming public sensation and generated a myriad of strange speculations."
"","['lord henry', 'henry']",17,"4","2024-09-20T21:14:27.276045Z","“Being natural is simply a pose, and the most irritating pose I know,” cried Lord Henry, laughing; and the two young men went out into the garden together and ensconced themselves on a long bamboo seat that stood in the shade of a tall laurel bush. The sunlight slipped over the polished leaves. In the grass, white daisies were tremulous.","—La naturalidad también es afectación, y la más irritante que conozco —exclamó lord Henry, echándose a reír. Los dos jóvenes salieron juntos al jardín, acomodándose en un amplio banco de bambú colocado a la sombra de un laurel. La luz del sol resbalaba sobre las hojas enceradas. Sobre la hierba temblaban margaritas blancas.","—Naturalness is also affectation, and the most irritating one I know —exclaimed Lord Henry, bursting into laughter. The two young people went out together to the garden, settling on a wide bamboo bench placed in the shade of a laurel tree. The sunlight slid over the waxed leaves. White daisies trembled on the grass.",1867,5.423,19,"","Aligned 😊","Lord Henry, “Doğal olmak da yapmacıklıktan başka bir şey değildir, hem de yapmacıklıkların en sinir bozucusu, bence,” diyerek güldü. İki genç erkek birlikte bahçeye çıktılar, yüksek bir taflanın gölgesindeki uzun bambu sıraya oturdular. Güneş, cilalı yapraklardan aşağı kayıyordu. Otların arasındaki beyaz papatyalar titreşimler içindeydi.","Lord Henry laughed and said, ""Being natural is just another pose, and the most irritating one at that, in my opinion."" Two young men went out to the garden together and sat on the long bamboo bench in the shade of a tall laurel tree. The sun was sliding down the polished leaves. The white daisies among the grass were trembling.","2024-09-20T21:14:27.276066Z","“Sống thuận tự nhiên cũng chỉ để làm màu thôi, và là kiểu làm màu khó chịu nhất mà tôi từng biết,” huân tước Henry la lớn, bật cười; và hai người đàn ông trẻ trung ấy cùng đi vào vườn, rồi yên vị trên chiếc ghế tre dài đặt dưới bóng mát bụi nguyệt quế cao. Ánh nắng trượt qua những chiếc lá bóng loáng. Trên cỏ, bạch cúc rung rinh.","“Living in harmony with nature is just for show, and it's the most annoying kind of showmanship I've ever known,” Lord Henry shouted, laughing; and the two young men walked into the garden, then settled on a long bamboo bench placed in the shade of a tall laurel bush. Sunlight glided through the glossy leaves. On the grass, daisies swayed."
"","['lord henry', 'henry']",18,"4","2024-09-20T21:14:34.331984Z","Lord Henry smiled, and leaning down, plucked a pink-petalled daisy from the grass and examined it. “I am quite sure I shall understand it,” he replied, gazing intently at the little golden, white-feathered disk, “and as for believing things, I can believe anything, provided that it is quite incredible.”","Lord Henry sonrió y, agachándose, arrancó de entre el césped una margarita de pétalos rosados y se puso a examinarla. —Estoy seguro de que lo entenderé —replicó, contemplando fijamente el pequeño disco dorado con plumas blancas—; y en cuanto a creer cosas, me puedo creer cualquiera con tal de que sea totalmente increíble.","Lord Henry smiled and, bending down, plucked a pink-petaled daisy from the grass and began to examine it. —I am sure I will understand it —he replied, staring intently at the small golden disc with white feathers—; and as for believing things, I can believe anything as long as it is totally unbelievable.",1868,6.857,32,"","Aligned 😊","Lord Henry gülümseyerek eğildi, çimenlerin arasından pembe bir papatya kopardı, incelemeye girişti. Elindeki bu altın gözlü küçük yuvarlağa dikkatle bakarak, “Anlayacağımdan hiç kuşkum yok,” dedi. “İnanmaya gelince; ben her şeye inanabilirim, yeter ki tümden inanılmaz bir şey olsun.","Lord Henry smiled and bent down, plucked a pink daisy from the grass, and began to examine it. Looking carefully at this small round flower with a golden eye in his hand, he said, ""I have no doubt that I will understand."" ""As for believing; I can believe anything, as long as it is something utterly unbelievable.""","2024-09-20T21:14:34.332005Z","Huân tước Henry cười và cúi xuống bứt một bông cúc cánh hồng khỏi cỏ, ngắm nghía nó. “Tôi chắc chắn là tôi có thể hiểu nó,” y đáp lại, nhìn chăm chú vào cái nhụy vàng nhỏ phủ đầy lông tơ trắng, “và về phần những điều đáng tin, tôi có thể tin mọi điều, miễn là nó hoàn toàn không thể tin nổi.”","Lord Henry smiled and bent down to pluck a pink-petaled daisy from the grass, examining it. “I am sure I can understand it,” he replied, staring intently at the small yellow center covered with white fuzz, “and as for the believable things, I can believe anything, as long as it is utterly unbelievable.”"
"","['agatha']",25,"5","2024-09-21T19:21:06.275395Z","“Oh, I will make your peace with my aunt. She is quite devoted to you. And I don’t think it really matters about your not being there. The audience probably thought it was a duet. When Aunt Agatha sits down to the piano, she makes quite enough noise for two people.”","—Yo me encargo de reconciliarlo con ella. Siente verdadera devoción por usted. Y no creo que importara que no fuese. El público pensó probablemente que era un dúo. Cuando tía Agatha se sienta al piano hace ruido suficiente por dos personas.","—I will take care of reconciling him with her. She feels true devotion for you. And I don't think it would matter if you didn't go. The audience probably thought it was a duet. When Aunt Agatha sits at the piano, she makes enough noise for two people.",1869,21.341,89,"","Aligned 😊","“Ben sizin aranızı bulurum. Halam sizi çok seviyor. Sizin kulübe gitmeyişinizin de bir şey değiştirmiş olacağını hiç sanmıyorum. Orada bulunanlar söylenenin düet olduğunu sanmışlardır zaten. Agatha Halam piyano başına geçti mi iki kişilik şamata yapar.","“I will mediate between you. My aunt likes you very much. I don't think your not going to the club would have changed anything. Those present there probably thought it was a duet anyway. When my Aunt Agatha sits at the piano, she makes a racket for two.”","2024-09-21T19:21:06.275417Z","“Ồ, tôi sẽ dàn hòa cho anh với dì tôi. Bà ấy rất hết lòng vì anh. Và tôi không nghĩ rằng lại có vấn đề gì thật sự nghiêm trọng với chuyện anh không đến đấy. Thính giả chắc có lẽ nghĩ đó là bản song tấu. Mỗi khi dì Agatha ngồi xuống dương cầm thì bà ấy thường gây ồn đủ cho hai người.”","“Oh, I will reconcile you with my aunt. She is very devoted to you. And I don't think there's really any serious issue with you not going there. The audience probably thought it was a duet. Whenever Aunt Agatha sits down at the piano, she usually makes enough noise for two people.”"
"","['dorian', 'doria']",26,"5","2024-09-21T19:21:53.592514Z","“Just turn your head a little more to the right, Dorian, like a good boy,” said the painter, deep in his work and conscious only that a look had come into the lad’s face that he had never seen there before.","—Vuelve la cabeza un poquito más hacia la derecha, Dorian, como un buen chico —dijo el pintor, enfrascado en su trabajo, sólo consciente de que en el rostro del muchacho había aparecido una expresión completamente nueva.","—Turn your head a little more to the right, Dorian, like a good boy —said the painter, engrossed in his work, only aware that a completely new expression had appeared on the boy's face.",1870,47.028,107,"","Aligned 😊","Ressam, “Dorian, başını birazcık daha sağa çevir, bir zahmet,” dedi. Çalışmasına iyice dalmıştı, yine de delikanlının yüzünde bundan önce görmemiş olduğu bir ifadenin belirdiğini fark ediyordu.","The painter said, ""Dorian, turn your head a little more to the right, please."" He was deeply engrossed in his work, yet he noticed that an expression he had never seen before appeared on the young man's face.","2024-09-21T19:21:53.592536Z","“Phiền cậu quay đầu một chút về bên phải, Dorian, làm ơn,” họa sỹ nói, đắm chìm vào công việc, và chỉ nhận thấy rằng một nét nào đó mà y chưa từng thấy trước đây vừa hiện lên trên gương mặt chàng trai.","“Please turn your head a little to the right, Dorian, please,” the artist said, immersed in his work, and only noticed that a certain feature he had never seen before had just appeared on the young man's face."
"","['basil']",27,"5","2024-09-21T19:22:06.673605Z","For nearly ten minutes he stood there, motionless, with parted lips and eyes strangely bright. He was dimly conscious that entirely fresh influences were at work within him. Yet they seemed to him to have come really from himself. The few words that Basil’s friend had said to him—words spoken by chance, no doubt, and with wilful paradox in them—had touched some secret chord that had never been touched before, but that he felt was now vibrating and throbbing to curious pulses.","Durante cerca de diez minutos siguió allí, inmóvil, los labios abiertos y un brillo extraño en la mirada. Era vagamente consciente de que influencias completamente nuevas actuaban en su interior, aunque, le parecía a él, procedían en realidad de sí mismo. Las pocas palabras que el amigo de Basil le había dicho, palabras lanzadas al azar, sin duda, y caprichosamente paradójicas, habían tocado alguna cuerda secreta, nunca pulsada anteriormente, pero que sentía ahora vibrar y palpitar con peculiares estremecimientos.","For about ten minutes he remained there, motionless, his lips parted and a strange gleam in his eyes. He was vaguely aware that completely new influences were at work within him, although, it seemed to him, they actually came from himself. The few words that Basil's friend had said to him, words thrown out at random, no doubt, and whimsically paradoxical, had touched some secret chord, never before struck, but which he now felt vibrating and throbbing with peculiar tremors.",1871,12.748,110,"","Aligned 😊","Hemen hemen on dakika orada hareketsiz durdu, dudakları aralık, gözlerinde tuhaf bir parlaklık. İçindeki yepyeni kıpırtıları hayal meyal sezinliyordu, gene de bunlar kendi içinden gelmiş gibiydi. Basil’in arkadaşının söylemiş olduğu şu birkaç söz –rastgele söylenmiş sözler, hiç kuşkusuz, kasıtlı çelişkilerle dolu– genç adamın içinde gizli bir tele dokunmuştu. Şimdiye değin el değmemiş olan bu telin şimdi garip bir nabız vuruşuyla titreşimler yaparak attığını duyumsuyordu Dorian.","He stood there almost motionless for about ten minutes, his lips parted, a strange brightness in his eyes. He vaguely sensed the brand-new stirrings within him, yet they seemed to have come from within himself. The few words Basil's friend had spoken –words said at random, undoubtedly filled with deliberate contradictions– had touched a hidden chord within the young man. Dorian now felt this chord, which had remained untouched until now, vibrating with a strange pulse.","2024-09-21T19:22:06.673621Z","Suốt gần mười phút, cậu đứng đó, bất động, với đôi môi hé mở và cặp mắt sáng lạ lùng. Cậu đã lờ mờ nhận ra rằng những ảnh hưởng hoàn toàn mới mẻ đang khuấy động trong mình. Song cậu thấy dường như chúng thật sự đến từ bên trong cậu. Vài lời mà anh bạn của Basil vừa nói với cậu — những lời được nói tình cờ, không có gì phải nghi ngờ, cùng sự nghịch biện cố ý bên trong chúng — đã chạm vào sợi dây bí mật nào đó chưa từng được chạm đến trước đây, nhưng mà lúc này cậu cảm thấy như đang rung lên và đập theo những nhịp hiếu kỳ.","For nearly ten minutes, he stood there, motionless, with slightly parted lips and strangely bright eyes. He vaguely realized that entirely new influences were stirring within him. Yet he felt as if they truly came from inside him. A few words that Basil's friend had just said to him — words spoken casually, undoubtedly, with intentional paradox within them — had touched some secret chord that had never been touched before, but now he felt it vibrating and beating with curious rhythms."
"","['harry']",28,"5","2024-09-21T19:22:25.511000Z","“My dear fellow, I am so sorry. When I am painting, I can’t think of anything else. But you never sat better. You were perfectly still. And I have caught the effect I wanted—the half-parted lips and the bright look in the eyes. I don’t know what Harry has been saying to you, but he has certainly made you have the most wonderful expression. I suppose he has been paying you compliments. You mustn’t believe a word that he says.”","—Tendrás que perdonarme. Cuando pinto me olvido de todo lo demás. Pero nunca habías posado mejor. Has estado completamente inmóvil. Y he captado el efecto que quería: los labios entreabiertos, y el brillo en los ojos. No sé qué te habrá dicho Harry para conseguir esta expresión maravillosa. Imagino que te halagaba la vanidad. No debes creer una sola palabra de lo que diga.","—You will have to forgive me. When I paint, I forget everything else. But you have never posed better. You have been completely still. And I have captured the effect I wanted: the slightly parted lips, and the sparkle in the eyes. I don't know what Harry might have told you to achieve this wonderful expression. I imagine he was flattering your vanity. You must not believe a single word he says.",1872,18.653,116,"","Aligned 😊","“Sevgili yavrum, çok üzgünüm. Resim yaparken başka hiçbir şey düşünemiyorum da. Ama hiç böyle güzel poz vermemiştin bana. Hiç kıpırdamadan durdun. Tam da istediğim ifadeyi yakaladım: Yarı aralık dudaklarla parlayan gözler. Harry sana neler söyledi, bilmiyorum ama, doğrusu yüzüne nefis bir ifade vermesini bildi. Sana iltifatlar etmiş olsa gerek. Sözlerinin hiçbirine inanma.","“My dear child, I am very sorry. When I am painting, I can't think of anything else. But you have never posed so beautifully for me. You stood completely still. I captured exactly the expression I wanted: glowing eyes with slightly parted lips. I don't know what Harry told you, but he certainly managed to give your face a wonderful expression. He must have paid you compliments. Don't believe a word he says.”","2024-09-21T19:22:25.511022Z","“Bạn yêu ơi, tôi xin lỗi. Khi tôi vẽ, tôi không thể nghĩ về chuyện gì khác. Nhưng cậu chưa bao giờ ngồi làm mẫu tốt hơn. Cậu bất động một cách hoàn hảo. Và tôi đã tóm được cái ấn tượng mà tôi muốn — đôi môi hé mở, nét rạng ngời trong mắt. Tôi không biết Harry đã nói gì với cậu, nhưng anh ấy chắc chắn đã làm cho cậu có được sự diễn cảm tuyệt vời nhất. Tôi cho là anh ấy đã khen ngợi cậu. Cậu không nên tin dẫu chỉ một lời mà anh ấy nói.”","""My dear, I'm sorry. When I draw, I can't think about anything else. But you've never sat as a better model. You were perfectly still. And I captured the impression I wanted — the slightly parted lips, the radiance in the eyes. I don't know what Harry said to you, but he certainly brought out the best expression in you. I suppose he complimented you. You shouldn't believe a single word he says."""
"","['lord henry', 'henry', 'lord henry—']",29,"5","2024-09-21T19:24:23.753431Z","“Yes,” continued Lord Henry, “that is one of the great secrets of life—to cure the soul by means of the senses, and the senses by means of the soul. You are a wonderful creation. You know more than you think you know, just as you know less than you want to know.”","—Sí —prosiguió lord Henry—; ése es uno de los grandes secretos de la vida: curar el alma por medio de los sentidos, y los sentidos con el alma. Usted es una criatura asombrosa. Sabe más de lo que cree saber, pero menos de lo que quiere.","—Yes —continued Lord Henry—; that is one of the great secrets of life: to cure the soul by means of the senses, and the senses by means of the soul. You are an astonishing creature. You know more than you think you know, but less than you want to.",1873,14.551,122,"","Aligned 😊","Lord Henry, “Evet,” diye konuşmasını sürdürdü. “Yaşamın en büyük gizlerinden biridir: ruhu duyular yoluyla, duyuları da ruh yoluyla şifaya kavuşturmak. Siz harika bir yapıtsınız. Sandığınızdan daha çok bilginiz var; öte yandan bilmek istediğinizden daha azını biliyorsunuz.","Lord Henry continued his speech, ""Yes,"" he said. ""It is one of the great mysteries of life: to cure the soul by means of the senses, and the senses by means of the soul. You are a wonderful creation. You know more than you think you do; on the other hand, you know less than you want to know.""","2024-09-21T19:24:23.753454Z","“Vâng,” huân tước Henry nói tiếp, “đó là một trong những bí mật lớn nhất của cuộc sống — chữa lành linh hồn bằng cách dùng các giác quan, và chữa lành các giác quan bằng cách dùng linh hồn. Cậu là một tạo vật tuyệt vời. Cậu biết nhiều hơn là cậu nghĩ cậu biết, đúng như cậu biết ít hơn là cậu muốn biết.","“Yes,” Lord Henry continued, “that is one of the great secrets of life — to heal the soul by means of the senses, and to heal the senses by means of the soul. You are a wonderful creation. You know more than you think you know, just as you know less than you want to know.”"
"","['dorian', 'dorian gray']",30,"5","2024-09-21T19:24:51.946905Z","Dorian Gray listened, open-eyed and wondering. The spray of lilac fell from his hand upon the gravel. A furry bee came and buzzed round it for a moment. Then it began to scramble all over the oval stellated globe of the tiny blossoms. He watched it with that strange interest in trivial things that we try to develop when things of high import make us afraid, or when we are stirred by some new emotion for which we cannot find expression, or when some thought that terrifies us lays sudden siege to the brain and calls on us to yield. After a time the bee flew away. He saw it creeping into the stained trumpet of a Tyrian convolvulus. The flower seemed to quiver, and then swayed gently to and fro.","Dorian Gray escuchaba, los ojos muy abiertos, asombrado. El ramillete de lilas se le cayó al suelo. Una sedosa abeja zumbó a su alrededor por un instante. Luego empezó a trepar con dificultad por los globos estrellados de cada flor. Dorian Gray la observó con el extraño interés por las cosas triviales que tratamos de fomentar cuando las más importantes nos asustan, o cuando nos embarga alguna nueva emoción que no sabemos expresar, o cuando alguna idea que nos aterra pone repentino sitio a la mente y exige nuestra rendición. Al cabo de algún tiempo la abeja alzó el vuelo. Dorian Gray la vio introducirse en la campanilla de una enredadera. La flor pareció estremecerse y luego se balanceó suavemente hacia adelante y hacia atrás.","Dorian Gray listened, his eyes wide open, astonished. The bouquet of lilacs fell to the ground. A silky bee buzzed around him for a moment. Then it began to climb laboriously over the star-shaped globes of each flower. Dorian Gray watched it with the strange interest in trivial things that we try to cultivate when the more important ones frighten us, or when we are overwhelmed by some new emotion that we do not know how to express, or when some idea that terrifies us suddenly besieges the mind and demands our surrender. After some time, the bee took flight. Dorian Gray saw it enter the bell of a vine flower. The flower seemed to shudder and then gently swayed back and forth.",1874,28.015,131,"","Aligned 😊","Dorian gözlerini açmış şaşkın, dalgın dinliyordu. Elindeki leylak yerdeki çakıl taşlarının üstüne düştü. Tüylü bir arı geldi, bir an leylağın üzerinde vızıldadı. Sonra minik çiçeklerden oluşmuş yıldız tutamının üzerine tırmandı. Dorian arıyı, önemli şeylerin bizi korkuttuğu, adını koyamadığımız yepyeni bir duygunun içimizde kıpırdadığı ya da bize dehşet veren bir düşüncenin ansızın beynimizi kuşatarak bize teslim ol çağrısı yaptığı zamanlarda önemsiz şeylere karşı duymaya çalıştığımız o tuhaf ilgiyle seyrediyordu. Arının mor bir kahkahaçiçeğinin parlak renkli borazanının içine sokulduğunu gördü. Çiçek şöyle bir titredi sanki, sonra usulca öne arkaya sallanmaya başladı.","Dorian opened his eyes, listening in a dazed and bewildered manner. The lilac in his hand fell onto the pebbles on the ground. A fuzzy bee came and buzzed over the lilac for a moment. Then it climbed onto the tuft of star-shaped tiny flowers. Dorian watched the bee with that strange interest we try to feel towards insignificant things when important things frighten us, when a brand-new feeling we cannot name stirs within us, or when a thought that terrifies us suddenly besieges our mind and calls for our surrender. He saw the bee burrow into the bright-colored trumpet of a purple laughing flower. The flower seemed to shiver slightly, then began to gently sway back and forth.","2024-09-21T19:24:51.946926Z","Dorian Gray lắng nghe, mắt mở to kinh ngạc. Cành tử đinh hương rơi từ tay cậu lên cỏ. Một con ong lù xù bay đến và vo ve vòng quanh một lát. Sau đó nó bắt đầu bò khắp quả bầu dục lấm chấm đầy sao hoa tí hon. Cậu ngắm nhìn nó với sự thích thú kỳ lạ ấy với những thứ tầm thường mà ta vẫn cố bày tỏ mỗi khi những thứ quan trọng khiến ta sợ hãi, hoặc khi ta bị xao lòng bởi xúc cảm nào đó mới mẻ mà ta không thể tìm được cách diễn đạt, hoặc khi ý tưởng nào đó làm ta kinh hãi bỗng dưng vây hãm não ta và kêu gọi ta đầu hàng. Một lát sau con ong bay đi. Cậu nhìn nó bò vào trong chiếc kèn trôm-pét hoen ố của một cây bìm bìm màu tím hoàng gia. Đóa hoa dường như run rẩy, rồi nhè nhẹ lắc lư.","Dorian Gray listened, his eyes wide with astonishment. The lilac branch fell from his hand onto the grass. A fuzzy bee flew over and buzzed around for a moment. Then it began to crawl all over the star-speckled oval gourd. He watched it with that strange fascination we often show for trivial things when important matters frighten us, or when we are distracted by some new emotion we cannot find words to express, or when some terrifying idea suddenly besieges our mind and calls for our surrender. A moment later, the bee flew away. He watched it crawl into the tarnished trumpet of a royal purple morning glory. The flower seemed to tremble, then gently sway."
