,en_masked,es_masked,tr_masked,vi_masked,st,yo,tn,ty,mai,mg,en_masked_shuffled,es_masked_shuffled,tr_masked_shuffled,vi_masked_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
1984,56.666666666666664,33.33333333333333,20.0,6.666666666666667,6.666666666666667,21.666666666666668,0.0,3.3333333333333335,3.3333333333333335,10.0,26.666666666666668,1.6666666666666667,8.333333333333332,10.0,3.3333333333333335,10.0,0.0,1.6666666666666667,0.0,8.333333333333332
A Tale of Two Cities,43.0,3.0,10.0,10.0,3.0,7.000000000000001,2.0,4.0,0.0,4.0,11.0,3.0,9.0,19.0,3.0,6.0,2.0,4.0,0.0,5.0
A thousand splendid suns,4.25531914893617,2.127659574468085,0.0,0.0,0.0,2.127659574468085,0.0,0.0,0.0,2.127659574468085,0.0,0.0,0.0,0.0,0.0,2.127659574468085,0.0,0.0,0.0,0.0
Adventures of Huckleberry Finn,83.0,6.0,1.0,4.0,6.0,7.000000000000001,0.0,2.0,0.0,6.0,54.0,4.0,1.0,4.0,4.0,4.0,2.0,3.0,0.0,4.0
Adventures of Sherlock Holmes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alice in Wonderland,80.43478260869566,10.869565217391305,0.0,4.3478260869565215,8.695652173913043,10.869565217391305,0.0,4.3478260869565215,0.0,6.521739130434782,17.391304347826086,0.0,0.0,0.0,2.1739130434782608,4.3478260869565215,0.0,0.0,0.0,0.0
Dracula,14.444444444444443,8.88888888888889,5.555555555555555,8.88888888888889,5.555555555555555,4.444444444444445,2.2222222222222223,4.444444444444445,1.1111111111111112,5.555555555555555,7.777777777777778,5.555555555555555,4.444444444444445,8.88888888888889,3.3333333333333335,4.444444444444445,3.3333333333333335,3.3333333333333335,0.0,4.444444444444445
Dune,22.0,12.0,9.0,11.0,5.0,8.0,3.0,6.0,0.0,9.0,14.000000000000002,7.000000000000001,10.0,9.0,5.0,7.000000000000001,3.0,6.0,0.0,8.0
Fahrenheit 451,13.333333333333334,0.0,0.0,1.6666666666666667,1.6666666666666667,5.0,1.6666666666666667,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.0,0.0,0.0
Frankenstein,56.25,22.916666666666664,10.416666666666668,6.25,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,0.0,4.166666666666666,39.58333333333333,8.333333333333332,10.416666666666668,6.25,6.25,6.25,4.166666666666666,4.166666666666666,0.0,4.166666666666666
Harry Potter and the Deathly Hallows,16.0,5.0,4.0,2.0,1.0,9.0,0.0,0.0,0.0,1.0,9.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0
Of Mice and Men,39.58333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper Towns,1.3157894736842104,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,
Percy Jackson The Lightning Thief,15.789473684210526,2.1052631578947367,4.2105263157894735,2.1052631578947367,2.1052631578947367,4.2105263157894735,1.0526315789473684,0.0,1.0526315789473684,0.0,5.263157894736842,0.0,3.1578947368421053,2.1052631578947367,0.0,3.1578947368421053,1.0526315789473684,0.0,0.0,0.0
Pride and Prejudice,79.7979797979798,41.41414141414141,23.232323232323232,12.121212121212121,4.040404040404041,5.05050505050505,3.0303030303030303,4.040404040404041,8.080808080808081,4.040404040404041,81.81818181818183,7.07070707070707,22.22222222222222,8.080808080808081,6.0606060606060606,7.07070707070707,3.0303030303030303,2.0202020202020203,2.0202020202020203,5.05050505050505
Sense and sensibility,6.0,3.0,5.0,3.0,1.0,3.0,1.0,1.0,0.0,2.0,5.0,3.0,6.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0
The Boy in the Striped Pyjamas,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Great Gatsby,72.22222222222221,22.22222222222222,12.962962962962962,25.925925925925924,18.51851851851852,11.11111111111111,1.8518518518518516,7.4074074074074066,7.4074074074074066,22.22222222222222,29.629629629629626,1.8518518518518516,11.11111111111111,14.814814814814813,1.8518518518518516,11.11111111111111,0.0,0.0,11.11111111111111,14.814814814814813
The Handmaid s Tale,16.0,2.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
The Picture of Dorian Gray,31.506849315068493,4.10958904109589,4.10958904109589,1.36986301369863,5.47945205479452,0.0,2.73972602739726,0.0,1.36986301369863,0.0,12.32876712328767,0.0,2.73972602739726,0.0,1.36986301369863,0.0,1.36986301369863,0.0,1.36986301369863,0.0
