line_no,en,vi,vi_sc_add1,vi_sc_exp,tr,tr_sc_add1,tr_sc_exp,es,es_sc_add1,es_sc_exp
0,CHAPTER I.,Chapter 1,42.888,30.327,First chapter,42.888,30.327,Chapter 1,42.888,30.327
1,"The studio was filled with the rich odour of roses, and when the light summer wind stirred amidst the trees of the garden, there came through the open door the heavy scent of the lilac, or the more delicate perfume of the pink-flowering thorn.","The studio was filled with the fragrance of roses, and when the gentle summer breeze stirred among the trees in the garden, the scent of lilacs wafted through the open door, mingling with the more delicate aroma of blooming wild peach blossoms.",33.992,32.355,"The studio was filled with the languid scent of roses; when a light summer breeze wandered among the trees in the garden, the heavy fragrance of lilacs or the more delicate perfume of pink-flowered thorn trees wafted in through the open door.",33.699,32.053,"The intense perfume of the roses embalmed the studio, and when the light breeze stirred the trees in the garden, an intense scent of lilacs or the more delicate aroma of the pink flowers of the hawthorns entered through the open door.",28.5,26.369
2,"From the corner of the divan of Persian saddle-bags on which he was lying, smoking, as was his custom, innumerable cigarettes, Lord Henry Wotton could just catch the gleam of the honey-sweet and honey-coloured blossoms of a laburnum, whose tremulous branches seemed hardly able to bear the burden of a beauty so flamelike as theirs; and now and then the fantastic shadows of birds in flight flitted across the long tussore-silk curtains that were stretched in front of the huge window, producing a kind of momentary Japanese effect, and making him think of those pallid, jade-faced painters of Tokyo who, through the medium of an art that is necessarily immobile, seek to convey the sense of swiftness and motion.","From the corner of the Persian camel saddlebag-patterned divan on which he habitually lay smoking countless cigarettes, Lord Henry Wotton could only faintly see the honey-sweet and honey-colored blossoms of a laburnum tree whose trembling branches seemed to struggle under the weight of such a blazing beauty; and occasionally, the strange shadows of birds in flight would flicker across the long tussore silk curtains drawn before the wide window, evoking a sensation somewhat akin to a fleeting Japanese impression, and making him think of the green-faced, yellow-fanged artists in Tokyo, who, through the medium of an inherently static art, had attempted to convey a sense of swiftness and movement.",26.687,26.048,"Lord Henry Wotton, who was lying in the corner of the divan adorned with Iranian saddlebags, smoking countless cigarettes as was his habit, could make out the honey-colored, honey-sweet flowers of the yellow wisteria tree from where he was. The tree's trembling branches seemed to struggle under the burden of such flame-like beauty. Occasionally, the shadows of birds, like dreams, would fall upon the long, silken curtains stretched in front of the large window. At first glance, these curtains, which evoked a Japanese atmosphere, reminded Lord Henry of the pale, emerald-faced painters of Tokyo; painters who tried to convey movement and speed through the necessarily static medium of art.",14.36,13.248,"Lord Henry Wotton, who had already consumed, as was his custom, innumerable cigarettes, glimpsed, from the end of the sofa where he was lying —upholstered in the style of Persian carpets—, the glow of the blossoms of a broom, sweet and honey-colored, whose trembling branches barely seemed capable of bearing the weight of such dazzling beauty as theirs; and, from time to time, the fantastic shadows of birds in flight slid over the long Indian silk curtains hanging in front of the immense windows, producing something like a Japanese effect, which made him think of the painters of Tokyo, with faces as pale as jade, who, through a necessarily motionless art, try to convey the sensation of speed and movement.",24.121,23.397
3,"The sullen murmur of the bees shouldering their way through the long unmown grass, or circling with monotonous insistence round the dusty gilt horns of the straggling woodbine, seemed to make the stillness more oppressive.","The mournful hum of bees threading through the long, uncut grass, or circling with monotonous persistence around the golden-tipped horns of the overgrown honeysuckle, seemed to make the stillness even more oppressive.",36.898,34.969,"The dull hum of bees, either trying to make their way through the tall, uncut grass or circling monotonously around the dusty, gilded horns of the sprawling French marigolds, seemed to make the tranquility of the surroundings all the more tedious.",21.369,19.074,"The obstinate buzzing of bees, making their way through the tall unmown grass, or circling with monotonous insistence around the dusty golden horns of the disordered honeysuckles, seemed to make the stillness more oppressive, while the confused noises of London were like the deep notes of a distant organ.",35.026,33.795
4,The dim roar of London was like the bourdon note of a distant organ.,The distant roar of London was like the pedal note of a far-off organ.,51.172,46.714,The faint hum of London resembled the bass notes of a distant organ melody.,28.496,21.652,"The obstinate buzzing of bees, making their way through the tall unmown grass, or circling with monotonous insistence around the dusty golden horns of the disordered honeysuckles, seemed to make the stillness more oppressive, while the confused noises of London were like the deep notes of a distant organ.",10.111,8.299
5,"In the centre of the room, clamped to an upright easel, stood the full-length portrait of a young man of extraordinary personal beauty, and in front of it, some little distance away, was sitting the artist himself, Basil Hallward, whose sudden disappearance some years ago caused, at the time, such public excitement and gave rise to so many strange conjectures.","In the middle of the room, clamped tightly onto an upright easel, was a full-length portrait of a young man with extraordinary personal beauty, and sitting in front of it, a little further away, was the artist himself, Basil Hallward, whose sudden disappearance a few years ago had caused, at that time, an overwhelming public sensation and generated a myriad of strange speculations.",43.043,42.171,"In the very center of the room, on a standing canvas, stood a portrait of an extraordinarily beautiful young man. In front of it, a little further away, sat the painter of the portrait: Basil Hallward, who had caused quite a stir a few years ago by suddenly disappearing and giving rise to a host of strange speculations.",16.505,14.727,"In the center of the room, on a straight easel, rested the full-length portrait of a young man of extraordinary beauty; and, in front, at a certain distance, sat the artist himself, Basil Hallward, whose sudden disappearance a few years ago so moved society and gave rise to such strange suppositions.",36.521,35.623
6,"As the painter looked at the gracious and comely form he had so skilfully mirrored in his art, a smile of pleasure passed across his face, and seemed about to linger there.","As the artist gazed at the elegant and beautiful figure that he had skillfully captured with his art, a contented smile briefly crossed his face and seemed about to linger there.",31.819,29.56,"As he gazed at the elegant and handsome figure reflected in the artist's work, a smile of pleasure spread across his face, and it seemed as if he wanted to linger there for a while.",27.221,24.869,"Upon contemplating the handsome and elegant figure that he had so skillfully depicted thanks to his art, a smile of satisfaction, which perhaps could have lasted longer, illuminated his face.",22.398,19.789
7,"But he suddenly started up, and closing his eyes, placed his fingers upon the lids, as though he sought to imprison within his brain some curious dream from which he feared he might awake.","But he suddenly stood up and, closing his eyes, placed his fingers on his eyelids, as if trying to imprison in his mind a strange dream from which he feared he might awaken.",39.699,37.944,"However, he suddenly started and straightened up, closing his eyes and pressing his fingertips against his eyelids as if trying to trap a strange dream in his mind that he feared losing upon waking.",12.004,8.963,"But the artist abruptly stood up and, closing his eyes, covered his eyelids with his fingers, as if trying to capture in his mind some strange dream from which he feared to awaken.",22.894,20.251
8,"“It is your best work, Basil, the best thing you have ever done,” said Lord Henry languidly.","""That is your most beautiful work, Basil, the most beautiful thing you have ever created,"" Lord Henry said languidly.",33.772,30.273,"Lord Henry said in a lazy voice, ""This is your best work, Basil, the finest thing you have done.""",40.162,37.416,"—It is your best work, Basil —said Lord Henry with a languid tone—, the best you have done.",36.504,32.855
9,“You must certainly send it next year to the Grosvenor.,"""Next year you must certainly send it to the Grosvenor.",52.463,46.595,"""You must send it to the Grosvenor Gallery next year, without a doubt.",20.228,14.248,Be sure to send it to the Grosvenor Gallery next year.,26.658,19.157
