line_no,en,vi,vi_sc_add1,vi_sc_exp,tr,tr_sc_add1,tr_sc_exp,es,es_sc_add1,es_sc_exp
0,CHAPTER I.,Chapter I,60.653,60.653,First Chapter,42.888,30.327,Chapter I,60.653,60.653
1,You don’t know about me without you have read a book by the name of The Adventures of Tom Sawyer; but that ain’t no matter.,"Perhaps you won't know me if you haven't read the book called ""The Adventures of Tom Sawyer""; but that's alright.",21.773,18.087,"If you haven't read the book titled The Adventures of Tom Sawyer, you wouldn't know me, but it doesn't matter.",21.667,18.027,"YOU WON'T KNOW WHO I AM if you haven't read a book titled The Adventures of Tom Sawyer, but it doesn't matter.",24.316,20.78
2,"That book was made by mr Mark Twain, and he told the truth, mainly.","The author of that book is Mr. Mark Twain, and in it, he mostly tells the truth.",22.533,17.001,"That book was written by Mr. Mark Twain, and he mostly tells the truth.",39.883,34.74,"That book was written by Mr. Mark Twain and he told the truth, most of the time.",39.588,35.706
3,"There was things which he stretched, but mainly he told the truth.","There are some parts where he exaggerates a bit, but the majority of the stories are true.",10.209,5.329,"He exaggerated some things, but what he said is mostly true.",14.102,7.529,"Some things he exaggerated, but most of the time he told the truth.",35.467,30.13
4,That is nothing.,"There are some parts where he exaggerates a bit, but the majority of the stories are true.",5.485,2.024,What does it matter anyway.,19.305,8.117,That is nothing.,100.0,100.0
5,"I never seen anybody but lied one time or another, without it was Aunt Polly, or the widow, or maybe Mary.","I've never seen anyone lie repeatedly like Aunt Polly, or the widow, or maybe even Mary.",37.838,35.893,"One way or another, I haven't met anyone who doesn't lie, except Aunt Polly, and the widow lady, maybe Mary too.",16.408,12.37,"I've never seen anyone who didn't lie at some point, except Aunt Polly, or the widow, or maybe Mary.",45.719,43.813
6,"Aunt Polly—Tom’s Aunt Polly, she is—and Mary, and the Widow Douglas is all told about in that book, which is mostly a true book, with some stretchers, as I said before.","Aunt Polly is Tom's aunt, then there's Mary, and the widow Douglas; all of these people appear in the aforementioned book, and, as I said, it is mostly a true book, except for a few slight exaggerations.",31.265,29.559,"Aunt Polly – that is, Tom's Aunt Polly – and Mary, and also the Widow Douglas are mentioned in that book; as I said earlier, mostly true things are said in the book, but there are also exaggerated parts.",13.48,10.65,"About Aunt Polly — she is Tom's Aunt Polly — and Mary and Widow Douglas, everything is told in that book, which is mostly true, with some exaggerations, as I said before.",39.224,37.229
7,Now the way that the book winds up is this:,"Aunt Polly is Tom's aunt, then there's Mary, and the widow Douglas; all of these people appear in the aforementioned book, and, as I said, it is mostly a true book, except for a few slight exaggerations.",3.197,1.15,"At the end of that book, the situation was like this: Tom and I had found the money the robbers hid in the cave and had become rich.",6.155,3.157,"Well, the book ends like this: Tom and I found the money that the thieves had hidden in the cave and we became rich.",8.436,4.808
8,"Tom and me found the money that the robbers hid in the cave, and it made us rich.","The book has the following content: Tom and I, one day, stumbled upon a stash of money hidden by robbers in a secret cellar, and suddenly we became very rich.",7.522,4.257,"At the end of that book, the situation was like this: Tom and I had found the money the robbers hid in the cave and had become rich.",26.033,23.126,"Well, the book ends like this: Tom and I found the money that the thieves had hidden in the cave and we became rich.",25.131,21.476
9,We got six thousand dollars apiece—all gold.,"Divided up, each of us got as much as six thousand dollars, all in gold.",15.277,10.521,Each of us had six thousand dollars – all in gold.,22.417,15.851,We each got six thousand dollars: all in gold.,37.265,28.998
10,It was an awful sight of money when it was piled up.,Piling up that amount of gold was quite intimidating.,11.373,4.396,"When you piled up the money somewhere, you couldn't take your eyes off it.",12.223,6.437,"The truth is, it was impressive to see all that money piled up.",18.503,12.874
11,"Well, Judge","Then Judge Thatcher immediately took our money and lent it out at interest: as for us, every few days he gave each of us a dollar, and it went on like that all year round.",3.11,1.122,Judge,13.534,13.534,"Well, Judge Thatcher took charge of it and invested it at interest and gave us a dollar a day, all year long: so much that one wouldn't know what to spend it on.",5.684,3.709
12,"Thatcher he took it and put it out at interest, and it fetched us a dollar a day apiece all the year round—more than a body could tell what to do with.","Then Judge Thatcher immediately took our money and lent it out at interest: as for us, every few days he gave each of us a dollar, and it went on like that all year round.",15.88,12.461,"Thatcher took the money and invested it at interest, so we earned a dollar every day throughout the year – so much money that one wouldn't know where to spend it.",10.531,7.212,"Well, Judge Thatcher took charge of it and invested it at interest and gave us a dollar a day, all year long: so much that one wouldn't know what to spend it on.",18.266,15.172
13,"The Widow Douglas she took me for her son, and allowed she would sivilize me; but it was rough living in the house all the time, considering how dismal regular and decent the widow was in all her ways; and so when I couldn’t stand it no longer I lit out.","Widow Douglas treated me as if I were her own son, and she took it upon herself to civilize me. But I thought living around in that house was miserable, because I had to force myself to comply with all her rules and regulations. So, when I couldn't stand it anymore, I had to figure out a way to escape.",6.945,4.804,"Miss Douglas adopted me like her own child and thought she could make a gentleman out of me, but staying at home all the time was not easy at all, moreover, the widow was so meticulous and proper in every way that it was enough to drive a person crazy; so when I couldn't stand it any longer, I ran away.",8.654,6.651,"Widow Douglas adopted me as her son and said she was going to civilize me, but it was hard to live in the house all the time, because the widow was horribly normal and respectable in everything she did, so when I couldn't take it anymore, I put on my old clothes again and took my sugar skin and felt free and happy.",18.168,16.584
14,"I got into my old rags and my sugar-hogshead again, and was free and satisfied.","I put on my old, tattered clothes again, and took my jar of candy with me, so I set off and was free and happy once more.",16.838,13.005,"I returned to my old rags and my sugar barrel; now I was free, I was happy.",26.935,22.537,"Widow Douglas adopted me as her son and said she was going to civilize me, but it was hard to live in the house all the time, because the widow was horribly normal and respectable in everything she did, so when I couldn't take it anymore, I put on my old clothes again and took my sugar skin and felt free and happy.",3.643,1.979
