line_no,en,vi,vi_sc_add1,vi_sc_exp,tr,tr_sc_add1,tr_sc_exp,es,es_sc_add1,es_sc_exp
0,I Night,I – Night,57.735,34.668,I Night,100.0,100.0,I THE NIGHT,57.735,34.668
1,1,1,100.0,100.0,1,100.0,100.0,CHAPTER 1,70.711,50.0
2,We slept in what had once been the gymnasium.,We slept in what used to be the gymnasium.,46.478,37.992,We used to sleep in a place that was once a gymnasium.,14.551,7.769,We slept in what had once been the gymnasium.,100.0,100.0
3,"The floor was of varnished wood, with stripes and circles painted on it, for the games that were formerly played there; the hoops for the basketball nets were still in place, though the nets were gone.","The floor was made of varnished wood, painted with circles and lines for games of the past; the basketball hoops were still there, though the nets were gone.",29.653,27.713,"The floor was polished parquet, bearing the lines and circles drawn for games played in the past; the hoops of the basketball nets were still in place, but the nets were gone.",35.782,34.087,"The floor, made of varnished wood, had lines and circles painted on it for various sports. The basketball hoops were still there, but the nets had disappeared.",21.799,19.438
4,"A balcony ran around the room, for the spectators, and I thought I could smell, faintly like an afterimage, the pungent scent of sweat, shot through with the sweet taint of chewing gum and perfume from the watching girls, felt-skirted as I knew from pictures, later in miniskirts, then pants, then in one earring, spiky green-streaked hair.","A long balcony ran along the four walls, meant for spectators, and I could almost smell, faintly like a lingering echo, the pungent scent of sweat, mixed with hints of chewing gum and perfume from the girls watching, dressed in wool skirts – I saw it in movies – then over time to mini skirts, pants, and finally with one ear pierced, hair streaked with blue and spiked with gel.",25.227,24.162,"A balcony surrounded the hall, for spectators, and from what I know from pictures, I imagined I could smell the sharp scent of sweat mingling with the pleasant aroma of gum and perfume from the girls in felt skirts at first, then mini-skirts, later pants, and finally with earrings in one ear and stiff hair with green streaks, like a fleeting afterimage.",17.31,15.099,"The room was surrounded by a gallery for the audience; and I had the impression that I could perceive, like in a vague mirage, the acrid smell of sweat mixed with that sweet touch of chewing gum and the perfume of the girls who were among the audience, dressed in felt skirts — that's how I had seen them in the photos —, later in miniskirts, then in pants, finally with a single earring and styled with crests of green stripes.",14.461,13.141
5,"Dances would have been held there; themusic lingered, a palimpsest of unheard sound, style upon style, an undercurrent of drums, a forlorn wail, garlands made of tissue-paper flowers, cardboard devils, a revolving ball of mirrors, powdering the dancers with a snow of light.","Perhaps dances were also held here: the music still lingers, layers of sound overlapping without listeners, one tune covering another, the drumbeats blending, the mournful wails, garlands made of crepe paper, cardboard devil masks, the glass ball on the ceiling slowly turning, scattering clusters of light over the dancing couples.",8.851,6.508,"Balls were also held there; the music would be dying: like a parchment of unheard sound, layer upon layer, with drum sounds coming from underneath, a desperate cry; garlands made of thin paper flowers; cardboard devil masks; a rotating glass ball sprinkling a snow of light over the dancers.",16.334,14.106,"Dances had been held here; the music persisted, a palimpsest of sounds that no one listened to, one style after another, a background of drums, a melancholic wail, garlands of flowers made of tissue paper, cardboard demons, a rotating mirror ball that sprinkled the dancers with flakes of light.",18.959,16.537
6,"There was old sex in the room and loneliness, and expectation, of something without a shape or name.","At that time, the room was filled with the scent of old intimacy and loneliness, and a longing, waiting for something without shape or name.",24.511,20.902,"There was a sexuality left in the past in the room, and loneliness and expectation, of something without form or name.",38.721,35.139,"In the room, there were reminiscences of sex and loneliness and expectation, the expectation of something without form or name.",24.285,19.48
7,"I remember that yearning, for something that was always about to happen and was never the same as the hands that were on us there and then, in the small of the back, or out back, in the parking lot, or in the television room with the sound turned down and only the pictures flickering over lifting flesh.","I still remember that longing, yearning for something always just ahead and always new, like the hands that had been placed on me there, at that moment, on the small of my back, or further away, in the parking lot, or in the room with the TV turned down low, only flickering images casting shadows on the moving flesh.",24.387,22.939,"I remember the longing we felt for something always changing and about to happen, like the hands on us there and then, in the parking lot or on the bodies moving up and down, in the silent TV room where only the images flickered, on the narrowest part of the back or outside.",26.223,24.828,"I remember that sensation, the longing for something that was always about to happen and was never the same, just as the hands that, without wasting time, caressed our lumbar region were not the same, or slipped between our clothes when we crouched in the parking lot or in the television room with the device muted and the images flickering over our exalted flesh.",38.708,37.778
8,We yearned for the future.,We long for the future.,63.894,53.728,We also longed for the future.,53.452,43.472,We sighed for the future.,63.894,53.728
9,"How did we learn it, that talent for insatiability?","Where does that talent come from, that never-satisfied desire?",18.22,10.6,"How did we acquire this ability, this insatiability?",25.855,18.6,Where did we get that talent for insatiability?,46.231,41.105
