line_no,en,vi,vi_sc_add1,vi_sc_exp,tr,tr_sc_add1,tr_sc_exp,es,es_sc_add1,es_sc_exp
0,CHAPTER I,CHAPTER 1,70.711,50.0,I,36.788,36.788,,0.0,0.0
1,JONATHAN HARKER’S JOURNAL,Jonathan Harker's Diary (Shorthand),19.305,8.117,Jonathan Harker's diary,48.549,27.516,I.– FROM THE JOURNAL OF JONATHAN HARKER,14.491,5.67
2,(Kept in shorthand.),Jonathan Harker's Diary (Shorthand),25.407,10.682,(written in stenography),25.891,11.51,"Bistritz, May 3.",19.673,8.746
3,"3 May. Bistritz.—Left Munich at 8:35 P. M., on 1st May, arriving at Vienna early next morning; should have arrived at 6:46, but train was an hour late.","• Bistritz, May 3 Left Munich at 8 PM on May 1st; arrived in Vienna early the next morning. We were supposed to arrive at 6:50, but the train was delayed by an hour.",12.938,9.759,"May 3rd. Bistriţa2 - 8 PM on the evening of May 1st. We left Munich at 8:35 and arrived in Vienna early the next morning; we should have arrived at 6:46, but the train was an hour late.",40.661,39.318,"I left Munich at 8:35 PM on May 1st, arriving in Vienna early the next morning; I should have arrived at 6:46, but the train was an hour late.",45.481,44.208
4,"Buda-Pesth seems a wonderful place, from the glimpse which I got of it from the train and the little I could walk through the streets.","And during the continued journey to Budapest, as imagined from what was witnessed while sitting on the train, and from what was admired in a few streets during a walk when the train temporarily stopped, I found this to be a beautiful city.",4.883,2.482,"From what I could see from the train and the short walk I took in the streets, Budapest looks like a wonderful place.",26.363,22.586,"Budapest seems like a wonderful place, judging by the little I could see of it from the train and the short walk I took through its streets.",42.416,40.102
5,"I feared to go very far from the station, as we had arrived late and would start as near the correct time as possible.","But because I was very afraid of going too far from the station, as even if we were late, we still had to continue our departure as planned...",19.858,17.101,"Since we arrived late in Budapest and would be departing as close to the scheduled time as possible, I was afraid to stray too far from the station.",19.926,15.483,"I feared straying too far from the station, as we had arrived late and would depart as close to the scheduled time as possible.",58.667,56.972
6,"The impression I had was that we were leaving the West and entering the East; the most western of splendid bridges over the Danube, which is here of noble width and depth, took us among the traditions of Turkish rule.","I had a very clear impression of the journey leaving the West to reach the world of the East. After the train glided over the beautiful bridges with exemplary Western architecture spanning the wide and deep Danube river here, we immediately wandered into a region rich in Turkish customs.",8.039,5.513,"I got the impression that we were leaving the West and entering the East; the most Western of the magnificent bridges over the Danube River, with its noble breadth and depth, carried us into the traditions of Turkish rule.",54.82,53.784,"The impression I had was that we were leaving the West and entering the East. By the most western of the splendid bridges over the Danube, which here is of great width and depth, we reached places once under Turkish rule.",59.78,58.85
7,"We left in pretty good time, and came after nightfall to Klausenburgh.","Leaving Budapest not too late, we arrived in Klausenburgh by early evening.",11.308,4.247,We departed with quite good timing and arrived in Klausenburg after nightfall.,14.656,7.825,"We left with quite good weather, and it was pitch dark when we arrived in Klausenburg, where I spent the night at the Royale hotel.",7.859,4.344
8,Here I stopped for the night at the Hotel Royale.,"Here, I had to stay overnight at the Royal Hotel.",16.59,8.914,I spent the night here at the Royale Hotel.,22.391,13.153,"We left with quite good weather, and it was pitch dark when we arrived in Klausenburg, where I spent the night at the Royale hotel.",13.667,9.941
9,"I had for dinner, or rather supper, a chicken done up some way with red pepper, which was very good but thirsty.","They served me dinner, or rather a soup, a young chicken cooked with red pepper, quite tasty, but it would definitely make you very thirsty!",21.897,18.581,"For dinner, or rather a late-night dinner, I had chicken cooked with red pepper; it tasted very good but was quite thirst-inducing.",29.896,25.922,"At the meal, or rather, at dinner, I ate chicken prepared with red paprika, which was very tasty but made me very thirsty.",21.389,16.72
10,"(Mem., get recipe for Mina.)",(I thought about this dish from Mina's perspective).,12.883,4.932,(Note: Get the recipe for Mina.),49.145,42.729,(Remember to get the recipe for Mina).,27.636,19.305
11,"I asked the waiter, and he said it was called “paprika hendl,” and that, as it was a national dish, I should be able to get it anywhere along the Carpathians.","The waiter told me it was paprika hendi, a traditional dish that I could find everywhere in the Carpathian region.",5.708,3.181,I asked the waiter and he said it was called paprika hendl and that I could find it everywhere in the Carpathian Mountains as it is a local dish.,25.682,23.429,"I asked the waiter and he told me it was called ""paprika hendl,"" and that, as it was a national dish, it would be very easy for me to get it anywhere in the Carpathians.",43.707,42.153
12,"I found my smattering of German very useful here; indeed, I don’t know how I should be able to get on without it.","My basic knowledge of German proved to be quite useful, because honestly, if I didn't know any, I wouldn't have known how to manage.",8.993,4.971,My broken German was very useful here; I really don't know how I would have managed without it.,21.875,17.523,"I found that my limited knowledge of German was very useful there; in fact, I don't know how I would have managed without it.",17.376,13.203
13,"Having had some time at my disposal when in London, I had visited the British Museum, and made search among the books and maps in the library regarding Transylvania; it had struck me that some foreknowledge of the country could hardly fail to have some importance in dealing with a nobleman of that country.","In London, during my free time, I often went to the British Museum or the National Library to look up geographical maps and books about Transylvania. I found it quite interesting to know a little about this place because I was about to have a business deal with a gentleman there.",8.368,6.236,"When I had some time to myself in London, I visited the British Museum and did some research in the library among books and maps related to Transylvania; I thought that having some preliminary knowledge about the country wouldn't be insignificant when negotiating with a nobleman from that country.",20.932,18.46,"Since I had some free time when I was in London, I visited the British Museum and studied the books and maps in the library that referred to Transylvania; it had occurred to me that prior knowledge of the country would always be useful and important when dealing with a nobleman from the region.",32.286,30.902
14,"I find that the district he named is in the extreme east of the country, just on the borders of three states, Transylvania, Moldavia and Bukovina, in the midst of the Carpathian mountains; one of the wildest and least known portions of Europe.","The land that this gentleman mentioned in his letter to me is located in the eastern part of the country, at the border of three regions: Transylvania, Moldavia, and Bukovina, in the Carpathian Mountains. This is one of the least known and most wild regions of Europe.",23.454,21.276,"I saw that the region it is named after is at the easternmost edge of the country, at the border of Transylvania, Moldavia, and Bukovina, in the middle of the Carpathian Mountains; one of the wildest and least known parts of Europe.",43.959,42.711,"I discovered that the district he had mentioned was located in the easternmost part of the country, right on the border of three states: Transylvania, Moldavia, and Bukovina, in the center of the Carpathian Mountains; one of the wildest and least known parts of Europe.",47.56,46.417
