line_no,en,vi,vi_sc_add1,vi_sc_exp,tr,tr_sc_add1,tr_sc_exp,es,es_sc_add1,es_sc_exp
0,Chapter 1,Chapter 1,100.0,100.0,FIRST BOOK,0.0,0.0,CHAPTER I,70.711,50.0
1,The family of Dashwood had long been settled in Sussex.,The Dashwood family had long been settled in Sussex.,66.495,63.206,The Dashwood family had settled in Sussex a long time ago.,24.163,16.59,The Dashwood family had long been settled in Sussex.,66.495,63.206
2,"Their estate was large, and their residence was at Norland Park, in the centre of their property, where, for many generations, they had lived in so respectable a manner as to engage the general good opinion of their surrounding acquaintance.","They had a large estate, their residence located at Norland Park, amidst the land they owned, where many generations had lived in a respectable manner, earning the goodwill of the surrounding families.",14.611,11.374,"They were large landowners; their house was at Norland Park in the middle of the estate, and for generations, they had lived there in a very respectable manner, earning the respect of the people around them.",19.551,17.256,"Their property was of good size, and at its center was the residence, Norland Park, where the dignified manner in which they had lived for many generations earned them the respect of all the local acquaintances.",12.574,9.772
3,"The late owner of this estate was a single man, who lived to a very advanced age, and who for many years of his life, had a constant companion and housekeeper in his sister.","The owner of this estate was a single man, who lived to a fairly old age, and for many years had his sister living with him to keep him company and manage his household.",44.006,42.471,The last owner of the estate was an unmarried man who had reached a very advanced age and had kept his sister as his companion and housekeeper for most of his life.,18.906,15.035,"The last owner of this property had been a bachelor who reached a very advanced age and who, for much of his life, had his sister as a faithful companion and housekeeper.",27.849,25.163
4,"But her death, which happened ten years before his own, produced a great alteration in his home; for to supply her loss, he invited and received into his house the family of his nephew mr Henry Dashwood, the legal inheritor of the Norland estate, and the person to whom he intended to bequeath it.","But this sister had died ten years before he passed away, bringing profound changes to his home; to compensate for the loss, he invited the family of his nephew, Henry Dashwood, to live with him. Henry was the heir to the Norland estate by law, and also the person he intended to bequeath it to.",25.673,24.057,"But the death of his sister ten years ago had created a great change in his home; to fill the void left by his sister, he invited and accepted into his home the family of his nephew, Mr. Henry Dashwood, who was the legal heir to the Norland estate and whom he also intended to leave the estate to.",22.557,20.77,"But her death, which occurred ten years before his own, caused great changes in his household. To compensate for such a loss, he invited and received into his home the family of his nephew, Mr. Henry Dashwood, the rightful heir to the Norland estate and the person to whom he intended to leave it in his will.",47.463,46.581
5,"In the society of his nephew and niece, and their children, the old Gentleman's days were comfortably spent.","With the presence of his nephew's family, including his wife and children, the old man's final days were comfortable.",21.471,16.169,"In the company of his nephew, his nephew's wife, and their children, the old gentleman's last days were comfortable.",44.067,41.262,"In the company of his nephew and niece, and their children, life passed comfortably for the elderly gentleman.",51.6,49.176
6,His attachment to them all increased.,He grew increasingly fond of them.,19.206,7.81,His attachment to all of them increased.,37.992,28.117,His attachment to all of them grew over time.,26.591,18.575
7,"The constant attention of mr and ms Henry Dashwood to his wishes, which proceeded not merely from interest, but from goodness of heart, gave him every degree of solid comfort which his age could receive; and the cheerfulness of the children added a relish to his existence.","Henry Dashwood and his wife attended to all the old man's wishes, not merely out of self-interest, but also out of a genuine desire to provide him with all the comfort his advanced age could receive; and the lively children added joy to his life. G",17.973,15.719,"The continuous care that Mr. and Mrs. Henry Dashwood showed him, which stemmed not so much from self-interest but from good-heartedness, provided him with every comfort that his age could enjoy; the children's cheerfulness also added a special joy to his life.",8.795,6.113,"The constant attention that Mr. Henry Dashwood and his wife paid to his wishes, born not of mere interest but of the goodness of their hearts, made his life comfortable in all that, due to his age, could suit him; and the joy of the children added new delights to his existence.",20.771,18.729
8,"By a former marriage, mr Henry Dashwood had one son: by his present lady, three daughters.",Mr. Henry Daswood had one son from his first marriage and three daughters from his second marriage.,15.564,10.691,Mr. Henry Dashwood had a son from his previous marriage and three daughters from his current wife.,15.939,10.949,"From a previous marriage, Mr. Henry Dashwood had a son; and from his current wife, three daughters.",26.745,21.339
9,"The son, a steady respectable young man, was amply provided for by the fortune of his mother, which had been large, and half of which devolved on him on his coming of age.","The young man had a steady temperament and was well-respected, being adequately provided for by his mother's substantial estate, half of which was allocated to him upon reaching adulthood.",11.861,8.888,"His son, a sensible and respectable young man, had a reasonable income from the large fortune that his mother had left him half of when he came of age.",17.965,14.262,"The son, a serious and respectable young man, had his future secured by his mother's fortune, which was considerable, and of which he had come into possession of half upon reaching the age of majority.",20.138,17.092
