line_no,en,vi,vi_sc_add1,vi_sc_exp,tr,tr_sc_add1,tr_sc_exp,es,es_sc_add1,es_sc_exp
0,Chapter 1,Chapter 1,100.0,100.0,First Chapter,70.711,50.0,I,0.0,0.0
1,"mr Jones, of the Manor Farm, had locked the hen-houses for the night, but was too drunk to remember to shut the pop-holes.","Phạm Minh Ngọc translated from the original English version, with reference to the Russian version by Лара Беспалова -2001г. Mr. Jones, the owner of the Manor Farm, closed the chicken coop, but because he was too drunk, he forgot to close the pigsty.",14.164,11.933,"Mr. Jones, the owner of Manor Farm, had closed the henhouse door as he did every night, but because he was very drunk, he had forgotten to close the holes through which the chickens went in and out.",13.208,10.122,"Mr. Jones, owner of Manor Farm, closed the henhouses for the night, but he was too drunk to remember that he had left the windows open.",33.136,30.422
2,"With the ring of light from his lantern dancing from side to side, he lurched across the yard, kicked off his boots at the back door, drew himself a last glass of beer from the barrel in the scullery, and made his way up to bed, where ms Jones was already snoring.","With a hurricane lamp in hand, swaying, sometimes to the right, sometimes to the left, he staggered across the yard, kicked off his boots at the back door, and stepped into the kitchen to finish the last mug of beer of the day before climbing into bed, where his wife, Mrs. Jones, was already snoring.",29.838,28.681,"As he stumbled and staggered across the yard, the light from the lantern in his hand was swaying this way and that. At the back door, he took off his boots and threw them aside, filled one last glass of beer from the barrel in the pantry and drank it in one gulp, then went upstairs to his bedroom. Mrs. Jones was snoring loudly.",25.491,24.334,"With the light of the lantern dancing from side to side, he crossed the yard, took off his boots at the back door, poured himself a final glass of beer from the barrel in the kitchen, and went straight to bed, where Mrs. Jones was already snoring.",50.637,49.789
3,As soon as the light in the bedroom went out there was a stirring and a fluttering all through the farm buildings.,"As soon as the light in the bedroom went out, rustling and whispering sounds suddenly arose here and there.",44.198,42.016,"As soon as the light in the bedroom went out, a commotion and a rush began in all the buildings of the farm.",46.078,43.716,"As soon as the light went out in the bedroom, the commotion began throughout the farm.",28.455,24.712
4,"Word had gone round during the day that old Major, the prize Middle White boar, had had a strange dream on the previous night and wished to communicate it to the other animals.","That day, there was a rumor that the Leader, a white boar who had once won a medal at an exhibition, had a strange dream the night before and wanted to share it with all the animals.",13.378,9.968,"It had been announced during the day: Old Major, the boar who had once won a prize, wanted to tell all the animals about a strange dream he had the night before.",18.585,14.609,"During the day, word had spread that Old Major, the prize boar, had had a strange dream the previous night and wanted to share it with the other animals.",48.809,47.274
5,It had been agreed that they should all meet in the big barn as soon as mr Jones was safely out of the way.,"They agreed that as soon as Mr. Jones went to sleep, they would gather in the big barn.",25.675,22.054,"As soon as Mr. Jones was out of the way, it was decided that everyone would gather in the big barn.",35.116,31.746,They had agreed to all meet in the main barn once Mr. Jones retired.,15.083,11.234
6,"Old Major (so he was always called, though the name under which he had been exhibited was Willingdon Beauty) was so highly regarded on the farm that everyone was quite ready to lose an hour’s sleep in order to hear what he had to say.","All the animals on the farm respected the Leader (they called him that, although at the exhibition he was known as Willingdon Handsome) and were willing to sacrifice their sleep to hear him speak.",7.259,4.955,"Old Major (he had entered the competition under the name Willingdon Beauty, but everyone called him Old Major) was so highly respected on the farm that everyone was willing to lose sleep to hear what he had to say.",36.764,35.379,"Old Major (that was always his name, although he had been exhibited under the name Willingdon Beauty) was so highly regarded on the farm that everyone was willing to lose an hour of sleep to hear what he had to say.",52.399,51.448
7,"At one end of the big barn, on a sort of raised platform, Major was already ensconced on his bed of straw, under a lantern which hung from a beam.","The Leader sat on a straw-cushioned platform at the far end of the barn, under the light of a hurricane lamp hanging from the rafters.",10.588,7.367,"The leader had already settled on a straw mattress laid on a platform illuminated by a lantern hanging from one of the beams in the ceiling, in a corner of the large barn.",8.387,4.746,"At one end of the main barn, on a sort of raised platform, Major was already settled comfortably in his straw bed, under a lantern hanging from a beam.",59.731,58.512
8,"He was twelve years old and had lately grown rather stout, but he was still a majestic-looking pig, with a wise and benevolent appearance in spite of the fact that his tushes had never been cut.","It was twelve years old, and although it had recently gained some weight, with its protruding canine teeth, it still looked dignified and benevolent.",11.529,8.61,"He was twelve years old, had recently put on a bit of weight; despite his long, sharp canine teeth never having been cut, he was an imposing pig who looked wise and fatherly.",17.313,14.373,"He was twelve years old and had recently become quite fat, but he was still a majestic pig with a wise and good-natured appearance, despite his tusks never having been cut.",38.781,37.204
9,Before long the other animals began to arrive and make themselves comfortable after their different fashions.,"The other animals began to arrive one by one, each finding a favorable spot to sit.",31.246,27.5,"Soon, the other animals also began to arrive one after another and started to take their places in an orderly manner.",15.74,11.713,"After a short while, the other animals began to arrive and settle down comfortably, each in their own way.",31.881,28.753
