line_no,en,vi,vi_sc_add1,vi_sc_exp,tr,tr_sc_add1,tr_sc_exp,es,es_sc_add1,es_sc_exp
0,Chapter I.,Chapter 1,42.888,30.327,Chapter I,60.653,60.653,CHAPTER 1,42.888,30.327
1,"IT is a truth universally acknowledged, that a single man in possession of a good fortune must be in want of a wife.","There is a truth universally acknowledged, that a single man in possession of a good fortune must be in want of a wife.",95.871,95.735,It is a universally acknowledged truth that a single man in possession of a good fortune must be in want of a wife.,80.578,79.837,"It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife.",89.821,89.423
2,"However little known the feelings or views of such a man may be on his first entering a neighbourhood, this truth is so well fixed in the minds of the surrounding families, that he is considered as the rightful property of some one or other of their daughters.","Even though very little is known about the feelings or views of such a man when he first moves into a neighborhood, this truth is so well fixed in the minds of the surrounding families that he is considered the rightful property of one or another of their daughters.",55.85,54.959,"No one knows what a man like this feels or thinks when he takes his first step into a new environment, but this fact is so ingrained in the minds of the families in the vicinity that they consider him the rightful property of one of their daughters.",22.274,20.312,"However, little is known about the feelings or opinions of a man of such conditions when he becomes part of a neighborhood. This truth is so ingrained in the minds of some of the families around him, that some consider him their rightful property and others that of their daughters.",22.218,19.998
3,"“My dear mr Bennet,” said his lady to him one day, “have you heard that Netherfield Park is let at last?”","One day, Mrs. Bennet said to her husband: - My dear, do you know that someone has rented Netherfield Park?",12.66,8.601,"""Have you heard, Mr. Bennet, my dear,"" his wife said one day, ""Netherfield Park is finally let.""",16.057,12.09,"––My dear Mr. Bennet ––his wife said to him one day––, did you know that Netherfield Park has finally been rented?",15.487,11.625
4,mr Bennet replied that he had not.,Mr. Bennet replied that he did not know yet.,35.243,26.986,Mr. Bennet said he did not hear.,18.221,7.129,Mr. Bennet replied no.,23.263,13.833
5,"“But it is,” returned she; “for ms Long has just been here, and she told me all about it.”",The wife continued: - Someone has already rented it. Mrs. Long went there and told me all about it.,24.266,21.131,"""But he is smitten,"" continued his wife; ""Mrs. Long was here just now, she told me everything.""",11.294,7.441,"––Well, that's how it is ––she insisted––; Mrs. Long was here a moment ago and told me everything.",9.617,5.36
6,mr Bennet made no answer.,Mr. Bennet listened and did not reply.,16.037,6.275,Mr. Bennet did not reply.,21.255,8.643,Mr. Bennet made no move to reply.,28.518,20.165
7,"“Do not you want to know who has taken it?” cried his wife, impatiently.","His wife, losing all patience, said: ""Do you want to know who has just moved in?""",31.175,27.809,"""Aren't you curious who took it?"" his wife shouted impatiently.",13.516,7.944,––Don't you want to know who rented it? ––his wife grew impatient.,28.672,24.468
8,"“You want to tell me, and I have no objection to hearing it.”",- It is you who wants to tell me the story.,14.948,10.263,"""If you want to say it, I won't object.""",12.091,6.455,"––You are the one who wants to tell me, and I have no problem listening to it.",44.047,41.044
9,This was invitation enough.,That was enough encouragement for her to continue speaking.,14.287,5.522,This many invitations were enough for him.,18.278,7.268,This suggestion was enough for him.,22.839,9.288
