line_no,en,vi,vi_sc_add1,vi_sc_exp,tr,tr_sc_add1,tr_sc_exp,es,es_sc_add1,es_sc_exp
0,PART ONE,PART I,70.711,50.0,FIRST PART,70.711,50.0,FIRST PART,70.711,50.0
1,The Strings,The Connections 8,48.549,27.516,Strings,36.788,36.788,The threads,70.711,50.0
2,1 .,1.This is the translated text.,19.641,11.045,1,36.788,36.788,1,36.788,36.788
3,The longest day of my life began tardily.,The longest day of my life started quite late.,58.444,53.728,The longest day of my life started late.,65.6,61.047,The longest day of my life started with a delay.,52.7,47.988
4,"I woke up late, took too long in the shower, and ended up having to enjoy my breakfast in the passenger seat of my mom’s minivan at 7:17 that Wednesday morning.","I woke up late, hummed for too long in the bathroom, and as a result, had to enjoy breakfast in my mom's minivan at 7:17 AM that Wednesday.",34.039,31.799,"I woke up late that Wednesday morning, spent a lot of time in the shower, and had to eat my breakfast in the passenger seat of my mom's minivan at 7:17 AM.",49.491,47.98,"I woke up late, spent too much time in the shower, and in the end, I had to enjoy breakfast in the passenger seat of my mother's minivan at 7:17 in the morning on a Wednesday.",42.275,40.806
5,"I usually got a ride to school with my best friend, Ben Starling, but Ben had gone to school on time, making him useless to me.","On regular days, I would hitch a ride with my closest buddy, Ben Starling, but that day Ben had already cruised to school on time, so I couldn't rely on him.",26.82,24.406,"Usually, my closest friend Ben Starling would take me to school, but Ben, becoming useless to me, had gone to school on time.",31.696,28.569,"I used to go to school in my best friend Ben Starling's car, but Ben had left on time, so I couldn't rely on him.",21.379,16.983
6,"“On time” for us was thirty minutes before school actually started, because the half hour before the first bell was the highlight of our social calendars: standing outside the side door that led into the band room and just talking.","""On time"" for us meant thirty minutes before classes started, because the precious half-hour before the first bell was the highlight of our social schedule: gathering and chatting outside the side door of the gym and music room.",39.108,37.563,"For us, ""on time"" was thirty minutes before school started because the half-hour before the first bell was the most important part of our social program: standing in front of the side door to the band room and just talking.",41.201,39.686,"For us, ""on time"" meant half an hour before classes started, because those thirty minutes before the first bell rang were the highlight of our social agenda. We would stand in front of the side door that led to the high school band rehearsal room and chat.",26.658,24.896
7,"Most of my friends were in band, and most of my free time during school was spent within twenty feet of the band room.","Most of my friends played musical instruments, and most of my free time at school was spent within a few meters around the music room.",43.925,41.618,"Most of my friends were in the band, and most of my free time at school was spent within five meters of the band room.",65.706,64.323,"Since most of my friends played in the band, I spent almost all my free hours at school less than five meters from the rehearsal room.",18.693,14.132
8,"But I was not in the band, because I suffer from the kind of tone deafness that is generally associated with actual deafness.","But I didn't play any instruments at all, because I had a condition called tone-deafness, which is generally related to actual deafness.",15.707,11.857,"But I wasn't in the band because I suffered from tone deafness, which is usually associated with actual deafness.",29.031,25.113,"But I didn't play, because I have less of an ear for music than a deaf person.",10.942,7.516
9,"I was going to be twenty minutes late, which technically meant that I’d still be ten minutes early for school itself.","Today I would be twenty minutes late, which technically meant I would still arrive ten minutes before class started.",37.622,34.903,"I was going to be twenty minutes late, which technically meant I would still be there ten minutes before class started.",57.209,55.311,"That day I was going to be twenty minutes late, which technically meant that I would still arrive ten minutes before classes started.",54.933,53.195
10,"As she drove, Mom was asking me about classes and finals and prom.","While driving, my mom asked me about school, exams, and the graduation prom.",13.191,7.44,"My mom asked me questions about classes, finals, and the prom while she was driving the car.",11.261,5.864,"While driving, my mother asked me about classes, exams, and the prom.",17.965,12.452
11,"“I don’t believe in prom,” I reminded her as she rounded a corner.","""I never enjoy parties, Mom,"" I said as she turned a corner.",16.857,11.644,"“I don't believe in luck,” I reminded, while turning a corner.",31.991,25.47,—I don't believe in prom dances —I reminded him as I turned a corner.,22.416,17.033
12,I expertly angled my raisin bran to accommodate the g-forces.,"Immediately, I skillfully tilted the cereal to balance with gravity.",12.606,4.789,"To adapt to the G-force, I skillfully adjusted the angle of my breakfast cereal.",9.82,3.657,I skillfully tilted my cereal to adjust it to the force of gravity.,11.308,4.247
13,I’d done this before.,I've done this trick many times.,25.276,14.536,I had done this before.,60.428,50.813,It wasn't the first time I had done it.,12.91,4.99
14,"“Well, there’s no harm in just going with a friend.","“Well, what's wrong with going with a friend, dear?” “Surely you can invite Cassie Hiney.”",18.815,14.052,“There is no harm in going with a friend.,47.85,43.015,"—Well, there's nothing wrong with going with a friend.",38.935,33.53
15,I’m sure you could ask Cassie Hiney.”,"“Well, what's wrong with going with a friend, dear?” “Surely you can invite Cassie Hiney.”",16.358,12.022,I am sure you can invite Cassie Hiney.”,39.764,31.239,I'm sure you could ask Cassie Hiney.,75.89,74.209
16,"And I could have asked Cassie Hiney, who was actually perfectly nice and pleasant and cute, despite having a fantastically unfortunate last name.","I would definitely invite Cassie Hiney, a truly nice, friendly, and stunningly beautiful girl, but unfortunately, she has an extremely sensitive last name[3].",9.804,6.612,"Despite having an extraordinarily unfortunate last name despite, I could actually invite the quite nice, beautiful, and charming Cassie Hiney.",14.504,10.131,"Yes, he could have asked Cassie Hiney, who was very nice, friendly, and pretty, despite her tremendously unfortunate last name, which in English means ""butt"".",28.843,26.633
