line_no,en,vi,vi_sc_add1,vi_sc_exp,tr,tr_sc_add1,tr_sc_exp,es,es_sc_add1,es_sc_exp
0,CHAPTER I.,Part One: REVIVAL,0.0,0.0,I,13.534,13.534,I.,60.653,60.653
1,The Period,1. In those days,0.0,0.0,Period,36.788,36.788,THE PERIOD,100.0,100.0
2,"It was the best of times, it was the worst of times, it was the age of wisdom, it was the age of foolishness, it was the epoch of belief, it was the epoch of incredulity, it was the season of Light, it was the season of Darkness, it was the spring of hope, it was the winter of despair, we had everything before us, we had nothing before us, we were all going direct to Heaven, we were all going direct the other way—in short, the period was so far like the present period, that some of its noisiest authorities insisted on its being received, for good or for evil, in the superlative degree of comparison only.","It was the best of times, it was the worst of times, it was the age of wisdom, it was the age of foolishness, it was the epoch of belief, it was the epoch of incredulity, it was the season of Light, it was the season of Darkness, it was the spring of hope, it was the winter of despair, we had everything before us, we had nothing before us, we were all going direct to Heaven, we were all going direct the other way – in short, the period was so far like the present period, that some of its noisiest authorities insisted on its being received, for good or for evil, in the superlative degree of comparison only.",96.713,96.693,"It was the best of times, it was the worst of times, it was the age of wisdom, it was the age of foolishness, it was the epoch of belief, it was the epoch of incredulity, it was the season of Light, it was the season of Darkness, it was the spring of hope, it was the winter of despair, we had everything before us, we had nothing before us, we were all going direct to Heaven, we were all going direct the other way – in short, the period was so far like the present period, that some of its noisiest authorities insisted on its being received, for good or for evil, in the superlative degree of comparison only.",96.713,96.693,"It was the best of times and the most detestable of times; the age of wisdom and the age of foolishness, the epoch of belief and the epoch of incredulity, the era of Light and the era of Darkness, the spring of hope and the winter of despair. We had everything before us and we had nothing before us, we were all going direct to Heaven and we were all going direct the other way: in short, the period was so far like the present period, that some of its noisiest authorities insisted on its being received, for good or for evil, in the superlative degree of comparison only.",59.887,59.654
3,"There were a king with a large jaw and a queen with a plain face, on the throne of England; there were a king with a large jaw and a queen with a fair face, on the throne of France.",There was a King with a jutting chin and a plain Queen on the throne of England; there was a King with a jutting chin and a beautiful Queen on the throne of France*.,36.859,35.374,"On the throne of England sat a king with a large jaw and a queen with a plain face, while on the throne of France sat a king with a large jaw and a queen with a fair face.",73.179,72.687,"A king with well-developed jaws and a queen with a flattened face sat on the throne of England, and a king with large jaws and a queen with a beautiful face occupied the throne of France.",39.159,37.686
4,"In both countries it was clearer than crystal to the lords of the State preserves of loaves and fishes, that things in general were settled for ever.","In both countries, to those who monopolized the nation's treasures of bread and fish, it was as clear as daylight that everything had been ordained for eternity.",10.922,7.379,"In both countries, the nobles, who were well-fed at the expense of the people's hunger, had a belief that everything would continue forever in such a state of bliss.",9.905,6.675,The lords of the great bread and fish stores of both countries saw as clear as crystal that the public good was secured forever.,15.316,11.363
5,It was the year of Our Lord one thousand seven hundred and seventy-five.,It was the year 1775.,16.842,14.163,It was the year 1775 AD.,19.664,15.992,It was the year of Our Lord one thousand seven hundred and seventy-five.,100.0,100.0
6,"Spiritual revelations were conceded to England at that favoured period, as at this.","Prophecies and revelations became fashionable in England at that time, just as they are now.",15.687,10.521,"In this extraordinary period in England, as it is now, communication with the spirit world was commonplace.",9.678,5.04,"In such a favored period, spiritual revelations could not be lacking in England.",14.48,8.226
7,"ms Southcott had recently attained her five-and-twentieth blessed birthday, of whom a prophetic private in the Life Guards had heralded the sublime appearance by announcing that arrangements were made for the swallowing up of London and Westminster.","That year, the prophetess Southcott had just turned the blessed age of twenty-five, but even before that, a humble soldier with the ability to predict in the Guards had foretold her extraordinary advent by declaring that fate had decreed London and Westminster must be buried*.",7.891,5.414,"Joanna Southcott had just turned twenty-five, and years earlier, a soldier in the Guards Regiment with the gift of prophecy had proclaimed that preparations were being made for the destruction of London and Westminster, actually heralding the arrival of this exalted being into the world.",12.399,9.533,"Mrs. Southcott had recently celebrated her twenty-fifth birthday, whose sublime appearance in the world had been duly announced by a guardsman, a private prophet, predicting that preparations were being made to swallow up London and Westminster.",15.677,12.14
8,"Even the Cock-lane ghost had been laid only a round dozen of years, after rapping out its messages, as the spirits of this very year last past (supernaturally deficient in originality) rapped out theirs.","Even the ghost of Cock Lane*, after knocking out its messages, had only been at rest for about twelve years when, at that time, just a year before, many other spirits (not necessarily of supernatural origin) began knocking out messages again.",10.773,7.943,"It had only been twelve years since the ghost of Cock Lane, like the spirits that have recently emerged, lightly tapped on tables (never having a share of originality) and left its messages before being exorcised.",7.337,4.138,"Even the ghost of Cock Lane had been definitively buried, after wandering the world for twelve years, and revealing its messages to mortals in the same manner as the spirits of the previous year, showing a supernatural poverty of originality in their revelations.",12.549,9.412
9,"Mere messages in the earthly order of events had lately come to the English Crown and People, from a congress of British subjects in America: which, strange to relate, have proved more important to the human race than any communications yet received through any of the chickens of the Cock-lane brood.","These were all messages about the recent mundane events happening to the King and the people of England, emanating from a congress of English subjects in America*. Strangely enough, this turned out to be more important to humanity than all the messages previously received through any goblin in Cock Lane.",14.361,11.425,"Simple messages concerning worldly matters were just beginning to reach the throne and people of England from the congress of British citizens in America; interestingly, these messages turned out to be more important for all humanity than any messages received by the girls in the houses of Cock Lane.",8.081,5.609,"The only earthly messages received by the Crown and the English People came from a congress of British subjects residing in America, messages that, strangely enough, have proven to be of much greater significance to the human race than any received through the mediation of any of the chicks from Cock Lane.",26.417,24.745
10,"France, less favoured on the whole as to matters spiritual than her sister of the shield and trident, rolled with exceeding smoothness down hill, making paper money and spending it.","Generally not favoring the mystical matters as much as her sister wielding the shield and trident*, France kept printing paper money to spend while plunging into the abyss ever faster.",14.506,10.785,"France, which was not as ambitious in spiritual matters as her sister with the shield and trident, was printing paper money and spending it while speeding downhill.",27.682,25.254,"Less favored was France in spiritual matters compared to her sister of the shield and trident, rolling charmingly and smoothly downhill, printing paper money and spending it with great delight.",35.857,33.849
11,"Under the guidance of her Christian pastors, she entertained herself, besides, with such humane achievements as sentencing a youth to have his hands cut off, his tongue torn out with pincers, and his body burned alive, because he had not kneeled down in the rain to do honour to a dirty procession of monks which passed within his view, at a distance of some fifty or sixty yards.","Moreover, under the guidance of Christian shepherds, France entertained itself with humanitarian achievements such as sentencing a young man to have both hands cut off, his tongue clamped and pulled out, and his body burned alive, because he refused to kneel in the rain to show respect to a filthy procession of monks passing within forty or fifty meters of his sight*.",30.009,28.985,"Moreover, it did not kneel in the rain to pay respect to a filthy procession of priests fifty or sixty meters away, and instead entertained itself with some humane acts under the guidance of Christian priests, such as cutting off a young man's hands, tearing out his tongue with pliers, and burning his body alive.",13.006,11.163,"Under the direction of her most Christian shepherds, she also allowed herself to indulge in humanitarian distractions such as sentencing a young man or two to have their hands cut off, their tongues torn out with pincers, and to be burned alive, for the heinous crime of not having fallen to their knees in the muddy road on a rainy day to pay due homage to a procession of friars that passed within sight, though fifty or sixty yards away.",19.168,17.851
12,"It is likely enough that, rooted in the woods of France and Norway, there were growing trees, when that sufferer was put to death, already marked by the Woodman, Fate, to come down and be sawn into boards, to make a certain movable framework with a sack and a knife in it, terrible in history.","It is very likely that when the wretched man received his death sentence, many tall trees, originating from the forests of France and Norway, had already been marked by the Woodman of Fate to be felled and sawed into planks, to craft the mobile guillotine with its blade and sack, a dreadful device in history.",16.789,14.922,"Long before that poor young man was executed, some of the large trees rooted in the forests of France and Norway were likely to be cut down and turned into timber by the Woodcutter, that is, Fate, and then made into a moving wooden frame, a black mark in history, containing a sack and a knife.",18.254,16.347,"It is very likely that, when that criminal was led to his execution, the woodcutter Destiny had already marked in the forests of France and Normandy the ancient trees that the saw would turn into planks to build that movable platform, equipped with its basket and blade, which has gained such terrible fame in history.",9.518,7.367
