line_no,en,vi,vi_sc_add1,vi_sc_exp,tr,tr_sc_add1,tr_sc_exp,es,es_sc_add1,es_sc_exp
0,I,Chapter 1,0.0,0.0,CHAPTER 1,0.0,0.0,1,0.0,0.0
1,In my younger and more vulnerable years my father gave me some advice that I’ve been turning over in my mind ever since.,"During the years when I was young and easily influenced, my father gave me some advice, and it was this advice that changed my thinking from that moment on.",20.053,17.405,"When I was younger and more fragile, my father gave me a piece of advice that I will never forget for the rest of my life.",18.291,14.168,"When I was younger and more vulnerable, my father gave me a piece of advice that I have not stopped thinking about since then.",24.41,20.803
2,"“Whenever you feel like criticizing anyone,” he told me, “just remember that all the people in this world haven’t had the advantages that you’ve had.”","""Whenever you feel like criticizing anyone, just remember that not everyone in this world has had the advantages that you've had.""",32.757,30.322,"“When you feel like criticizing someone,” he said, “remember that not everyone has had the advantages that you’ve had.”",37.381,35.505,"""Before criticizing anyone,"" he told me, ""remember that not everyone has had the advantages you've had.""",20.292,16.277
3,"He didn’t say any more, but we’ve always been unusually communicative in a reserved way, and I understood that he meant a great deal more than that.","My father said. My father didn't say much more, but because there was always a subtle way of communicating between us, I understood that his words contained much deeper meanings.",11.02,8.104,"He hadn't said anything else, but since we understood each other without much talking, I realized he wanted to convey much more.",6.958,3.592,"That was all, but within our reserve, we have always understood each other in an uncommon way, and I understood that his words meant much more.",22.757,19.786
4,"In consequence, I’m inclined to reserve all judgements, a habit that has opened up many curious natures to me and also made me the victim of not a few veteran bores.","As a result, that advice made me inclined to be cautious in all my judgments, helping me to see and understand the strange natures of those around me, but at the same time, it also made me a victim of not a few who came to bother and annoy me.",13.215,11.076,"As a result, I preferred to keep my judgments about people to myself. This habit allowed me to meet many peculiar individuals, but it also condemned me to a considerable number of annoying people.",5.099,1.84,"Consequently, I tend to reserve my judgments, a habit that has allowed me to discover very curious characters and has also made me the victim of quite a few incorrigible bores.",32.565,30.185
5,"The abnormal mind is quick to detect and attach itself to this quality when it appears in a normal person, and so it came about that in college I was unjustly accused of being a politician, because I was privy to the secret griefs of wild, unknown men.","The characteristic I just mentioned, if manifested in an ordinary person, would quickly attract abnormal minds to them. Therefore, when I was still studying at university, I was often unfairly labeled as a political merchant, because I knew many sad, private, and secret stories of people, even the stories of libertine men I didn't know. It's not that I went out of my way to seek out the private matters of others.",5.206,3.575,"Those who think differently immediately recognize this trait in a normal person and quickly become attached to it. While I was in university, for this very reason, that is, because some crazy, unknown young people did not hesitate to tell me their secrets, I was accused of being overly political for no reason. However, I often did this unintentionally.",9.945,7.666,"The anomalous mind detects and quickly takes advantage of that quality when it perceives it in an ordinary person, and it so happened that at university I was unjustly accused of being an intriguer, for being aware of the secret sorrows of some inaccessible and difficult individuals.",18.091,16.065
6,"Most of the confidences were unsought—frequently I have feigned sleep, preoccupation, or a hostile levity when I realized by some unmistakable sign that an intimate revelation was quivering on the horizon; for the intimate revelations of young men, or at least the terms in which they express them, are usually plagiaristic and marred by obvious suppressions.","I often had to pretend to sleep, pretend to be busy, or act indifferent and unfriendly when I noticed clear signs that a private matter was about to be revealed. In fact, the confessions of young men, or at least the words they used to express themselves, were often just borrowed ideas and phrases from others that they had edited and trimmed, making their thoughts no longer coherent or clear.",13.553,12.286,"The moment I sensed someone was about to confide in me, depending on the situation, I would either pretend to be asleep, act as if I were very busy, or dismiss them with a joke. Because these intimate revelations of young people, or at least the expressions they use to tell them, are usually either borrowed from here and there or are suppressed emotions.",15.418,13.971,"Most of the confidences I did not seek: many times I have pretended to sleep, or to be absorbed in my own concerns, or I have shown a hostile frivolity at the first unmistakable sign that an intimate revelation was looming on the horizon; because the intimate revelations of the young, or at least the terms in which they make them, are generally plagiarized and suffer from obvious omissions.",32.768,31.808
7,Reserving judgements is a matter of infinite hope.,Being cautious in judgment is actually about constantly nurturing hope.,15.321,8.295,"Keeping judgments about people to oneself is, in my opinion, an endless hope.",10.278,5.413,Not judging is a reason for infinite hope.,30.644,22.316
8,"I am still a little afraid of missing something if I forget that, as my father snobbishly suggested, and I snobbishly repeat, a sense of the fundamental decencies is parcelled out unequally at birth.","I was always afraid that if I forgot to do so, I would miss out on many things, just like the things my father proudly pointed out and I also proudly repeated, which is that the basic awareness of polite conduct is not always equally distributed to everyone at birth.",7.298,5.002,"I still fear forgetting this saying of my father's, which he uttered wisely and I wisely agreed with: some fundamental subtleties are unjustly distributed in the world.",5.54,2.844,"I still believe that I would lose something if I forgot that, as my father suggested with a certain snobbery, and as I now repeat with a certain snobbery, the most basic sense of decency is unequally distributed at birth.",19.589,16.808
9,"And, after boasting this way of my tolerance, I come to the admission that it has a limit.","After boasting about my patience like that, I must also confess that my patience for enduring has its limits.",10.939,6.109,"After boasting so much about my tolerance, I must admit that it has its limits.",23.691,18.726,"And, after boasting about my tolerance, I find myself forced to admit that it has a limit.",49.111,46.43
10,"Conduct may be founded on the hard rock or the wet marshes, but after a certain point I don’t care what it’s founded on.","Human conduct can be built on solid rock or on a swampy foundation, but at some point, I no longer care what it was built on.",10.243,5.92,"There may be a hard rock or a swamp beneath human behaviors, but after a certain point, I can't say that I care much.",28.264,25.131,"I don't care, once a certain point is surpassed, whether the behavior is founded on stone or on swampy ground.",12.357,8.42
11,When I came back from the East last autumn I felt that I wanted the world to be in uniform and at a sort of moral attention forever; I wanted no more riotous excursions with privileged glimpses into the human heart.,"Last autumn, when I returned home from the East, I felt that I wanted the whole world to wear uniforms and to forever stand in ranks with moral uprightness. I no longer wanted noisy, boisterous entertainments with the privilege of glimpsing into people's hearts.",19.046,16.799,"When I returned from the east of the country last fall, I realized that I wanted the world to be an example and for honor to reign supreme forever. I no longer wanted those uneasy excursions into the privileged views of people's hearts.",21.893,19.784,"When I returned from the East last autumn, I was aware that I desired a world in military uniform, in a kind of permanent moral vigilance; I no longer wanted wild excursions and privileged glimpses into the human heart.",29.938,27.958
12,"Only Gatsby, the man who gives his name to this book, was exempt from my reaction—Gatsby, who represented everything for which I have an unaffected scorn.","Only Gatsby, the person whose name I used for this book, was an exception to my reaction. Gatsby represented everything I scorned.",22.833,19.459,"I exclude only one person from this, Gatsby, who also gives his name to this book. Gatsby, the person who embodies everything I despise.",27.016,23.97,"The only exception was Gatsby, the man who gives this book its title: Gatsby, who represented everything for which I feel genuine contempt.",39.894,37.938
13,"If personality is an unbroken series of successful gestures, then there was something gorgeous about him, some heightened sensitivity to the promises of life, as if he were related to one of those intricate machines that register earthquakes ten thousand miles away.","If human nature is a series of successful expressions, then he was indeed admirable. With a heightened sensitivity that could perceive the future, he was like a complex machine capable of recording earthquakes from thousands of miles away.",9.98,7.433,"If a series of successful gestures is a sign of personality, Gatsby had something magnificent, an exaggerated sensitivity to life's promises. He was like those complex devices that can record earthquakes thousands of miles away.",13.232,10.164,"If personality is an unbroken series of successful gestures, then there was something magnificent about Gatsby, an extraordinary sensitivity to the promises of life, as if he were connected to one of those intricate machines that register earthquakes from fifteen thousand kilometers away.",67.873,67.212
14,"This responsiveness had nothing to do with that flabby impressionability which is dignified under the name of the “creative temperament”—it was an extraordinary gift for hope, a romantic readiness such as I have never found in any other person and which it is not likely I shall ever find again.","This sensitivity of his had nothing to do with the weak, sentimental sensitivity respected under the term ""creative temperament."" It was merely a rare gift for hope, a romantic readiness that I have never found in anyone else and probably never will.",28.622,27.194,"But this had nothing to do with that loose sensitivity glorified under the name of ""creative temperament."" His was an extraordinary ability to hope, a romantic madness that I had never seen before and don't think I will ever see again.",23.76,22.103,"Such sensitivity has nothing to do with the soft sentimentality that we dignify with the name of ""creative temperament"": it was an extraordinary gift for hope, a romantic readiness such as I have never found in anyone else and probably never will again.",41.678,40.664
