Single_ent,en_masked,en_masked_results,en_masked_shuffled,en_masked_shuffled_results
['eager beaver'],"Aside from [MASK], there are fourteen of us starting today. Fourteen of us fresh out of top-five graduate programs, and prestigious internships, and CV-beefing industry jobs accepted exclusively to look more attractive during NASA’s next round of recruitment. There’re fourteen of us, and the thirteen that aren’t me are all nodding enthusiastically.","""title"": ""The Martian Chronicles"", ""author"": ""Ray Bradbury""","and recruitment. are exclusively internships, industry fourteen starting of us us, of enthusiastically. out graduate Aside round and all thirteen programs, of us look there aren’t the me next prestigious that fourteen accepted top-five to from nodding are attractive today. of of more There’re CV-beefing jobs and NASA’s during [MASK], fresh Fourteen","""title"": ""Unknown"", ""author"": ""Unknown"""
['hannah'],"The truth, though, is quite the opposite. I hated school at first sight—with the direct consequence that school hated the sullen, listless child that I was right back. In the first grade, I refused to learn how to write my name, even though [MASK] is only three letters repeated twice. In junior high, I set a school record for the highest number of consecutive detention days—what happens when you decide to take a stand and not do homework for any of your classes because they are too boring, too difficult, too useless, or all of the above. Until the end of my sophomore year, I couldn’t wait to graduate and leave all of school behind: the books, the teachers, the grades, the cliques. Everything. I didn’t really have a plan for after, except for leaving now behind.","""title"": ""The Wild Ones"", ""author"": ""Jay Heinrichs""","repeated the refused of for to for year, too consecutive three quite Everything. and end I I leaving The the high, that grade, learn not do too back. hated all all the boring, only or number school cliques. even and how I classes letters I the sullen, truth, grades, listless school above. take sight—with junior the a really that direct was to plan the behind. the couldn’t at write they right except didn’t the twice. after, Until your a leave I is of teachers, opposite. days—what any now first have when though set is of useless, though, happens consequence name, In In behind: school child my to [MASK] books, homework the I my graduate sophomore detention are the the of first school decide of to a record you too for highest difficult, hated because wait for stand","""title"": ""Unknown"", ""author"": ""Unknown"""
['kalpana chawla'],"“It’s like space is your whole personality,” the girl I casually hooked up with during most of my sophomore year of undergrad told me. It was after I explained that no, thank you, I wasn’t interested in going out for coffee to meet her friends because of a lecture on [MASK] I was planning to attend. “Do you have any other interests?” she asked. I threw her a quick “Nope,” waved good-bye, and wasn’t too surprised when, the following week, she didn’t reply to my offer to meet up. After all, I clearly couldn’t give her what she wanted.","""title"": ""Unworthy"", ""author"": ""Rachel Held Evans""","[MASK] undergrad in after wasn’t thank lecture explained didn’t out you asked. told hooked the too my whole interests?” I and I coffee like following meet up. is interested any planning I most a sophomore It meet what I her threw week, the she on “Do me. year quick “Nope,” other girl I her wanted. with offer friends attend. of because wasn’t up to I was After during of no, surprised to casually reply when, was good-bye, for going waved my that you, she your personality,” her clearly couldn’t “It’s all, of to to have a space she give","""title"": ""Unknown"", ""author"": ""Unknown"""
['floyd'],"“Yeah, I’m not sure.” She shrugs and continues to make her way through a Tupperware of broccoli, an apple, and approximately two fucktons of Cheez-Its. “I don’t really know much about him. His parents divorced, then people in my family had arguments and stopped talking to each other. There was a lot of prime [MASK] dysfunction happening, so I haven’t actually spoken to him in years. But I heard from one of my other cousins that he was working on that thing that landed on Mars back when we were in high school. It was called something like . . . Contingency, or Carpentry, or Crudity—”","""title"": ""The Martian Chronicles"", ""author"": ""Ray Bradbury""","when continues were working Contingency, of I’m It Mars broccoli, an other that years. make Carpentry, called he had don’t His spoken talking prime happening, from approximately arguments not stopped was and . fucktons know was through then people much a each was I that shrugs . parents in divorced, cousins to to on school. “Yeah, thing dysfunction or two sure.” actually of her one haven’t so heard I of or other. really like to landed Tupperware him. on [MASK] . apple, “I Crudity—” But lot There in Cheez-Its. we my about my something that She a high family way and him in of and back","""title"": ""Unknown"", ""author"": ""Unknown"""
['floyd'],"“I think so. Do the dates add up? Maybe it was some kind of summer internship? But honestly, it might just be [MASK] family lore. I have an aunt who insists that we’re related to the Finnish royals, and according to Wikipedia there are no Finnish royals. So.” She shrugs and pops another handful of Cheez-Its in her mouth. “Would you like me to ask around, though? For the assignment?”","""title"": ""The Secret History"", ""author"": ""Laura Hillenbrand""","internship? But royals, her of me there no Cheez-Its you was ask Finnish and to family add might shrugs some [MASK] it think summer assignment?” the up? it handful “Would She of so. have that aunt honestly, in dates Wikipedia related around, and For we’re Maybe lore. to like pops “I though? to Do the Finnish another an mouth. So.” royals. who according the kind are just I insists be","""title"": ""Unknown"", ""author"": ""Unknown"""
['mara'],"“By the way, I sent you my cousin-or-something’s contact info a while ago,” [MASK] tells me one night. We’re at the cheapest grad bar we’ve been able to find. She’s on her second Midori sour of the night. “Did you get it?”","""title"": ""Unlikely Stories, Familiar Places"", ""author"": ""George Saunders""","sour “Did we’ve We’re the Midori grad ago,” to her night. night. find. tells it?” a my the me info get you cousin-or-something’s contact the you “By on I She’s been way, while able [MASK] bar of second one at cheapest sent","""title"": ""Unknown"", ""author"": ""Unknown"""
['mara'],"He frowns, as if momentarily blanking on [MASK]’s name. “Ah, yes.” He nods. Only once. “Apparently,” he adds, which makes me laugh. He waits for me to take a seat across from him before folding back in his chair. I notice that he doesn’t hold out his hand, nor does he smile. Interesting. “Thank you for agreeing to meet with me.”","""title"": ""Unknown"", ""author"": ""Unknown""","his once. frowns, seat agreeing he blanking in his hold he yes.” hand, [MASK]’s adds, does waits He you He me a nor to laugh. before for makes He me for he that chair. which “Ah, nods. “Apparently,” on Only if out me.” as from notice folding name. doesn’t meet to back momentarily take Interesting. I him with “Thank across smile.","""title"": ""Unknown"", ""author"": ""Unknown"""
['floyd'],"“Officially: unclear. But I’m fairly sure my brother made CDs of it. Sent them to local TV stations and whatnot.” He gestures vaguely, and his forearm is dusted with freckles and pale-red hair. I want to grab his wrist, hold it in front of my eyes, study it at my leisure. Trace, smell, touch. “I haven’t spent a holiday with the [MASK] side of the family in twenty years, but I’m told that the video is a source of great entertainment for all age groups at Thanksgiving.”","""title"": ""The Brothers Karamazov"", ""author"": ""Fyodor Dostoevsky""","spent made groups of it sure family with in years, the fairly grab to and at at freckles is the all that “Officially: and side eyes, a brother hold source I pale-red of my I’m his dusted gestures my smell, great age video a TV He local but study vaguely, my stations wrist, [MASK] forearm want touch. Sent twenty But haven’t I’m holiday front leisure. in entertainment his Thanksgiving.” unclear. hair. to whatnot.” the them CDs is it. “I Trace, of told of for and with it","""title"": ""Unknown"", ""author"": ""Unknown"""
['python'],"The section is in C++. Which happens to be the very first language I taught myself back in high school, when every single Google search for “Skills + Necessary + NASA” led to the sad result of “Programming.” [MASK] came after. Then SQL. Then HAL/S. For each language, I started out convinced that chewing on glass would surely be preferable. Then, at some point along the way, I began thinking in terms of functions, variables, conditional loops. A little after that, reading code became a bit like inspecting the label on the back of the conditioner bottle while showering: not particularly fun, but overall easy. I do have some talents, apparently.","""title"": ""None specified"", ""author"": ""Unknown""","I along that when talents, [MASK] after. sad I school, have for language, HAL/S. in like + while apparently. “Skills started taught in “Programming.” some easy. loops. chewing on the C++. inspecting on Then the out variables, way, would not conditional code Google SQL. each bottle label high For first led bit I the thinking to is A particularly became of at after point + search the conditioner little language happens Then in of section convinced fun, the myself The Necessary a began single back came back Then, showering: surely of very reading NASA” terms every preferable. be result be Which functions, but to do some the I that, overall glass","""title"": ""Unknown"", ""author"": ""Unknown"""
['let'],"My heart rate picks up. Warmth twists in my lower stomach. I lean forward with a smile, feeling like I’m finally in my element. This, this, is what I know best. Depending on how busy I am with school, or work, or binge-watching K-dramas, I do this about once a week. Which amounts to quite a bit of practice. “Maybe I could come to your place?” I say, finding the sweet spot between comically suggestive and [MASK]’s get together to play Cards Against Humanity. “And you could show me?”","""title"": ""Uncharted Territories"", ""author"": ""Anonymous""","place?” I work, to say, finding heart I play My the like to Cards I about “Maybe school, smile, best. “And me?” how or this quite suggestive feeling show a forward my a is and on sweet This, stomach. come together bit K-dramas, lower to what I element. busy in Which Humanity. Warmth know rate or I’m Against my amounts get I with could picks twists practice. your up. do could once Depending a lean [MASK]’s am this, I comically spot finally between of in week. you with binge-watching","""title"": ""Unknown"", ""author"": ""Unknown"""
