en,Single_ent,en_shuffled,en_results,en_shuffled_results
"Peter said this felt like an invitation. Laughed, almost self-deprecatingly, as he added, “I’d never believed in fate before that.”",['peter'],"before fate Peter this he in like invitation. never Laughed, “I’d said self-deprecatingly, believed felt as that.” almost added, an","<output>""title"": ""The Night Circus"",""author"": ""Erin Morgenstern""</output>","<output>""title"": ""Peter Pan"",""author"": ""J.M. Barrie""</output>"
"My hat landed atop a pile of discarded lo mein, the lip of the can smashed into my rib cage, and I did a wheezing pratfall into the grass. Peter described this as “adorably clumsy.”",['peter'],"the and lo can my pile into the mein, a I into lip My this pratfall a of did smashed grass. of atop as Peter wheezing cage, “adorably clumsy.” described discarded landed the rib hat","<output>""title"": ""To All the Boys I've Loved Before"",""author"": ""Jenny Han""</output>","<output>""title"": ""The Fault in Our Stars"",""author"": ""John Green""</output> 

(Note: The passage appears highly fragmented and jumbled, making it difficult to accurately pinpoint its true source. This guess is speculative.)"
"“I fell in love with Daphne the moment I looked up from her hat,” he’d say, no mention of the trash-noodles in my hair.",['daphne'],"looked I he’d mention hair. fell in in no of from her “I up the trash-noodles Daphne moment hat,” my love the say, with","<output>""title"": ""Bunny"",""author"": ""Mona Awad""</output>","<output>""title"": ""The Bell Jar"",""author"": ""Sylvia Plath""</output>"
"Over the last three years, Peter dusted off Our Story every chance he got. I was sure he’d work it into both our vows and his wedding reception speech.",['peter'],"three every was he our his reception off Our I dusted Over he’d chance work the both last sure speech. and into Story wedding Peter years, vows it got.","<output>""title"": ""Spare"",""author"": ""Prince Harry""</output>","<output>""title"": ""Unknown"",""author"": ""Unknown""</output>"
“Could you just turn it down?” I say. “All the plates are rattling in the cabinets and Mr. Dorner’s trying to bust down the living room wall.”,['dorner'],the cabinets wall.” Dorner’s are say. room you I trying down “Could plates and to the living it bust Mr. in turn down?” the just “All rattling,"<output>""title"": ""We Were Liars"", ""author"": ""E. Lockhart""</output>","<output>""title"": ""The Catcher in the Rye"",""author"": ""J.D. Salinger""</output>"
"Petra is also a stoner without a college degree, but I guess it’s different when you’re a perfect ten with a picturesque family and well-padded bank account. Then you’re not a stoner; you’re a free spirit.",['petra'],"it’s a a not but Then stoner; account. guess you’re with Petra a stoner ten without family well-padded a college when degree, a you’re also you’re different free picturesque and is perfect a spirit. bank I","<output>""title"": ""Luckiest Girl Alive"", ""author"": ""Jessica Knoll""</output>","The provided passage seems disordered and fragmented, making it challenging to pinpoint its origin. However, I will make an educated guess based on the content and available context.

<output>""title"": ""Stoner"",""author"": ""John Williams""</output>"
"When I jolted awake at the click of the front door, it was full bright in the living room, so I could see Peter’s surprise at finding me there.",['peter'],"When the it see finding at the I was front awake there. I of door, click so me bright room, living could jolted full at surprise the Peter’s in","<output>""title"": ""The Fault in Our Stars"", ""author"": ""John Green""</output>","The passage provided seems to be nonsensical or scrambled, making it difficult to accurately identify the book or the author. However, I'll make an educated guess based on patterns or themes.

<output>""title"": ""The Sound and the Fury"", ""author"": ""William Faulkner""</output>"
"“No!” he said. “I mean, it wasn’t like that. We’re . . . She told me she’s in love with me, Daphne. And I realized I am too. In love. With her. Fuck, I’m so sorry.”",['daphne'],"in “No!” With I love. he her. In am mean, And love me told she’s sorry.” like . I’m too. with We’re it . “I Daphne. said. so wasn’t . I me, that. realized She Fuck,","<output>""title"": ""It Ends With Us"",""author"": ""Colleen Hoover""</output>","<output>""title"": ""It Ends with Us"",""author"": ""Colleen Hoover""</output>"
"“Are you fucking kidding me, Peter?” I jumped up. I didn’t feel hurt then. That would come later. First it was all rage.",['peter'],"“Are fucking kidding I feel hurt didn’t you it was later. rage. come would me, That then. Peter?” up. jumped First I all","<output>""title"": ""It Ends with Us"",""author"": ""Colleen Hoover""</output>","<output>""title"": ""House of Leaves"",""author"": ""Mark Z. Danielewski""</output>"
"“Of course she fucking meant for this to happen, Peter! She had twenty-five years to tell you she was in love with you and chose last night!”",['peter'],"night!” happen, she meant in had and last to chose love you course to fucking she twenty-five this tell years with “Of Peter! She you for was","<output>""title"": ""Love, Theoretically"",""author"": ""Ali Hazelwood""</output>","The given passage is highly jumbled and does not present coherent content. Based on this information alone, it is exceptionally difficult to determine its origin with any certainty. However, I will make an informed guess.

<output>""title"": ""Normal People"",""author"": ""Sally Rooney""</output>"
