en,en_results
RG: Wouldn’t put it past Mum. You know she’s been obsessing over who I should marry since the day I was born. She drives me CRAZY with it. You’re so lucky.,"""title"": ""To All the Boys I've Loved Before"", ""author"": ""Jenny Han"""
"ET: Yup. She was trying to tell me something, but when she spoke, there was no sound, just vapors coming out of her mouth.","""title"": ""The Legend of Zelda: Ocarina of Time"", ""author"": ""Unknown (Video Game)"""
"“Well then, let’s ground you.” The guru led his acolyte down the steps of the pavilion onto the dewy grass, and they sat facing each other in lotus position.","""title"": ""The Alchemist"", ""author"": ""Paulo Coelho"""
"“Your rage cannot hurt you. Just visualize that rage as a little red ball, a red ball that is spinning from your crown chakra, through your heart chakra, through your solar plexus, and out your base chakra. Exhale fully and just let the ball flow through you from top to bottom, top to bottom…”","""title"": ""The Power of Now"", ""author"": ""Eckhart Tolle"""
“Did I have a transient ischemic stroke? I’m absolutely convinced I did. You have no idea what happened in the middle of the night!”,"""title"": ""The Girl with the Dragon Tattoo"", ""author"": ""Stieg Larsson"""
"“You don’t get it. A volcano basically erupted at the wedding site! The Balinese pavilion, the replica of the bar at Loulou’s, the ballroom mimicking the checkerboard floors at Château d’Anet, it’s all ruined! Everything has been ruined!”","""title"": ""Eat Pray Love"", ""author"": ""Elizabeth Gilbert"""
"*6 Let’s be clear, the signs of an actual stroke may include these sudden symptoms: facial drooping on one side of the face, arm weakness, and speech difficulty. Unless there is a kindly doctor next door whom your butler can quickly summon, please call your emergency medical service immediately if you experience these symptoms.","""title"": ""First Aid Manual or Health Book"", ""author"": ""Unknown ( likely a medical organization or government publication)"""
"“Shush, it’s perfect. It was my great-grandmother’s. The San Francisco one who replenished all the coffers with her railroad money. Now Mummy will scold me for letting you wear it and forget what she really wants to scold me about.”","""title"": ""The Great Gatsby"", ""author"": ""F. Scott Fitzgerald"""
"“Look, I was never under the illusion it would be easy. I knew my family was never going to be accepted as truly English. At first I tried to follow my mother-in-law, who was a stickler for tradition, but everything I did only made me stand out. Then I realized, I’ll never not stand out, so why fight it? I knew then I had to create my own style and do things my way.”","""title"": ""The Reluctant Fundamentalist"", ""author"": ""Mohsin Hamid"""
"The first thing she did was give Greshamsbury Hall a sorely needed restoration—its first in more than a century. Out went the ancient Aga and the decomposing Tassinari et Chatel damask, and in came a bold, futurist East meets West look that designers now dub “Arabella Chic.” “I was the first to do forty-eight layers of tobacco lacquer on the floors of a manor house. I was the first to mix brutalist furniture with wicker.”","""title"": ""The Pursuit of Love"", ""author"": ""Aidan Turner"""
"Before her was an emerald-green lawn that sloped down to swaying palm trees and a blinding blue ocean. She padded barefoot across the grass down to the narrow strip of silver-gray sand where the waves lapped gently into shallow tide pools formed by lava rocks. It was her first time seeing the Pacific, and she scampered joyously over the rocks, looking for the perfect place to dip her feet into the crystalline waters.","""title"": ""The Hunger Games"", ""author"": ""Suzanne Collins"""
"“Then you must take one while you’re here. It’s absolutely glorious, you’ll love it. Sometimes I turn out all the lights and sit in the shower late at night just to gaze at the stars.”","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"“Not only that, but I think she saw what was special about the cabin, even though this isn’t her aesthetic. It’s no coincidence she put twelve surf cabins on the hills above her resort. Of course, hers are built of trendy blackened wood and are tricked out with cashmere throw pillows, soaking tubs, and movie screens that retract from the ceiling. She knows her crowd and she’s got the perfect plan to lure them here.”","""title"": ""The Cabin at the End of the World"", ""author"": ""Paul Tremlett"""
"“No, everything’s new—the nose, the cheekbones, and the jawline. It’s apparently what every guy does in LA, along with bottom bleaching and Mounjaro injections. It’s all a bit too perfect for me, but I will admit he has gained a great deal of confidence along with all that muscle mass.”","""title"": ""The Hills"", ""author"": ""Candace Bushnell"""
"“Solène doesn’t like beagles. She wants a borzoi. Trust me, I shared a flat with her in Paris for a year. I know what kinds of dogs she’s into.”","""title"": ""Bridget Jones's Diary"", ""author"": ""Helen Fielding"""
“I utilize nineteenth-century photo techniques to document climate change in this century. Right now I’m working on a series of platinum prints that explore tidal patterns and beach erosion.”,"""title"": ""The Photographer's Playbook: 557 Assignments and Ideas for Aspiring Photographers"", ""author"": ""Rob Haggerty"""
"*1 In the British peerage, the order of rank goes: monarch > prince/princess > duke/duchess > marquess/marchioness > earl/countess > viscount/viscountess > baron/baroness. Where do you rank and what sort of feelings does this bring up?","""title"": ""Debrett's Peerage and Baronetage"", ""author"": ""Charles Harris, 10th Baronet, and other contributors (assumed)"""
"The car turned off Kawaihae Road onto a narrow road that led to a newish-looking visitor’s center. “Take your time, and don’t go into the water in the bay unless you want to be shark food,” the driver quipped.","""title"": ""The Descendants"", ""author"": ""Kaui Hart Hemmings (novel by) and Alexander Payne (screenplay by)"""
"* The Big Island of Hawaii is the only island on Earth to possess ten of the world’s fourteen climate zones. This means you can sunbathe in the morning on a sizzling-hot beach in Kona, head to the Waimea Valley for a fog-bound lunch reminiscent of the Scottish Highlands, go hiking through the humid Puna rain forest in an afternoon downpour, and freeze your ass off on the summit of Mauna Kea at sunset.","""title"": ""Hawaii"", ""author"": ""Unknown ( likely a travel guide or non-fiction book)"""
"Father and daughter proceeded up the steps of the ice palace and came upon a banquet hall with three immensely long tables carved entirely out of ice, the frozen blocks filled with flowers and hauntingly lit so that the petals seemed suspended in space. Above the tables hovered six enormous crystal chandeliers lit with hundreds of candles, and the open archways at the far end of the palace perfectly framed the stupendous views. The sun had just dipped below the clouds, rendering the sky a deep violet that shimmered through the crystalline walls of the palace.","""title"": ""Ella Enchanted"", ""author"": ""Gail Carson Levine"""
"“Why don’t you spend the night? I’m picking you up in about six hours anyway, it’d be silly to go back to your hotel now.”","""title"": ""The Catcher in the Rye"", ""author"": ""J.D. Salinger"""
"“You know what, that hot shower turned me into an absolute puddle. I’m ready to crawl right into bed! Are you sure you don’t mind?”","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
“I think she’s recovering pretty well! I bet you a thousand bucks there’s some adult-only content happening in that room right now. The sick patient needs a hunky surfer to make her pain go away.”,"""title"": ""Book name: Not specified, possibly a modern novel or short story"", ""author"": ""Not specified, possibly a contemporary author"""
"“It is, and it’s fine. I needed to have this revelation myself before I could come to my senses. The only thing that bothers me is that my sister’s right, yet again.”","""title"": ""Book name: The Perks of Being a Wallflower"", ""author"": ""Chbosky, Stephen (Note: The passage seems to be a quote from a book, but the exact book title is not immediately clear. However, the writing style and tone suggest it might be from 'The Perks of Being a Wallflower' by Stephen Chbosky.)"""
"Just then, a Hawaiian woman distinctly outfitted in the hotel’s signature uniform entered the room with iced coffee on a tray. “Here you go, ma’am. Iced latte with oat milk.”","""title"": ""Book name: Unknown"", ""author"": ""Unknown author"""
Fuck my life. “We’ll make it feel just like the card room at White’s. You’d never know the difference.” Google “card room at White’s.”,"""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Díaz"""
"“Well, funny you mention that. I’m sure you realize…ah…that the expenses have been adding up, especially since we were forced to change all the venues for the wedding at the very last minute.”","""title"": ""Book name: Not specified, possibly a modern or unknown work"", ""author"": ""Not specified, possibly a modern or unknown author"""
“Of course. Why would I lie to you about such things? We are family now; we have no secrets. I might have to ask you for a loan someday.”,"""title"": ""The Family Upstairs"", ""author"": ""Lisa Jewell"""
