Title,en_results_title_match,en_results_author_match,en_results_both_match,es_results_title_match,es_results_author_match,es_results_both_match,tr_results_title_match,tr_results_author_match,tr_results_both_match,vi_results_title_match,vi_results_author_match,vi_results_both_match,st_results_title_match,st_results_author_match,st_results_both_match,yo_results_title_match,yo_results_author_match,yo_results_both_match,tn_results_title_match,tn_results_author_match,tn_results_both_match,ty_results_title_match,ty_results_author_match,ty_results_both_match,mai_results_title_match,mai_results_author_match,mai_results_both_match,mg_results_title_match,mg_results_author_match,mg_results_both_match
Adventures_of_Sherlock_Holmes,54.0,0.0,0.0,40.0,0.0,0.0,43.0,0.0,0.0,50.0,0.0,0.0,49.0,0.0,0.0,62.0,0.0,0.0,26.0,0.0,0.0,47.0,0.0,0.0,59.0,0.0,0.0,56.00000000000001,0.0,0.0
The_Picture_of_Dorian_Gray,95.8904109589041,95.8904109589041,95.8904109589041,95.8904109589041,95.8904109589041,95.8904109589041,95.8904109589041,95.8904109589041,95.8904109589041,91.78082191780823,91.78082191780823,91.78082191780823,72.6027397260274,72.6027397260274,72.6027397260274,64.38356164383562,65.75342465753424,64.38356164383562,35.61643835616438,35.61643835616438,35.61643835616438,61.64383561643836,61.64383561643836,61.64383561643836,87.67123287671232,87.67123287671232,87.67123287671232,79.45205479452055,79.45205479452055,79.45205479452055
Pride_and_Prejudice,98.0,100.0,98.0,98.0,99.0,98.0,98.0,99.0,98.0,99.0,99.0,99.0,83.0,84.0,83.0,96.0,96.0,96.0,56.99999999999999,57.99999999999999,56.99999999999999,85.0,85.0,85.0,92.0,93.0,92.0,95.0,95.0,95.0
Sense_and_sensibility,98.0,100.0,98.0,95.0,96.0,95.0,89.0,93.0,89.0,89.0,95.0,89.0,68.0,80.0,68.0,79.0,91.0,79.0,40.0,48.0,40.0,47.0,59.0,47.0,70.0,79.0,70.0,80.0,89.0,80.0
A_Tale_of_Two_Cities,100.0,100.0,100.0,81.0,81.0,81.0,97.0,97.0,97.0,98.0,98.0,98.0,79.0,85.0,79.0,97.0,98.0,97.0,53.0,56.00000000000001,53.0,92.0,93.0,92.0,87.0,92.0,87.0,96.0,97.0,96.0
Dracula,100.0,100.0,100.0,95.55555555555556,95.55555555555556,95.55555555555556,93.33333333333333,93.33333333333333,93.33333333333333,87.77777777777777,87.77777777777777,87.77777777777777,76.66666666666667,76.66666666666667,76.66666666666667,76.66666666666667,76.66666666666667,76.66666666666667,32.22222222222222,32.22222222222222,32.22222222222222,66.66666666666666,66.66666666666666,66.66666666666666,71.11111111111111,71.11111111111111,71.11111111111111,81.11111111111111,81.11111111111111,81.11111111111111
Of_Mice_and_Men,100.0,100.0,100.0,87.5,89.58333333333334,87.5,95.83333333333334,95.83333333333334,95.83333333333334,87.5,87.5,87.5,81.25,81.25,81.25,93.75,93.75,93.75,41.66666666666667,41.66666666666667,41.66666666666667,89.58333333333334,89.58333333333334,89.58333333333334,79.16666666666666,81.25,79.16666666666666,87.5,87.5,87.5
The_Boy_in_the_Striped_Pyjamas,94.0,94.0,94.0,86.0,86.0,86.0,87.0,87.0,87.0,89.0,89.0,89.0,60.0,60.0,60.0,86.0,86.0,86.0,20.0,20.0,20.0,23.0,23.0,23.0,64.0,64.0,64.0,84.0,84.0,84.0
Harry_Potter_and_the_Deathly_Hallows,56.00000000000001,100.0,56.00000000000001,49.0,97.0,49.0,34.0,96.0,34.0,31.0,98.0,31.0,30.0,83.0,30.0,26.0,96.0,26.0,13.0,54.0,13.0,19.0,85.0,19.0,27.0,92.0,27.0,37.0,90.0,37.0
1984,96.66666666666667,96.66666666666667,96.66666666666667,96.66666666666667,96.66666666666667,96.66666666666667,95.0,95.0,95.0,98.33333333333333,98.33333333333333,98.33333333333333,88.33333333333333,91.66666666666666,88.33333333333333,91.66666666666666,91.66666666666666,91.66666666666666,63.33333333333333,63.33333333333333,63.33333333333333,38.333333333333336,41.66666666666667,38.333333333333336,91.66666666666666,93.33333333333333,91.66666666666666,91.66666666666666,91.66666666666666,91.66666666666666
