en,en_results,Single_ent,en_prompts_shuffled,en_prompts_shuffled_results
"I [29m] have been friends with Chad [32m] since we were born. Our moms are best friends and we grew up together and were roommates for the last 10 years, up until the incident that set our current situation into motion.","""title"": ""Verity"", ""author"": ""Colleen Hoover""",['chad'],"with have and moms since friends situation the up motion. 10 up together born. we incident I that Chad we [29m] into were and our years, current last Our [32m] friends the were set until for best are been grew roommates","""title"": ""Roommates: True Tales of Friendship, Rivalry, Romance, and Disturbingly Close Quarters"", ""author"": ""Max Apple"""
"Anyway, forward to five months ago. I dated Hope [28f] for a few weeks. Not a big deal. We decided we weren’t feeling it, no chemistry, so we called it quits. And then lo and behold she hits it off with Chad. Of course in true Good Luck Charm fashion, this means Chad is her soulmate. Chad is all googly-eyed over her, they’ve met the parents, they’re ring shopping—and they want to move in together. Immediately.","""title"": ""The Good Luck Charm"", ""author"": ""Helena Hunting""",['chad'],"I so we months move dated feeling they is called a fashion, her chemistry, we deal. Anyway, her, We with she quits. lo forward a want googly-eyed ring decided means weeks. then few all five soulmate. the it Charm course no over Of Chad for weren’t Chad. and Not Hope Chad they’ve in big shopping—and ago. true in they’re to Immediately. [28f] hits it, to met is together. And Luck off this it behold Good parents,","""title"": ""Conversations with Friends"", ""author"": ""Sally Rooney"""
"The only problem is that Chad has six more months on our lease but found a perfect new house for him and Hope, and he can’t afford to pay rent on two places at the same time. So he had to make the difficult decision to screw me over or screw her over—and he picked me. Now I have to find a way to cover his rent until the lease is up.","""title"": ""The Girl on the Train"", ""author"": ""Paula Hawkins""",['chad'],"problem pay months screw him six or over lease places perfect he me over—and make to is he cover that house our a rent more and new same a screw only to Now had The have way and is rent found the Hope, Chad decision his but So for on her at two until me. he time. up. afford can’t the the find lease to to to on difficult has picked I","""title"": ""The Girl on the Train"", ""author"": ""Paula Hawkins"""
"I’m annoyed, but I decided to try to find a reason to spend more time outside so I don’t have to stare out my window. I’ve always wanted a dog, but Chad would never agree to it. So I went to a rescue and found the ugliest animal there. The one so hideous, nobody else wanted it. This dog’s got an underbite and mange, and he’s missing half an ear. He’s a little Brussels Griffon, so he’s got that deep frown—he looks like a judgmental gremlin. I adopted him and named him Chad since the dog is now my new best friend. If you’re reading this, you’re dead to me, human Chad. (Not really, I still love the guy.) But I tag him in the captions of every Chad the Dog Instagram post with “Look, a loyal Chad!”","""title"": ""The Silent Patient"", ""author"": ""Alex Michaelides""",['chad'],"looks He’s Chad!” stare human Chad. Dog an window. it. Chad a never I rescue the a you’re always time every frown—he but nobody ugliest half wanted don’t a he’s still tag is named a adopted with annoyed, judgmental I I to like So But the Instagram him hideous, went him of my guy.) decided else Chad dog I to the so and (Not agree animal missing this, I’m reading got This new would gremlin. an I dead I’ve and the one to that I best so love wanted friend. a a to more there. to me, but really, dog’s it. reason “Look, The ear. spend Griffon, mange, underbite in and you’re found my try post find captions to got now he’s loyal dog, him little Brussels deep out so have Chad the outside since If to and","""title"": ""The Midnight Library"", ""author"": ""Matt Haig"""
"I tilted my head so my braid fell to one side and held up four fingers. Maddy didn’t look happy, but she took the picture with my phone, then handed it back to me.","""title"": ""Divergent"", ""author"": ""Veronica Roth""",['maddy'],"one my Maddy up me. side handed to she my held so but look the then fell I took fingers. tilted four picture with my and didn’t head happy, phone, it braid back to","""title"": ""Beloved"", ""author"": ""Toni Morrison"""
"“That dog trusts him,” Maddy said. “And that’s a rescue dog, so that means something. They’re usually all skittish and freaked out.” She went quiet again looking at his wall. “Go down further,” Maddy said. “The billboard.”","""title"": ""The Midnight Library"", ""author"": ""Matt Haig""",['maddy'],"wall. down “Go “That means out.” trusts all something. at She looking that’s so Maddy further,” billboard.” a dog, his said. “And skittish quiet said. him,” dog rescue again and Maddy that “The usually freaked They’re went","""title"": ""The Midnight Library"", ""author"": ""Matt Haig"""
"That night after work Maddy made dinner. Grilled portobello mushrooms and rice pilaf. I did the dishes and cleaned the kitchen, then took a shower and blew out my hair.","""title"": ""The Silent Patient"", ""author"": ""Alex Michaelides""",['maddy'],"and out made my Maddy That work and kitchen, dinner. portobello mushrooms the and dishes I shower did a cleaned blew took the then rice hair. after night Grilled pilaf.","""title"": ""Eat, Pray, Love"", ""author"": ""Elizabeth Gilbert"""
"“Sorry, I had to give Brad his dewormer. I brought some for you too. Faith said you’ve been dragging your ass on the carpet?”","""title"": ""A Man Called Ove"", ""author"": ""Fredrik Backman""",['brad'],"your “Sorry, give Brad on Faith for you’ve I dewormer. brought had you been the dragging some said to carpet?” too. ass his I","""title"": ""Infinite Jest"", ""author"": ""David Foster Wallace"""
"My best friend was in a Hawaiian shirt and pink cargo shorts. He was a general manager at Trader Joe’s. I missed not having to go to the grocery store now that he had moved out. Actually, I missed a lot of things now that Brad had moved out. Like having another human to talk to, even if it was this one.","""title"": ""The Midnight Library"", ""author"": ""Matt Haig""",['brad'],"out. the at this if talk friend shorts. Like he had a having out. now was another that Hawaiian was shirt to, to Trader Actually, moved one. not lot of Brad even I it missed a I My that and to He general was manager grocery a cargo had moved things human to go store Joe’s. having pink best now missed in","""title"": ""Fight Club"", ""author"": ""Chuck Palahniuk"""
"“This is true,” Brad said, looking at his phone. “We are assholes. But only to each other. It’s the foundation of our friendship.”","""title"": ""The Bromance Book Club"", ""author"": ""Lyssa Kay Adams""",['brad'],"foundation Brad the phone. of But assholes. his It’s “We true,” other. our at looking are each said, friendship.” to “This is only","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
