,en_masked,es_masked,tr_masked,vi_masked,st,yo,tn,ty,mai,mg,en_masked_shuffled,es_masked_shuffled,tr_masked_shuffled,vi_masked_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
1984,48.333333333333336,23.333333333333332,16.666666666666664,15.0,18.333333333333332,15.0,10.0,6.666666666666667,3.3333333333333335,8.333333333333332,33.33333333333333,15.0,21.666666666666668,10.0,11.666666666666666,8.333333333333332,5.0,6.666666666666667,1.6666666666666667,3.3333333333333335
A Tale of Two Cities,17.0,0.0,5.0,5.0,0.0,8.0,0.0,1.0,0.0,1.0,8.0,2.0,4.0,10.0,0.0,10.0,0.0,2.0,0.0,0.0
A thousand splendid suns,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.127659574468085,0.0,0.0,0.0,2.127659574468085,0.0,0.0,0.0,0.0,0.0
Adventures of Huckleberry Finn,81.0,3.0,10.0,19.0,5.0,13.0,2.0,5.0,2.0,4.0,48.0,0.0,4.0,12.0,4.0,6.0,1.0,3.0,1.0,2.0
Adventures of Sherlock Holmes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alice in Wonderland,80.43478260869566,6.521739130434782,0.0,2.1739130434782608,10.869565217391305,10.869565217391305,2.1739130434782608,2.1739130434782608,2.1739130434782608,4.3478260869565215,67.3913043478261,0.0,2.1739130434782608,0.0,6.521739130434782,4.3478260869565215,0.0,2.1739130434782608,2.1739130434782608,0.0
Dracula,5.555555555555555,5.555555555555555,5.555555555555555,6.666666666666667,4.444444444444445,5.555555555555555,2.2222222222222223,5.555555555555555,1.1111111111111112,4.444444444444445,5.555555555555555,3.3333333333333335,3.3333333333333335,6.666666666666667,3.3333333333333335,3.3333333333333335,1.1111111111111112,3.3333333333333335,0.0,2.2222222222222223
Dune,21.0,9.0,19.0,11.0,7.000000000000001,10.0,3.0,6.0,0.0,6.0,19.0,9.0,18.0,10.0,5.0,7.000000000000001,3.0,6.0,0.0,5.0
Fahrenheit 451,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frankenstein,35.41666666666667,18.75,8.333333333333332,20.833333333333336,4.166666666666666,6.25,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,33.33333333333333,8.333333333333332,10.416666666666668,6.25,4.166666666666666,6.25,4.166666666666666,4.166666666666666,0.0,4.166666666666666
Harry Potter and the Deathly Hallows,19.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,0.0,2.0,6.0,1.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0,3.0
Of Mice and Men,0.0,0.0,0.0,0.0,0.0,2.083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.083333333333333,0.0,0.0,0.0,0.0
Paper Towns,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,
Percy Jackson The Lightning Thief,5.263157894736842,0.0,1.0526315789473684,2.1052631578947367,0.0,2.1052631578947367,0.0,0.0,0.0,0.0,1.0526315789473684,0.0,1.0526315789473684,1.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0
Pride and Prejudice,92.92929292929293,5.05050505050505,47.474747474747474,7.07070707070707,3.0303030303030303,3.0303030303030303,3.0303030303030303,3.0303030303030303,38.38383838383838,1.0101010101010102,70.70707070707071,4.040404040404041,24.242424242424242,6.0606060606060606,3.0303030303030303,4.040404040404041,2.0202020202020203,1.0101010101010102,35.35353535353536,2.0202020202020203
Sense and sensibility,3.0,1.0,4.0,3.0,1.0,2.0,0.0,3.0,0.0,0.0,7.000000000000001,1.0,4.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0
The Boy in the Striped Pyjamas,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Great Gatsby,70.37037037037037,9.25925925925926,14.814814814814813,40.74074074074074,5.555555555555555,7.4074074074074066,1.8518518518518516,3.7037037037037033,11.11111111111111,5.555555555555555,48.148148148148145,0.0,9.25925925925926,24.074074074074073,1.8518518518518516,0.0,0.0,0.0,1.8518518518518516,1.8518518518518516
The Handmaid s Tale,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Picture of Dorian Gray,36.986301369863014,0.0,6.8493150684931505,19.17808219178082,27.397260273972602,1.36986301369863,9.58904109589041,0.0,1.36986301369863,0.0,21.91780821917808,0.0,6.8493150684931505,12.32876712328767,12.32876712328767,1.36986301369863,8.21917808219178,0.0,2.73972602739726,0.0
