,en_masked,es_masked,tr_masked,vi_masked,st,yo,tn,ty,mai,mg,en_masked_shuffled,es_masked_shuffled,tr_masked_shuffled,vi_masked_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
1984,38.333333333333336,13.333333333333334,0.0,6.666666666666667,3.3333333333333335,1.6666666666666667,0.0,1.6666666666666667,0.0,1.6666666666666667,45.0,61.66666666666667,1.6666666666666667,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
A Tale of Two Cities,16.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
A thousand splendid suns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adventures of Huckleberry Finn,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.000000000000002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Adventures of Sherlock Holmes,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alice in Wonderland,91.30434782608695,6.521739130434782,0.0,0.0,6.521739130434782,4.3478260869565215,0.0,4.3478260869565215,0.0,2.1739130434782608,67.3913043478261,2.1739130434782608,0.0,0.0,4.3478260869565215,0.0,0.0,0.0,0.0,0.0
Dracula,23.333333333333332,10.0,1.1111111111111112,1.1111111111111112,4.444444444444445,2.2222222222222223,1.1111111111111112,2.2222222222222223,0.0,2.2222222222222223,8.88888888888889,3.3333333333333335,1.1111111111111112,2.2222222222222223,2.2222222222222223,2.2222222222222223,1.1111111111111112,2.2222222222222223,0.0,2.2222222222222223
Dune,25.0,11.0,1.0,9.0,6.0,5.0,4.0,6.0,0.0,7.000000000000001,15.0,6.0,1.0,5.0,5.0,5.0,2.0,5.0,0.0,4.0
Fahrenheit 451,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frankenstein,37.5,2.083333333333333,0.0,2.083333333333333,0.0,2.083333333333333,2.083333333333333,0.0,0.0,4.166666666666666,31.25,4.166666666666666,0.0,4.166666666666666,0.0,0.0,2.083333333333333,0.0,0.0,0.0
Harry Potter and the Deathly Hallows,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Of Mice and Men,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper Towns,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,
Percy Jackson The Lightning Thief,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pride and Prejudice,58.58585858585859,11.11111111111111,2.0202020202020203,7.07070707070707,3.0303030303030303,1.0101010101010102,3.0303030303030303,1.0101010101010102,0.0,0.0,88.88888888888889,7.07070707070707,4.040404040404041,6.0606060606060606,3.0303030303030303,4.040404040404041,3.0303030303030303,2.0202020202020203,0.0,2.0202020202020203
Sense and sensibility,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Boy in the Striped Pyjamas,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Great Gatsby,37.03703703703704,3.7037037037037033,3.7037037037037033,0.0,0.0,0.0,1.8518518518518516,0.0,0.0,0.0,22.22222222222222,0.0,0.0,3.7037037037037033,0.0,0.0,1.8518518518518516,0.0,1.8518518518518516,0.0
The Handmaid s Tale,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Picture of Dorian Gray,31.506849315068493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.32876712328767,0.0,1.36986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
