Single_ent,en_masked,es_masked,tr_masked,vi_masked,en_masked_shuffled,es_masked_shuffled,tr_masked_shuffled,vi_masked_shuffled
['paul'],"Within the shadows of his bed, [MASK] held his eyes open to mere slits. Two bird-bright ovals—the eyes of the old woman—seemed to expand and glow as they stared into his.","En las sombras de su lecho, [MASK] entrecerró los ojos hasta reducirlos a dos líneas. Dos óvalos brillantes como los de un pájaro, los ojos de la vieja mujer, parecieron dilatarse y llamear mientras se clavaban en los suyos.","Yatağının gölgeleri arasında uzanan [MASK] gözlerini hafifçe aralamıştı. Parlak, oval şeklinde iki kuş gözü –yaşlı kadının gözleri– onun gözlerinin içine bakarken sanki irileşiyor, alevleniyordu.","Nằm giữa hai cái bóng hắt lên giường, [MASK] khẽ ti hí mắt. Hai hình bầu dục sáng quắc - đôi mắt của bà lão - dường như giãn ra và bừng sáng khi nhìn chằm chằm vào cậu bé.","of the stared shadows ovals—the open of glow mere Two Within old to bed, bird-bright his. [MASK] as eyes into his expand held slits. his to the eyes woman—seemed and they","suyos. líneas. los los [MASK] óvalos ojos los llamear mientras lecho, dilatarse de y de mujer, como entrecerró hasta la en Dos parecieron brillantes dos un sombras ojos de pájaro, En su los reducirlos vieja clavaban a las se","irileşiyor, kadının alevleniyordu. arasında gözleri– iki aralamıştı. Parlak, [MASK] onun bakarken gözlerinin şeklinde –yaşlı oval gözlerini gölgeleri kuş içine hafifçe uzanan gözü sanki Yatağının","nhìn bầu Nằm chằm bé. - cái dường sáng bóng như giãn Hai - chằm hai bừng giường, dục quắc hí sáng vào cậu bà [MASK] ra ti và giữa của hình lên khi mắt. khẽ hắt lão đôi mắt"
['paul'],"[MASK] fell asleep to dream of an Arrakeen cavern, silent people all around him moving in the dim light of glowglobes. It was solemn there and like a cathedral as he listened to a faint sound—the drip-drip-drip of water. Even while he remained in the dream, [MASK] knew he would remember it upon awakening. He always remembered the dreams that were predictions.","[MASK] se durmió de nuevo y soñó en una caverna arrakena, con seres silenciosos irguiéndose a su alrededor a la pálida claridad de los globos. Todo era solemne, como en el interior de una catedral, y oía un débil sonido, el drip-drip-drip del agua. Aún soñando, [MASK] sabía sin embargo que al despertar lo recordaría todo. Siempre recordaba sus sueños premonitorios.","Uykuya dalan [MASK] rüyasında bir Arrakis mağarası gördü; etrafı korkürelerin loş ışığında hareket eden suskun insanlarla çevriliydi. Hayal meyal duyduğu bir sesi... şıp şıp damlayan suyun sesini dinlerken, ortalığa katedral ciddiyeti hâkimdi. [MASK] rüya görmeye devam ederken bile, uyandığında bütün bunları hatırlayacağını biliyordu. Gelecekten haber veren rüyaları daima hatırlardı.","[MASK] thiếp đi, mơ thấy một cái hang ở Arrakeen, những con người yên lặng di chuyển vòng quanh cậu trong ánh sáng lờ mờ của những quả đèn cầu. Không khí thật trang nghiêm và khi lắng nghe một âm thanh yếu ớt - tiếng nước chảy tí tách - tí tách - tí tách, cậu cảm thấy nơi đây giống như thánh đường vậy. Ngay cả khi chìm trong giấc mơ, [MASK] vẫn biết cậu sẽ nhớ về nó khi tỉnh giấc. Cậu luôn nhớ những giấc mơ là điềm báo.","the a to silent he while dim solemn remembered listened drip-drip-drip he awakening. cavern, were [MASK] dream like faint he Arrakeen remained He of always an remember in in upon of that all as it knew a fell moving to the dreams him cathedral [MASK] water. dream, people there the light of and Even predictions. sound—the would asleep was around glowglobes. It","[MASK] una embargo soñó despertar globos. de con su agua. como solemne, lo silenciosos sonido, y los del un arrakena, en pálida oía nuevo se catedral, claridad la débil soñando, seres de alrededor al y que sin Todo caverna de durmió sueños Aún irguiéndose sabía drip-drip-drip Siempre sus en una a el interior era todo. a recordaría el premonitorios. [MASK] recordaba","bunları suskun ciddiyeti bile, hatırlayacağını meyal ortalığa rüya sesini bütün suyun şıp [MASK] gördü; Gelecekten şıp eden etrafı ederken sesi... mağarası katedral rüyasında Arrakis hatırlardı. hareket devam dinlerken, rüyaları hâkimdi. loş bir [MASK] dalan biliyordu. daima veren korkürelerin duyduğu damlayan bir çevriliydi. görmeye uyandığında insanlarla haber Uykuya ışığında Hayal","điềm thanh tách, mơ, yên - mơ giấc trong nó thật cậu khi tiếng con trong lờ ánh nơi lặng lắng thấy và nhớ Cậu luôn khi - đây một nhớ sẽ của yếu như mơ đèn cả trang là đường thấy về giấc. âm tí cầu. cậu chuyển [MASK] khi giống chìm báo. người nghe Arrakeen, nước ở tách khí chảy nghiêm sáng thánh Ngay tí [MASK] đi, Không quanh mờ cậu cảm - ớt biết vẫn vậy. tách tí giấc quả tỉnh một hang vòng những những những di cái thiếp"
['paul'],"[MASK] sensed his own tensions, decided to practice one of the mind-body lessons his mother had taught him. Three quick breaths triggered the responses: he fell into the floating awareness … focusing the consciousness … aortal dilation … avoiding the unfocused mechanism of consciousness … to be conscious by choice … blood enriched and swift-flooding the overload regions … one does not obtain food-safety-freedom by instinct alone … animal consciousness does not extend beyond the given moment nor into the idea that its victims may become extinct … the animal destroys and does not produce … animal pleasures remain close to sensation levels and avoid the perceptual … the human requires a background grid through which to see his universe … focused consciousness by choice, this forms your grid … bodily integrity follows nerve-blood flow according to the deepest awareness of cell needs … all things/cells/beings are impermanent … strive for flow-permanence within….","[MASK] sintió sus propias tensiones y decidió practicar uno de los ejercicios corporales-mentales que le había enseñado su madre. Tres rápidas inspiraciones desencadenaron las respuestas: entró en estado de percepción flotante... ajustó su conciencia... dilatación aórtica... alejamiento de todo mecanismo no focalizado... concienciación deliberada... enriquecimiento de la sangre e irrigación de las regiones sobrecargadas... nadie obtiene alimento-seguridad-libertad sólo con el instinto... La consciencia animal no se extiende más allá de un momento dado, como tampoco admite la posibilidad de la extinción de sus victimas... el animal destruye y no produce... los placeres animales permanecen encerrados en el nivel de las sensaciones sin alcanzar la percepción... el ser humano necesita una escala graduada a través de la cual poder ver el universo... una consciencia selectivamente focalizada, esto forma su escala... La integridad del cuerpo depende del flujo nervioso-sanguíneo, sensible a las necesidades de cada una de las células... todos los seres/células/cosas son no permanentes... todo lucha para mantener el flujo de la permanencia...","Kendi gerginliğini hisseden [MASK], annesinin öğrettiği zihin-beden egzersizlerini uygulamaya karar verdi. Peş peşe aldığı üç nefes, çeşitli tepkileri tetikledi: farkındalığı salınmaya başladı... bilinci odaklandı... şahdamarı genişledi... odaksız bilinç mekanizmasından kaçındı... bilinçli olarak farkında olmayı seçti... hızlanan kan akışı, fazla zorlanan kısımlarında yoğunlaştı... insan yalnızca içgüdüleriyle besin-güvenlik-özgürlük elde edemez... hayvan bilinci yaşanan anın ötesine geçemediği gibi, kurbanlarının soyunun tükenebileceğini de düşünemez... hayvan yok eder, üretmez... hayvani zevkler duyumsal düzeylerin civarında kalır ve algısal olandan kaçınır... yaşadığı evreni görmek isteyen insan, olayları oturtacağı bir ağa ihtiyaç duyar... bilincin nereye odaklanacağını seçmek, bu ağı biçimlendirir... hücresel gereksinimlerin en yoğun şekilde farkında olmanın etkilediği sinir-kan akışı, bedensel bütünlüğü getirir... her şey/hücreler/varlıklar geçicidir... içindeki akışın kalıcı olması için uğraş...","[MASK] cảm nhận được sự căng thẳng của chính mình, bèn quyết định thực hành một trong những bài tập thân-trí mà mẹ đã dạy cậu. Ba hơi thở nhanh khởi đầu các phản ứng: cậu chìm vào nhận thức được thả trôi... tập trung vào ý thức... giãn nở động mạch chủ... tránh sự phân tâm của ý thức... ý thức theo lựa chọn... máu được làm giàu và nhanh chóng tràn đầy các vùng quá tải... người ta không chỉ dựa vào bản năng để giành được tự do - an toàn - thức ăn... ý thức động vật không vượt ra ngoài khoảnh khắc hiện tại cũng không vươn đến cái ý nghĩ rằng nạn nhân của nó có thể bị tuyệt chủng... con vật hủy diệt mà không tạo sinh... lạc thú của con vật gần với cấp độ cảm giác mà tránh những gì dựa trên tri giác... con người cần một mạng lưới nền để qua đó nhìn thấy vũ trụ của y... ý thức tập trung theo lựa chọn, điều này tạo thành mạng lưới của mi... tính chỉnh thể của thể xác theo dòng máu-thần kinh phù hợp với nhận thức sâu xa nhất về các nhu cầu của tế bào... mọi sự vật/tế bào/thực thể đều vô thường. .. hãy nỗ lực đạt tới dòng chảy thường hằng ở bên trong...","close Three nor choice he strive fell triggered swift-flooding beyond avoiding mother perceptual responses: quick dilation human remain to floating the consciousness breaths pleasures … integrity idea avoid does … see awareness enriched his aortal unfocused alone by practice which the forms a consciousness cell the into the by of and sensation impermanent moment within…. the food-safety-freedom … follows one to requires the the … of flow had lessons bodily for focusing to produce … be conscious one his and own his … not … the animal through its blood sensed grid him. not [MASK] your that all animal does and background does to not universe given of … … may the deepest animal become victims flow-permanence … according choice, … nerve-blood … destroys by instinct into needs … to this consciousness extinct decided obtain tensions, mind-body the grid consciousness the overload are levels … things/cells/beings extend mechanism regions the awareness taught focused","desencadenaron percepción del propias la más mecanismo e enriquecimiento el animales del respuestas: ajustó conciencia... madre. el ejercicios mantener la en las nadie que través de posibilidad necesidades ser la allá momento una admite células... el nervioso-sanguíneo, sobrecargadas... su corporales-mentales consciencia sin alejamiento cual forma de el encerrados [MASK] el para sintió de focalizado... aórtica... una integridad un destruye extinción inspiraciones son instinto... y sensaciones la flujo animal regiones depende universo... graduada concienciación rápidas permanencia... consciencia escala de las practicar La produce... dado, las de lucha las los permanentes... los selectivamente sus como entró animal todo esto focalizada, estado obtiene sólo todo flotante... sensible de su había de le Tres los extiende dilatación a alcanzar nivel las no y victimas... alimento-seguridad-libertad no todos el sus uno decidió tampoco necesita permanecen de flujo de ver una de de enseñado deliberada... la no placeres en su sangre tensiones seres/células/cosas a no La de de poder irrigación la cuerpo escala... humano percepción... cada con se","duyumsal yaşadığı başladı... oturtacağı farkındalığı seçmek, anın kaçındı... salınmaya edemez... geçicidir... ihtiyaç olayları odaklanacağını akışı, peşe fazla şekilde tetikledi: olmayı mekanizmasından akışı, seçti... annesinin çeşitli karar hayvan bilinci Peş hayvan hızlanan ötesine üç farkında içgüdüleriyle kısımlarında bilinç soyunun düzeylerin ve insan şahdamarı eder, ağa genişledi... geçemediği kalır olması en duyar... besin-güvenlik-özgürlük odaksız yoğunlaştı... nereye içindeki gibi, yoğun gereksinimlerin düşünemez... olarak bilinci zihin-beden bütünlüğü getirir... Kendi tükenebileceğini uygulamaya kan olandan yaşanan olmanın odaklandı... biçimlendirir... bilincin uğraş... yok kurbanlarının de elde zorlanan yalnızca kalıcı hayvani bir kaçınır... akışın öğrettiği evreni etkilediği için aldığı hücresel şey/hücreler/varlıklar verdi. ağı [MASK], tepkileri bu civarında üretmez... farkında egzersizlerini bedensel sinir-kan gerginliğini insan, zevkler algısal nefes, hisseden bilinçli görmek isteyen her","nhân con do không của hơi thẳng tạo chỉ trung với hủy tri động nỗ vào hằng tràn sự cậu. người xa thường căng làm phù mạch tới thức thú giành trôi... này diệt đến nhận thức... của giàu các tuyệt nhanh tâm giác... tính cảm giãn vùng tránh một gần ý tập thở hiện theo mà người thức lưới không tập khoảnh bị kinh thể xác khắc vật/tế đạt trong nhận máu dựa được ở trong... đã ta thức... bào/thực máu-thần ngoài của mình, thức dạy tế nó của đầu năng - của khởi chảy mạng phân mạng vượt chọn... một không mẹ hợp của qua mi... để vũ thể về theo rằng bèn được sự theo con thấy dòng an hãy nạn .. vật chỉnh thân-trí lưới vào vô trung và tải... gì của mà không ăn... của những thường. tự cậu điều sâu cũng con hành tạo độ dựa nghĩ cần lựa tập đó được ứng: động vươn dòng chủng... bản đầy bài chủ... bào... tránh mà với ý đều nở vật có thành quyết các thức các trụ sinh... mọi thực nhìn chọn, thức ra giác cấp cầu những nhận Ba y... cái để được sự quá thức nhu lạc tại lực chính nhanh bên nền thể chóng vật ý vào ý ý phản nhất lựa định [MASK] thể cảm chìm - toàn trên ý thả"
['jessica'],"[MASK] crossed to the window, flung wide the draperies, stared across the river orchards toward Mount Syubi. “You’ll learn about … the gom jabbar soon enough,” she said.","[MASK] se acercó a la ventana, corrió las cortinas y durante un instante contempló, al otro lado del río, el monte Syubi. —Pronto sabrás lo que es el gom jabbar... demasiado pronto —dijo.","[MASK] pencereye gidip perdeleri açtı ve ırmak boyunca, Syubi Dağı’na doğru uzanan meyve bahçelerine baktı. “Gomcebbârın ne olduğunu... çok yakında öğreneceksin,” dedi.","[MASK] tiến về phía cửa sổ, kéo rộng tấm rèm, đăm đăm nhìn vượt qua vườn cây ăn quả bên sông về phía núi Syubi. “Con sẽ biết về... gom jabbar, chẳng lâu nữa đâu,” nàng nói.","flung [MASK] jabbar to about orchards river the learn Syubi. window, Mount soon said. wide … enough,” draperies, stared crossed the gom toward the the she “You’ll across","es acercó demasiado Syubi. —dijo. las sabrás ventana, instante río, la corrió del [MASK] gom monte que el otro se pronto contempló, lado un al lo jabbar... y durante cortinas a —Pronto el","çok meyve ne öğreneceksin,” yakında boyunca, baktı. gidip dedi. olduğunu... açtı ve Dağı’na uzanan doğru perdeleri “Gomcebbârın [MASK] Syubi ırmak pencereye bahçelerine","lâu cây bên phía về chẳng đâu,” nữa rộng ăn nàng núi biết gom sổ, tấm “Con Syubi. về... cửa phía jabbar, nói. về vườn đăm rèm, đăm vượt quả sẽ qua tiến [MASK] sông kéo nhìn"
['paul'],"The command whipped out at him. [MASK] found himself obeying before he could think about it. Using the Voice on me, he thought. He stopped at her gesture, standing beside her knees.","La orden fue como un latigazo. [MASK] se dio cuenta de que había obedecido incluso antes de haber pensado en ello. Ha usado la voz contra mí —se dijo. Ella lo detuvo con un gesto, cerca de sus rodillas.","Bu emir kırbaç gibi inmişti. [MASK] hiç düşünmeden itaat etti. Üstümde Ses’i kullanıyor, diye düşündü. Kadının bir işaretiyle, onun dizlerinin yanında durdu.","Mệnh lệnh đưa ra nhanh chóng và bất ngờ như một nhát roi quất vào cậu. Chưa kịp nghĩ gì thì [MASK] nhận ra mình đã tuân theo nó. Dùng Giọng nói để điều khiển mình, cậu nghĩ. Cậu dừng lại khi bà ta ra hiệu, đứng cạnh đầu gối bà ta.","standing at [MASK] he think him. on he knees. out The it. himself beside obeying about command her me, her thought. could whipped found at before Voice the He Using stopped gesture,","—se Ha antes contra pensado cerca la rodillas. un mí ello. cuenta dio haber latigazo. un orden de gesto, con detuvo sus Ella que de [MASK] como en incluso voz se había La dijo. usado de lo fue obedecido","kırbaç düşündü. diye işaretiyle, inmişti. kullanıyor, etti. emir bir hiç Ses’i yanında Bu itaat gibi Üstümde durdu. Kadının dizlerinin düşünmeden [MASK] onun","chóng kịp ta. gì bà Dùng [MASK] điều cạnh mình như nhận thì tuân cậu vào theo đã và Chưa ngờ ra khiển mình, gối đầu đứng nó. nghĩ. để nhanh bất bà ra Mệnh Cậu hiệu, quất ta đưa lại một ra nói dừng cậu. Giọng nhát roi nghĩ khi lệnh"
['paul'],"“See this?” she asked. From the folds of her gown, she lifted a green metal cube about fifteen centimeters on a side. She turned it and [MASK] saw that one side was open—black and oddly frightening. No light penetrated that open blackness.","—¿Ves esto? —preguntó. Sacó de entre los pliegues de su ropa un cubo de metal verde que tenía alrededor de quince centímetros de lado. Lo hizo girar, y [MASK] vio que uno de sus lados estaba abierto... negro y extrañamente aterrador. Ninguna luz penetraba en su abierta oscuridad.","Kadın, “Bunu görüyor musun?” diye sordu. Cüppesinin kıvrımları arasından bir küp çıkarmıştı; bu yeşil metal küpün bir kenarı aşağı yukarı on beş santimetreydi. Kadın elindeki nesneyi çevirince, [MASK] küpün bir yüzünün açık olduğunu gördü... Küpün içi karanlık ve tuhaf bir şekilde ürkütücü görünüyordu. O karanlığın içine ışık giremiyordu.",“Thấy cái này không?” bà ta hỏi. Bà ta nhấc từ những nếp gấp áo choàng lên một hộp kim loại hình lập phương màu xanh lục mỗi cạnh chừng mười lăm phân. Bà ta xoay chiếc hộp và [MASK] nhìn thấy một mặt đã mở sẵn - tối om và đáng sợ một cách kỳ lạ. Không có chút ánh sáng nào lọt vào khoảng tối đen mở hoác đó.,"From and open oddly cube that penetrated that side open—black of her one saw [MASK] folds side. she about fifteen this?” on a metal light and No turned lifted “See was asked. gown, the She green frightening. blackness. centimeters she it a","y alrededor penetraba negro lados entre que Ninguna hizo extrañamente los luz Lo cubo su abierto... girar, de esto? de sus lado. en —¿Ves y un —preguntó. de centímetros verde ropa quince de [MASK] estaba abierta de tenía que pliegues aterrador. su vio uno oscuridad. metal Sacó de","açık çıkarmıştı; giremiyordu. [MASK] diye nesneyi bir ve Cüppesinin musun?” küpün bu yeşil çevirince, bir kenarı kıvrımları içi görüyor bir gördü... elindeki içine olduğunu küpün ürkütücü görünüyordu. Kadın, yukarı ışık Kadın “Bunu beş şekilde O metal aşağı küp yüzünün sordu. karanlık bir on karanlığın Küpün arasından santimetreydi. tuhaf",sẵn mỗi Không phân. lục vào màu hình một hộp đáng một cái và tối thấy đã lăm ta nhấc sáng choàng ta và cách mở những xoay này từ một khoảng “Thấy có lọt om hỏi. chừng chút không?” nào áo kỳ loại hộp đó. Bà hoác lên lạ. kim đen mở nếp ánh nhìn bà cạnh xanh [MASK] gấp sợ ta mặt tối Bà phương chiếc - lập mười
['paul'],"Slowly, feeling the compulsions and unable to inhibit them, [MASK] put his hand into the box. He felt first a sense of cold as the blackness closed around his hand, then slick metal against his fingers and a prickling as though his hand were asleep.","Lentamente, consciente de las compulsiones que surgían de su interior y no podía rechazar, [MASK] metió su mano dentro de la caja. Al principio experimentó una sensación de frío a medida que la oscuridad se acercaba en torno a su mano, después sintió el contacto del liso metal en sus dedos y un hormigueo, como si su mano se adormeciera.","Kendine hâkim olamayan [MASK], elini yavaşça kutunun içine soktu. Kutudaki karanlık elini sarmalayınca önce soğukluk hissetti; sonra, parmakları kaygan metale dokunduğunda, eli uyuşmuş gibi karıncalandı.","Chầm chậm, cảm thấy sự ép buộc và không tài nào cưỡng lại được, [MASK] đút tay vào trong hộp. Đầu tiên cậu cảm thấy lạnh khi bóng tối phủ quanh tay cậu, rồi chất kim loại trơn tuột áp vào các ngón tay và một cảm giác kiến bò như thể tay cậu tê dại.","hand hand and hand, though of metal blackness were his fingers [MASK] and to his first feeling a his He into put the around against asleep. closed box. felt compulsions unable them, the slick inhibit then prickling as Slowly, his cold the a sense as","medida en sus sensación mano, que su podía contacto acercaba frío el a principio compulsiones adormeciera. y metió Al la en su de metal mano la caja. si las después una mano y su liso a sintió se consciente de que de [MASK] como dentro de hormigueo, torno experimentó surgían interior se dedos del oscuridad un rechazar, su Lentamente, no","elini eli soktu. sonra, Kendine olamayan parmakları hâkim karıncalandı. uyuşmuş soğukluk gibi sarmalayınca [MASK], kutunun elini yavaşça önce içine karanlık kaygan dokunduğunda, hissetti; Kutudaki metale","phủ hộp. tiên tay tê ngón trong chất thể [MASK] cậu, đút loại buộc và cưỡng thấy dại. cậu lạnh và khi cảm một bóng chậm, kiến tay sự cậu trơn áp kim tuột thấy lại tay nào cảm vào tay tối quanh bò Đầu được, các cảm tài như Chầm giác vào rồi không ép"
['paul'],"[MASK] tried to swallow in a dry throat. He could not take his attention from the seamed old face, the glistening eyes, the pale gums around silvery metal teeth that flashed as she spoke.","[MASK] intentó deglutir, pero su garganta estaba seca. No conseguía apartar su atención de aquel viejo rostro arrugado, aquellos ojos brillantes, aquellas encías pálidas, aquellos dientes de metal plateado que brillaban a cada palabra.","[MASK] yutkunmaya çalıştı; boğazı kupkuruydu. Kadının yaşlı ve kırışıklı yüzünden, ışıldayan gözlerinden ve konuşurken parlayan, gümüş rengi metal dişlerinin üstündeki soluk dişetlerinden gözlerini alamıyordu.","[MASK] cố gắng nuốt nước bọt trong cổ họng khô khốc. Cậu không thể rời mắt khỏi khuôn mặt già nua nhăn nheo, đôi mắt lấp lánh, bộ nướu nhợt nhạt bao quanh hàm răng kim loại màu bạc lóe sáng khi bà ta nói.","his old that gums spoke. pale glistening could from [MASK] eyes, teeth in metal swallow she the silvery dry not to flashed face, tried take the the attention as a around throat. seamed He","su cada pero plateado conseguía ojos deglutir, viejo aquel intentó aquellos aquellas apartar encías estaba brillantes, arrugado, palabra. brillaban dientes metal [MASK] a de de garganta rostro que aquellos atención No pálidas, seca. su","çalıştı; soluk yüzünden, yutkunmaya rengi gümüş boğazı kırışıklı ışıldayan Kadının parlayan, dişlerinin üstündeki ve gözlerini alamıyordu. ve yaşlı konuşurken dişetlerinden metal [MASK] kupkuruydu. gözlerinden","không bao lóe nheo, thể quanh trong khuôn cổ khi bọt mặt mắt [MASK] lấp loại sáng nói. mắt lánh, họng rời bà khốc. kim răng cố nướu khô gắng Cậu ta bạc đôi nhạt nhợt hàm bộ nuốt khỏi nước màu già nua nhăn"
['paul'],"[MASK] clenched his left hand into a fist as the burning sensation increased in the other hand. It mounted slowly: heat upon heat upon heat … upon heat. He felt the fingernails of his free hand biting the palm. He tried to flex the fingers of the burning hand, but couldn’t move them.","[MASK] cerró fuertemente su mano izquierda, mientras la sensación de quemadura aumentaba en la otra mano. Crecía lentamente: calor y más calor... y más calor. Sintió que las uñas de su mano izquierda se clavaban en su palma. Intentó sostener los dedos de su mano que ardía, pero no consiguió moverlos.","Sağ elindeki yanma hissi artınca, [MASK] sol elini sıkıp yumruk yaptı. Yanma hissi yavaş yavaş artıyordu, eli giderek daha çok yanıyordu. Serbest elinin tırnaklarının avucuna battığını hissetti. Yanan elinin parmaklarını açmaya çalıştı, ama kımıldatamadı.","[MASK] nắm chặt tay trái thành một quả đấm khi cái cảm giác bỏng rát tăng lên ở tay phải. Nó từ từ tăng lên: nóng dần, nóng dần, nóng... nóng dần lên. Cậu cảm thấy móng tay của bàn tay đang tự do bấm vào gan bàn tay đau nhói. Cậu cố gắng gập các ngón tay phải đang bị thiêu đốt lại, nhưng chúng không cử động được.","… of burning into the the hand of fist them. other his move the upon He heat tried biting burning heat. his left [MASK] increased hand. couldn’t fingernails the but heat as felt flex It palm. free hand, the to the upon fingers sensation heat clenched mounted a He upon in slowly: hand","en fuertemente [MASK] de pero mano cerró y en más más izquierda, la moverlos. izquierda que y ardía, su palma. Intentó quemadura otra clavaban mientras sostener la mano mano. lentamente: no calor. los se de que consiguió uñas su sensación dedos calor... su de calor aumentaba Sintió Crecía mano las su","kımıldatamadı. Yanan yavaş sol [MASK] eli yumruk çok giderek elinin parmaklarını ama elinin Serbest sıkıp yavaş çalıştı, hissi yanma tırnaklarının avucuna açmaya Sağ artıyordu, yanıyordu. elini hissetti. battığını hissi daha Yanma artınca, yaptı. elindeki","cái dần đang động bị lên: cố Cậu tăng nóng giác cảm được. do tay ngón gắng chặt ở bỏng tự tay tăng thấy tay các đấm trái bấm lên nhói. rát dần, lại, tay nóng lên. dần, từ cử Cậu chúng nhưng thiêu đốt từ nóng... đau cảm đang nắm Nó không phải nóng bàn gập quả [MASK] khi phải. vào thành của tay tay gan bàn một móng"
['paul'],"[MASK] felt his left hand aching, uncurled the clenched fingers, looked at four bloody marks where fingernails had bitten his palm. He dropped the hand to his side, looked at the old woman. “You did that to my mother once?”","[MASK] notó que su mano izquierda le dolía, la abrió, y descubrió cuatro sangrantes marcas allí donde las uñas se habían clavado en su palma. Dejó caer la mano a lo largo de su costado y miró a la vieja mujer. —¿Hicisteis esto mismo a mi madre?","Sol elinin zonkladığını hisseden [MASK] yumruğunu açıp, avucuna batan tırnaklarının bıraktığı dört kanlı ize baktı. Elini indirip gözlerini yaşlı kadına dikti. “Bunu anneme de mi yaptın?","[MASK] thấy tay trái đau nhức bèn duỗi các ngón tay nãy giờ nắm chặt, rồi nhìn bốn vết lằn đỏ như máu ở những chỗ móng tay bấm vào gan bàn tay. Cậu thả tay xuống, nhìn bà lão: “Bà từng làm việc này với mẹ tôi à","[MASK] bitten his left fingers, palm. four old “You looked clenched had at hand his woman. aching, hand looked uncurled felt mother my bloody to the side, marks did the once?” the where his fingernails at that He dropped to","y a a su marcas descubrió mismo dolía, de cuatro la miró le la madre? las que sangrantes allí izquierda su —¿Hicisteis abrió, lo largo [MASK] palma. a Dejó y costado vieja caer clavado mano la en uñas mano habían mi se mujer. donde esto notó su","hisseden de baktı. elinin mi gözlerini yumruğunu dikti. yaptın? anneme bıraktığı kadına kanlı “Bunu yaşlı dört avucuna batan zonkladığını Elini tırnaklarının [MASK] ize Sol açıp, indirip","như trái bèn vết đau đỏ nhức vào gan giờ bà những nãy máu rồi này ngón lằn tôi tay thả chỗ [MASK] duỗi thấy tay tay. bàn “Bà xuống, bấm tay à các nắm nhìn móng tay chặt, nhìn mẹ lão: từng ở làm với bốn Cậu việc"
