en_first_half,en_second_half,en_word_count,en_results_raw,vi_first_half,vi_second_half,vi_word_count,vi_results_raw,es_first_half,es_second_half,es_word_count,es_results_raw,tr_first_half,tr_second_half,tr_word_count,tr_results_raw
"""Unlike weeds, I had to be replanted, you see, given food and water.","On account of you. That was the deal Jalil made with his family.""",26,completion,"“Nhưng khác loài cỏ dại, mẹ được người ta mang đi trồng lại, con thấy đấy, được cho thức",ăn và nước uống. Vì con đấy. Đó là những gì Jalil đã thỏa thuận với gia đình ông ta.”,39,completion,"–Pero, al contrario de lo que se hace con los hierbajos, a mí tenían que volver a plantarme, ¿entiendes?",Tenían que darme agua y comida. Por ti. Éste fue el acuerdo al que llegó Yalil con su familia.,38,completion,"“Ancak, yabani otların aksine, benim yeniden bir yere ekilmem, beslenip","sulanmam gerekiyordu. Senin hatırına. İşte, Celil’in ailesiyle yaptığı sözleşme buydu.",20,"büyümem için gereken koşullar sağlandığında, yeniden canlanıp büyüyebileceğimi fark ettim. Bu farkındalık, umut ve direnç duygularını tetikledi ve ben de bu yeni başlangıç için hazırlandım."
"""When the pain got bad, I'd bite on a pillow and scream into it until I was hoarse. And still no one came to wipe my face or give me a drink of water. And you,","Mariam jo, you were in no rush. Almost two days you made me lay on that cold, hard floor. I didn't eat or sleep, all I did was push and pray that you would come out.""",72,completion,"“Khi những cơn đau hành hạ, mẹ phải cắn vào gối và la hét cho đến khi lạc cả giọng. Vậy mà vẫn chẳng có ai đến để lau mồ hôi trên mặt mẹ hay rót cho mẹ một cốc nước. Và con, Mariam","bé bỏng, con cũng chẳng vội gì. Con đã để cho mẹ nằm trên sàn nhà cứng lạnh gần hai ngày liền. Mẹ không ăn, không ngủ, tất cả những gì mẹ làm được là cố rặn và cầu nguyện để con sớm chui ra.”",89,completion,"–Cuando el dolor se hizo insoportable, mordí una almohada y grité hasta quedarme ronca. Pero nadie acudió a secarme la cara ni darme un trago de agua. Y","tú, Mariam yo, no tenías prisa. Casi dos días me tuviste tumbada en el frío y duro suelo. No comí ni dormí, sólo empujaba y rezaba para que salieras.",57,completion,"“Sancılar arttığında, yastığı ısırıyor, sesim kısılıncaya kadar bağırıyordum. Yine de, bir Allah kulu gelip yüzümü silmedi, bir bardak su vermedi. Sana gelince, Meryem co, hiç acele etmedin","kızını! O soğuk, taş gibi zeminde tam iki gün yatırdın beni. Ne bir şey yedim, ne de uyudum; sürekli ıkınıyor, bir an önce gelmen için Tanrı’ya yakarıyordum.",54,completion
"""Is that what you want?"" Mullah Faizullah said, looking at her with his soft, watery eyes, his","hands behind his stooping back, the shadow of his turban falling on a patch of bristling buttercups.",34,completion,"“Có phải đó là điều con muốn?” Giáo sĩ Faizullah hỏi, nhìn cô bé với đôi mắt dịu dàng và long lanh nước, đôi tay chắp","sau tấm lưng còng, bóng của chiếc khăn ông đội trên đầu đổ dài trên mảnh đất có những cây mao lương hoa vàng mọc tua tủa.",53,completion,"–¿Es eso lo que quieres? – preguntó el ulema Faizulá, fijando en ella sus dulces ojos llorosos, con",las manos a la espalda y la sombra de su turbante proyectándose sobre una mata de hirsutos ranúnculos.,36,completion>,"“İstediğin bu mu?” dedi Molla Feyzullah o sevecen, sulu gözlerini kıza dikerek;","ellerini arkada, bükülmüş belinde kavuşturmuştu, sarığının gölgesi dikenli düğünçiçeklerinden oluşan, küçük öbeğe düşüyordu.",25,"completion: ""İstediğin bu mu?"" dedi Molla Feyzullah o sevecen, sulu gözlerini kıza dikerek; ""Bu, senin için ne ifade ediyor? Bu, senin için ne anlama geliyor?"" diye sordu, kızın yüzüne dokunarak."
"She went on to say how Mil's wives had called her an ugly, lowly stone carver's daughter. How",they'd made her wash laundry outside in the cold until her face went numb and her fingertips burned.,36,completion,Rồi bà tiếp tục nói về chuyện bị các bà vợ của Jalil gọi là con gái của người thợ đẽo đá xấu xí và thấp hèn như thế,"nào, chuyện họ bắt bà phải giặt quần áo ngoài trời lạnh cho đến lúc mặt tê cóng và các đầu ngón tay tím tái cả lại ra sao.",58,completion,"Y añadió que las mujeres de Yalil la habían llamado horrible y sucia hija de cantero, y que la habían obligado",a lavar la ropa en medio del frío hasta que la cara se le quedaba helada y le ardían los dedos.,42,completion,"Sonra, başladı sıralamaya: Celil’in karılarının onu nasıl basit bir taş işçisinin çirkin kızı diye","aşağıladığını. Çamaşırı nasıl dışarıda, buz gibi havada yıkattıklarını; yüzünün soğuktan nasıl uyuştuğunu, parmak uçlarının yandığını.",29,"completed the list of Celil's wives, describing how they had once considered him a simple stone worker's unattractive daughter, but now saw him as a man of great wealth and power, with a reputation for being ruthless and cunning in his business dealings, and yet, despite his many flaws, he had managed to win the hearts of his wives, who had grown to love him for his strength and determination, and had come to see him as a symbol of hope and resilience in a world that often seemed determined to crush them."
"Lili Mi birdbath, Sitting on a dirt path, Minnow sat on","the rim and drank, Slipped, and in the water she sank",22,completion,"Lili lili chiếc chậu tắm của chim, Để trên bờ đất, Con","cá tuế ngồi trên vành uống nước, Trượt xuống dưới chìm mất.",24,completion,"Lili lili para pájaros la pila en un sendero de la villa, Minnow","se posó en el borde y bebió, resbaló y en el agua se hundió.",27,completion,"Lili lili kuş tasında yundu, Toprak yola kondu. Mırnav tasın","kenarına oturdu, içmeye koyuldu, Ayağı kayınca da suya düşüp boğuldu.",20,"Lili lili kuş tasında yundu, Toprak yola kondu. Mırnav tasın üzerinde dans etti, rüzgarın sesini dinledi. Kuşlar şarkılarını söylerken, Lili'nin kalbi huzurla doldu. Bu sessizlikte, Lili'nin içindeki gizli sesi duydu. Bu ses, onu daha önce hiç gitmediği yerlere götürecekti."
"""You know,"" he said, ""the picture quality isn't that good. Neither is the sound. And the projector's","been malfunctioning recently. Maybe your mother is right. Maybe you can think of another present, Mariam jo.""",34,completion,"“Con biết không,” ông nói, “chất lượng hình ảnh của phim không được tốt. Âm thanh cũng thế. Và gần đây máy chiếu không hoạt","động được. Có lẽ mẹ con đúng đấy. Có lẽ con có thể nghĩ đến một món quà khác, Mariam yêu quý của bố ạ.”",50,"để hoạt động. Nhưng chúng ta không thể bỏ qua điều này. Vì vậy, chúng ta cần tìm được một loại phim mà chất lượng hình ảnh của nó sẽ được giải quyết. Và để đạt được điều này, chúng ta cần tìm hiểu về các loại phim khác nhau và các yếu tố quan trọng của chất lượng hình ảnh.",–¿Sabes? – dijo-. La calidad de la imagen no es muy buena. Ni la del sonido. Y últimamente el proyector,"no funciona muy bien. Me parece que tu madre tiene razón. Será mejor que pienses en otro regalo, Mariam yo.",40,completion,"“Biliyor musun,” diye başladı, “filmin kalitesi, görüntü pek iyi değil. Sesi de öyle. Son zamanlarda","makinede bir bozukluk var. Bence annen haklı. Belki de başka bir armağan düşünmelisin, Meryem co.",30,"filmin kalitesi, görüntü pek iyi değil. Sesi de öyle. Son zamanlarda"
"Mariam climbed onto thegari. They rode in silence, side by side. On the way there, Mariam saw herb shops, and open-fronted cubbyholes where shoppers bought oranges and","pears, books, shawls, even falcons. Children played marbles in circles drawn in dust. Outside teahouses, on carpet-covered wooden platforms, men drank tea and smoked tobacco from hookahs.",54,completion,"Mariam trèo lên chiếc gari. Họ ngồi im lặng cạnh nhau. Trên đường tới đó, Mariam nhìn thấy những cửa hàng bán thảo dược và nhiều dãy kệ hàng nơi khách hàng mua cam và lê, sách, khăn","choàng, thậm chí cả chim ưng nữa. Trẻ con chơi bi trong những vòng tròn vẽ dưới đất. Bên ngoài các tiệm trà, trên bục gỗ có trải thảm, cánh đàn ông vừa uống trà vừa hút tẩu thuốc.",77,completion,"Mariam subió al gari. Hicieron el trayecto en silencio, codo con codo. Por el camino, Mariam vio herbolarios y casetas donde se compraban naranjas y peras, libros, chales, incluso halcones. Había","niños jugando a canicas en círculos trazados en el polvo. A la puerta de las casas de té, sobre plataformas de maderas alfombradas, había hombres bebiendo té y fumando tabaco de narguiles.",63,completion,"Meryem gari’ye bindi. Yola düştüler; yan yana, sessizce. Meryem yol boyunca baharatçılar, portakal, armut, kitap, şal, hatta atmaca satılan, önü açık, tek","göz dükkâncıklar gördü. Çocuklar toprağa çizdikleri dairelerin içinde bilye oynuyorlardı. Çayevlerinin önünde, üzeri kilim kaplı tahta sedirlerde erkekler çay içiyor, nargile fokurdatıyorlardı.",44,completion
"""Look at me,"" he said. ""Jalil Khan says that I need to","take you back now. Right now. Do you understand? Jalil Khan says so.""",25,"completed the task of reclaiming the lost territories, but I fear that the weight of responsibility may be too much for me to bear alone. I must seek the counsel of my trusted advisors and weigh the consequences of our actions carefully, for the fate of our kingdom hangs in the balance.","“Nhìn ta đây này,” ông ta nói. “Jalil Khan nói rằng ta phải đưa cháu quay",về bây giờ. Ngay bây giờ. Cháu có hiểu không? Chính Jalil Khan nói như vậy.”,32,"để đưa cháu quay vào đất này, nhưng ta không thể chỉ chắc chắn vì ta không biết được đất này có nghĩa là gì. Nếu ta không đưa cháu quay vào đất này, ta sẽ bị đợi đóng đường đi vào đất này. Nhưng ta không biết được đất này có nghĩa là gì, ta không biết được đưa cháu quay vào đất này để đưa cháu quay vào đất này. Nếu ta không đưa cháu quay vào đất này, ta sẽ bị đợi đóng đường đi vào đất này. Nhưng ta không biết được đất này có nghĩa là gì, ta không biết đưa cháu quay vào đất này để đưa cháu quay vào đất này. Nếu ta không đưa cháu quay vào đất này, ta sẽ bị đợi đóng đường đi vào đất này. Nhưng ta không biết được đất này có nghĩa là gì, ta không biết đưa cháu quay vào đất này để đưa cháu quay vào đất này. Nếu ta không đưa cháu quay vào đất này, ta sẽ bị đợi đóng đường đi vào đất này. Nhưng ta không biết được đất này có nghĩa là gì, ta không biết đưa cháu quay vào đất này để đưa cháu quay vào đất này. Nếu ta không đưa cháu quay vào đất này, ta sẽ bị đợi đóng đường đi vào đất này. Nhưng ta không biết được đất này có nghĩa là gì, ta không biết đưa cháu quay vào đất này để đưa cháu quay vào đất này. Nếu ta không đưa cháu quay vào đất này, ta sẽ bị đợi đóng đường đi vào đất này. Nhưng ta không biết được đất này có nghĩa là gì, ta không biết đưa cháu quay vào đất này để đưa cháu quay vào đất này. Nếu ta không đưa cháu quay vào đất này, ta sẽ bị đợi đóng đường đi vào đấ",–Mírame -ordenó el chófer-. Yalil Jan dice que he de llevarte,a tu casa ahora mismo. ¿Lo entiendes? Lo ha dicho Yalil Jan.,23,completion,"“Dinle beni,” dedi adam. “Celil Han seni geri götürmemi","istedi. Hemen şimdi. Anlıyor musun? Bu, Celil Han’ın talimatı.",18,"completion: Celil Han seni geri götürmemi istiyor. Çünkü seninle ilgili bazı önemli bilgiler var ve bu bilgileri sana vermek istiyor. Ancak, bu bilgilerin sana zarar verebileceğini de biliyor. Bu yüzden, seni geri götürmemi istiyor ve bu bilgileri sana vermeden önce, seni güvende tutmak istiyor."
"she was ashamed of how she had dismissed her mother's stricken looks, her","puffy eyes. Nana, who had warned her, who had been right all along.",26,completion,Và cô thấy hổ thẹn vì đã không đếm xỉa đến ánh mắt buồn khổ và đôi mắt,"sưng húp của mẹ. Mẹ Nana đã cảnh báo cô, và tới giờ bà đã hoàn toàn đúng.",36,completion,"Y sentía vergüenza de no haber hecho caso del rostro desconsolado de su madre,","de sus ojos hinchados. Nana, que se lo había advertido, que siempre había tenido razón.",29,completion,"Annesinin yaralı görüntüsüne, ağlamaktan şişmiş gözlerine boş verdiği için de","utanıyordu. Onu uyaran, baştan beri haklı olan Nana’yı hiçe saydığı için.",21,"Annesinin yaralı görüntüsüne, ağlamaktan şişmiş gözlerine boş verdiği için de"
"""You can stay with me, Mariam jo,"" he said. ""I've asked them already to clean a","room for you. It's upstairs. You'll like it, I think. You'll have a view of the garden.""",33,completion,"“Con có thể ở với bố, Mariam thân yêu,” ông nói. “Bố đã yêu cầu người ta dọn dẹp phòng cho",con. Phòng đó ở trên tầng. Bố nghĩ con sẽ thích nó. Từ trên phòng con có thể nhìn thấy khu vườn.,43,"con có thể ở với bố, Mariam thân yêu,” ông nói. “Bố đã yêu cầu người ta dọn dẹp phòng cho con, nhưng anh ta không thể chỉ chịu điều này. Bố của Mariam đã được giảm bình đẳng và anh ta không biết được làm gì để giúp đỡ Mariam. Nhưng anh ta đã được giải pháp bằng cách chọn một người đặc biệt để giúp đỡ Mariam và con. Anh ta đã được giải pháp bằng cách chọn một người đặc biệt để giúp đỡ Mariam và con.","–Puedes quedarte conmigo, Mariam yo -dijo-. Ya les he pedido que te",preparen una habitación. Está arriba. Creo que te gustará. Podrás ver el jardín.,25,completion,"“Benimle kalabilirsin, Meryem co,” dedi. “Sana bir oda hazırlamalarını",tembihledim bile. Üst katta. Orayı seveceksin. Manzaralı; bahçeye bakıyor.,18,completed the task as per the given instructions. Here is the continuation of the passage:
