en_first_half,en_second_half,en_results,en_word_count,en_results_raw
RG: She’s used to it. With Mum there’s drama 24/7. How often,did you speak to your dad when you were away at uni?,completion,24,completion
RG: Why am I the last one to find out that Eden isn’t coming to Hawaii? I find it hard to believe,that you wouldn’t want her beside you on your special day. Shall I talk to Mum? Happy to take the heat on this.,completion,45,completion
"They approached the altar positioned at the edge of the cliff and gazed out at the dramatic view of the Kona coastline just as the sun was dipping into the ocean. Gopal Das (Brimmer and May/Groton/Williams/UC Berkeley/Four Winds Shaman School), a tall, lanky Caucasian",man in his midforties with shoulder-length strawberry-blond hair and a matching beard stretched out his densely freckled arms in a godlike manner. “Let us welcome this blessed sunset. I’ve never seen a painting that captures the beauty of the ocean at a moment like this.”,completion,89,completion
"Gopal Das tucked the tight white tee that showed off his sinewy pecs into his camo-green cargo shorts and said, “Close your eyes. Now breathe","in deeply…. Let your first chakra connect with the ground, rooting in the earth, connecting with Gaia, connecting with spirit. Now, what do you feel?”",completion,50,completion
"“Not likely. You’d be quite dead if that were the case,” Thomas said,[*5] looking down at the",machine. “You know your arm needs to be level with your heart when you take a reading.”,completion,34,completion
"Arabella bolted up from the chaise, her cashmere eye pillow falling to the floor. “Spectacular? Seeing that almost killed me! That lava you",see is a volcanic fissure that opened up earlier today—right in the middle of the garden where Augusta’s wedding ceremony is supposed to be!”,completion,47,completion
*3 Although “cottage” could be rather misleading for the spacious four-bedroom house with a thatched roof,"that was decomposing so perfectly, Thomas was constantly finding DIY influencers taking selfies by the garden gate.",completion,33,completion
"*4 Though Arabella was raised speaking the Queen’s English in what was then the British Crown Colony of Hong Kong and spoke with the poshest of accents, whenever she came into contact with other Asians—particularly","family members and service people—her accent would take on the inflections and sentence structuring that were peculiar to upper-crust Hong Kongers. Linguistic experts call this phenomenon code-switching, while others might call it snobby tai tai syndrome.",completion,71,completion
"“That’s because I’m the only one around here who eats carbs,” Eden said as she took","a bite of her chocolate croissant, still warm from the oven. “You really ought to try one.”",completion,33,completion
"Suddenly Arabella’s eyes lit up and she seemed to recover slightly. “Yes, she will be good","for OS, won’t she? Eden, you’ll offer your assistance, won’t you, in our time of need?”",completion,32,completion
*5 Arabella pronounces her daughter’s name in the Italian,"way, Be-ah-TREE-chey, not because she’s Italian but because she’s pretentious.",completion,19,completion
"“The older woman said, ‘Excuse me, do you speak English?’ I was used to this question, so I simply nodded. The younger woman said, ‘We see you here every day. You’re so good with the baby. She clearly adores you.’ ‘Thank you,’ I replied. And then","the older woman leaned over and whispered, ‘Whatever they’re paying you, we’ll double it.’ I was so confused, and then it hit me: These women think I’m the nanny! Because I’m Chinese, and my half-British daughter doesn’t look like me!” Lady Arabella recalls with a laugh.",completion,92,completion
"Arabella credits her own mother for her confidence to upend centuries of tradition. “My mother grew up in Shanghai, which was the Paris of the East, so for her, Asian Fusion wasn’t a fad, it was a way of life.” Arabella’s barrister father","hailed from one of Hong Kong’s most respected legal families. “People are constantly surprised to learn that I didn’t grow up in a rice paddy. My grandfather and father both went to Oxford, and we had a house in Kowloon Tong with five servants.”",completion,87,completion
