en_first_half,en_second_half,en_word_count,en_results_raw
I made sure to insert myself between Autumn and Jack last night for this very reason. It was clear that,"we were crashing at my house, and I felt it was my duty to be the one to take the blows.",41,"I made sure to insert myself between Autumn and Jack last night for this very reason. It was clear that they had a lot to discuss, and I didn't want to miss out on whatever it was. As I stood there, I couldn't help but overhear snippets of their conversation, which only piqued my curiosity further. I decided to stay close, not wanting to miss any crucial information, especially if it involved a new project or a change in plans."
"A couple of weeks ago, after we went to see that silly horror movie that made Autumn scream three times, both of them—Jack and","Autumn—said they had fun. They said they could understand why I liked my other friend so much, and sure, maybe we could do it again.",49,"A couple of weeks ago, after we went to see that silly horror movie that made Autumn scream three times, both of them—Jack and Sam—decided it was time to try something new. They started watching comedies, which surprisingly didn't make either of them scream, but they found themselves laughing more than they had in months. It turned out that the loud noises in the horror movie had been the real scare, not the plot. Now, whenever they went out, they made sure to check the reviews and avoid anything too intense. Life was definitely less stressful, and they were enjoying their newfound movie-watching habits."
"Jack enters the room. I close my eyes. Though my penis remains somewhat optimistic, the blankets provide cover.","I should move, wake Autumn, pretend my arm was never around her, but I can’t bear to yet.",36,"Jack, oblivious to my discomfort, starts a conversation about his day, completely unaware of the tension in the room. I remain silent, focusing on the gentle rise and fall of my chest beneath the covers. The situation feels surreal, like a scene from a bad comedy sketch. After a few minutes, Jack finally notices my silence and asks if everything is alright, his voice laced with concern. I manage a weak smile and nod, hoping he won't press for details. The awkwardness lingers as we both struggle to find a way to salvage the moment."
"“What are you doing? And what about her?” Jack nods toward the tent. Even though we’re talking low, he starts",to whisper. “She would have to be the stupidest person on earth to not know you’re bonkers in love with her.”,41,"Jack, confused, steps closer to the tent, his eyes narrowing as he tries to make out any movement inside. ""I heard noises,"" he whispers, his voice barely above a murmur. ""Maybe she’s in trouble."" We exchange a glance, both of us weighing the risks and benefits of investigating. Slowly, cautiously, we approach the tent, Jack reaching for the zipper as we prepare ourselves for whatever we might find."
"Jack groans and rubs his face. He says something I don’t quite hear, but it ends with","the word “type.” Autumn makes a noise in the tent, and we both hold our breaths and listen.",35,"Jack groans and rubs his face. He says something I don’t quite hear, but it ends with a frustrated sigh. His eyes are bloodshot, and his voice is hoarse from the night's events. ""Why does everything have to be so complicated?"" he mutters under his breath. Jack's usually neat hair is a mess, sticking up in all directions, and his clothes are wrinkled from hours of restless sleep. It's clear that he's been through a tough night, and the weight of whatever happened is pressing down on him. I reach out to place a hand on his shoulder, but he shrugs it off, not wanting to be comforted just yet. ""Just give me a minute,"" he says, his voice barely above a whisper. Jack needs time to process everything, and I can only imagine what he's going through."
"“Zoned out the way she does? You have been so, so…","Like last week!” Jack asks, “How could you have missed that game?”",23,"She just needs a little space, you know? I've been there, lost in thought, and it's okay. We all zone out sometimes, right? It doesn't mean anything is wrong, just that her mind is elsewhere for a bit. "
“Why don’t we restart the movie? We can all watch it.” Jack,gives me a look to remind me that our other conversation isn’t over.,25,"Jack suggested enthusiastically, and everyone agreed, eager to see the film again from the beginning, perhaps catching details they had missed the first time around."
"I walk Jack to his car, and when he turns to me with that","look on his face, I know what he’s going to say. I open my mouth.",29,"I walk Jack to his car, and when he turns to me with that warm smile, I can't help but feel a surge of affection for him. It's been a long day, but his gratitude and the simple gesture of him thanking me make it all worthwhile. We exchange a few more words before he gets into his vehicle, and I wave goodbye, already looking forward to our next encounter."
"I met Jack on the first day of middle school. Autumn and I did not have a single class together—I would be less distracted, for one thing—but not having lunch","together seemed like a joke. Surely the school administrators knew we had always been together, were meant to be together. Surely, if I looked around the cafeteria, she would be there?",61,"I found particularly challenging. Instead, I would often meet Jack at the school cafeteria, where we'd discuss our separate classes and share stories about the teachers. Over time, our friendship grew stronger, and we became inseparable. Despite not having any classes together, our bond deepened, and we supported each other through the ups and downs of middle school. Looking back, those lunches were some of the best memories from that time."
"When I finally sat down next to Jack at a mostly empty table, he reacted as if he had been waiting for me. We had been in the morning gym class together and kicked a ball around with a few other guys after the teacher had given us","free time. I didn’t sit down because I recognized Jack though; I simply sat at the first empty seat, defeated. But Jack remembered me. He asked me if I ever watched pro soccer. I said yeah, not really interested in conversation, not really listening, wondering what Autumn was doing.",97,"When I finally sat down next to Jack at a mostly empty table, he reacted as if he had been waiting for me. We had been in the morning gym class together and kicked a ball around with a few other guys after the teacher had given us the signal to stop. The gym was filled with the sound of sneakers hitting the floor and the occasional laughter of our classmates. Jack, however, seemed to have other plans. As soon as I sat down, he leaned in and whispered, ""I've been thinking about that game all morning."" I smiled, feeling a bit taken aback but also intrigued. ""What do you mean?"" I asked. ""Well, you know how we were trying to outscore each other?"" he continued. ""I was wondering if we could do it again, but this time, let's make it a bit more competitive. What do you say?"" I hesitated for a moment, considering the idea. ""Sure, why not?"" I replied. ""Great!"" Jack exclaimed, clearly excited. ""I'll bring the ball tomorrow, and we can find a quiet corner of the gym. It'll be fun, I promise."" And with that, we settled into a comfortable silence, the prospect of our impromptu match hanging in the air between us."
"Autumn smiled at him, and his eyes popped. He shook himself like he was getting out of a pool. I had talked about my friend Autumn, but I had not told Jack about her face or the new shape of her body. He said, “Hi,” and","the evening had seemed fine and normal, like every other birthday celebration with The Mothers and Autumn, except Jack was there too. It was only later that I realized how much time Autumn spent looking at her new phone, how distantly polite she was with Jack.",92,"He gave her a tentative smile, unsure of how to react to the sudden change. Autumn's once-round face had thinned, and her eyes, now larger and more expressive, seemed to hold a depth of wisdom he hadn't expected. Her body, though still slender, had a grace that made her movements almost ethereal. Jack felt a mix of surprise and admiration, realizing that Autumn had been through a lot. ""You look... different,"" he said, trying to find the right words. Autumn nodded, a small, knowing smile playing on her lips. ""Different, but still me,"" she replied softly. Jack nodded, understanding that sometimes, change is what keeps us alive. They stood there for a moment, the weight of the unspoken hanging between them, until Autumn finally broke the silence. ""So, Jack, what brings you here?"""
"At the end of the night, when we were dropping Jack back at his house, he looked at me with pity before getting out of the car. I don’t think he meant to, but I could see it on","his face. He didn’t believe that Autumn was—or ever had been—my friend. The daughter of my mom’s best friend, who was around a lot? Sure. But he thought I had deluded myself into believing this hot girl was my friend.",79,"his face, a silent acknowledgment that perhaps I was struggling more than I let on. We exchanged a brief, understanding glance before he closed the car door. That night, I realized how much I valued his friendship, even if I hadn’t always shown it. It made me reflect on my own walls and the need to open up more. The next day, I made a conscious effort to reach out to others, sharing my thoughts and feelings without fear of judgment. It wasn’t easy, but slowly, I began to build stronger connections, understanding that vulnerability can lead to deeper bonds. Jack’s pity that night had been a wake-up call, pushing me towards a more open and honest life."
"I made it my mission to prove that Autumn was my friend. For the next two months, Jack was flooded with invitations to my home, where pictures of Autumn","and I, arms slung around each other, covered the walls and where my mom could tell him story after story of all the adventures Autumn and I had together.",58,"I made it my mission to prove that Autumn was my friend. For the next two months, Jack was flooded with invitations to my home, where pictures of Autumn adorned every wall, and the scent of her crisp leaves filled the air. I wanted Jack to see the beauty in the season, to understand that it wasn't just about the falling leaves but the vibrant colors and the quiet moments of reflection. Each gathering was a celebration, with Jack learning to appreciate the subtle changes in nature, the way the sunlight danced through the trees, and the way the world seemed to slow down. By the end of the season, Jack had become a true admirer of Autumn, and our friendship had grown stronger through the shared love of this season."
"I succeeded in proving to him that Autumn and I had been friends, but I failed to prove to him (or honestly, me) that she and I were still","friends. On the last day of school before winter break, Jack finally said something. I cannot remember what I had been telling him, only that it had been about Autumn.",59,"I succeeded in proving to him that Autumn and I had been friends, but I failed to prove to him (or honestly, me) that she and I were still close. Despite my efforts, the distance between us seemed to grow with each passing day. I tried to explain that our friendship wasn't defined by physical proximity, but he couldn't seem to grasp that concept. Every time I tried to reach out, it felt like I was talking to a wall. The more I tried to bridge the gap, the more it seemed to widen. It was a frustrating and lonely experience, one that left me questioning the nature of our relationship and the value of my own efforts."
"We were in the locker room, right before second period. Jack looked around, panic in his eyes. I expected him","to abandon me. Instead, he laughed loudly, punched my arm, said, “Oh yeah? Let’s take this outside,” and hurried me out.",41,"We were in the locker room, right before second period. Jack looked around, panic in his eyes. I expected him to say something, but instead, he bolted towards the door, his hands trembling. ""We have to go,"" he whispered urgently. ""They're coming."" My heart raced as I followed him, wondering what could possibly be chasing us in the empty school. We dashed through the corridors, avoiding the few students still there, until we reached the janitor's closet, locking the door behind us. The silence was deafening, but I could feel the presence outside, growing closer with each passing second. We didn't dare speak, just waited, hearts pounding, until the coast was clear."
