Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct
"['eager', 'beaver', 'eager beaver']",nasa,0,0.25,incorrect,nasa,0,0.25,incorrect,nasa,0,0.25,incorrect
['hannah'],me,0,0.0,incorrect,hester,0,0.17,incorrect,hester,0,0.17,incorrect
"['kalpana', 'kalpana chawla', 'chawla']",astronomy,0,0.25,incorrect,sophomore,0,0.17,incorrect,sophomore,0,0.17,incorrect
['floyd'],john,0,0.22,incorrect,john,0,0.22,incorrect,john,0,0.22,incorrect
['floyd'],finnish royals,0,0.32,incorrect,aunt,0,0.0,incorrect,aunt,0,0.0,incorrect
['mara'],cousin,0,0.0,incorrect,midori,0,0.4,incorrect,midori,0,0.4,incorrect
['mara'],john,0,0.0,incorrect,he,0,0.0,incorrect,he,0,0.0,incorrect
['floyd'],prentiss,0,0.0,incorrect,john,0,0.22,incorrect,john,0,0.22,incorrect
['python'],nasa,0,0.2,incorrect,hal/s,0,0.18,incorrect,hal/s,0,0.18,incorrect
['let'],[mask]'s get together to play cards against humanity,0,0.07,incorrect,k-dramas,0,0.0,incorrect,k-dramas,0,0.0,incorrect
['fuck'],ian,0,0.0,incorrect,ian,0,0.0,incorrect,ian,0,0.0,incorrect
['hannah'],[mask],0,0.17,incorrect,caltech,0,0.31,incorrect,caltech,0,0.31,incorrect
['mara'],[mask],0,0.4,incorrect,cousin-or-something,0,0.09,incorrect,cousin-or-something,0,0.09,incorrect
['merel'],dr. [mask],0,0.13,incorrect,dr. smith,0,0.14,incorrect,dr. smith,0,0.14,incorrect
['hannah'],nasa,0,0.4,incorrect,nasa,0,0.4,incorrect,nasa,0,0.4,incorrect
['mara'],cousin,0,0.0,incorrect,cousin's,0,0.0,incorrect,cousin's,0,0.0,incorrect
['mara'],sarah,0,0.67,incorrect,epa,0,0.29,incorrect,epa,0,0.29,incorrect
['merel'],dr.,0,0.25,incorrect,dr.,0,0.25,incorrect,dr.,0,0.25,incorrect
['karl'],john,0,0.0,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect
['haven'],john,0,0.44,incorrect,name,0,0.44,incorrect,name,0,0.44,incorrect
['arroyo'],dr. [mask],0,0.12,incorrect,spirit,0,0.17,incorrect,spirit,0,0.17,incorrect
['arroyo'],"dr. [mask]'s project is a brilliant addition to nasa's current roster, and it should be approved for further study. dr. [mask]'s vitae is impressive, and she has accumulated enough experience to carry out the proposed work--",0,0.05,incorrect,dr. jane smith,0,0.1,incorrect,dr. jane smith,0,0.1,incorrect
['merel'],dr. [mask],0,0.13,incorrect,dr.,0,0.25,incorrect,dr.,0,0.25,incorrect
['floyd'],funds,0,0.4,incorrect,hester,0,0.0,incorrect,hester,0,0.0,incorrect
['merel'],dr. [mask],0,0.13,incorrect,norway,0,0.18,incorrect,norway,0,0.18,incorrect
['hannah'],john,0,0.4,incorrect,john,0,0.4,incorrect,john,0,0.4,incorrect
['merel'],john,0,0.0,incorrect,he,0,0.29,incorrect,he,0,0.29,incorrect
['hannah'],[mask],0,0.17,incorrect,john,0,0.4,incorrect,john,0,0.4,incorrect
['merel'],john,0,0.0,incorrect,he,0,0.29,incorrect,he,0,0.29,incorrect
['floyd'],mom,0,0.25,incorrect,mom,0,0.25,incorrect,mom,0,0.25,incorrect
['hannah'],asshole,0,0.31,incorrect,john,0,0.4,incorrect,john,0,0.4,incorrect
['hannah'],asshole,0,0.31,incorrect,person,0,0.17,incorrect,person,0,0.17,incorrect
['merel'],ian,0,0.0,incorrect,ian,0,0.0,incorrect,ian,0,0.0,incorrect
['mara'],sarah,0,0.67,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect
['mara'],hester,0,0.2,incorrect,hester,0,0.2,incorrect,hester,0,0.2,incorrect
['floyd'],percival,0,0.15,incorrect,she,0,0.0,incorrect,she,0,0.0,incorrect
['mara'],hos,0,0.0,incorrect,hester,0,0.2,incorrect,hester,0,0.2,incorrect
['mara'],sadie,0,0.22,incorrect,sadie,0,0.22,incorrect,sadie,0,0.22,incorrect
['great'],aunt delphina,0,0.22,incorrect,delphina,0,0.31,incorrect,delphina,0,0.31,incorrect
['hannah'],you,0,0.0,incorrect,hester,0,0.17,incorrect,hester,0,0.17,incorrect
['hannah'],he,0,0.25,incorrect,john,0,0.4,incorrect,john,0,0.4,incorrect
['hannah'],john,0,0.4,incorrect,he,0,0.25,incorrect,he,0,0.25,incorrect
['hannah'],he,0,0.25,incorrect,john,0,0.4,incorrect,john,0,0.4,incorrect
['hannah'],dinner,0,0.33,incorrect,hester,0,0.17,incorrect,hester,0,0.17,incorrect
['mara'],broccoli,0,0.17,incorrect,broccoli,0,0.17,incorrect,broccoli,0,0.17,incorrect
['hannah'],dinner,0,0.33,incorrect,he,0,0.25,incorrect,he,0,0.25,incorrect
['hannah'],he,0,0.25,incorrect,he,0,0.25,incorrect,he,0,0.25,incorrect
['hannah'],mars,0,0.2,incorrect,borealis,0,0.14,incorrect,borealis,0,0.14,incorrect
