Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['cassie', 'cassie hiney', 'hiney']",john,0,0.44,incorrect,john,0,0.44,incorrect,hester,0,0.36,incorrect,hester,0,0.36,incorrect,dam,0,0.22,incorrect,dam,0,0.22,incorrect,maria,0,0.36,incorrect,maria,0,0.36,incorrect,john,0,0.44,incorrect,hester,0,0.36,incorrect,dam,0,0.22,incorrect,maria,0,0.36,incorrect
"['parson', 'chuck parson', 'chuck']",john,0,0.4,incorrect,john,0,0.4,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,[mask],0,0.33,incorrect,juan,0,0.4,incorrect,john,0,0.4,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,juan,0,0.4,incorrect
['chuck'],kid,0,0.25,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,guays,0,0.2,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect
"['chuck', 'chuc']",prom,0,0.0,incorrect,john,0,0.25,incorrect,hester,0,0.2,incorrect,hester,0,0.2,incorrect,hester,0,0.2,incorrect,hester,0,0.2,incorrect,[mask],0,0.18,incorrect,maria,0,0.0,incorrect,john,0,0.25,incorrect,hester,0,0.2,incorrect,hester,0,0.2,incorrect,maria,0,0.0,incorrect
['angela'],santa,0,0.55,incorrect,santa,0,0.55,incorrect,hester,0,0.17,incorrect,hester,0,0.17,incorrect,santa,0,0.55,incorrect,noel,0,0.6,incorrect,santa claus,0,0.47,incorrect,claus,0,0.36,incorrect,santa,0,0.55,incorrect,hester,0,0.17,incorrect,noel,0,0.6,incorrect,claus,0,0.36,incorrect
['margo'],she,0,0.0,incorrect,she,0,0.0,incorrect,[mask]'la,0,0.29,incorrect,hester,0,0.18,incorrect,catherine,0,0.29,incorrect,hester,0,0.18,incorrect,[mask],0,0.36,incorrect,maria,0,0.6,incorrect,she,0,0.0,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,maria,0,0.6,incorrect
['margo'],dad,0,0.25,incorrect,dad,0,0.25,incorrect,baba,0,0.22,incorrect,baba,0,0.22,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,papa,0,0.22,incorrect,papa,0,0.22,incorrect,dad,0,0.25,incorrect,baba,0,0.22,incorrect,hester,0,0.18,incorrect,papa,0,0.22,incorrect
"['margo—', 'margo']",emily,0,0.2,incorrect,school,0,0.18,incorrect,hester,0,0.18,incorrect,kiz,0,0.0,incorrect,mai,0,0.5,incorrect,mai,0,0.5,incorrect,ana,0,0.25,incorrect,manana,0,0.36,incorrect,school,0,0.18,incorrect,kiz,0,0.0,incorrect,mai,0,0.5,incorrect,manana,0,0.36,incorrect
['margo'],john,0,0.22,incorrect,park,0,0.44,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson park,0,0.21,incorrect,jefferson,0,0.29,incorrect,john,0,0.22,incorrect,jefferson,0,0.29,incorrect,park,0,0.44,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect
['margo'],hester,0,0.18,incorrect,john,0,0.22,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,[mask],0,0.36,incorrect,maria,0,0.6,incorrect,john,0,0.22,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,maria,0,0.6,incorrect
['margo'],[mask],0,0.36,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,nguyen,0,0.18,incorrect,hester,0,0.18,incorrect,juan,0,0.22,incorrect,juan,0,0.22,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,juan,0,0.22,incorrect
['margo'],hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,sevgilim,0,0.15,incorrect,em,0,0.29,incorrect,the,0,0.0,incorrect,hester,0,0.18,incorrect,juan,0,0.22,incorrect,hester,0,0.18,incorrect,sevgilim,0,0.15,incorrect,the,0,0.0,incorrect,juan,0,0.22,incorrect
['margo'],her,0,0.25,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,toi,0,0.25,incorrect,chu,0,0.0,incorrect,[mask],0,0.36,incorrect,juan,0,0.22,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,chu,0,0.0,incorrect,juan,0,0.22,incorrect
['margo'],sarah,0,0.4,incorrect,sarah,0,0.4,incorrect,kadin,0,0.2,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,co tu nhat,0,0.13,incorrect,novia,0,0.2,incorrect,juan,0,0.22,incorrect,sarah,0,0.4,incorrect,hester,0,0.18,incorrect,co tu nhat,0,0.13,incorrect,juan,0,0.22,incorrect
['margo'],girl,0,0.22,incorrect,her,0,0.25,incorrect,[mask],0,0.36,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,ana,0,0.25,incorrect,juan,0,0.22,incorrect,her,0,0.25,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,juan,0,0.22,incorrect
['margo'],girlfriend,0,0.13,incorrect,name,0,0.22,incorrect,7eleveri,0,0.15,incorrect,7eleveriin,0,0.13,incorrect,7-eleven,0,0.0,incorrect,hester,0,0.18,incorrect,mujer,0,0.4,incorrect,7-eleven,0,0.0,incorrect,name,0,0.22,incorrect,7eleveriin,0,0.13,incorrect,hester,0,0.18,incorrect,7-eleven,0,0.0,incorrect
['margo'],worthington,0,0.38,incorrect,worthington,0,0.38,incorrect,worthington,0,0.38,incorrect,worthington,0,0.38,incorrect,worthington,0,0.38,incorrect,worthington,0,0.38,incorrect,[mask],0,0.36,incorrect,worthington,0,0.38,incorrect,worthington,0,0.38,incorrect,worthington,0,0.38,incorrect,worthington,0,0.38,incorrect,worthington,0,0.38,incorrect
