Author,en_title,es_title,tr_title,vi_title,en_libgen_found,es_libgen_found,vi_libgen_found,tr_libgen_found,Genre,Subgenre,Subgenre_1,Subgenre_2,Subgenre_3,Subgenre_4,Subgenre_5,Release Date
Charles Dickens,A Tale of Two Cities,Una historia de dos ciudades,Iki sehrin hikayesi,HAI KINH THÀNH,True,True,False,True,classics,"fiction,sci-fi,dystopian",fiction,sci-fi,dystopian,,,1859-04-30
Mark Twain,Adventures of Huckleberry Finn,Las aventuras de Huckleberry Fin,Huckleberry Finn'in Maceralari,Cuoc Phieu Luu Cua Huckleberry Finn,True,True,False,True,fiction,"classic,historical fiction, adventure",classic,historical fiction,adventure,,,1884-12-10
George Orwell,Animal Farm,Rebelion en la granja,Hayvan Ciftligi,Trại Súc Vật,True,True,False,True,fiction,"dystopia,fantasy,literature",dystopia,fantasy,literature,,,
Bram Stoker,Dracula,Dracula,Dracula,Bá Tước Dracula,True,True,False,True,classics,"horror,fiction,fantasy",horror,fiction,fantasy,,,1897-05-26
Gabriel Garcia Marquez,One Hundred Years of Solitude,Cien anos de soledad,Yuzyillik Yalnizlik,Trăm Năm Cô Đơn,True,True,False,True,fiction,"magical realism,fantasy,literature",magical realism,fantasy,literature,,,
Jane Austen,Pride and Prejudice,Orgullo y prejuicio,Akil ve Tutku,Kieu Hanh va Dinh Kien,True,True,False,True,"fiction,","historical fiction,historical,literature",historical fiction,historical,literature,,,1813-01-28
Jane Austen,Sense and Sensibility,Sentido y sensibilidad,Gurur ve Onyargi,Ly Tri Va Tinh Cam,True,True,False,True,fiction,"historical fiction,historical,literature",historical fiction,historical,literature,,,1811-01-01
F. Scott Fitzgerald,The Great Gatsby,El gran Gatsby,Muhtesem Gatsby,Gatsby Vi Dai,True,True,False,True,fiction,"historical fiction,romance,literature",historical fiction,romance,literature,,,1925-04-10
Margaret Atwood,The Handmaid's Tale,El cuento de la criada,Damizlik kizin oykusu,Chuyen Nguoi Tuy Nu,True,True,False,True,fiction,"classics,dystopia, sci-fi",classics,dystopia,sci-fi,,,
Oscar Wilde,The Picture of Dorian Gray,El retrato de Dorian gray,Dorian Gray'in Portresi,Bức Tranh Dorian Gray,True,True,False,True,classics,fiction horror gothic,fiction,horror,gothic,,,1890-06-20
George Orwell,1984,1984,1984,1984,True,True,True,True,Classics,"Fiction,
Science Fiction,
Dystopia,
Literature,
Politics",Fiction,"
Science Fiction","
Dystopia","
Literature","
Politics",1949-06-08
Lewis Carroll,Alice in Wonderland,Alicia en el país de las maravillas,Alice Harikalar Diyarinda,Alice o xu so dieu ky,True,True,False,True,fantasy,"fiction,classics,literature",fiction,classics,literature,,,
Ray Bradbury,Fahrenheit 451,Fahrenheit 451,Fahrenheit 451,451 Độ Fahrenheit,True,True,False,True,fiction,scifi dystopia school,scifi,dystopia,school,,,1953-10-19
Mary Shelley,Frankenstein,Frankenstein,Frankenstein,Frankenstein,True,True,False,True,horror,"fiction,scifi,gothic",fiction,scifi,gothic,,,1818-01-01
John Steinback,Of mice and men,De ratones y hombres,Fareler ve Insanlar,Của Chuột và của Người,True,True,False,True,fiction,"schol, his fi, literature",schol,his fi,literature,,,1937-01-01
John Boyne,The boy in striped pyjamas,El nino con el pijama de rayas,Cizgili Pijamali Cocuk,Chú bé mang pyjama sọc,True,True,False,True,his fi,fiction young adult historical,fiction, young adult ,historical,,,
Khaled Husseini,A Thousand splendid suns,Mil Soles Esplendidos,Bin Muhtesem Gunes,Ngàn Mặt Trời Rực Rỡ,True,True,False,True,fiction,"his fi, historical, classics",his fi,historical,classics,,,2007-05-22
Rick Riordian,Percy Jackson The Lightning Thief,El ladron del rayo,Simsek Hirsizi,Kẻ Cắp Tia Chớp,True,True,False,True,fantasy,"young adult, mythology,fictioin",young adult,mythology,fictioin,,,
Arthur Conan Dyle,Adventures of Sherlock Holmes,Aventuras de sherlock holmes,Sherlock Holmes'in maceralari,Sherlock Holmes Toan Tap,True,True,False,True,mystery,"fiction,short stories,crime",fiction,short stories,crime,,,1892-10-14
Frank Herbert,Dune,Dune,Dune,Xứ cát,True,True,False,True,scifi,fiction fantasy scifi fantasy,fiction,fantasy,scifi,,,1965-08-01
J.K. Rowling,Harry Potter and the Deathly Hallows,Harry Potter y las reliquias de la muerte,Harry Potter ve Olum Yadigarlari,Harry Potter va Bao Boi Tu Than,True,True,False,True,fiction,"fiction,magic,childrens",fiction,magic,childrens,,,2007-07-21
