en,en_results,Single_ent,en_shuffled,en_shuffled_results
"“I’m Adela,” she said. She had an eye patch and blond hair the same color and texture as hay. “I’m the Vice Secretary.”","Based on the passage, I'm going to make a guess that the book is ""The Lies of Locke Lamora"" and the author is Scott Lynch.",['adela'],"color and She blond and hay. eye the an said. she “I’m Adela,” as “I’m texture Vice same Secretary.” had the hair patch","Based on the passage, I'm going to make a guess that the book is likely a work of absurd or surrealist literature, possibly a short story or a novel. The passage appears to be a fragment of a text with a dreamlike or illogical quality to it.  My guess for the book is: ""Finnegans Wake"" by James Joyce.  However, I must note that the passage doesn't seem to match the style of James Joyce's other works, and ""Finneg"
"“The Wellness team think their adjustment will be negatively impacted if they’re held on the wards any longer,” said Adela, dry as a filing system.","Based on the passage, I'm going to make a guess that the book is:  {""title"": ""The Long Song"", ""author"": ""Diane Setterfield""}",['adela'],"impacted if longer,” a held said be they’re system. their adjustment Wellness dry wards will the any think filing as on “The team Adela, negatively","Based on the passage, I'm going to make a guess. The passage appears to be a jumbled or corrupted text, making it difficult to determine the exact book and author. However, I'll try to make an educated guess.  The passage seems to be a mix of words and phrases that could be related to a medical or psychological context, possibly from a novel or a non-fiction book. Given the mention of ""Wellness"" and ""team,"" I'm going to take a guess that the"
"Graham Gore (Commander, Royal Navy; c.1809–c.1847) had been in the twenty-first century for five weeks, though, like the other expats, he’d been lucid for only a handful of those days. The extraction process had merited a fortnight of hospitalization. Two of the original seven expats had died because of it, and only five remained. He’d been treated for pneumonia, for severe frostbite, for the early stages of scurvy, and two broken toes on which he had been blithely walking. Lacerations too, from a Taser—he’d shot at two of the team members who’d come to expatriate him, and a third was forced to fire."," ""title"": ""The Gone-Away World"", ""author"": ""Nick Harkaway"" ",['graham gore'],"expatriate toes too, forced been extraction which had broken five lucid only the hospitalization. team had severe for scurvy, shot days. Taser—he’d weeks, for to him, was Royal died early for it, handful of of five like the because two the walking. (Commander, and fortnight blithely twenty-first a of frostbite, He’d on been he of expats, a century the come had Graham third two The merited seven members Navy; the those a a for of fire. original though, Gore treated who’d had only from for and stages remained. c.1809–c.1847) to expats he’d been process of in pneumonia, other been and at Lacerations Two"," ""title"": ""The Beach of Falesá"", ""author"": ""Robert Louis Stevenson"" "
"The house that the Ministry had provided was a late-Victorian redbrick, originally designed for local workers. Gore would have seen them built, if he’d lived into his eighties. As it was, he was thirty-seven years old and had not experienced crinolines, A Tale of Two Cities, or the enfranchisement of the working classes."," ""title"": ""The Remains of the Day"", ""author"": ""Ishiguro Kazuo"" ",['gore'],"that thirty-seven if built, provided classes. late-Victorian have experienced into Tale As it designed local A redbrick, he’d enfranchisement had had or a crinolines, years he was Cities, of of them seen the for old the workers. was, Ministry originally lived house eighties. and not would the his The Two Gore was working","Based on the passage, I'm going to make a guess that the book is:  ""output"": {""title"": ""The Two Cities"", ""author"": ""Wilkie Collins""}  The passage seems to be a description of the setting and characters in the novel, which matches the style of Wilkie Collins, a prominent English author of detective fiction and social commentary. The mention of ""late-Victorian"" and ""redbrick"" also suggests a work set in the late 19th century, which"
"“Mm. Beside your elbow is a white box with a handle. It’s a refrigerator—a fridge, we call it. Could you open the door and take out the milk, please?”","   ""title"": ""The Hitchhiker's Guide to the Galaxy"",   ""author"": ""Douglas Adams"" ",['mm'],"a you is box call take and please?” we it. door fridge, “Mm. with elbow the out a open a refrigerator—a handle. Beside the It’s milk, your white Could"," ""title"": ""Goodnight Moon"", ""author"": ""Margaret Wise Brown"" "
"Gore was already fully dressed and sitting on the edge of the bath, smoking. The bottom of the bath had a low-tide mark of cigarette ash and soap scum. Two cigarettes were crushed out in the soap dish."," ""title"": ""The Crying of Lot 49"", ""author"": ""Thomas Pynchon"" ",['gore'],"on were soap bottom cigarette and The soap already was the low-tide dressed of Gore sitting the smoking. edge cigarettes mark the of and Two bath, the fully a of in scum. dish. crushed had ash out bath","Based on the passage, I'm going to take a guess that the book is ""Ulysses"" and the author is James Joyce.  The passage appears to be a fragment of a stream-of-consciousness narrative, which is a characteristic of James Joyce's writing style, particularly in ""Ulysses"". The use of disjointed and fragmented sentences, as well as the focus on everyday details, is also consistent with Joyce's style.  Here is the output:  {   ""title"": """
"All this was to come. On that first morning, there was Gore chain-smoking and a bleeding water-supply line. The toilet’s cistern lay on the floor, gleaming like a slain whale. A vile smell was seeping up from the floor."," ""title"": ""The Road"", ""author"": ""Cormac McCarthy"" ",['gore'],"line. All floor. seeping the cistern was whale. there On was that gleaming on bleeding like The and chain-smoking floor, morning, Gore lay slain from A first come. up was vile to toilet’s a the smell water-supply a this","Based on the passage provided, I'm going to make an educated guess. The passage appears to be a fragment of a work of surrealist or absurdist literature, possibly from a novel.   "" title"": ""Finnegans Wake"",""author"": ""James Joyce"""
"Gore was an officer from the dusk of the Age of Sail, not an engineer. I’m sure he knew plenty about ship’s rigging, but he’d probably never handled an instrument more technologically complex than a sextant. Men in their right minds are not usually overcome with a mania for pulling the plumbing apart. I suggested he might like to wash his hands at the sink downstairs, and I could, perhaps, call a plumber, and we could, potentially, take a constitutional walk on the nearby heath.","Based on the passage, I'm going to make a guess that the book is:  {""title"": ""The Lies of Locke Lamora"", ""author"": ""Scott Lynch""}",['gore'],"was minds heath. an he to than overcome not nearby the dusk take Men more a their the constitutional downstairs, suggested at usually the and an apart. he for potentially, pulling mania I the rigging, ship’s officer about I’m technologically engineer. could, sink the sextant. plenty wash never we right are an I and of a sure Sail, Age from Gore his call plumber, he’d hands in probably but with of instrument knew handled perhaps, a walk complex a not might plumbing could, on like","Based on the passage provided, I'm going to make an educated guess. The passage appears to be written in a style that is reminiscent of 19th-century literature, particularly in the way it describes the protagonist's thoughts and actions in a somewhat poetic and introspective manner.  Given the mention of a ""sextant"" and ""rigging,"" I'm going to take a guess that the passage is from a nautical or maritime-themed novel.   My guess is that the passage is from the"
"The more I got to know him, the more I discovered Gore was the most entirely realized person I’d ever met. In his own time, he had liked hunting, sketching, flute playing (he was very good at this), and the company of other people. Hunting was out of the question, and socializing was limited by order of the Ministry. By the end of the first week he was visibly going bonkers with no one but me to talk to."," ""title"": ""The Hunger Games"", ""author"": ""Suzanne Collins"" ",['gore'],"he more him, to. liked one to limited visibly talk got and out people. first going socializing discovered the Hunting of of the of flute The met. of no the by was realized at own had very company (he most he his I me the ever to order was good but sketching, I bonkers time, question, end know the In Ministry. Gore the week the person other was this), hunting, more playing entirely I’d was was with and By","Based on the passage provided, I'm going to make an educated guess. The passage appears to be a fragment of a novel written in a stream-of-consciousness style, which is often associated with modernist literature.  My guess is that the passage originates from the book ""Ulysses"" by James Joyce. The style and structure of the passage seem to match the novel's unique narrative technique, which is characterized by a fluid, unstructured, and introspective narrative voice.  Here's my output"
"Gore was internally displaced in this way. I could sometimes see him regarding the modern world as if through a telescope. He stood forever on the deck of a ship somewhere in the early 1800s. He must have done it even in his own era, coming down from the ports to note with alarm that women were wearing their sleeves wide again, that some European country had declared war on another again, while he was months or years away at sea. He told me stories as if he were trying to catch himself in amber. Just like my mother, though I didn’t tell him that.","Based on the passage, I'm going to make a guess that the book is:  {""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Díaz""}",['gore'],"at on he done forever to the mother, ports He early somewhere were stories Just like while some He have alarm stood world war ship declared modern on coming could another the a tell didn’t era, I if as that again, I it 1800s. or in months Gore had him as through in was down trying him with amber. a deck displaced in himself country again, even he from that. away women must in this European the way. own though were their years his note sleeves wearing my me that regarding telescope. sometimes if was He internally wide the see sea. of told catch to","Based on the passage provided, I'm going to make an educated guess. The passage appears to be a fragment of a narrative written in a style reminiscent of 19th-century literature, possibly from the early 20th century. The use of phrases like ""1800s"" and the mention of a ""telescope"" suggest a historical or period-specific context.  Given the writing style and the themes of the passage, I'm going to take a guess that the passage is from the book ""M"
