en,en_results,Single_ent,en_shuffled,en_shuffled_results
"“I think I’m all set here,” he says, and lol of course he isn’t going to kiss me. “But if I forgot anything, you can have Jake come pick it up.”","""title"": ""Unknown"", ""author"": ""Unknown""",['jake'],"think forgot “I it have course anything, pick going lol all here,” set you can I if me. up.” of to come he says, isn’t and “But kiss he Jake I’m","""title"": ""Unknown"", ""author"": ""Unknown"""
"Jake: younger brother to West (and only slightly less good-looking) and that type of college friend who knows everything about my life at UCLA but has never met my father, who lives only an hour away. Jake introduced me to West; now Jake will be my sole remaining connection to West. The thought makes me a little sad, but then I remember I have the couch and T-virus zombies waiting for me inside.","""title"": ""The Last of the Mohicans"", ""author"": ""James Fenimore Cooper""",['jake'],"I friend Jake: less connection only couch but brother T-virus then good-looking) sad, now thought my but to West; knows never to away. who Jake and a I me life zombies met younger me lives (and my only me inside. be remaining for type father, introduced of remember that who West and sole West. The to waiting college Jake makes slightly my hour little at the has about everything an UCLA will have","""title"": ""Unknown"", ""author"": ""Unknown"""
"“You, too.” West smiles that eye-crinkling smile again, and damn, I really wish I’d seen it more. “Bye, Anna.”","""title"": ""Unknown book"", ""author"": ""Unknown author""",['anna'],"“Bye, more. really Anna.” wish damn, seen “You, and West it again, eye-crinkling I smile too.” smiles I’d that","""title"": ""Unknown"", ""author"": ""Unknown"""
"I feel her attention move from the empty apartment to the side of my face, and when I smile over at her, her blue eyes are round with worry. “Holy shit, Anna, I had no idea. Are you okay?”","""title"": ""Unknown"", ""author"": ""Unknown""",['anna'],"of round the shit, the her, worry. okay?” “Holy apartment at no empty had move idea. you I over side her blue her from with I smile feel eyes Are to when Anna, attention I my face, are and","""title"": ""Unknown"", ""author"": ""Unknown"""
"“That is wonderful news, sweetheart! Oh, I’m so thrilled! Why don’t you fly down to John Wayne the night before, stay at the house, and we’ll all take the plane over together? The flight to Singapore is a bear.”","""title"": ""Unknown"", ""author"": ""Unknown""",['john wayne'],"news, to the the you John night “That the together? so The I’m Why take Wayne and house, fly over thrilled! down bear.” wonderful is flight at sweetheart! Oh, all before, stay is plane a we’ll to don’t Singapore","""title"": ""Unknown"", ""author"": ""Unknown"""
"“Anna?” he says, like he’s not entirely sure, and then does a full top-to-bottom sweep of my body, which recalls the lack of pants. When he digs his hand into his luscious head of hair, I forget to be embarrassed again, because it all comes back to me.","""title"": ""Fifty Shades of Grey"", ""author"": ""E. L. James""",['anna'],"body, then and lack the my his again, to I of forget it entirely he a hand embarrassed back head because recalls digs sure, to of When says, luscious he into of his like hair, me. does he’s which top-to-bottom all pants. not sweep be comes “Anna?” full","""title"": ""Unknown"", ""author"": ""Unknown"""
The expression he makes is like the meme of that one kid who smiles and then immediately bursts into tears. West is staring at me like he’s doomed but must pretend to be happy about it. “Anna. You look… great?”,"""title"": ""Unknown"", ""author"": ""Unknown""",['anna'],into staring it. smiles tears. meme the great?” like like look… The one then must at “Anna. that is he’s about West who and You to happy expression be kid but immediately doomed makes me is pretend of bursts he,"""title"": ""Unknown"", ""author"": ""Unknown"""
"Stepping aside, I let him pass, and he pulls up short at what’s on the television screen. Conan is enthusiastically fucking a witch in a cave. We both clear our throats and look up at the ceiling instead.","""title"": ""Unknown"", ""author"": ""Unknown""",['conan'],"witch short is he Conan screen. in both enthusiastically at and a our fucking clear television let and up a at look the the ceiling We cave. him what’s I on throats pass, instead. aside, pulls up Stepping","""title"": ""Conan the Barbarian"", ""author"": ""Robert E. Howard"""
"He adjusts his posture on the sofa, turning slightly to face me. Oh, right. He came here to ask me for help. I sit up, too, tucking a loose strand of hair behind my ear. Focus, Anna.","""title"": ""Unknown book"", ""author"": ""Unknown author""",['anna'],"here Anna. face on the for sit of ask to loose turning He too, adjusts hair tucking to slightly up, right. me. He sofa, my behind Oh, me came I posture Focus, a his ear. help. strand","""title"": ""Unknown"", ""author"": ""Unknown"""
"“I knew what Jake ordered for lunch and what kinds of stupid movies would make him laugh, and I could predict all his pickup lines at parties, but we didn’t ever, like, sit down and do backstory. He didn’t even mention he had a brother until he suggested I marry you.”","""title"": ""The Art of Fielding"", ""author"": ""Chad Harbach""",['jake'],"parties, kinds and sit like, down he knew laugh, Jake he all stupid but his until what at “I lines and a him make predict I ever, for suggested would movies and mention could He brother what had you.” pickup we backstory. do I even didn’t lunch of ordered didn’t marry","""title"": ""Unknown"", ""author"": ""Unknown"""
