en,en_results,Single_ent,en_prompts_shuffled,en_prompts_shuffled_results
"“I think I’m all set here,” he says, and lol of course he isn’t going to kiss me. “But if I forgot anything, you can have Jake come pick it up.”","""title"": ""Eleanor &amp; Park"", ""author"": ""Rainbow Rowell""",['jake'],"think forgot “I it have course anything, pick going lol all here,” set you can I if me. up.” of to come he says, isn’t and “But kiss he Jake I’m","""title"": ""Twilight"", ""author"": ""Stephenie Meyer"""
"Jake: younger brother to West (and only slightly less good-looking) and that type of college friend who knows everything about my life at UCLA but has never met my father, who lives only an hour away. Jake introduced me to West; now Jake will be my sole remaining connection to West. The thought makes me a little sad, but then I remember I have the couch and T-virus zombies waiting for me inside.","""title"": ""The Love Hypothesis"", ""author"": ""Ali Hazelwood""",['jake'],"I friend Jake: less connection only couch but brother T-virus then good-looking) sad, now thought my but to West; knows never to away. who Jake and a I me life zombies met younger me lives (and my only me inside. be remaining for type father, introduced of remember that who West and sole West. The to waiting college Jake makes slightly my hour little at the has about everything an UCLA will have","""title"": ""World War Z"", ""author"": ""Max Brooks"""
"“You, too.” West smiles that eye-crinkling smile again, and damn, I really wish I’d seen it more. “Bye, Anna.”","""title"": ""Anna and the French Kiss"", ""author"": ""Stephanie Perkins""",['anna'],"“Bye, more. really Anna.” wish damn, seen “You, and West it again, eye-crinkling I smile too.” smiles I’d that","""title"": ""Anna and the French Kiss"", ""author"": ""Stephanie Perkins"""
"I feel her attention move from the empty apartment to the side of my face, and when I smile over at her, her blue eyes are round with worry. “Holy shit, Anna, I had no idea. Are you okay?”","""title"": ""Beautiful Disaster"", ""author"": ""Jamie McGuire""",['anna'],"of round the shit, the her, worry. okay?” “Holy apartment at no empty had move idea. you I over side her blue her from with I smile feel eyes Are to when Anna, attention I my face, are and","""title"": ""The Fault in Our Stars"", ""author"": ""John Green"""
"“That is wonderful news, sweetheart! Oh, I’m so thrilled! Why don’t you fly down to John Wayne the night before, stay at the house, and we’ll all take the plane over together? The flight to Singapore is a bear.”","""title"": ""The Valley of the Dolls"", ""author"": ""Jacqueline Susann""",['john wayne'],"news, to the the you John night “That the together? so The I’m Why take Wayne and house, fly over thrilled! down bear.” wonderful is flight at sweetheart! Oh, all before, stay is plane a we’ll to don’t Singapore","""title"": ""The Rosie Project"", ""author"": ""Graeme Simsion"""
"“Anna?” he says, like he’s not entirely sure, and then does a full top-to-bottom sweep of my body, which recalls the lack of pants. When he digs his hand into his luscious head of hair, I forget to be embarrassed again, because it all comes back to me.","""title"": ""Wait for It"", ""author"": ""Molly O'Keefe""",['anna'],"body, then and lack the my his again, to I of forget it entirely he a hand embarrassed back head because recalls digs sure, to of When says, luscious he into of his like hair, me. does he’s which top-to-bottom all pants. not sweep be comes “Anna?” full","""title"": ""Anna Karenina"", ""author"": ""Leo Tolstoy"""
The expression he makes is like the meme of that one kid who smiles and then immediately bursts into tears. West is staring at me like he’s doomed but must pretend to be happy about it. “Anna. You look… great?”,"""title"": ""Anna and the French Kiss"", ""author"": ""Stephanie Perkins""",['anna'],into staring it. smiles tears. meme the great?” like like look… The one then must at “Anna. that is he’s about West who and You to happy expression be kid but immediately doomed makes me is pretend of bursts he,"""title"": ""Anna Karenina"", ""author"": ""Leo Tolstoy"""
"Stepping aside, I let him pass, and he pulls up short at what’s on the television screen. Conan is enthusiastically fucking a witch in a cave. We both clear our throats and look up at the ceiling instead.","""title"": ""The Fisherman"", ""author"": ""John Langan""",['conan'],"witch short is he Conan screen. in both enthusiastically at and a our fucking clear television let and up a at look the the ceiling We cave. him what’s I on throats pass, instead. aside, pulls up Stepping","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Díaz"""
"He adjusts his posture on the sofa, turning slightly to face me. Oh, right. He came here to ask me for help. I sit up, too, tucking a loose strand of hair behind my ear. Focus, Anna.","""title"": ""Anna and the French Kiss"", ""author"": ""Stephanie Perkins""",['anna'],"here Anna. face on the for sit of ask to loose turning He too, adjusts hair tucking to slightly up, right. me. He sofa, my behind Oh, me came I posture Focus, a his ear. help. strand","""title"": ""Anna Karenina"", ""author"": ""Leo Tolstoy"""
"“I knew what Jake ordered for lunch and what kinds of stupid movies would make him laugh, and I could predict all his pickup lines at parties, but we didn’t ever, like, sit down and do backstory. He didn’t even mention he had a brother until he suggested I marry you.”","""title"": ""The Hating Game"", ""author"": ""Sally Thorne""",['jake'],"parties, kinds and sit like, down he knew laugh, Jake he all stupid but his until what at “I lines and a him make predict I ever, for suggested would movies and mention could He brother what had you.” pickup we backstory. do I even didn’t lunch of ordered didn’t marry","""title"": ""The Catcher in the Rye"", ""author"": ""J.D. Salinger"""
"“I definitely need to go back to the beginning,” I say, wiping my eyes. I mime an explosion at my temples. “Like—my mind is blown right now. You dressed like a middle schooler around the house. All basketball shorts, all the time. You drove a Honda! West, you’re incognito rich! No wonder Jake never told me anything about his family! I would have made him pay for Jersey Mike’s every fucking time! Wait. Why did you need to live on campus? If you’re the grandson of the founder of Weston’s, you could probably buy an entire apartment building on Sunset.”","""title"": ""Sweet Filthy Boy"", ""author"": ""Christina Lauren""",['jake'],"Wait. a you incognito No You wonder eyes. founder told about made live on drove time. have mime did need him to If now. need “Like—my West, the the you’re Jake could beginning,” me pay time! blown an anything I right shorts, like All my would definitely family! you’re Sunset.” the probably middle the never building campus? the schooler around entire you for a back rich! grandson buy Why every say, Honda! “I go of apartment of at on Mike’s Weston’s, all I You temples. basketball wiping explosion I my dressed Jersey house. mind an to his is fucking to","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Díaz"""
"That lands in a puddle of silence, and it hits me after a couple of seconds filled only with the sound of Conan kicking someone’s ass on TV that West expects me to catch his meaning.","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky""",['conan'],"on of silence, his me with it West seconds ass expects filled after sound that hits and lands catch someone’s puddle meaning. a to me the TV kicking in a only of of couple Conan That","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Díaz"""
"“Correct.” He looks down to his lap. “Only Jake knew the real situation. The rest of my family was disappointed that I didn’t let them throw me a big wedding, but I guess they weren’t all that surprised. I’ve always been private.”","""title"": ""Wait for You"", ""author"": ""J. Lynn""",['jake'],"surprised. been always He they weren’t lap. rest Jake that my but of big private.” them guess I situation. down didn’t the let looks “Correct.” “Only a to his disappointed real family that I me throw wedding, was knew I’ve all The","""title"": ""The Great Gatsby"", ""author"": ""F. Scott Fitzgerald"""
"He looks me over again, top to bottom, and the defeat in his eyes makes me realize the true extent of my unshowered, feral chaos. “Actually, Anna,” he says, “I need you to come with me to my sister’s wedding in Indonesia and convincingly play the part of my very loving wife.”","""title"": ""The Wedding Date"", ""author"": ""Jasmine Guillory""",['anna'],"play in loving extent his and over me come me in to my makes you of convincingly very realize me wife.” top Anna,” unshowered, my sister’s wedding the again, the and to the he feral need looks defeat He part of says, chaos. “I my “Actually, eyes bottom, true Indonesia with to","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Díaz"""
