Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['cassie', 'hiney', 'cassie hiney']",harry,0,0.4,incorrect,emily,0,0.4,incorrect,ali,0,0.44,incorrect,yol,0,0.25,incorrect,ngoc,0,0.22,incorrect,nguyen du,0,0.29,incorrect,butt,0,0.0,incorrect,emma,0,0.22,incorrect,emily,0,0.4,incorrect,yol,0,0.25,incorrect,nguyen du,0,0.29,incorrect,emma,0,0.22,incorrect
"['parson', 'chuck parson', 'chuck']",victor,0,0.22,incorrect,wrestling,0,0.4,incorrect,rocky,0,0.4,incorrect,ahmet,0,0.2,incorrect,hooc-mon tang co,0,0.36,incorrect,hooc-mon,0,0.4,incorrect,jabba,0,0.18,incorrect,wada,0,0.2,incorrect,wrestling,0,0.4,incorrect,ahmet,0,0.2,incorrect,hooc-mon,0,0.4,incorrect,wada,0,0.2,incorrect
['chuck'],he,0,0.29,incorrect,harry,0,0.2,incorrect,amerika,0,0.17,incorrect,ali,0,0.0,incorrect,nguyen van thieu,0,0.19,incorrect,the,0,0.25,incorrect,el,0,0.0,incorrect,europa,0,0.18,incorrect,harry,0,0.2,incorrect,ali,0,0.0,incorrect,the,0,0.25,incorrect,europa,0,0.18,incorrect
"['chuc', 'chuck']",life,0,0.0,incorrect,high school,0,0.27,incorrect,murat,0,0.22,incorrect,ali,0,0.0,incorrect,nguyen tuan,0,0.13,incorrect,chung,0,0.67,incorrect,la vida,0,0.0,incorrect,noche,0,0.44,incorrect,high school,0,0.27,incorrect,ali,0,0.0,incorrect,chung,0,0.67,incorrect,noche,0,0.44,incorrect
['angela'],claus,0,0.36,incorrect,santa,0,0.55,incorrect,noel,0,0.6,incorrect,ali,0,0.44,incorrect,santa claus,0,0.47,incorrect,nguyen,0,0.5,incorrect,mi novia,0,0.29,incorrect,napoleon,0,0.29,incorrect,santa,0,0.55,incorrect,ali,0,0.44,incorrect,nguyen,0,0.5,incorrect,napoleon,0,0.29,incorrect
['margo'],luna,0,0.22,incorrect,michael jackson,0,0.3,incorrect,yunus emre,0,0.27,incorrect,turhan soray,0,0.24,incorrect,ngoc,0,0.44,incorrect,nguyen huy tuong,0,0.19,incorrect,lucas,0,0.2,incorrect,juan,0,0.22,incorrect,michael jackson,0,0.3,incorrect,turhan soray,0,0.24,incorrect,nguyen huy tuong,0,0.19,incorrect,juan,0,0.22,incorrect
['margo'],harry,0,0.4,incorrect,john,0,0.22,incorrect,harry,0,0.4,incorrect,yanlis,0,0.18,incorrect,nguyen du,0,0.14,incorrect,duc phan,0,0.15,incorrect,harry,0,0.4,incorrect,mama,0,0.44,incorrect,john,0,0.22,incorrect,yanlis,0,0.18,incorrect,duc phan,0,0.15,incorrect,mama,0,0.44,incorrect
"['margo—', 'margo']",charlie,0,0.33,incorrect,emily,0,0.2,incorrect,yarin,0,0.4,incorrect,sabah,0,0.2,incorrect,nguyen huy tuong,0,0.19,incorrect,nguyen huu huan,0,0.1,incorrect,luna,0,0.22,incorrect,manana,0,0.36,incorrect,emily,0,0.2,incorrect,sabah,0,0.2,incorrect,nguyen huu huan,0,0.1,incorrect,manana,0,0.36,incorrect
['margo'],jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect
['margo'],marie,0,0.6,incorrect,elizabeth,0,0.14,incorrect,albert camus,0,0.24,incorrect,emekliligi,0,0.27,incorrect,nguyen huy thiep,0,0.1,incorrect,nguyen du,0,0.14,incorrect,albert camus,0,0.24,incorrect,vasquez,0,0.17,incorrect,elizabeth,0,0.14,incorrect,emekliligi,0,0.27,incorrect,nguyen du,0,0.14,incorrect,vasquez,0,0.17,incorrect
['margo'],jess,0,0.0,incorrect,boat,0,0.22,incorrect,ali,0,0.25,incorrect,murat,0,0.4,incorrect,ngoc,0,0.44,incorrect,chang,0,0.4,incorrect,tom,0,0.25,incorrect,marina,0,0.55,incorrect,boat,0,0.22,incorrect,murat,0,0.4,incorrect,chang,0,0.4,incorrect,marina,0,0.55,incorrect
['margo'],jess,0,0.0,incorrect,jane,0,0.22,incorrect,aslinda kuzenim,0,0.1,incorrect,aslinda,0,0.17,incorrect,anh,0,0.25,incorrect,the,0,0.0,incorrect,juan,0,0.22,incorrect,juan,0,0.22,incorrect,jane,0,0.22,incorrect,aslinda,0,0.17,incorrect,the,0,0.0,incorrect,juan,0,0.22,incorrect
['margo'],jess,0,0.0,incorrect,years,0,0.4,incorrect,ben,0,0.0,incorrect,altan,0,0.2,incorrect,nguyen huu thinh,0,0.1,incorrect,nguyen huy tuong,0,0.19,incorrect,jorge,0,0.4,incorrect,madrid,0,0.55,incorrect,years,0,0.4,incorrect,altan,0,0.2,incorrect,nguyen huy tuong,0,0.19,incorrect,madrid,0,0.55,incorrect
['margo'],jess,0,0.0,incorrect,jean,0,0.22,incorrect,inci,0,0.0,incorrect,rumi,0,0.22,incorrect,ngoc,0,0.44,incorrect,nguyen du,0,0.14,incorrect,juan,0,0.22,incorrect,amigo,0,0.6,incorrect,jean,0,0.22,incorrect,rumi,0,0.22,incorrect,nguyen du,0,0.14,incorrect,amigo,0,0.6,incorrect
['margo'],sarah,0,0.4,incorrect,jean,0,0.22,incorrect,abi,0,0.25,incorrect,otomobil,0,0.31,incorrect,nguyen,0,0.18,incorrect,nguyen huu tho,0,0.21,incorrect,jess,0,0.0,incorrect,juan,0,0.22,incorrect,jean,0,0.22,incorrect,otomobil,0,0.31,incorrect,nguyen huu tho,0,0.21,incorrect,juan,0,0.22,incorrect
['margo'],emily,0,0.2,incorrect,7-eleven,0,0.0,incorrect,dogru,0,0.2,incorrect,7eleveri,0,0.15,incorrect,nguyen huy hoang,0,0.19,incorrect,nguyen du,0,0.14,incorrect,jennifer,0,0.15,incorrect,7-eleven,0,0.0,incorrect,7-eleven,0,0.0,incorrect,7eleveri,0,0.15,incorrect,nguyen du,0,0.14,incorrect,7-eleven,0,0.0,incorrect
