Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_masked_results,en_masked_exact_match,en_masked_highest_fuzzy_match,en_masked_correct,en_masked_shuffled_results,en_masked_shuffled_exact_match,en_masked_shuffled_highest_fuzzy_match,en_masked_shuffled_correct,tr_masked_results,tr_masked_exact_match,tr_masked_highest_fuzzy_match,tr_masked_correct,tr_masked_shuffled_results,tr_masked_shuffled_exact_match,tr_masked_shuffled_highest_fuzzy_match,tr_masked_shuffled_correct,vi_masked_results,vi_masked_exact_match,vi_masked_highest_fuzzy_match,vi_masked_correct,vi_masked_shuffled_results,vi_masked_shuffled_exact_match,vi_masked_shuffled_highest_fuzzy_match,vi_masked_shuffled_correct,es_masked_results,es_masked_exact_match,es_masked_highest_fuzzy_match,es_masked_correct,es_masked_shuffled_results,es_masked_shuffled_exact_match,es_masked_shuffled_highest_fuzzy_match,es_masked_shuffled_correct,en_masked_shuffled_results,en_masked_shuffled_exact_match,en_masked_shuffled_highest_fuzzy_match,en_masked_shuffled_correct,tr_masked_shuffled_results,tr_masked_shuffled_exact_match,tr_masked_shuffled_highest_fuzzy_match,tr_masked_shuffled_correct,vi_masked_shuffled_results,vi_masked_shuffled_exact_match,vi_masked_shuffled_highest_fuzzy_match,vi_masked_shuffled_correct,es_masked_shuffled_results,es_masked_shuffled_exact_match,es_masked_shuffled_highest_fuzzy_match,es_masked_shuffled_correct
"['mr bingley', 'mr', 'bingley']",jesus,0,0.17,incorrect,moses,0,0.29,incorrect,ogun,0,0.18,incorrect,yoruba,0,0.25,incorrect,moses,0,0.29,incorrect,nelson mandela,0,0.29,incorrect,jesus,0,0.17,incorrect,jesus,0,0.17,incorrect,ram,0,0.4,incorrect,ram,0,0.4,incorrect,maria,0,0.57,incorrect,andry,0,0.33,incorrect,moses,0,0.29,incorrect,yoruba,0,0.25,incorrect,nelson mandela,0,0.29,incorrect,jesus,0,0.17,incorrect,ram,0,0.4,incorrect,andry,0,0.33,incorrect,jane,0,0.36,incorrect,jane,0,0.36,incorrect,bayan,0,0.33,incorrect,guzellik,0,0.27,incorrect,chung toi,0,0.25,incorrect,nguoi,0,0.33,incorrect,el,0,0.22,incorrect,madre,0,0.57,incorrect,jane,0,0.36,incorrect,guzellik,0,0.27,incorrect,nguoi,0,0.33,incorrect,madre,0,0.57,incorrect
"['señor', 'bennet', 'señor bennet', 'mr bennet', 'mr']",hamlet,0,0.4,incorrect,kelello,0,0.33,incorrect,madam,0,0.29,incorrect,okunrin,0,0.33,incorrect,hamlet,0,0.4,incorrect,south africa,0,0.35,incorrect,maori,0,0.57,incorrect,maori,0,0.57,incorrect,ramchandra,0,0.33,incorrect,ramayana,0,0.24,incorrect,madagascar,0,0.33,incorrect,caprice,0,0.25,incorrect,kelello,0,0.33,incorrect,okunrin,0,0.33,incorrect,south africa,0,0.35,incorrect,maori,0,0.57,incorrect,ramayana,0,0.24,incorrect,caprice,0,0.25,incorrect,mr. bennet,0,0.95,correct,elizabeth,0,0.4,incorrect,murat,0,0.57,incorrect,ibrahim,0,0.22,incorrect,truyen kieu,0,0.4,incorrect,dau,0,0.0,incorrect,el greco,0,0.31,incorrect,don quijote,0,0.26,incorrect,elizabeth,0,0.4,incorrect,ibrahim,0,0.22,incorrect,dau,0,0.0,incorrect,don quijote,0,0.26,incorrect
"['señora', 'señora long', 'long', 'mrs long', 'mrs']",nelson mandela,0,0.33,incorrect,jesus,0,0.25,incorrect,jesus,0,0.25,incorrect,oduduwa,0,0.31,incorrect,nelson mandela,0,0.33,incorrect,south africa,0,0.44,incorrect,jesus,0,0.25,incorrect,tera,0,0.6,incorrect,nelson mandela,0,0.33,incorrect,ram,0,0.44,incorrect,augustine,0,0.27,incorrect,samuel,0,0.35,incorrect,jesus,0,0.25,incorrect,oduduwa,0,0.31,incorrect,south africa,0,0.44,incorrect,tera,0,0.6,incorrect,ram,0,0.44,incorrect,samuel,0,0.35,incorrect,mr. bennet,0,0.44,incorrect,elizabeth,0,0.27,incorrect,mustafa kemal ataturk,0,0.28,incorrect,necip fazil,0,0.27,incorrect,nguyen huu tho,0,0.32,incorrect,nguyen du,0,0.31,incorrect,don quijote,0,0.27,incorrect,al,0,0.33,incorrect,elizabeth,0,0.27,incorrect,necip fazil,0,0.27,incorrect,nguyen du,0,0.31,incorrect,al,0,0.33,incorrect
"['mrs bennet', 'señora', 'bennet', 'señora bennet', 'mrs']",moses,0,0.5,incorrect,moses,0,0.5,incorrect,yoruba,0,0.5,incorrect,ayo,0,0.22,incorrect,seabelo,0,0.5,incorrect,lebohang,0,0.43,incorrect,jesus,0,0.25,incorrect,maui,0,0.29,incorrect,ramayana,0,0.29,incorrect,nepal,0,0.36,incorrect,madagascar,0,0.31,incorrect,samuel,0,0.33,incorrect,moses,0,0.5,incorrect,ayo,0,0.22,incorrect,lebohang,0,0.43,incorrect,maui,0,0.29,incorrect,nepal,0,0.36,incorrect,samuel,0,0.33,incorrect,elizabeth,0,0.45,incorrect,emma,0,0.4,incorrect,mehmet,0,0.5,incorrect,nese,0,0.4,incorrect,ngoc han,0,0.43,incorrect,duc,0,0.0,incorrect,desempeno,0,0.53,incorrect,carlos,0,0.44,incorrect,emma,0,0.4,incorrect,nese,0,0.4,incorrect,duc,0,0.0,incorrect,carlos,0,0.44,incorrect
"['mr bennet', 'bennet', 'mr']",nelson mandela,0,0.4,incorrect,moses,0,0.29,incorrect,oyinbo,0,0.17,incorrect,ogun,0,0.2,incorrect,kgosi,0,0.0,incorrect,lebogang,0,0.29,incorrect,jesus,0,0.18,incorrect,tere,0,0.4,incorrect,ram,0,0.4,incorrect,ramayana,0,0.24,incorrect,madagascar,0,0.33,incorrect,andry rajoelina,0,0.33,incorrect,moses,0,0.29,incorrect,ogun,0,0.2,incorrect,lebogang,0,0.29,incorrect,tere,0,0.4,incorrect,ramayana,0,0.24,incorrect,andry rajoelina,0,0.33,incorrect,jane fairfax,0,0.22,incorrect,jane,0,0.4,incorrect,ali,0,0.0,incorrect,ali,0,0.0,incorrect,nguyen du,0,0.27,incorrect,nguyen du,0,0.27,incorrect,juan,0,0.2,incorrect,maria,0,0.57,incorrect,jane,0,0.4,incorrect,ali,0,0.0,incorrect,nguyen du,0,0.27,incorrect,maria,0,0.57,incorrect
['lizzy'],empa,0,0.0,incorrect,ke,0,0.0,incorrect,oyinbo,0,0.18,incorrect,yoruba,0,0.18,incorrect,monna,0,0.0,incorrect,moratuwa,0,0.0,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,shri krishna,0,0.12,incorrect,ram,0,0.0,incorrect,david,0,0.2,incorrect,rakoto,0,0.0,incorrect,ke,0,0.0,incorrect,yoruba,0,0.18,incorrect,moratuwa,0,0.0,incorrect,jesus,0,0.0,incorrect,ram,0,0.0,incorrect,rakoto,0,0.0,incorrect,mr. collins,0,0.25,incorrect,mr. darcy,0,0.14,incorrect,ortada,0,0.0,incorrect,muhtar,0,0.0,incorrect,han,0,0.0,incorrect,trai,0,0.22,incorrect,el,0,0.29,incorrect,don quijote,0,0.12,incorrect,mr. darcy,0,0.14,incorrect,muhtar,0,0.0,incorrect,trai,0,0.22,incorrect,don quijote,0,0.12,incorrect
"['lucas', 'miss', 'miss lucas', 'lucas–']",boikhohomoso,0,0.25,incorrect,moshoeshoe,0,0.43,incorrect,yoruba,0,0.36,incorrect,ojurere,0,0.17,incorrect,mokgosi,0,0.36,incorrect,moses,0,0.67,incorrect,taurearea,0,0.29,incorrect,taupo,0,0.2,incorrect,nietzsche,0,0.32,incorrect,ram,0,0.29,incorrect,maria,0,0.44,incorrect,andriamanelo,0,0.18,incorrect,moshoeshoe,0,0.43,incorrect,ojurere,0,0.17,incorrect,moses,0,0.67,incorrect,taupo,0,0.2,incorrect,ram,0,0.29,incorrect,andriamanelo,0,0.18,incorrect,fanny price,0,0.19,incorrect,hamlet,0,0.25,incorrect,adam,0,0.25,incorrect,adamin ali,0,0.4,incorrect,anh ta,0,0.25,incorrect,thanh,0,0.2,incorrect,darcy,0,0.2,incorrect,senorita,0,0.22,incorrect,hamlet,0,0.25,incorrect,adamin ali,0,0.4,incorrect,thanh,0,0.2,incorrect,senorita,0,0.22,incorrect
['mary'],nelson mandela,0,0.22,incorrect,moses,0,0.22,incorrect,yoruba,0,0.2,incorrect,yoruba,0,0.2,incorrect,kelebogile,0,0.0,incorrect,moses,0,0.22,incorrect,ta'u,0,0.25,incorrect,jesus,0,0.0,incorrect,nietzsche,0,0.0,incorrect,nietzsche,0,0.0,incorrect,mahazatra,0,0.46,incorrect,madagascar,0,0.43,incorrect,moses,0,0.22,incorrect,yoruba,0,0.2,incorrect,moses,0,0.22,incorrect,jesus,0,0.0,incorrect,nietzsche,0,0.0,incorrect,madagascar,0,0.43,incorrect,elinor dashwood,0,0.11,incorrect,jane austen,0,0.13,incorrect,nietzsche,0,0.0,incorrect,nietzsche,0,0.0,incorrect,nguyen huy tuong,0,0.1,incorrect,phu,0,0.0,incorrect,aristoteles,0,0.27,incorrect,nietzsche,0,0.0,incorrect,jane austen,0,0.13,incorrect,nietzsche,0,0.0,incorrect,phu,0,0.0,incorrect,nietzsche,0,0.0,incorrect
"['eliz', 'eliza', 'miss eliza', 'miss']",nelson mandela,0,0.42,incorrect,nelson mandela,0,0.42,incorrect,ogun,0,0.0,incorrect,ogun,0,0.0,incorrect,nelson mandela,0,0.42,incorrect,moses,0,0.67,incorrect,taata,0,0.2,incorrect,moses,0,0.67,incorrect,rabindranath tagore,0,0.21,incorrect,rabindranath tagore,0,0.21,incorrect,rabelo,0,0.4,incorrect,jesus,0,0.44,incorrect,nelson mandela,0,0.42,incorrect,ogun,0,0.0,incorrect,moses,0,0.67,incorrect,moses,0,0.67,incorrect,rabindranath tagore,0,0.21,incorrect,jesus,0,0.44,incorrect,jane,0,0.25,incorrect,walter scott,0,0.12,incorrect,harikalar,0,0.32,incorrect,ali,0,0.57,incorrect,nguyen huu tho,0,0.11,incorrect,ngoc,0,0.0,incorrect,don juan,0,0.22,incorrect,madame,0,0.25,incorrect,walter scott,0,0.12,incorrect,ali,0,0.57,incorrect,ngoc,0,0.0,incorrect,madame,0,0.25,incorrect
"['bennet––', 'mrs', 'bennet', 'mrs bennet']",moses,0,0.5,incorrect,moratuwa,0,0.36,incorrect,samson,0,0.44,incorrect,yoruba,0,0.25,incorrect,mokgatlo,0,0.22,incorrect,moses,0,0.5,incorrect,jesus,0,0.25,incorrect,maui,0,0.29,incorrect,gaandhii,0,0.14,incorrect,mother,0,0.44,incorrect,madagascar,0,0.31,incorrect,jesus,0,0.25,incorrect,moratuwa,0,0.36,incorrect,yoruba,0,0.25,incorrect,moses,0,0.5,incorrect,maui,0,0.29,incorrect,mother,0,0.44,incorrect,jesus,0,0.25,incorrect,austen,0,0.38,incorrect,charles dickens,0,0.4,incorrect,macbeth,0,0.47,incorrect,ataturk,0,0.2,incorrect,nguyen du,0,0.27,incorrect,nhung,0,0.36,incorrect,maria,0,0.5,incorrect,don quijote,0,0.24,incorrect,charles dickens,0,0.4,incorrect,ataturk,0,0.2,incorrect,nhung,0,0.36,incorrect,don quijote,0,0.24,incorrect
