Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_masked_results,en_masked_exact_match,en_masked_highest_fuzzy_match,en_masked_correct,en_masked_shuffled_results,en_masked_shuffled_exact_match,en_masked_shuffled_highest_fuzzy_match,en_masked_shuffled_correct,tr_masked_results,tr_masked_exact_match,tr_masked_highest_fuzzy_match,tr_masked_correct,tr_masked_shuffled_results,tr_masked_shuffled_exact_match,tr_masked_shuffled_highest_fuzzy_match,tr_masked_shuffled_correct,vi_masked_results,vi_masked_exact_match,vi_masked_highest_fuzzy_match,vi_masked_correct,vi_masked_shuffled_results,vi_masked_shuffled_exact_match,vi_masked_shuffled_highest_fuzzy_match,vi_masked_shuffled_correct,es_masked_results,es_masked_exact_match,es_masked_highest_fuzzy_match,es_masked_correct,es_masked_shuffled_results,es_masked_shuffled_exact_match,es_masked_shuffled_highest_fuzzy_match,es_masked_shuffled_correct,en_masked_shuffled_results,en_masked_shuffled_exact_match,en_masked_shuffled_highest_fuzzy_match,en_masked_shuffled_correct,tr_masked_shuffled_results,tr_masked_shuffled_exact_match,tr_masked_shuffled_highest_fuzzy_match,tr_masked_shuffled_correct,vi_masked_shuffled_results,vi_masked_shuffled_exact_match,vi_masked_shuffled_highest_fuzzy_match,vi_masked_shuffled_correct,es_masked_shuffled_results,es_masked_shuffled_exact_match,es_masked_shuffled_highest_fuzzy_match,es_masked_shuffled_correct
['gatsby'],atlantis,0,0.43,incorrect,bochabela,0,0.27,incorrect,mark twain,0,0.25,incorrect,yoruba,0,0.17,incorrect,botswana,0,0.29,incorrect,botswana,0,0.29,incorrect,israel,0,0.17,incorrect,samoa,0,0.18,incorrect,rabindranath tagore,0,0.16,incorrect,rabindranath tagore,0,0.16,incorrect,albert camus,0,0.33,incorrect,rasolonjatovo,0,0.21,incorrect,bochabela,0,0.27,incorrect,yoruba,0,0.17,incorrect,botswana,0,0.29,incorrect,samoa,0,0.18,incorrect,rabindranath tagore,0,0.16,incorrect,rasolonjatovo,0,0.21,incorrect,dorian,0,0.17,incorrect,walt whitman,0,0.22,incorrect,orhan pamuk,0,0.12,incorrect,orhan pamuk,0,0.12,incorrect,nguyen nhat anh,0,0.29,incorrect,dong,0,0.2,incorrect,onfray,0,0.33,incorrect,la,0,0.25,incorrect,walt whitman,0,0.22,incorrect,orhan pamuk,0,0.12,incorrect,dong,0,0.2,incorrect,la,0,0.25,incorrect
"['buchanan', 'tom buchanan', 'tom']",georgia,0,0.21,incorrect,georgia,0,0.21,incorrect,gatsby,0,0.22,incorrect,georgia,0,0.21,incorrect,david livingstone,0,0.24,incorrect,botswana,0,0.5,incorrect,long island,0,0.35,incorrect,hopea,0,0.31,incorrect,yves saint laurent,0,0.33,incorrect,george,0,0.22,incorrect,east egg,0,0.2,incorrect,bozaka,0,0.43,incorrect,georgia,0,0.21,incorrect,georgia,0,0.21,incorrect,botswana,0,0.5,incorrect,hopea,0,0.31,incorrect,george,0,0.22,incorrect,bozaka,0,0.43,incorrect,gatsby,0,0.22,incorrect,colonial,0,0.38,incorrect,gatsby,0,0.22,incorrect,georgia,0,0.21,incorrect,gatsby,0,0.22,incorrect,georgian,0,0.3,incorrect,gatsby,0,0.22,incorrect,east egg,0,0.2,incorrect,colonial,0,0.38,incorrect,georgia,0,0.21,incorrect,georgian,0,0.3,incorrect,east egg,0,0.2,incorrect
"['buchanan', 'tom buchanan', 'tom']",paris,0,0.15,incorrect,butterfly,0,0.24,incorrect,disney,0,0.14,incorrect,nkan,0,0.5,incorrect,disney,0,0.14,incorrect,jesus,0,0.15,incorrect,joseph smith,0,0.27,incorrect,jesus,0,0.15,incorrect,pinocchio,0,0.29,incorrect,ramayani,0,0.4,incorrect,david beckham,0,0.4,incorrect,madagascar,0,0.27,incorrect,butterfly,0,0.24,incorrect,nkan,0,0.5,incorrect,jesus,0,0.15,incorrect,jesus,0,0.15,incorrect,ramayani,0,0.4,incorrect,madagascar,0,0.27,incorrect,he,0,0.2,incorrect,edith,0,0.25,incorrect,ev,0,0.0,incorrect,murat,0,0.35,incorrect,nguyen huy tuong,0,0.25,incorrect,nguyen du,0,0.24,incorrect,el,0,0.0,incorrect,monet,0,0.25,incorrect,edith,0,0.25,incorrect,murat,0,0.35,incorrect,nguyen du,0,0.24,incorrect,monet,0,0.25,incorrect
['daisy'],jesus,0,0.2,incorrect,nelson mandela,0,0.21,incorrect,oyinbo,0,0.18,incorrect,olorun,0,0.0,incorrect,jesus,0,0.2,incorrect,moswetse,0,0.15,incorrect,jesus,0,0.2,incorrect,maui,0,0.44,incorrect,ramayana,0,0.31,incorrect,ram,0,0.25,incorrect,madagascar,0,0.4,incorrect,rakoto,0,0.18,incorrect,nelson mandela,0,0.21,incorrect,olorun,0,0.0,incorrect,moswetse,0,0.15,incorrect,maui,0,0.44,incorrect,ram,0,0.25,incorrect,rakoto,0,0.18,incorrect,elizabeth,0,0.14,incorrect,elizabeth,0,0.14,incorrect,ozdemir,0,0.33,incorrect,oteki,0,0.2,incorrect,nang,0,0.22,incorrect,trong,0,0.0,incorrect,luna,0,0.22,incorrect,maria,0,0.4,incorrect,elizabeth,0,0.14,incorrect,oteki,0,0.2,incorrect,trong,0,0.0,incorrect,maria,0,0.4,incorrect
"['bayan', 'bayan baker', 'baker', 'miss', 'miss baker']",nelson mandela,0,0.33,incorrect,moses,0,0.67,incorrect,afrobeat,0,0.32,incorrect,afrobeat,0,0.32,incorrect,moses,0,0.67,incorrect,moses,0,0.67,incorrect,jesus,0,0.44,incorrect,samoa,0,0.4,incorrect,lkssmnn,0,0.36,incorrect,nepal,0,0.25,incorrect,maria,0,0.44,incorrect,andriamanelo,0,0.35,incorrect,moses,0,0.67,incorrect,afrobeat,0,0.32,incorrect,moses,0,0.67,incorrect,samoa,0,0.4,incorrect,nepal,0,0.25,incorrect,andriamanelo,0,0.35,incorrect,elizabeth,0,0.32,incorrect,alice,0,0.4,incorrect,tam,0,0.29,incorrect,ali,0,0.29,incorrect,nguyen huu tho,0,0.24,incorrect,nguyen,0,0.36,incorrect,entonces sherlock,0,0.3,incorrect,carlos,0,0.36,incorrect,alice,0,0.4,incorrect,ali,0,0.29,incorrect,nguyen,0,0.36,incorrect,carlos,0,0.36,incorrect
"['bayan', 'bayan baker', 'baker']",kelebogile,0,0.27,incorrect,jesus,0,0.2,incorrect,rembrandt,0,0.43,incorrect,oju seyin,0,0.29,incorrect,kelebogile,0,0.27,incorrect,ke,0,0.57,incorrect,tahiti,0,0.18,incorrect,tuheitia,0,0.15,incorrect,miss,0,0.0,incorrect,ram,0,0.25,incorrect,missouri,0,0.15,incorrect,nijery,0,0.36,incorrect,jesus,0,0.2,incorrect,oju seyin,0,0.29,incorrect,ke,0,0.57,incorrect,tuheitia,0,0.15,incorrect,ram,0,0.25,incorrect,nijery,0,0.36,incorrect,jane,0,0.44,incorrect,emily,0,0.2,incorrect,ali,0,0.25,incorrect,mustafa kemal ataturk,0,0.38,incorrect,nguyen thi lieu,0,0.31,incorrect,ngoc,0,0.22,incorrect,mire,0,0.22,incorrect,marlene dietrich,0,0.37,incorrect,emily,0,0.2,incorrect,mustafa kemal ataturk,0,0.38,incorrect,ngoc,0,0.22,incorrect,marlene dietrich,0,0.37,incorrect
['daisy'],mokete,0,0.0,incorrect,ke,0,0.0,incorrect,jesus,0,0.2,incorrect,yoruba,0,0.18,incorrect,he,0,0.0,incorrect,jesus,0,0.2,incorrect,samoa,0,0.2,incorrect,maori,0,0.4,incorrect,sun,0,0.25,incorrect,ram,0,0.25,incorrect,jesus,0,0.2,incorrect,nigeria,0,0.17,incorrect,ke,0,0.0,incorrect,yoruba,0,0.18,incorrect,jesus,0,0.2,incorrect,maori,0,0.4,incorrect,ram,0,0.25,incorrect,nigeria,0,0.17,incorrect,lily,0,0.44,incorrect,she,0,0.25,incorrect,noel,0,0.0,incorrect,ben,0,0.0,incorrect,ong noi,0,0.17,incorrect,nguyen du,0,0.14,incorrect,sol,0,0.25,incorrect,el,0,0.0,incorrect,she,0,0.25,incorrect,ben,0,0.0,incorrect,nguyen du,0,0.14,incorrect,el,0,0.0,incorrect
"['tom”', 'tom']",jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,yoruba,0,0.22,incorrect,yoruba,0,0.22,incorrect,moses,0,0.25,incorrect,moses,0,0.25,incorrect,taata,0,0.25,incorrect,tahiti,0,0.22,incorrect,hamlet,0,0.22,incorrect,ram,0,0.33,incorrect,jesus,0,0.0,incorrect,maria,0,0.25,incorrect,jesus,0,0.0,incorrect,yoruba,0,0.22,incorrect,moses,0,0.25,incorrect,tahiti,0,0.22,incorrect,ram,0,0.33,incorrect,maria,0,0.25,incorrect,wuthering,0,0.17,incorrect,dracula,0,0.0,incorrect,ali,0,0.0,incorrect,hantal,0,0.22,incorrect,tran dang khoa,0,0.24,incorrect,jack,0,0.0,incorrect,don quijote,0,0.14,incorrect,marido,0,0.22,incorrect,dracula,0,0.0,incorrect,hantal,0,0.22,incorrect,jack,0,0.0,incorrect,marido,0,0.22,incorrect
['daisy'],sehlati,0,0.33,incorrect,elizabeth,0,0.14,incorrect,afrobeat,0,0.15,incorrect,mo,0,0.0,incorrect,botswana,0,0.15,incorrect,jesus,0,0.2,incorrect,tahiti,0,0.36,incorrect,maui,0,0.44,incorrect,ramayana,0,0.31,incorrect,ram,0,0.25,incorrect,maria,0,0.4,incorrect,madagascar,0,0.4,incorrect,elizabeth,0,0.14,incorrect,mo,0,0.0,incorrect,jesus,0,0.2,incorrect,maui,0,0.44,incorrect,ram,0,0.25,incorrect,madagascar,0,0.4,incorrect,madame bovary,0,0.33,incorrect,emily,0,0.4,incorrect,yuzu,0,0.22,incorrect,mavi,0,0.44,incorrect,nang,0,0.22,incorrect,hoang,0,0.2,incorrect,ella,0,0.22,incorrect,madame bovary,0,0.33,incorrect,emily,0,0.4,incorrect,mavi,0,0.44,incorrect,hoang,0,0.2,incorrect,madame bovary,0,0.33,incorrect
['tom'],molimo,0,0.44,incorrect,molimo,0,0.44,incorrect,yoruba,0,0.22,incorrect,jesus,0,0.0,incorrect,nelson mandela,0,0.24,incorrect,moses,0,0.25,incorrect,jacob,0,0.25,incorrect,israel,0,0.0,incorrect,ramayana,0,0.18,incorrect,ram,0,0.33,incorrect,jesus,0,0.0,incorrect,andriamanitra,0,0.12,incorrect,molimo,0,0.44,incorrect,jesus,0,0.0,incorrect,moses,0,0.25,incorrect,israel,0,0.0,incorrect,ram,0,0.33,incorrect,andriamanitra,0,0.12,incorrect,daisy,0,0.0,incorrect,god,0,0.33,incorrect,dogum,0,0.5,incorrect,umarim,0,0.22,incorrect,troi,0,0.57,incorrect,troi,0,0.57,incorrect,ella,0,0.0,incorrect,mama,0,0.29,incorrect,god,0,0.33,incorrect,umarim,0,0.22,incorrect,troi,0,0.57,incorrect,mama,0,0.29,incorrect
