Single_ent,en_masked_results,en_masked_exact_match,en_masked_highest_fuzzy_match,en_masked_correct,en_masked_shuffled_results,en_masked_shuffled_exact_match,en_masked_shuffled_highest_fuzzy_match,en_masked_shuffled_correct,en_masked_shuffled_results,en_masked_shuffled_exact_match,en_masked_shuffled_highest_fuzzy_match,en_masked_shuffled_correct
['peter'],heathcliff,0,0.27,incorrect,cliff,0,0.0,incorrect,cliff,0,0.0,incorrect
['peter'],harry,0,0.2,incorrect,charlie chaplin,0,0.1,incorrect,charlie chaplin,0,0.1,incorrect
['daphne'],emily,0,0.18,incorrect,love,0,0.2,incorrect,love,0,0.2,incorrect
['peter'],our story,0,0.29,incorrect,prince,0,0.36,incorrect,prince,0,0.36,incorrect
['dorner'],smith,0,0.0,incorrect,norman,0,0.5,incorrect,norman,0,0.5,incorrect
['petra'],bill,0,0.0,incorrect,harvard,0,0.33,incorrect,harvard,0,0.33,incorrect
['peter'],jane,0,0.22,incorrect,emma,0,0.22,incorrect,emma,0,0.22,incorrect
['daphne'],jess,0,0.2,incorrect,jane,0,0.6,incorrect,jane,0,0.6,incorrect
['peter'],jesus,0,0.2,incorrect,you,0,0.0,incorrect,you,0,0.0,incorrect
['peter'],emily,0,0.2,incorrect,jane,0,0.22,incorrect,jane,0,0.22,incorrect
['daph'],god,0,0.29,incorrect,father,0,0.4,incorrect,father,0,0.4,incorrect
['peter'],john,0,0.0,incorrect,mac,0,0.0,incorrect,mac,0,0.0,incorrect
['peter'],jack,0,0.0,incorrect,london,0,0.0,incorrect,london,0,0.0,incorrect
['peter'],harry,0,0.2,incorrect,moon,0,0.0,incorrect,moon,0,0.0,incorrect
['arham'],hiccup,0,0.18,incorrect,shrek,0,0.2,incorrect,shrek,0,0.2,incorrect
['fontana'],jane,0,0.36,incorrect,emma,0,0.18,incorrect,emma,0,0.18,incorrect
['renesmee'],emily,0,0.31,incorrect,jordan,0,0.29,incorrect,jordan,0,0.29,incorrect
['landon'],mike,0,0.0,incorrect,jordan,0,0.33,incorrect,jordan,0,0.33,incorrect
['peter'],husband,0,0.0,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect
['peter'],earth,0,0.4,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
