Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_masked_results,en_masked_exact_match,en_masked_highest_fuzzy_match,en_masked_correct,en_masked_shuffled_results,en_masked_shuffled_exact_match,en_masked_shuffled_highest_fuzzy_match,en_masked_shuffled_correct,tr_masked_results,tr_masked_exact_match,tr_masked_highest_fuzzy_match,tr_masked_correct,tr_masked_shuffled_results,tr_masked_shuffled_exact_match,tr_masked_shuffled_highest_fuzzy_match,tr_masked_shuffled_correct,vi_masked_results,vi_masked_exact_match,vi_masked_highest_fuzzy_match,vi_masked_correct,vi_masked_shuffled_results,vi_masked_shuffled_exact_match,vi_masked_shuffled_highest_fuzzy_match,vi_masked_shuffled_correct,es_masked_results,es_masked_exact_match,es_masked_highest_fuzzy_match,es_masked_correct,es_masked_shuffled_results,es_masked_shuffled_exact_match,es_masked_shuffled_highest_fuzzy_match,es_masked_shuffled_correct,en_masked_shuffled_results,en_masked_shuffled_exact_match,en_masked_shuffled_highest_fuzzy_match,en_masked_shuffled_correct,tr_masked_shuffled_results,tr_masked_shuffled_exact_match,tr_masked_shuffled_highest_fuzzy_match,tr_masked_shuffled_correct,vi_masked_shuffled_results,vi_masked_shuffled_exact_match,vi_masked_shuffled_highest_fuzzy_match,vi_masked_shuffled_correct,es_masked_shuffled_results,es_masked_shuffled_exact_match,es_masked_shuffled_highest_fuzzy_match,es_masked_shuffled_correct
"['musa', 'moses', 'moisés']",jesus,0,0.44,incorrect,jesus,0,0.44,incorrect,yoruba,0,0.4,incorrect,nigeria,0,0.31,incorrect,joseph,0,0.55,incorrect,moses,1,1.0,correct,samoa,0,0.44,incorrect,jesus,0,0.44,incorrect,shakespeare,0,0.38,incorrect,ramayana,0,0.33,incorrect,god,0,0.25,incorrect,toy,0,0.25,incorrect,jesus,0,0.44,incorrect,nigeria,0,0.31,incorrect,moses,1,1.0,correct,jesus,0,0.44,incorrect,ramayana,0,0.33,incorrect,toy,0,0.25,incorrect,smoking,0,0.46,incorrect,macbeth,0,0.36,incorrect,nuh,0,0.29,incorrect,muhammed,0,0.5,incorrect,chuyen,0,0.2,incorrect,nguyen du,0,0.15,incorrect,don quijote,0,0.35,incorrect,maria,0,0.44,incorrect,macbeth,0,0.36,incorrect,muhammed,0,0.5,incorrect,nguyen du,0,0.15,incorrect,maria,0,0.44,incorrect
"['tom', 'sawyer', 'tom sawyer']",jesus,0,0.18,incorrect,joseph,0,0.38,incorrect,david,0,0.18,incorrect,yoruba,0,0.33,incorrect,nelson mandela,0,0.33,incorrect,jesus,0,0.18,incorrect,jesus,0,0.18,incorrect,jesus,0,0.18,incorrect,ram,0,0.33,incorrect,ramayana,0,0.33,incorrect,madagascar,0,0.4,incorrect,tamiko hira,0,0.38,incorrect,joseph,0,0.38,incorrect,yoruba,0,0.33,incorrect,jesus,0,0.18,incorrect,jesus,0,0.18,incorrect,ramayana,0,0.33,incorrect,tamiko hira,0,0.38,incorrect,tom,1,1.0,correct,emily,0,0.27,incorrect,orhan pamuk,0,0.29,incorrect,ali,0,0.22,incorrect,thang hung,0,0.2,incorrect,nghe,0,0.2,incorrect,el,0,0.25,incorrect,jesus,0,0.18,incorrect,emily,0,0.27,incorrect,ali,0,0.22,incorrect,nghe,0,0.2,incorrect,jesus,0,0.18,incorrect
"['bayan', 'watson', 'bayan watson']",joseph,0,0.17,incorrect,ke,0,0.0,incorrect,john bunyan,0,0.5,incorrect,yoruba,0,0.36,incorrect,botswana,0,0.46,incorrect,ke,0,0.0,incorrect,maori,0,0.36,incorrect,aita,0,0.44,incorrect,mis maarii,0,0.27,incorrect,ram,0,0.25,incorrect,madagascar,0,0.36,incorrect,ramatoakely,0,0.35,incorrect,ke,0,0.0,incorrect,yoruba,0,0.36,incorrect,ke,0,0.0,incorrect,aita,0,0.44,incorrect,ram,0,0.25,incorrect,ramatoakely,0,0.35,incorrect,miss watson,0,0.71,correct,miss,0,0.2,incorrect,muhammed,0,0.15,incorrect,yildizlar,0,0.29,incorrect,do bao,0,0.36,incorrect,nguyen du,0,0.29,incorrect,senorita,0,0.29,incorrect,el,0,0.0,incorrect,miss,0,0.2,incorrect,yildizlar,0,0.29,incorrect,nguyen du,0,0.29,incorrect,el,0,0.0,incorrect
"['tom', 'sawyer', 'tom sawyer']",disney,0,0.33,incorrect,yaba,0,0.2,incorrect,winnie-the-pooh,0,0.22,incorrect,yoruba,0,0.33,incorrect,sebetwane,0,0.4,incorrect,ke,0,0.25,incorrect,corrie,0,0.25,incorrect,corrie,0,0.25,incorrect,god,0,0.33,incorrect,ram,0,0.33,incorrect,madagascar,0,0.4,incorrect,madagascar,0,0.4,incorrect,yaba,0,0.2,incorrect,yoruba,0,0.33,incorrect,ke,0,0.25,incorrect,corrie,0,0.25,incorrect,ram,0,0.33,incorrect,madagascar,0,0.4,incorrect,huck,0,0.0,incorrect,widow,0,0.27,incorrect,murat,0,0.27,incorrect,miyav,0,0.27,incorrect,thang gioi,0,0.31,incorrect,nguyen du,0,0.27,incorrect,puss,0,0.2,incorrect,volvi,0,0.25,incorrect,widow,0,0.27,incorrect,miyav,0,0.27,incorrect,nguyen du,0,0.27,incorrect,volvi,0,0.25,incorrect
['tom'],nelson mandela,0,0.24,incorrect,jesus,0,0.0,incorrect,anansi,0,0.0,incorrect,anansi,0,0.0,incorrect,nelson mandela,0,0.24,incorrect,moses,0,0.25,incorrect,jesus,0,0.0,incorrect,tu,0,0.4,incorrect,ramayana,0,0.18,incorrect,ramayana,0,0.18,incorrect,maria,0,0.25,incorrect,madagascar,0,0.15,incorrect,jesus,0,0.0,incorrect,anansi,0,0.0,incorrect,moses,0,0.25,incorrect,tu,0,0.4,incorrect,ramayana,0,0.18,incorrect,madagascar,0,0.15,incorrect,smee,0,0.29,incorrect,alfred,0,0.0,incorrect,yusuf,0,0.0,incorrect,ataturk,0,0.2,incorrect,duc,0,0.0,incorrect,duc,0,0.0,incorrect,indiana,0,0.0,incorrect,robinson,0,0.18,incorrect,alfred,0,0.0,incorrect,ataturk,0,0.2,incorrect,duc,0,0.0,incorrect,robinson,0,0.18,incorrect
['tom'],moses,0,0.25,incorrect,yaba,0,0.0,incorrect,yoruba,0,0.22,incorrect,yoruba,0,0.22,incorrect,moses,0,0.25,incorrect,moses,0,0.25,incorrect,maui,0,0.29,incorrect,ua,0,0.0,incorrect,scout,0,0.25,incorrect,ramchandra,0,0.15,incorrect,moses,0,0.25,incorrect,ary,0,0.0,incorrect,yaba,0,0.0,incorrect,yoruba,0,0.22,incorrect,moses,0,0.25,incorrect,ua,0,0.0,incorrect,ramchandra,0,0.15,incorrect,ary,0,0.0,incorrect,huck,0,0.0,incorrect,everybody,0,0.17,incorrect,cete,0,0.29,incorrect,heracles,0,0.0,incorrect,duc,0,0.0,incorrect,duc,0,0.0,incorrect,el,0,0.0,incorrect,inquisicion,0,0.14,incorrect,everybody,0,0.17,incorrect,heracles,0,0.0,incorrect,duc,0,0.0,incorrect,inquisicion,0,0.14,incorrect
['tom'],jack sparrow,0,0.13,incorrect,jack,0,0.0,incorrect,nelson mandela,0,0.24,incorrect,nigeria,0,0.0,incorrect,jack,0,0.0,incorrect,bartholomew,0,0.43,incorrect,jesus,0,0.0,incorrect,maori,0,0.25,incorrect,jack sparrow,0,0.13,incorrect,odysseus,0,0.18,incorrect,charles dickens,0,0.0,incorrect,atlantis,0,0.18,incorrect,jack,0,0.0,incorrect,nigeria,0,0.0,incorrect,bartholomew,0,0.43,incorrect,maori,0,0.25,incorrect,odysseus,0,0.18,incorrect,atlantis,0,0.18,incorrect,scarface,0,0.0,incorrect,long,0,0.29,incorrect,robin hood,0,0.15,incorrect,barbarossa,0,0.15,incorrect,robin hood,0,0.15,incorrect,viet nam,0,0.36,incorrect,flint,0,0.25,incorrect,barba,0,0.0,incorrect,long,0,0.29,incorrect,barbarossa,0,0.15,incorrect,viet nam,0,0.36,incorrect,barba,0,0.0,incorrect
"['tom', 'sawyer', 'tom sawyer']",nikolai gogol,0,0.17,incorrect,jesus,0,0.18,incorrect,ole,0,0.33,incorrect,ogun,0,0.29,incorrect,donald trump,0,0.27,incorrect,highways,0,0.29,incorrect,israel,0,0.5,incorrect,israel,0,0.5,incorrect,baabaa,0,0.17,incorrect,highwayman,0,0.25,incorrect,andry rajoelina,0,0.29,incorrect,rakoto,0,0.44,incorrect,jesus,0,0.18,incorrect,ogun,0,0.29,incorrect,highways,0,0.29,incorrect,israel,0,0.5,incorrect,highwayman,0,0.25,incorrect,rakoto,0,0.44,incorrect,butch cassidy,0,0.35,incorrect,highwaymen,0,0.38,incorrect,robinson,0,0.22,incorrect,ataturk,0,0.35,incorrect,thang gioi,0,0.31,incorrect,dao,0,0.33,incorrect,alejandro,0,0.4,incorrect,bandoleros,0,0.38,incorrect,highwaymen,0,0.38,incorrect,ataturk,0,0.35,incorrect,dao,0,0.33,incorrect,bandoleros,0,0.38,incorrect
"['tommy barnes', 'tommy', 'barnes']",mmusi,0,0.4,incorrect,jesus,0,0.36,incorrect,afro,0,0.4,incorrect,olorun,0,0.33,incorrect,south africa,0,0.33,incorrect,jesus,0,0.36,incorrect,taotaomoetualepapalapa,0,0.29,incorrect,tuvalu,0,0.22,incorrect,ram,0,0.25,incorrect,ram,0,0.25,incorrect,madagascar,0,0.27,incorrect,madagascar,0,0.27,incorrect,jesus,0,0.36,incorrect,olorun,0,0.33,incorrect,jesus,0,0.36,incorrect,tuvalu,0,0.22,incorrect,ram,0,0.25,incorrect,madagascar,0,0.27,incorrect,little jack,0,0.26,incorrect,tom,0,0.75,correct,minik,0,0.24,incorrect,babasi,0,0.5,incorrect,thang be,0,0.43,incorrect,thang,0,0.36,incorrect,napoleon,0,0.29,incorrect,jose,0,0.25,incorrect,tom,0,0.75,correct,babasi,0,0.5,incorrect,thang,0,0.36,incorrect,jose,0,0.25,incorrect
['tom'],jesus,0,0.0,incorrect,moses,0,0.25,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,nelson mandela,0,0.24,incorrect,setshwana,0,0.17,incorrect,jesus,0,0.0,incorrect,taata,0,0.25,incorrect,robin hood,0,0.15,incorrect,jesus,0,0.0,incorrect,george washington,0,0.2,incorrect,jesus,0,0.0,incorrect,moses,0,0.25,incorrect,jesus,0,0.0,incorrect,setshwana,0,0.17,incorrect,taata,0,0.25,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,bill,0,0.0,incorrect,goldilocks,0,0.15,incorrect,aga,0,0.0,incorrect,ama,0,0.33,incorrect,thang cuop,0,0.31,incorrect,nguyen van lem,0,0.12,incorrect,el loco,0,0.2,incorrect,carlos,0,0.22,incorrect,goldilocks,0,0.15,incorrect,ama,0,0.33,incorrect,nguyen van lem,0,0.12,incorrect,carlos,0,0.22,incorrect
