Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['mauricio', 'jarvis lorry', 'lorr', 'mr jarvis lorry', 'mr', 'mauricio lorry', 'jarvis', 'lorry', 'jarvis lorr']",thomas jefferson,0,0.39,incorrect,tellson,0,0.36,incorrect,mr. lorry,0,0.71,correct,mr tellson,0,0.42,incorrect,tellson,0,0.36,incorrect,tsweetswee,0,0.12,incorrect,tellson,0,0.36,incorrect,te tellson,0,0.29,incorrect,yuvaak,0,0.18,incorrect,yuvak,0,0.2,incorrect,bankin'i tellson,0,0.4,incorrect,bankin'i tellson,0,0.4,incorrect,tellson,0,0.36,incorrect,mr tellson,0,0.42,incorrect,tsweetswee,0,0.12,incorrect,te tellson,0,0.29,incorrect,yuvak,0,0.2,incorrect,bankin'i tellson,0,0.4,incorrect,mr. lorry,0,0.71,correct,mr. lorry,0,0.71,correct,remy,0,0.44,incorrect,tellson,0,0.36,incorrect,ngan hang tellson,0,0.31,incorrect,mr tellson,0,0.42,incorrect,robespierre,0,0.4,incorrect,tellson,0,0.36,incorrect,mr. lorry,0,0.71,correct,tellson,0,0.36,incorrect,mr tellson,0,0.42,incorrect,tellson,0,0.36,incorrect
"['lorry', 'mr lorry', 'mr']",dover,0,0.4,incorrect,john,0,0.22,incorrect,dover,0,0.4,incorrect,dover,0,0.4,incorrect,e rile joseph,0,0.29,incorrect,lebopo,0,0.36,incorrect,dover,0,0.4,incorrect,te feia ta'uta'ata,0,0.08,incorrect,jakhana,0,0.0,incorrect,shriimtii gaaunddaa,0,0.15,incorrect,dover,0,0.4,incorrect,niafina,0,0.0,incorrect,john,0,0.22,incorrect,dover,0,0.4,incorrect,lebopo,0,0.36,incorrect,te feia ta'uta'ata,0,0.08,incorrect,shriimtii gaaunddaa,0,0.15,incorrect,niafina,0,0.0,incorrect,dover,0,0.4,incorrect,dover,0,0.4,incorrect,dover,0,0.4,incorrect,dover,0,0.4,incorrect,dover,0,0.4,incorrect,dover,0,0.4,incorrect,dover,0,0.4,incorrect,dover,0,0.4,incorrect,dover,0,0.4,incorrect,dover,0,0.4,incorrect,dover,0,0.4,incorrect,dover,0,0.4,incorrect
"['manette', 'miss manette', 'miss']",phomolo,0,0.18,incorrect,ke,0,0.22,incorrect,john,0,0.18,incorrect,emmanuel,0,0.53,incorrect,ke motho yo o dirang dilo ka tsela e e siameng,0,0.21,incorrect,keabetswe,0,0.5,incorrect,taata,0,0.33,incorrect,e,0,0.25,incorrect,swagat,0,0.33,incorrect,swagat besisie,0,0.31,incorrect,andriamanitra,0,0.4,incorrect,manana,0,0.46,incorrect,ke,0,0.22,incorrect,emmanuel,0,0.53,incorrect,keabetswe,0,0.5,incorrect,e,0,0.25,incorrect,swagat besisie,0,0.31,incorrect,manana,0,0.46,incorrect,mr. pickwick,0,0.25,incorrect,john,0,0.18,incorrect,olivia,0,0.22,incorrect,halil,0,0.22,incorrect,ngoi sao,0,0.33,incorrect,toi,0,0.29,incorrect,senorita rodriguez,0,0.27,incorrect,senorita,0,0.3,incorrect,john,0,0.18,incorrect,halil,0,0.22,incorrect,toi,0,0.29,incorrect,senorita,0,0.3,incorrect
"['lorry', 'mr lorry', 'mr']",selebi,0,0.18,incorrect,matsoho,0,0.27,incorrect,obabinrin oduduwa,0,0.24,incorrect,niger delta,0,0.32,incorrect,jaanong,0,0.17,incorrect,bona,0,0.22,incorrect,teie,0,0.0,incorrect,ua,0,0.0,incorrect,otiko,0,0.2,incorrect,jakarna,0,0.22,incorrect,any,0,0.25,incorrect,jereo,0,0.31,incorrect,matsoho,0,0.27,incorrect,niger delta,0,0.32,incorrect,bona,0,0.22,incorrect,ua,0,0.0,incorrect,jakarna,0,0.22,incorrect,jereo,0,0.31,incorrect,tleman,0,0.25,incorrect,sea,0,0.0,incorrect,deniz,0,0.0,incorrect,bakalim,0,0.22,incorrect,tom,0,0.4,incorrect,toi cha,0,0.17,incorrect,don quijote,0,0.21,incorrect,don quijote,0,0.21,incorrect,sea,0,0.0,incorrect,bakalim,0,0.22,incorrect,toi cha,0,0.17,incorrect,don quijote,0,0.21,incorrect
"['lorry', 'mr lorry', 'mr']",matsoho,0,0.27,incorrect,na,0,0.0,incorrect,olivia,0,0.18,incorrect,john,0,0.22,incorrect,lebohang,0,0.31,incorrect,lehloko,0,0.33,incorrect,taomato,0,0.27,incorrect,eita,0,0.0,incorrect,deb,0,0.0,incorrect,omkara,0,0.5,incorrect,banky ratsiraka,0,0.26,incorrect,jereo,0,0.31,incorrect,na,0,0.0,incorrect,john,0,0.22,incorrect,lehloko,0,0.33,incorrect,eita,0,0.0,incorrect,omkara,0,0.5,incorrect,jereo,0,0.31,incorrect,mr. brown,0,0.47,incorrect,banker,0,0.25,incorrect,halil,0,0.2,incorrect,bembeyaz,0,0.25,incorrect,nguyen khuyen,0,0.19,incorrect,nguoi ma con noi,0,0.25,incorrect,carlos,0,0.43,incorrect,palida,0,0.18,incorrect,banker,0,0.25,incorrect,bembeyaz,0,0.25,incorrect,nguoi ma con noi,0,0.25,incorrect,palida,0,0.18,incorrect
"['madame', 'señora defarge', 'madame defarge', 'señora', 'madam defarge', 'madam', 'defarge']",matilda,0,0.67,incorrect,sena,0,0.8,correct,oluwole sofola,0,0.3,incorrect,iya ogun,0,0.29,incorrect,modiri,0,0.36,incorrect,modiri,0,0.36,incorrect,tuvalu,0,0.18,incorrect,teretere,0,0.45,incorrect,hunak,0,0.36,incorrect,shaalk,0,0.36,incorrect,andriamanitra,0,0.46,incorrect,ny nisy,0,0.19,incorrect,sena,0,0.8,correct,iya ogun,0,0.29,incorrect,modiri,0,0.36,incorrect,teretere,0,0.45,incorrect,shaalk,0,0.36,incorrect,ny nisy,0,0.19,incorrect,emma peel,0,0.45,incorrect,emma,0,0.44,incorrect,ada,0,0.75,correct,adam,0,0.89,correct,tran thi hang,0,0.37,incorrect,khong,0,0.21,incorrect,maria,0,0.6,incorrect,maria,0,0.6,incorrect,emma,0,0.44,incorrect,adam,0,0.89,correct,khong,0,0.21,incorrect,maria,0,0.6,incorrect
"['madame', 'señora defarge', 'madame defarge', 'señora', 'madam defarge', 'madam', 'defarge']",bokreste,0,0.36,incorrect,bokreste,0,0.36,incorrect,joseph,0,0.33,incorrect,david beckham,0,0.44,incorrect,sekeresete,0,0.42,incorrect,sekeresete,0,0.42,incorrect,tupua,0,0.2,incorrect,tamatoa,0,0.5,incorrect,jakhni,0,0.18,incorrect,khanshi,0,0.17,incorrect,volomaso,0,0.31,incorrect,nikohaka,0,0.43,incorrect,bokreste,0,0.36,incorrect,david beckham,0,0.44,incorrect,sekeresete,0,0.42,incorrect,tamatoa,0,0.5,incorrect,khanshi,0,0.17,incorrect,nikohaka,0,0.43,incorrect,miss prickett,0,0.31,incorrect,christian,0,0.27,incorrect,osman,0,0.4,incorrect,osman,0,0.4,incorrect,hoa,0,0.44,incorrect,nghe,0,0.36,incorrect,interlocutores,0,0.3,incorrect,julio,0,0.18,incorrect,christian,0,0.27,incorrect,osman,0,0.4,incorrect,nghe,0,0.36,incorrect,julio,0,0.18,incorrect
"['mösyö defarge', 'mösyö', 'monsieur', 'defarge', 'monsieur defarge']",selebi,0,0.32,incorrect,joseph,0,0.43,incorrect,john,0,0.33,incorrect,oluwole,0,0.33,incorrect,selebi,0,0.32,incorrect,matlho,0,0.36,incorrect,te atua,0,0.29,incorrect,te fiti,0,0.29,incorrect,vrddh sjjn,0,0.15,incorrect,shravan kumar,0,0.34,incorrect,thomas,0,0.36,incorrect,nandorasa,0,0.29,incorrect,joseph,0,0.43,incorrect,oluwole,0,0.33,incorrect,matlho,0,0.36,incorrect,te fiti,0,0.29,incorrect,shravan kumar,0,0.34,incorrect,nandorasa,0,0.29,incorrect,mr. darcy,0,0.48,incorrect,mr. bennet,0,0.38,incorrect,adamlar,0,0.43,incorrect,beyefendi,0,0.38,incorrect,ngoi sao,0,0.46,incorrect,trong,0,0.33,incorrect,don diego,0,0.48,incorrect,don quijote,0,0.42,incorrect,mr. bennet,0,0.38,incorrect,beyefendi,0,0.38,incorrect,trong,0,0.33,incorrect,don quijote,0,0.42,incorrect
['defarge'],a re ke re tsoeleng pele,0,0.26,incorrect,long,0,0.18,incorrect,long live the devil,0,0.15,incorrect,devil,0,0.33,incorrect,e. e. le,0,0.27,incorrect,e. e. demoli,0,0.21,incorrect,diabolo,0,0.29,incorrect,diabolo,0,0.29,incorrect,shaitan,0,0.14,incorrect,shaitan,0,0.14,incorrect,andriamanitra,0,0.3,incorrect,aoka,0,0.18,incorrect,long,0,0.18,incorrect,devil,0,0.33,incorrect,e. e. demoli,0,0.21,incorrect,diabolo,0,0.29,incorrect,shaitan,0,0.14,incorrect,aoka,0,0.18,incorrect,stavrogin,0,0.38,incorrect,devil,0,0.33,incorrect,iblis,0,0.0,incorrect,neyse,0,0.33,incorrect,nguyen dinh thi,0,0.18,incorrect,quy,0,0.0,incorrect,senor,0,0.33,incorrect,el entremos,0,0.33,incorrect,devil,0,0.33,incorrect,neyse,0,0.33,incorrect,quy,0,0.0,incorrect,el entremos,0,0.33,incorrect
"['lorry', 'mr lorry', 'mr']",puisano,0,0.17,incorrect,empa,0,0.33,incorrect,olorun,0,0.55,incorrect,obafemi awolowo,0,0.35,incorrect,mmotlana,0,0.25,incorrect,motlana,0,0.27,incorrect,tauarearea,0,0.27,incorrect,tera,0,0.33,incorrect,yuvak,0,0.2,incorrect,kayal,0,0.2,incorrect,latsa,0,0.2,incorrect,andrianavalona,0,0.27,incorrect,empa,0,0.33,incorrect,obafemi awolowo,0,0.35,incorrect,motlana,0,0.27,incorrect,tera,0,0.33,incorrect,kayal,0,0.2,incorrect,andrianavalona,0,0.27,incorrect,louisa,0,0.36,incorrect,emily,0,0.46,incorrect,emine,0,0.29,incorrect,o,0,0.33,incorrect,nguoi dan ong,0,0.19,incorrect,nguyen thi hanh,0,0.1,incorrect,padre,0,0.29,incorrect,dominaba,0,0.2,incorrect,emily,0,0.46,incorrect,o,0,0.33,incorrect,nguyen thi hanh,0,0.1,incorrect,dominaba,0,0.2,incorrect
