Title,en_results_title_match,en_results_author_match,en_results_both_match,es_results_title_match,es_results_author_match,es_results_both_match,tr_results_title_match,tr_results_author_match,tr_results_both_match,vi_results_title_match,vi_results_author_match,vi_results_both_match
Frankenstein,96.07843137254902,96.07843137254902,96.07843137254902,92.15686274509804,92.15686274509804,92.15686274509804,72.54901960784314,74.50980392156863,72.54901960784314,72.54901960784314,72.54901960784314,72.54901960784314
Pride_and_Prejudice,96.0,97.0,96.0,93.0,93.0,93.0,35.0,91.0,35.0,53.0,78.0,53.0
Sense_and_sensibility,92.0,98.0,92.0,80.0,93.0,80.0,5.0,89.0,5.0,6.0,68.0,6.0
1984,95.0,95.0,95.0,95.0,95.0,95.0,91.66666666666666,93.33333333333333,91.66666666666666,78.33333333333333,80.0,76.66666666666667
Percy_Jackson_The_Lightning_Thief,41.23711340206185,67.0103092783505,41.23711340206185,0.0,55.670103092783506,0.0,0.0,48.45360824742268,0.0,0.0,46.391752577319586,0.0
The_Handmaid_s_Tale,82.0,84.0,82.0,45.0,46.0,45.0,24.0,28.000000000000004,24.0,16.0,17.0,16.0
Alice_in_Wonderland,100.0,100.0,100.0,100.0,100.0,100.0,97.82608695652173,97.82608695652173,97.82608695652173,0.0,100.0,0.0
Of_Mice_and_Men,97.91666666666666,97.91666666666666,97.91666666666666,60.416666666666664,64.58333333333334,60.416666666666664,29.166666666666668,52.083333333333336,29.166666666666668,45.83333333333333,47.91666666666667,45.83333333333333
Dune,92.0,92.0,92.0,75.0,74.0,74.0,63.0,63.0,63.0,51.0,51.0,51.0
Harry_Potter_and_the_Deathly_Hallows,39.0,98.0,39.0,12.0,96.0,12.0,14.000000000000002,98.0,14.000000000000002,20.0,95.0,20.0
The_Great_Gatsby,96.29629629629629,98.14814814814815,96.29629629629629,79.62962962962963,77.77777777777779,77.77777777777779,27.77777777777778,62.96296296296296,27.77777777777778,9.25925925925926,70.37037037037037,9.25925925925926
A_Tale_of_Two_Cities,98.0,100.0,98.0,59.0,71.0,59.0,5.0,90.0,5.0,15.0,64.0,15.0
The_Boy_in_the_Striped_Pyjamas,68.0,70.0,68.0,3.0,27.0,3.0,34.0,55.00000000000001,34.0,16.0,53.0,16.0
Dracula,93.33333333333333,93.33333333333333,93.33333333333333,90.0,90.0,90.0,23.333333333333332,91.11111111111111,23.333333333333332,4.444444444444445,74.44444444444444,4.444444444444445
The_Picture_of_Dorian_Gray,87.67123287671232,87.67123287671232,87.67123287671232,76.71232876712328,76.71232876712328,76.71232876712328,76.71232876712328,76.71232876712328,76.71232876712328,43.83561643835616,50.68493150684932,43.83561643835616
A_thousand_splendid_suns,76.59574468085107,78.72340425531915,76.59574468085107,10.638297872340425,40.42553191489361,10.638297872340425,2.127659574468085,2.127659574468085,2.127659574468085,12.76595744680851,68.08510638297872,12.76595744680851
Adventures_of_Huckleberry_Finn,64.0,98.0,64.0,24.0,71.0,24.0,16.0,57.99999999999999,16.0,13.0,47.0,13.0
Adventures_of_Sherlock_Holmes,4.0,48.0,2.0,11.0,3.0,0.0,5.0,70.0,4.0,2.0,8.0,2.0
