line_no,Single_ent,Multiple_ents,en,vi,tr,es,vi_translation,tr_translation,es_translation
2,"['henry wotton', 'lord henry wotton']",,"From the corner of the divan of Persian saddle-bags on which he was lying, smoking, as was his custom, innumerable cigarettes, Lord Henry Wotton could just catch the gleam of the honey-sweet and honey-coloured blossoms of a laburnum, whose tremulous branches seemed hardly able to bear the burden of a beauty so flamelike as theirs; and now and then the fantastic shadows of birds in flight flitted across the long tussore-silk curtains that were stretched in front of the huge window, producing a kind of momentary Japanese effect, and making him think of those pallid, jade-faced painters of Tokyo who, through the medium of an art that is necessarily immobile, seek to convey the sense of swiftness and motion. The sullen murmur of the bees shouldering their way through the long unmown grass, or circling with monotonous insistence round the dusty gilt horns of the straggling woodbine, seemed to make the stillness more oppressive. The dim roar of London was like the bourdon note of a distant organ.","Từ góc chiếc đi-văng bọc thảm giả túi yên lạc đà Ba Tư mà trên đó y nằm hút, theo thói quen, vô số điếu thuốc, huân tước Henry Wotton chỉ có thể loáng thoáng thấy được những bông hoa ngọt-mật và màu-mật của một cây kim tước mà những cái cành run rẩy của nó dường như khó khăn lắm mới có thể mang nổi gánh nặng một vẻ đẹp rừng rực nhường ấy; và thỉnh thoảng, những chiếc bóng dị thường của lũ chim đang bay lượn lại vụt qua các tấm màn lụa tuýt-so dài căng trước ô cửa rộng, gây nên cảm giác gì đó từa tựa như một ấn tượng Nhật Bản nhất thời, và khiến y nghĩ về những họa sỹ mặt xanh nanh vàng ở Tokyo, những kẻ, nhờ vào sự trung gian của một nghệ thuật vốn dĩ tất yếu là bất động, đã cố gắng chuyển tải ý thức về sự mau lẹ và sự chuyển động. Tiếng rì rầm rầu rĩ của lũ ong đang len lỏi qua bãi cỏ dài chưa cắt, hoặc xoay tròn với sự cố chấp đơn điệu quanh các cái sừng thiếp vàng phủ bụi phấn của cây kim ngân bò lan um tùm, dường như khiến cho cảnh tĩnh mịch ấy lại còn ngột ngạt hơn. Tiếng gầm âm ỉ của thành London hệt như nốt buộc-đông của cây đàn ống xa xôi.","İran heybeleriyle döşenmiş divanın köşesinde uzanmış, huyu olduğu üzere sayısız sigara tüttüren Lord Henry Wotton, bulunduğu yerden sarı salkım ağacının balrengi, bal tatlısı çiçeklerini seçebiliyordu. Ağacın titrek dalları, böylesi aleve benzer bir güzelliğin yükünü taşımakta güçlük çeker gibiydi. Kocaman pencerenin önünde gerili duran uzun, ipekli perdelerin üzerine arada düş gibi kuş gölgeleri vuruyordu. İlk bakışta bir Japon havası çağrıştıran bu perdeler Lord Henry’ye, Tokyo’nun solgun, zümrüt benizli ressamlarını anımsatıyordu; zorunluluk gereği durağan olan bir sanat aracılığıyla hareket ve hız aktarmaya çalışan ressamlar. Yüksek, biçilmemiş otlar arasında kendilerine yol açmaya çalışan ya da sere serpe frenkasmalarının tozlu, yaldızlı boynuzlarının çevresinde tekdüze bir ısrarla dönüp duran arıların donuk mırıltısı, ortalığın dinginliğini büsbütün sıkıcı kılar gibiydi. Londra’nın hafif uğultusu uzaktaki bir org melodisinin pes sedasını andırıyordu.","Lord Henry Wotton, que había consumido ya, según su costumbre, innumerables cigarrillos, vislumbraba, desde el extremo del sofá donde estaba tumbado —tapizado al estilo de las alfombras persas—, el resplandor de las floraciones de un codeso, de dulzura y color de miel, cuyas ramas estremecidas apenas parecían capaces de soportar el peso de una belleza tan deslumbrante como la suya; y, de cuando en cuando, las sombras fantásticas de pájaros en vuelo se deslizaban sobre las largas cortinas de seda india colgadas delante de las inmensas ventanas, produciendo algo así como un efecto japonés, lo que le hacía pensar en los pintores de Tokyo, de rostros tan pálidos como el jade, que, por medio de un arte necesariamente inmóvil, tratan de transmitir la sensación de velocidad y de movimiento. El zumbido obstinado de las abejas, abriéndose camino entre el alto césped sin segar, o dando vueltas con monótona insistencia en torno a los polvorientos cuernos dorados de las desordenadas madreselvas, parecían hacer más opresiva la quietud, mientras los ruidos confusos de Londres eran como las notas graves de un órgano lejano.","From the corner of the Persian camel saddlebag-patterned divan on which he habitually lay smoking countless cigarettes, Lord Henry Wotton could only faintly see the honey-sweet and honey-colored blossoms of a laburnum tree whose trembling branches seemed to struggle under the weight of such a blazing beauty; and occasionally, the strange shadows of birds in flight would flicker across the long tussore silk curtains drawn before the wide window, evoking a sensation somewhat akin to a fleeting Japanese impression, and making him think of the green-faced, yellow-fanged artists in Tokyo, who, through the medium of an inherently static art, had attempted to convey a sense of swiftness and movement. The mournful hum of bees threading through the long, uncut grass, or circling with monotonous persistence around the golden-tipped horns of the overgrown honeysuckle, seemed to make the stillness even more oppressive. The distant roar of London was like the pedal note of a far-off organ.","Lord Henry Wotton, who was lying in the corner of the divan adorned with Iranian saddlebags, smoking countless cigarettes as was his habit, could make out the honey-colored, honey-sweet flowers of the yellow wisteria tree from where he was. The tree's trembling branches seemed to struggle under the burden of such flame-like beauty. Occasionally, the shadows of birds, like dreams, would fall upon the long, silken curtains stretched in front of the large window. At first glance, these curtains, which evoked a Japanese atmosphere, reminded Lord Henry of the pale, emerald-faced painters of Tokyo; painters who tried to convey movement and speed through the necessarily static medium of art. The dull hum of bees, either trying to make their way through the tall, uncut grass or circling monotonously around the dusty, gilded horns of the sprawling French marigolds, seemed to make the tranquility of the surroundings all the more tedious. The faint hum of London resembled the bass notes of a distant organ melody.","Lord Henry Wotton, who had already consumed, as was his custom, innumerable cigarettes, glimpsed, from the end of the sofa where he was lying —upholstered in the style of Persian carpets—, the glow of the blossoms of a broom, sweet and honey-colored, whose trembling branches barely seemed capable of bearing the weight of such dazzling beauty as theirs; and, from time to time, the fantastic shadows of birds in flight slid over the long Indian silk curtains hanging in front of the immense windows, producing something like a Japanese effect, which made him think of the painters of Tokyo, with faces as pale as jade, who, through a necessarily motionless art, try to convey the sensation of speed and movement. The obstinate buzzing of bees, making their way through the tall unmown grass, or circling with monotonous insistence around the dusty golden horns of the disordered honeysuckles, seemed to make the stillness more oppressive, while the confused noises of London were like the deep notes of a distant organ."
3,"['basil hallwar', 'basil hallward']",,"In the centre of the room, clamped to an upright easel, stood the full-length portrait of a young man of extraordinary personal beauty, and in front of it, some little distance away, was sitting the artist himself, Basil Hallward, whose sudden disappearance some years ago caused, at the time, such public excitement and gave rise to so many strange conjectures.","Ở giữa phòng, kẹp chặt vào một giá vẽ đứng thẳng, đặt bức chân dung toàn thân của một thanh niên có vẻ đẹp cá nhân khác thường, và ngồi trước mặt nó, hơi xa hơn đôi chút, là chính nghệ sỹ sáng tác, Basil Hallward, người mà sự biến mất đột ngột vài năm trước của y đã gây nên, vào thời ấy, sự náo động quá đỗi trong công chúng, và tạo ra cơ man phỏng đoán lạ lùng.","Odanın en ortasında, ayaklı bir kanvasta, olağanüstü güzellikteki bir genç erkeğin boy resmi duruyordu. Önünde, biraz ötede de portrenin ressamı oturmaktaydı: birkaç yıl önce, ansızın ortadan yitmesiyle bir süre büyük heyecan yaratan ve bir sürü garip tahminlere yol açan Basil Hallward.","En el centro de la pieza, sobre un caballete recto, descansaba el retrato de cuerpo entero de un joven de extraordinaria belleza; y, delante, a cierta distancia, estaba sentado el artista en persona, el Basil Hallward cuya repentina desaparición, hace algunos años, tanto conmoviera a la sociedad y diera origen a tan extrañas suposiciones.","In the middle of the room, clamped tightly onto an upright easel, was a full-length portrait of a young man with extraordinary personal beauty, and sitting in front of it, a little further away, was the artist himself, Basil Hallward, whose sudden disappearance a few years ago had caused, at that time, an overwhelming public sensation and generated a myriad of strange speculations.","In the very center of the room, on a standing canvas, stood a portrait of an extraordinarily beautiful young man. In front of it, a little further away, sat the painter of the portrait: Basil Hallward, who had caused quite a stir a few years ago by suddenly disappearing and giving rise to a host of strange speculations.","In the center of the room, on a straight easel, rested the full-length portrait of a young man of extraordinary beauty; and, in front, at a certain distance, sat the artist himself, Basil Hallward, whose sudden disappearance a few years ago so moved society and gave rise to such strange suppositions."
9,"['lord henry', 'henry']",,Lord Henry stretched himself out on the divan and laughed.,Huân tước Henry duỗi người trên đi-văng và bật cười.,Lord Henry divana boylu boyunca uzanarak güldü.,"Lord Henry, estirándose sobre el sofá, dejó escapar una carcajada.",Lord Henry stretched out on the couch and laughed.,Lord Henry lay full length on the divan and laughed.,"Lord Henry, stretching out on the sofa, let out a laugh."
19,"['lord henry', 'henry']",,"“Being natural is simply a pose, and the most irritating pose I know,” cried Lord Henry, laughing; and the two young men went out into the garden together and ensconced themselves on a long bamboo seat that stood in the shade of a tall laurel bush. The sunlight slipped over the polished leaves. In the grass, white daisies were tremulous.","“Sống thuận tự nhiên cũng chỉ để làm màu thôi, và là kiểu làm màu khó chịu nhất mà tôi từng biết,” huân tước Henry la lớn, bật cười; và hai người đàn ông trẻ trung ấy cùng đi vào vườn, rồi yên vị trên chiếc ghế tre dài đặt dưới bóng mát bụi nguyệt quế cao. Ánh nắng trượt qua những chiếc lá bóng loáng. Trên cỏ, bạch cúc rung rinh.","Lord Henry, “Doğal olmak da yapmacıklıktan başka bir şey değildir, hem de yapmacıklıkların en sinir bozucusu, bence,” diyerek güldü. İki genç erkek birlikte bahçeye çıktılar, yüksek bir taflanın gölgesindeki uzun bambu sıraya oturdular. Güneş, cilalı yapraklardan aşağı kayıyordu. Otların arasındaki beyaz papatyalar titreşimler içindeydi.","—La naturalidad también es afectación, y la más irritante que conozco —exclamó lord Henry, echándose a reír. Los dos jóvenes salieron juntos al jardín, acomodándose en un amplio banco de bambú colocado a la sombra de un laurel. La luz del sol resbalaba sobre las hojas enceradas. Sobre la hierba temblaban margaritas blancas.","“Living in harmony with nature is just for show, and it's the most annoying kind of showmanship I've ever known,” Lord Henry shouted, laughing; and the two young men walked into the garden, then settled on a long bamboo bench placed in the shade of a tall laurel bush. Sunlight glided through the glossy leaves. On the grass, daisies swayed.","Lord Henry laughed and said, ""Being natural is just another pose, and the most irritating one at that, in my opinion."" Two young men went out to the garden together and sat on the long bamboo bench in the shade of a tall laurel tree. The sun was sliding down the polished leaves. The white daisies among the grass were trembling.","—Naturalness is also affectation, and the most irritating one I know —exclaimed Lord Henry, bursting into laughter. The two young people went out together to the garden, settling on a wide bamboo bench placed in the shade of a laurel tree. The sunlight slid over the waxed leaves. White daisies trembled on the grass."
23,['harry'],,"“I do not, Harry.”","“Tôi không biết đâu, Harry.”","“Bilmiyorum, Harry.","—No lo sé, Harry.","“I don't know, Harry.”","“I don't know, Harry.”","—I don't know, Harry."
28,"['lord henry', 'henry']",,Lord Henry laughed. “And what is that?” he asked.,Huân tước Henry cười. “Và nó là cái gì vậy?” y hỏi.,Lord Henry güldü. “Bu giz ne ola ki?” diye sordu.,"Lord Henry rió. — Y, ¿cuál es ...? —preguntó.","Lord Henry laughed. ""And what is it?"" he asked.",Lord Henry laughed. “What could this mystery be?” he asked.,"Lord Henry laughed. — And, what is ...? —he asked."
29,['hallward'],,"“I will tell you,” said Hallward; but an expression of perplexity came over his face.","“Tôi sẽ kể anh nghe,” Hallward nói; nhưng một nét bối rối lướt ngang qua mặt y.","Hallward, “Söyleyeyim,” dediyse de yüzünde bir şaşkınlık ifadesi belirmişti.",—Te lo voy a decir —respondió Hallward; pero lo que apareció en su rostro fue una expresión de perplejidad.,"“I will tell you,” Hallward said; but a look of confusion crossed his face.","Hallward said, ""I will tell you,"" but a look of astonishment had appeared on his face.",—I am going to tell you —replied Hallward; but what appeared on his face was an expression of perplexity.
32,"['lord henry', 'henry']",,"Lord Henry smiled, and leaning down, plucked a pink-petalled daisy from the grass and examined it. “I am quite sure I shall understand it,” he replied, gazing intently at the little golden, white-feathered disk, “and as for believing things, I can believe anything, provided that it is quite incredible.”","Huân tước Henry cười và cúi xuống bứt một bông cúc cánh hồng khỏi cỏ, ngắm nghía nó. “Tôi chắc chắn là tôi có thể hiểu nó,” y đáp lại, nhìn chăm chú vào cái nhụy vàng nhỏ phủ đầy lông tơ trắng, “và về phần những điều đáng tin, tôi có thể tin mọi điều, miễn là nó hoàn toàn không thể tin nổi.”","Lord Henry gülümseyerek eğildi, çimenlerin arasından pembe bir papatya kopardı, incelemeye girişti. Elindeki bu altın gözlü küçük yuvarlağa dikkatle bakarak, “Anlayacağımdan hiç kuşkum yok,” dedi. “İnanmaya gelince; ben her şeye inanabilirim, yeter ki tümden inanılmaz bir şey olsun.","Lord Henry sonrió y, agachándose, arrancó de entre el césped una margarita de pétalos rosados y se puso a examinarla. —Estoy seguro de que lo entenderé —replicó, contemplando fijamente el pequeño disco dorado con plumas blancas—; y en cuanto a creer cosas, me puedo creer cualquiera con tal de que sea totalmente increíble.","Lord Henry smiled and bent down to pluck a pink-petaled daisy from the grass, examining it. “I am sure I can understand it,” he replied, staring intently at the small yellow center covered with white fuzz, “and as for the believable things, I can believe anything, as long as it is utterly unbelievable.”","Lord Henry smiled and bent down, plucked a pink daisy from the grass, and began to examine it. Looking carefully at this small round flower with a golden eye in his hand, he said, ""I have no doubt that I will understand."" ""As for believing; I can believe anything, as long as it is something utterly unbelievable.""","Lord Henry smiled and, bending down, plucked a pink-petaled daisy from the grass and began to examine it. —I am sure I will understand it —he replied, staring intently at the small golden disc with white feathers—; and as for believing things, I can believe anything as long as it is totally unbelievable."
37,"['lord henry', 'henry']",,"“Yes; she is a peacock in everything but beauty,” said Lord Henry, pulling the daisy to bits with his long nervous fingers.","“Vâng; bà ấy là một con công trên mọi phương diện ngoại trừ sắc đẹp,” huân tước Henry vừa nói vừa bứt bông cúc thành nhiều mảnh bằng những ngón tay dài, bồn chồn của mình.","Lord Henry, papatyayı o uzun, duyarlı parmaklarıyla didik didik ederek, “Evet, güzelliği dışında her şeyiyle tavuskuşudur,” dedi.","—Sí; es un pavo real en todo menos en la belleza —dijo lord Henry, deshaciendo la margarita con sus largos dedos nerviosos.","""Yes; she is a peacock in everything but beauty,"" said Lord Henry, tearing a daisy into pieces with his long, restless fingers.","Lord Henry, plucking the daisy with his long, sensitive fingers, said, ""Yes, he is a peacock in everything but beauty.""","—Yes; he is a peacock in everything except beauty —said Lord Henry, undoing the daisy with his long, nervous fingers."
47,['basil'],,"“My dear old Basil, you are much more than an acquaintance.”","“Bạn già Basil yêu quý của tôi, anh hơn hẳn người quen.","“Çok sevgili dostum Basil, bir tanıştan çok ötedesin sen.",—Mi querido Basil: eres mucho más que un conocido.,"“My dear old friend Basil, you are far superior to mere acquaintances.”","“My very dear friend Basil, you are much more than an acquaintance.”",—My dear Basil: you are much more than an acquaintance.
