line_no,Single_ent,Multiple_ents,en,vi,tr,es,vi_translation,tr_translation,es_translation
0,,[],CHAPTER I.,Chương 1,Birinci bölüm,Capítulo 1,Chapter 1,First chapter,Chapter 1
1,,[],"The studio was filled with the rich odour of roses, and when the light summer wind stirred amidst the trees of the garden, there came through the open door the heavy scent of the lilac, or the more delicate perfume of the pink-flowering thorn.","Xưởng vẽ ngập hương hồng ngan ngát, và khi làn gió hè nhẹ nhàng khuấy động giữa cây cối trong vườn, đâu đây qua cánh cửa mở toang lan tỏa mùi tử đinh hương ngào ngạt, hay hương thơm dịu dàng hơn của cây đào gai đương nở hoa hồng.",Stüdyo güllerin baygın kokusuyla doluydu; hafif yaz esintisi bahçedeki ağaçların arasında gezindiğinde açık kapıdan leylakların ağır kokusu ya da pembe çiçek açmış diken ağaçlarının daha narin parfümü geliyordu.,"El intenso perfume de las rosas embalsamaba el estudio y, cuando la ligera brisa agitaba los árboles del jardín, entraba, por la puerta abierta, un intenso olor a lilas o el aroma más delicado de las flores rosadas de los espinos.","The studio was filled with the fragrance of roses, and when the gentle summer breeze stirred among the trees in the garden, the scent of lilacs wafted through the open door, mingling with the more delicate aroma of blooming wild peach blossoms.","The studio was filled with the languid scent of roses; when a light summer breeze wandered among the trees in the garden, the heavy fragrance of lilacs or the more delicate perfume of pink-flowered thorn trees wafted in through the open door.","The intense perfume of the roses embalmed the studio, and when the light breeze stirred the trees in the garden, an intense scent of lilacs or the more delicate aroma of the pink flowers of the hawthorns entered through the open door."
2,"['henry wotton', 'lord henry wotton']",,"From the corner of the divan of Persian saddle-bags on which he was lying, smoking, as was his custom, innumerable cigarettes, Lord Henry Wotton could just catch the gleam of the honey-sweet and honey-coloured blossoms of a laburnum, whose tremulous branches seemed hardly able to bear the burden of a beauty so flamelike as theirs; and now and then the fantastic shadows of birds in flight flitted across the long tussore-silk curtains that were stretched in front of the huge window, producing a kind of momentary Japanese effect, and making him think of those pallid, jade-faced painters of Tokyo who, through the medium of an art that is necessarily immobile, seek to convey the sense of swiftness and motion. The sullen murmur of the bees shouldering their way through the long unmown grass, or circling with monotonous insistence round the dusty gilt horns of the straggling woodbine, seemed to make the stillness more oppressive. The dim roar of London was like the bourdon note of a distant organ.","Từ góc chiếc đi-văng bọc thảm giả túi yên lạc đà Ba Tư mà trên đó y nằm hút, theo thói quen, vô số điếu thuốc, huân tước Henry Wotton chỉ có thể loáng thoáng thấy được những bông hoa ngọt-mật và màu-mật của một cây kim tước mà những cái cành run rẩy của nó dường như khó khăn lắm mới có thể mang nổi gánh nặng một vẻ đẹp rừng rực nhường ấy; và thỉnh thoảng, những chiếc bóng dị thường của lũ chim đang bay lượn lại vụt qua các tấm màn lụa tuýt-so dài căng trước ô cửa rộng, gây nên cảm giác gì đó từa tựa như một ấn tượng Nhật Bản nhất thời, và khiến y nghĩ về những họa sỹ mặt xanh nanh vàng ở Tokyo, những kẻ, nhờ vào sự trung gian của một nghệ thuật vốn dĩ tất yếu là bất động, đã cố gắng chuyển tải ý thức về sự mau lẹ và sự chuyển động. Tiếng rì rầm rầu rĩ của lũ ong đang len lỏi qua bãi cỏ dài chưa cắt, hoặc xoay tròn với sự cố chấp đơn điệu quanh các cái sừng thiếp vàng phủ bụi phấn của cây kim ngân bò lan um tùm, dường như khiến cho cảnh tĩnh mịch ấy lại còn ngột ngạt hơn. Tiếng gầm âm ỉ của thành London hệt như nốt buộc-đông của cây đàn ống xa xôi.","İran heybeleriyle döşenmiş divanın köşesinde uzanmış, huyu olduğu üzere sayısız sigara tüttüren Lord Henry Wotton, bulunduğu yerden sarı salkım ağacının balrengi, bal tatlısı çiçeklerini seçebiliyordu. Ağacın titrek dalları, böylesi aleve benzer bir güzelliğin yükünü taşımakta güçlük çeker gibiydi. Kocaman pencerenin önünde gerili duran uzun, ipekli perdelerin üzerine arada düş gibi kuş gölgeleri vuruyordu. İlk bakışta bir Japon havası çağrıştıran bu perdeler Lord Henry’ye, Tokyo’nun solgun, zümrüt benizli ressamlarını anımsatıyordu; zorunluluk gereği durağan olan bir sanat aracılığıyla hareket ve hız aktarmaya çalışan ressamlar. Yüksek, biçilmemiş otlar arasında kendilerine yol açmaya çalışan ya da sere serpe frenkasmalarının tozlu, yaldızlı boynuzlarının çevresinde tekdüze bir ısrarla dönüp duran arıların donuk mırıltısı, ortalığın dinginliğini büsbütün sıkıcı kılar gibiydi. Londra’nın hafif uğultusu uzaktaki bir org melodisinin pes sedasını andırıyordu.","Lord Henry Wotton, que había consumido ya, según su costumbre, innumerables cigarrillos, vislumbraba, desde el extremo del sofá donde estaba tumbado —tapizado al estilo de las alfombras persas—, el resplandor de las floraciones de un codeso, de dulzura y color de miel, cuyas ramas estremecidas apenas parecían capaces de soportar el peso de una belleza tan deslumbrante como la suya; y, de cuando en cuando, las sombras fantásticas de pájaros en vuelo se deslizaban sobre las largas cortinas de seda india colgadas delante de las inmensas ventanas, produciendo algo así como un efecto japonés, lo que le hacía pensar en los pintores de Tokyo, de rostros tan pálidos como el jade, que, por medio de un arte necesariamente inmóvil, tratan de transmitir la sensación de velocidad y de movimiento. El zumbido obstinado de las abejas, abriéndose camino entre el alto césped sin segar, o dando vueltas con monótona insistencia en torno a los polvorientos cuernos dorados de las desordenadas madreselvas, parecían hacer más opresiva la quietud, mientras los ruidos confusos de Londres eran como las notas graves de un órgano lejano.","From the corner of the Persian camel saddlebag-patterned divan on which he habitually lay smoking countless cigarettes, Lord Henry Wotton could only faintly see the honey-sweet and honey-colored blossoms of a laburnum tree whose trembling branches seemed to struggle under the weight of such a blazing beauty; and occasionally, the strange shadows of birds in flight would flicker across the long tussore silk curtains drawn before the wide window, evoking a sensation somewhat akin to a fleeting Japanese impression, and making him think of the green-faced, yellow-fanged artists in Tokyo, who, through the medium of an inherently static art, had attempted to convey a sense of swiftness and movement. The mournful hum of bees threading through the long, uncut grass, or circling with monotonous persistence around the golden-tipped horns of the overgrown honeysuckle, seemed to make the stillness even more oppressive. The distant roar of London was like the pedal note of a far-off organ.","Lord Henry Wotton, who was lying in the corner of the divan adorned with Iranian saddlebags, smoking countless cigarettes as was his habit, could make out the honey-colored, honey-sweet flowers of the yellow wisteria tree from where he was. The tree's trembling branches seemed to struggle under the burden of such flame-like beauty. Occasionally, the shadows of birds, like dreams, would fall upon the long, silken curtains stretched in front of the large window. At first glance, these curtains, which evoked a Japanese atmosphere, reminded Lord Henry of the pale, emerald-faced painters of Tokyo; painters who tried to convey movement and speed through the necessarily static medium of art. The dull hum of bees, either trying to make their way through the tall, uncut grass or circling monotonously around the dusty, gilded horns of the sprawling French marigolds, seemed to make the tranquility of the surroundings all the more tedious. The faint hum of London resembled the bass notes of a distant organ melody.","Lord Henry Wotton, who had already consumed, as was his custom, innumerable cigarettes, glimpsed, from the end of the sofa where he was lying —upholstered in the style of Persian carpets—, the glow of the blossoms of a broom, sweet and honey-colored, whose trembling branches barely seemed capable of bearing the weight of such dazzling beauty as theirs; and, from time to time, the fantastic shadows of birds in flight slid over the long Indian silk curtains hanging in front of the immense windows, producing something like a Japanese effect, which made him think of the painters of Tokyo, with faces as pale as jade, who, through a necessarily motionless art, try to convey the sensation of speed and movement. The obstinate buzzing of bees, making their way through the tall unmown grass, or circling with monotonous insistence around the dusty golden horns of the disordered honeysuckles, seemed to make the stillness more oppressive, while the confused noises of London were like the deep notes of a distant organ."
3,"['basil hallwar', 'basil hallward']",,"In the centre of the room, clamped to an upright easel, stood the full-length portrait of a young man of extraordinary personal beauty, and in front of it, some little distance away, was sitting the artist himself, Basil Hallward, whose sudden disappearance some years ago caused, at the time, such public excitement and gave rise to so many strange conjectures.","Ở giữa phòng, kẹp chặt vào một giá vẽ đứng thẳng, đặt bức chân dung toàn thân của một thanh niên có vẻ đẹp cá nhân khác thường, và ngồi trước mặt nó, hơi xa hơn đôi chút, là chính nghệ sỹ sáng tác, Basil Hallward, người mà sự biến mất đột ngột vài năm trước của y đã gây nên, vào thời ấy, sự náo động quá đỗi trong công chúng, và tạo ra cơ man phỏng đoán lạ lùng.","Odanın en ortasında, ayaklı bir kanvasta, olağanüstü güzellikteki bir genç erkeğin boy resmi duruyordu. Önünde, biraz ötede de portrenin ressamı oturmaktaydı: birkaç yıl önce, ansızın ortadan yitmesiyle bir süre büyük heyecan yaratan ve bir sürü garip tahminlere yol açan Basil Hallward.","En el centro de la pieza, sobre un caballete recto, descansaba el retrato de cuerpo entero de un joven de extraordinaria belleza; y, delante, a cierta distancia, estaba sentado el artista en persona, el Basil Hallward cuya repentina desaparición, hace algunos años, tanto conmoviera a la sociedad y diera origen a tan extrañas suposiciones.","In the middle of the room, clamped tightly onto an upright easel, was a full-length portrait of a young man with extraordinary personal beauty, and sitting in front of it, a little further away, was the artist himself, Basil Hallward, whose sudden disappearance a few years ago had caused, at that time, an overwhelming public sensation and generated a myriad of strange speculations.","In the very center of the room, on a standing canvas, stood a portrait of an extraordinarily beautiful young man. In front of it, a little further away, sat the painter of the portrait: Basil Hallward, who had caused quite a stir a few years ago by suddenly disappearing and giving rise to a host of strange speculations.","In the center of the room, on a straight easel, rested the full-length portrait of a young man of extraordinary beauty; and, in front, at a certain distance, sat the artist himself, Basil Hallward, whose sudden disappearance a few years ago so moved society and gave rise to such strange suppositions."
4,,[],"As the painter looked at the gracious and comely form he had so skilfully mirrored in his art, a smile of pleasure passed across his face, and seemed about to linger there. But he suddenly started up, and closing his eyes, placed his fingers upon the lids, as though he sought to imprison within his brain some curious dream from which he feared he might awake.","Trong lúc họa sỹ ngắm nhìn vào cái dáng hình thanh lịch tuyệt đẹp mà y đã phản ánh được một cách hết sức khéo léo bằng nghệ thuật của mình, một nụ cười khoan khoái lướt ngang qua mặt y và dường như sắp lần lữa ở đó. Nhưng y bất ngờ đứng dậy và, nhắm mắt lại, đặt các ngón tay lên đôi mí mắt, như thể tìm cách giam trong não mình một giấc mơ kỳ lạ nào đó mà từ ấy y sợ y có thể bừng tỉnh.","Ressam sanatında yansıttığı zarif ve yakışıklı figüre bakarken yüzünü bir zevk gülümsemesi yaladı ve sanki bir süre orada oyalanmak istedi. Ancak birden irkilerek doğruldu, uyanıp yitirmekten korktuğu bir tuhaf düşü beyninde hapsetmek istercesine gözlerini yumarak parmak uçlarını gözkapaklarına bastırdı.","Al contemplar la figura apuesta y elegante que con tanta habilidad había reflejado gracias a su arte, una sonrisa de satisfacción, que quizá hubiera podido prolongarse, iluminó su rostro. Pero el artista se incorporó bruscamente y, cerrando los ojos, se cubrió los párpados con los dedos, como si tratara de aprisionar en su cerebro algún extraño sueño del que temiese despertar.","As the artist gazed at the elegant and beautiful figure that he had skillfully captured with his art, a contented smile briefly crossed his face and seemed about to linger there. But he suddenly stood up and, closing his eyes, placed his fingers on his eyelids, as if trying to imprison in his mind a strange dream from which he feared he might awaken.","As he gazed at the elegant and handsome figure reflected in the artist's work, a smile of pleasure spread across his face, and it seemed as if he wanted to linger there for a while. However, he suddenly started and straightened up, closing his eyes and pressing his fingertips against his eyelids as if trying to trap a strange dream in his mind that he feared losing upon waking.","Upon contemplating the handsome and elegant figure that he had so skillfully depicted thanks to his art, a smile of satisfaction, which perhaps could have lasted longer, illuminated his face. But the artist abruptly stood up and, closing his eyes, covered his eyelids with his fingers, as if trying to capture in his mind some strange dream from which he feared to awaken."
5,,"['basi', 'grosvenor', 'basil', 'henry', 'lord henry']","“It is your best work, Basil, the best thing you have ever done,” said Lord Henry languidly. “You must certainly send it next year to the Grosvenor. The Academy is too large and too vulgar. Whenever I have gone there, there have been either so many people that I have not been able to see the pictures, which was dreadful, or so many pictures that I have not been able to see the people, which was worse. The Grosvenor is really the only place.”","“Đó là tác phẩm đẹp nhất của anh đấy, Basil, vật đẹp nhất mà anh từng tạo ra,” huân tước Henry uể oải nói. “Năm sau anh nhất định phải gửi nó đến Grosvenor. Viện hàn lâm quá lớn và quá thô tục. Mỗi khi tôi đến đó là ở đó thế nào cũng có hoặc là nhiều người đến nỗi tôi không thể trông thấy các bức tranh, vốn đã kinh khiếp, hoặc là nhiều tranh đến nỗi tôi không thể thấy lũ người, lại còn kinh hơn. Grosvenor thật sự là nơi duy nhất.”","Lord Henry tembel bir sesle, “En iyi eserin bu, Basil, yaptığın en üstün şey,” diye konuştu. “Önümüzdeki yıl Grosvenor Galerisi’ne yollamalısın, mutlaka. Akademi aşırı büyük, aşırı avam işi. Ne zaman oraya gittiysem ya kalabalık yüzünden resimleri göremedim, ki feci bir şey ya da resimlerin çokluğu yüzünden insanları göremedim, ki bu daha da beter. İnan bana, tek seçenek Grosvenor Galerisi.","—Es tu mejor obra, Basil —dijo lord Henry con entonación lánguida—, lo mejor que has hecho. No dejes de mandarla el año que viene a la galería Grosvenor. La Academia es demasiado grande y demasiado vulgar. Cada vez que voy allí, o hay tanta gente que no puedo ver los cuadros, lo que es horrible, o hay tantos cuadros que no puedo ver a la gente, lo que todavía es peor. La galería Grosvenor es el sitio indicado.","""That is your most beautiful work, Basil, the most beautiful thing you have ever created,"" Lord Henry said languidly. ""Next year you must certainly send it to the Grosvenor. The Academy is too large and too vulgar. Every time I go there, it is either so crowded that I cannot see the paintings, which are dreadful, or there are so many paintings that I cannot see the people, which is even worse. The Grosvenor is really the only place.""","Lord Henry said in a lazy voice, ""This is your best work, Basil, the finest thing you have done."" ""You must send it to the Grosvenor Gallery next year, without a doubt. The Academy is too large, too vulgar. Whenever I went there, I either couldn't see the paintings because of the crowd, which is a terrible thing, or I couldn't see the people because of the multitude of paintings, which is even worse. Believe me, the only option is the Grosvenor Gallery.""","—It is your best work, Basil —said Lord Henry with a languid tone—, the best you have done. Be sure to send it to the Grosvenor Gallery next year. The Academy is too large and too vulgar. Every time I go there, either there are so many people that I can't see the paintings, which is horrible, or there are so many paintings that I can't see the people, which is even worse. The Grosvenor Gallery is the right place."
6,,[],"“I don’t think I shall send it anywhere,” he answered, tossing his head back in that odd way that used to make his friends laugh at him at Oxford. “No, I won’t send it anywhere.”","“Tôi không nghĩ mình sẽ gửi nó đi đâu cả,” y trả lời, hất đầu ra sau theo cái lối kỳ quặc vẫn thường khiến bạn bè y cười y ở Oxford. “Không: tôi sẽ không gửi nó đi đâu cả.","Ressam, “Bunu hiçbir yere yollayacağımı sanmıyorum,” diye yanıtladı, başını Oxford’dayken arkadaşlarını hep güldürmüş olan o tuhaf devinimle arkaya atarak. “Yok, hiçbir yere yollamayacağım.","—No creo que lo mande a ningún sitio —respondió el artista, echando la cabeza hacia atrás de la curiosa manera que siempre hacía reír a sus amigos de Oxford—. No; no mandaré el retrato a ningún sitio.","“I don't think I'll send it anywhere,” he replied, tossing his head back in that peculiar way that often made his friends laugh at him in Oxford. “No: I won't send it anywhere.”","The painter replied, ""I don't think I'll send this anywhere,"" throwing his head back with that strange motion that had always amused his friends when he was in Oxford. ""No, I won't send it anywhere.""","—I don't think I'll send it anywhere —replied the artist, throwing his head back in that curious way that always made his friends from Oxford laugh—. No; I won't send the portrait anywhere."
7,,"['lord henry', 'henry', 'an']","Lord Henry elevated his eyebrows and looked at him in amazement through the thin blue wreaths of smoke that curled up in such fanciful whorls from his heavy, opium-tainted cigarette. “Not send it anywhere? My dear fellow, why? Have you any reason? What odd chaps you painters are! You do anything in the world to gain a reputation. As soon as you have one, you seem to want to throw it away. It is silly of you, for there is only one thing in the world worse than being talked about, and that is not being talked about. A portrait like this would set you far above all the young men in England, and make the old men quite jealous, if old men are ever capable of any emotion.”","Huân tước Henry nhướng mày và sửng sốt nhìn y qua làn khói xanh mỏng cuộn lên thành các vòng xoắn siêu thực từ điếu thuốc nặng mùi nha phiến của mình. “Không gửi nó đi đâu cả? Bạn ơi, tại sao? Anh có lý do nào không? Họa sỹ các anh thật là những kẻ kỳ cục! Các anh làm mọi việc trên đời để kiếm danh. Vậy mà ngay khi các anh có nó thì dường như các anh lại muốn ném nó đi luôn. Đấy là cái dại của các anh, bởi lẽ chỉ có một thứ trên đời này tệ hơn bị nhắc đến, và đó là không được nhắc đến. Một bức chân dung như thế này sẽ đặt anh lên trên hẳn mọi người trẻ ở Anh, và khiến cho những người già phải ghen tức lồng lộn, nếu như những người già ấy còn có khả năng thấy được cảm xúc nào đó.”","Lord Henry kaşlarını kaldırdı; içtiği kalın, afyonlu sigaradan burgu burgu yükselen ince, mavi duman halkalarının arasından arkadaşına şaşkınlıkla baktı. “Hiçbir yere yollamayacak mısın? Aziz dostum, ne diye? Bir nedenin var mı? Siz ressamlar, ne tuhaf kişilersiniz! Ün kazanmak için her şeyi yapıyorsunuz. Kazanır kazanmaz da ününüzü heba etmek istiyorsunuz! Saçmalık bu yaptığınız, çünkü şu dünyada, dillerde gezmekten daha kötü bir şey varsa o da dillerde gezmemektir. Böyle bir portre seni İngiltere’deki genç ressamların hepsinden daha yükseklerde bir yere getirir, yaşlıları da kıskançlıktan çatlatır; yaşlılarda herhangi bir his kalmış mıdır, bilmem ya.","Lord Henry alzó las cejas y lo miró con asombro a través de las delgadas volutas de humo que, al salir de su cigarrillo con mezcla de opio, se retorcían adoptando extrañas formas. —¿No lo vas a enviar a ningún sitio? ¿Por qué, mi querido amigo? ¿Qué razón podrías aducir? ¿Por qué sois unas gentes tan raras los pintores? Hacéis cualquier cosa para ganaros una reputación, pero, tan pronto como la tenéis, se diría que os sobra. Es una tontería, porque en el mundo sólo hay algo peor que ser la persona de la que se habla y es ser alguien de quien no se habla. Un retrato como ése te colocaría muy por encima de todos los pintores ingleses jóvenes y despertaría los celos de los viejos, si es que los viejos son aún susceptibles de emociones.","Lord Henry raised an eyebrow and looked at him in astonishment through the thin blue smoke curling into surreal spirals from his opium-laden cigarette. “Not sending it anywhere? My friend, why? Do you have any reason? You artists are truly peculiar creatures! You do everything in the world to gain fame. Yet the moment you have it, it seems you want to throw it away. That is your folly, for there is only one thing in this world worse than being talked about, and that is not being talked about. A portrait like this would place you above all the young men in England, and make the old ones seethe with envy, if those old men are still capable of feeling any emotion.”","Lord Henry raised his eyebrows; he looked at his friend in astonishment through the thin, blue rings of smoke spiraling up from the thick, opium-laced cigarette he was smoking. “Aren't you going to send it anywhere? My dear friend, why? Do you have a reason? You painters are such strange people! You do everything to gain fame. And as soon as you gain it, you want to squander it! What you're doing is nonsense, because if there's anything worse in this world than being talked about, it's not being talked about. Such a portrait would place you higher than all the young painters in England and make the old ones die of envy; though I don't know if the old ones have any feelings left.”","Lord Henry raised his eyebrows and looked at him with astonishment through the thin curls of smoke that, emerging from his opium-laced cigarette, twisted into strange shapes. —Aren't you going to send it anywhere? Why, my dear friend? What reason could you give? Why are you painters such strange people? You do anything to earn a reputation, but as soon as you have it, it seems you don't want it anymore. It's foolish, because in the world there's only one thing worse than being talked about, and that is not being talked about. A portrait like that would place you far above all the young English painters and would arouse the jealousy of the old ones, if the old ones are still capable of emotions."
8,,[],"“I know you will laugh at me,” he replied, “but I really can’t exhibit it. I have put too much of myself into it.”","“Tôi biết anh sẽ cười tôi,” y trả lời, “nhưng tôi thực sự không thể trưng bày nó. Tôi đã đưa quá nhiều thứ của chính mình vào trong nó rồi.”","Ressam Hallward, “Beni alaya alacağını biliyorum, gene de bu resmi sergileyemem, gerçekten,” dedi. “Kendimden pek çok şey kattım buna.","—Sé que te vas a reír de mí —replicó Hallward—, pero no me es posible exponer ese retrato. He puesto en él demasiado de mí mismo.","“I know you will laugh at me,” he replied, “but I really can't display it. I've put too much of myself into it already.”","Painter Hallward said, ""I know you will mock me, but still, I really can't exhibit this painting."" ""I have put so much of myself into it.""","—I know you're going to laugh at me —replied Hallward—, but I can't exhibit that portrait. I've put too much of myself into it."
9,"['lord henry', 'henry']",,Lord Henry stretched himself out on the divan and laughed.,Huân tước Henry duỗi người trên đi-văng và bật cười.,Lord Henry divana boylu boyunca uzanarak güldü.,"Lord Henry, estirándose sobre el sofá, dejó escapar una carcajada.",Lord Henry stretched out on the couch and laughed.,Lord Henry lay full length on the divan and laughed.,"Lord Henry, stretching out on the sofa, let out a laugh."
