line_no,Single_ent,Multiple_ents,en,vi,tr,es,vi_translation,tr_translation,es_translation
4,"['mr bennet', 'bennet', 'señor bennet']",,Mr. Bennet replied that he had not.,Ông Bennet trả lời rằng ông chưa biết.,Mr Bennet duymadığını söyledi.,El señor Bennet respondió que no.,Mr. Bennet replied that he did not know yet.,Mr. Bennet said he did not hear.,Mr. Bennet replied no.
6,"['mr bennet', 'bennet']",,Mr. Bennet made no answer.,Ông Bennet lắng nghe và không trả lời.,Mr Bennet cevap vermedi.,El señor Bennet no hizo ademán de contestar.,Mr. Bennet listened and did not reply.,Mr. Bennet did not reply.,Mr. Bennet made no move to reply.
19,"['bingley', 'mr bingley']",,"“I see no occasion for that. You and the girls may go—or you may send them by themselves, which perhaps will be still better; for as you are as handsome as any of them, Mr. Bingley might like you the best of the party.”","- Tôi chẳng thấy có cơ hội nào cả. Bà và mấy đứa có thể đi, hay là để mấy đứa tự đi, như vậy có thể tốt hơn. Vì bà còn đẹp hơn chúng nó, tôi e rằng anh Bingley lại mến bà hơn.","""Bunun için bir sebep yok. Sen kızlarla gidebilirsin, ya da onları kendi başlarına gönderebilirsin, hatta bu belki daha iyi olur, çünkü güzellikte onlardan aşağı kalır yanın olmadığı için Mr Bingley aradan seni seçebilir.","––No veo la razón para ello. Puedes ir tú con las muchachas o mandarlas a ellas solas, que tal vez sea mejor; como tú eres tan guapa como cualquiera de ellas, a lo mejor el señor Bingley te prefiere a ti.","- I don't see any opportunity at all. You and the kids can go, or let the kids go by themselves, that might be better. Because you are more beautiful than them, I'm afraid Mr. Bingley might like you more.","""There is no reason for this. You can go with the girls, or you can send them on their own, in fact, this might be better because since you are not inferior to them in beauty, Mr. Bingley might choose you instead.""","––I don't see the reason for it. You can go with the girls or send them alone, which might be better; since you are as pretty as any of them, maybe Mr. Bingley will prefer you."
22,"['bingley', 'mr bingley']",,"“But, my dear, you must indeed go and see Mr. Bingley when he comes into the neighbourhood.”","- Nhưng mà này, ông đi gặp cậu Bingley ngay khi anh ta đến đây nhé.","""Şekerim, taşındığı zaman gerçekten gidip Mr Bingley'yi görmelisin.","––Bueno, querido, de verdad, tienes que ir a visitar al señor Bingley en cuanto se instale en el vecindario.","- But hey, you should go meet Mr. Bingley as soon as he arrives here.","""Sweetheart, when he moves in, you really must go and see Mr. Bingley.""","––Well, dear, really, you have to go visit Mr. Bingley as soon as he settles in the neighborhood."
28,"['mr bennet', 'bennet', 'ông benne', 'señor bennet']",,"“Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion on my poor nerves.”","- Ông Bennet, làm thế nào mà ông lại có thể sỉ nhục con cái như thế ? Ông cứ trêu cho tôi bực mình để làm vui thôi. Ông không thông cảm cho thần kinh nhạy cảm của tôi tí nào cả!","""Mr Bennet, kendi çocuklarını nasıl böyle aşağılayabiliyorsun? Canımı sıkmaktan zevk alıyorsun. Zavallı sinirlerime hiç acıman yok.",––¡Señor Bennet! ¿Cómo puedes hablar así de tus hijas? Te encanta disgustarme. No tienes compasión de mis pobres nervios.,"- Mr. Bennet, how can you humiliate our children like that? You just tease me to get me upset for fun. You have no sympathy for my sensitive nerves at all!","""Mr. Bennet, how can you belittle your own children like this? You take pleasure in vexing me. You have no compassion for my poor nerves.""",––Mr. Bennet! How can you speak like that about your daughters? You love to upset me. You have no compassion for my poor nerves.
34,"['mr bennet', 'bennet', 'señor bennet']",,"Mr. Bennet was so odd a mixture of quick parts, sarcastic humour, reserve, and caprice, that the experience of three-and-twenty years had been insufficient to make his wife understand his character. Her mind was less difficult to develope. She was a woman of mean understanding, little information, and uncertain temper. When she was discontented, she fancied herself nervous. The business of her life was to get her daughters married: its solace was visiting and news.","Cá tính của ông Bennet là sự pha trộn giữa láu lình, trào phúng châm biếm, dè dặt, và thất thường, đến nỗi mấy chục năm sống chung vẫn không đủ cho bà vợ hiểu nổi ông. Đầu óc của bà giản đơn hơn. Bà có tính cảm thông hẹp hòi, kiến thức nghèo nàn, và tính khí vô chừng. Khi không được như ý, bà tưởng như mình bị lo lắng. Cả đời bà chỉ lo mỗi việc là kiếm chồng cho năm cô con gái. Việc thăm viếng và trao đổi chuyện phiếm là cách khuây khỏa của bà.","Mr Bennet öylesine tuhaf bir hazırcevaplık, ince alaycılık, soğukluk ve bencillik karışımı bir adamdı ki yirmi üç yıllık deneyim karısının onun karakterini anlamasına yetmemişti. Karısının huyunu anlamak daha az zordu. Anlayışı kıt, eğitimi düşük, tepkileri kestirilemez bir kadındı. Mutsuz olduğu zaman sinirleri bozuldu sanırdı. Hayatta bütün derdi kızlarını evlendirmekti; tesellisi ise ziyaretler ve haberlerdi.","El señor Bennet era una mezcla tan rara entre ocurrente, sarcástico, reservado y caprichoso, que la experiencia de veintitrés años no habían sido suficientes para que su esposa entendiese su carácter. Sin embargo, el de ella era menos difícil, era una mujer de poca inteligencia, más bien inculta y de temperamento desigual. Su meta en la vida era casar a sus hijas; su consuelo, las visitas y el cotilleo.","Mr. Bennet's personality was a blend of cunning, sarcastic humor, reserve, and unpredictability, so much so that even after decades of living together, his wife still couldn't understand him. Her mind was simpler. She had a narrow-minded empathy, poor knowledge, and an erratic temperament. When things didn't go her way, she felt as if she were anxious. Her whole life revolved around finding husbands for her five daughters. Visiting and exchanging gossip were her ways of relieving boredom.","Mr. Bennet was such a mixture of odd quick-wittedness, subtle sarcasm, coldness, and selfishness that twenty-three years of experience had not been enough for his wife to understand his character. Understanding his wife's temperament was less difficult. She was a woman of limited understanding, low education, and unpredictable reactions. When she was unhappy, she thought her nerves were disturbed. Her whole concern in life was to marry off her daughters; her solace was visits and news.","Mr. Bennet was such a rare mixture of witty, sarcastic, reserved, and capricious that twenty-three years of experience had not been enough for his wife to understand his character. However, hers was less difficult; she was a woman of little intelligence, rather uneducated, and of uneven temperament. Her goal in life was to marry off her daughters; her consolation, visits and gossip."
41,"['', 'señora long', 'long']",,"“I do not believe Mrs. Long will do any such thing. She has two nieces of her own. She is a selfish, hypocritical woman, and I have no opinion of her.”","- Mẹ không tin bà Long sẽ làm như thế. Bà ta còn hai đứa cháu gái. Bà ta là một con người ích kỉ, đạo đức giả, không tin được.","""Mrs Long'un tanıştıracağını sanmıyorum. Kendi iki yeğeni varken. Bencil, ikiyüzlü bir kadın o, itibar etmem.",––No creo que la señora Long haga semejante cosa. Ella tiene dos sobrinas en quienes pensar; es egoísta e hipócrita y no merece mi confianza.,"- Mom doesn't believe Mrs. Long would do such a thing. She still has two granddaughters. She is a selfish, hypocritical, and untrustworthy person.","""I don't think Mrs. Long will introduce him. She has her own two nieces. She's a selfish, hypocritical woman, I don't respect her.""",––I don't believe Mrs. Long would do such a thing. She has two nieces to think about; she is selfish and hypocritical and does not deserve my trust.
42,"['bennet–', 'mr bennet', 'bennet']",,"“No more have I,” said Mr. Bennet; “and I am glad to find that you do not depend on her serving you.”","Ông Bennet xen vào - Tôi cũng không tin, nên tôi thấy mừng rằng bà không có ý nhờ vả bà ấy.","""Ben de etmem,"" dedi Mr Bennet; ""hem, onun yardımına ihtiyacınız olmadığını memnuniyetle söyleyebilirim.",––Ni la mía tampoco ––dijo el señor Bennet–– y me alegro de saber que no dependes de sus servicios.,"Mr. Bennet interjected - I don't believe it either, so I'm glad you have no intention of asking her for help.","""Nor will I,"" said Mr. Bennet; ""besides, I can gladly say that you do not need his help.""",––Nor is mine ––said Mr. Bennet–– and I am glad to know that you do not rely on her services.
43,"['mrs bennet', 'bennet', 'señora bennet']",,"Mrs. Bennet deigned not to make any reply; but, unable to contain herself, began scolding one of her daughters.","Bà Bennet không màng trả lời, nhưng không thề dằn lòng, bà quay sang mắng các cô con gái.","Mrs Bennet cevap vermeye tenezzül etmedi, ama kendini tutamayıp kızlarından birini azarlamaya başladı.",La señora Bennet no se dignó contestar; pero incapaz de contenerse empezó a reprender a una de sus hijas.,"Mrs. Bennet did not bother to reply, but unable to contain herself, she turned to scold her daughters.","Mrs. Bennet did not deign to respond, but she couldn't help starting to scold one of her daughters.","Mrs. Bennet did not deign to reply; but unable to contain herself, she began to scold one of her daughters."
49,"['señora bennet', 'bingley', 'mr bingley']",,"“Then, my dear, you may have the advantage of your friend, and introduce Mr. Bingley to her.”","- Vậy thì bà có lợi thế hơn so với bạn của bà, cứ giới thiệu Mr Bingley với con nhỏ.","""Öyleyse, şekerim, arkadaşının yerini sen al ve Mr Bingley'yi onunla tanıştır.","––Entonces, señora Bennet, puedes tomarle la delantera a tu amiga y presentárselo tú a ella.","- So you have an advantage over your friend, just introduce Mr. Bingley to the girl.","""Then, my dear, take your friend's place and introduce Mr. Bingley to her.""""","––Then, Mrs. Bennet, you can get ahead of your friend and introduce him to her yourself."
