line_no,Ent,en,vi,tr,es
0,,Chapter I.,Chương 1,Bölüm I,CAPÍTULO 1
1,,"IT is a truth universally acknowledged, that a single man in possession of a good fortune must be in want of a wife.","Có một sự thật mà ai cũng công nhận, đấy là: một người đàn ông có một tài sản khá hẳn sẽ muốn có một người vợ.","Dünyaca kabul edilmiş bir gerçektir, hali vakti yerinde olan her bekar erkeğin mutlaka bir eşe ihtiyacı vardır.","Es una verdad mundialmente reconocida que un hombre soltero, poseedor de una gran fortuna, necesita una esposa."
2,,"However little known the feelings or views of such a man may be on his first entering a neighbourhood, this truth is so well fixed in the minds of the surrounding families, that he is considered as the rightful property of some one or other of their daughters.","Dù cho người ta chỉ biết rất ít về cảm nghĩ hay quan điểm của người đàn ông như thế, khi anh ta đến cư ngụ trong vùng, sự thật ấy đã in sâu vào đầu óc của những gia đình sống xung quanh, đến nỗi họ xem người đàn ông này là tài sản hợp pháp của cô con gái này hay cô con gái kia của họ.","Böyle bir erkek yeni bir muhite ilk adımını atarken ne hissediyor, ne düşünüyor, kimse bilmez, ama bu gerçek civardaki ailelerin aklına öyle yerleşmiştir ki onu kızlarından birinin ya da diğerinin tapulu malı sayarlar.","Sin embargo, poco se sabe de los sentimientos u opiniones de un hombre de tales condiciones cuando entra a formar parte de un vecindario. Esta verdad está tan arraigada en las mentes de algunas de las familias que lo rodean, que algunas le consideran de su legítima propiedad y otras de la de sus hijas."
3,,"“My dear mr Bennet,” said his lady to him one day, “have you heard that Netherfield Park is let at last?”","Vào một ngày, bà Bennet nói với chồng mình: - Ông thân yêu, ông có biết tin đã có người thuê Netherfield Park chưa?","""Duydun mu Mr Bennet, şekerim,"" dedi eşi bir gün, ""Netherfield Korusu nihayet tutulmuş.","––Mi querido señor Bennet ––le dijo un día su esposa––, ¿sabías que, por fin, se ha alquilado Netherfield Park?"
4,"['mr bennet', 'señor bennet', 'bennet']",mr Bennet replied that he had not.,Ông Bennet trả lời rằng ông chưa biết.,Mr Bennet duymadığını söyledi.,El señor Bennet respondió que no.
5,"['long', 'mrs long']","“But it is,” returned she; “for ms Long has just been here, and she told me all about it.”","Bà vợ nói tiếp: - Có người đã đến thuê rồi. Bà Long đã đi đến đấy, và đã kể cho tôi nghe tất cả việc này.","""Ama tutulmuş,"" diye devam etti eşi; ""Mrs Long az önce buradaydı, bana herşeyi anlattı.",––Pues así es ––insistió ella––; la señora Long ha estado aquí hace un momento y me lo ha contado todo.
6,"['mr bennet', 'bennet']",mr Bennet made no answer.,Ông Bennet lắng nghe và không trả lời.,Mr Bennet cevap vermedi.,El señor Bennet no hizo ademán de contestar.
7,,"“Do not you want to know who has taken it?” cried his wife, impatiently.",Bà vợ mất hết kiên nhẫn nói: - Ông có muốn biết ai vừa dời đến không?,"""Kim almış, merak etmiyor musun?"" diye haykırdı karısı sabırsızca.",––¿No quieres saber quién lo ha alquilado? ––se impacientó su esposa.
8,,"“You want to tell me, and I have no objection to hearing it.”",- Chính bà đang muốn kể cho tôi nghe đấy thôi.,"""Söylemek istiyorsan itiraz etmem.","––Eres tú la que quieres contármelo, y yo no tengo inconveniente en oírlo."
9,,This was invitation enough.,Thế là đủ khuyến khích cho bà nói tiếp.,Bu kadar davet ona yeterdi.,Esta sugerencia le fue suficiente.
10,,"“Why, my dear, you must know, ms Long says that Netherfield is taken by a young man of large fortune from the north of England; that he came down on Monday in a chaise and four to see the place, and was so much delighted with it that he agreed with mr Morris immediately; that he is to take possession before Michaelmas, and some of his servants are to be in the house by the end of next week.”","- Ông phải biết, bà Long đã cho tôi hay rằng có một công tử còn trẻ, giàu có, gốc gác ở miền Bắc, đến thuê Netherfield. Cậu ta đã đến vào hôm thứ hai trên một cỗ xe bốn ngựa kéo. Cậu ấy rất thích chỗ này nên đồng ý ngay với giá ông Morris đưa ra. Và cậu ấy hẳn sẽ đến trước ngày lễ thánh Michael , nhưng tuần tới sẽ có vài gia nhân đến trước.","""Valla, şekerim, bunu dinlemelisin, Mrs Long diyor ki Netherfield'i kuzey İngiltere'li, büyük servet sahibi bir genç almış; Pazar günü dört atlı arabasıyla gelip yeri görmüş ve öyle beğenmiş ki Mr Morris'le şıp diye anlaşmış; Michaelmas'dan önce mülkü devralacakmış, birkaç hizmetçisi de gelecek hafta sonuna kadar evde olacakmış.","––Pues sabrás, querido, que la señora Long dice que Netherfield ha sido alquilado por un joven muy rico del norte de Inglaterra; que vino el lunes en un landó de cuatro caballos para ver el lugar; y que se quedó tan encantado con él que inmediatamente llegó a un acuerdo con el señor Morris; que antes de San Miguel vendrá a ocuparlo; y que algunos de sus criados estarán en la casa a finales de la semana que viene."
11,,“What is his name?”,- Thế anh ta tên gì vậy?,"""Adı neymiş?",––¿Cómo se llama?
12,,“Bingley.”,- Bingley.,"""Bingley.",––Bingley.
13,,“Is he married or single?”,- Anh ta đã có vợ hay vẫn còn độc thân?,"""Evli mi bekar mı?",––¿Está casado o soltero?
14,,"“Oh, single, my dear, to be sure!","- À, chắc là vẫn còn độc thân.","""Aa! Bekar, şekerim, bekar tabii!","––¡Oh!, soltero, querido, por supuesto."
15,,A single man of large fortune; four or five thousand a year.,"Một người độc thân với khoản lợi tức lớn, bốn hay năm nghìn bảng mỗi năm.","Çok zengin, yılda dört beş bin kazanan bir bekar.",Un hombre soltero y de gran fortuna; cuatro o cinco mil libras al año.
16,,What a fine thing for our girls!”,Kể ra đó là điều hay cho mấy đứa con gái nhà ta!,Kızlarımız için ne hoş bir şey!,¡Qué buen partido para nuestras hijas!
