line_no,Ent,en,vi,tr,es
0,,CHAPTER I.,Chương I,Birinci Bölüm,Capítulo I
1,,You don’t know about me without you have read a book by the name of The Adventures of Tom Sawyer; but that ain’t no matter.,"Có lẽ các bạn sẽ không biết tôi, nếu như các bạn chưa đọc cuốn sách có tên là “Những cuộc phiêu lưu của Tom Sawyer”; nhưng điều đó cũng chẳng sao.","Tom Sawyer’ın Maceraları adlı kitabı okumadıysanız beni tanımazsınız, ama ziyanı yok.","NO SABRÉIS QUIÉN SOY YO si no habéis leído un libro titulado Las aventuras de Tom Sawyer, pero no importa."
2,"['mark twain', 'bay mark twain', 'mark twai']","That book was made by mr Mark Twain, and he told the truth, mainly.","Tác giả cuốn sách ấy ông Mark Twain, và trong đó phần lớn là ông ấy đã kể sự thật.",O kitabı Bay Mark Twain yazdı ve kendisi çoğu yerde doğruyu söylüyor.,"Ese libro lo escribió el señor Mark Twain y contó la verdad, casi siempre."
3,,"There was things which he stretched, but mainly he told the truth.","Cũng có những chỗ ông ấy hơi phóng đại, nhưng đại đa số là những câu chuyện có thật.","Kimi şeyleri abartmış, fakat söyledikleri doğru çoğunlukla.","Algunas cosas las exageró, pero casi siempre dijo la verdad."
6,,"Aunt Polly—Tom’s Aunt Polly, she is—and Mary, and the Widow Douglas is all told about in that book, which is mostly a true book, with some stretchers, as I said before.","Tôi chưa bao giờ thấy ai hay nói dối hết lần này đến lần khác như cái bà Polly, hay bà goá, hay có lẽ cả Mary nữa. bà Polly tức là dì của thằng Tom, rồi Mary, rồi bà goá Douglas; tất cả những người đó đều có xuất hiện trong cuốn sách trên đây, và, như tôi đã nói, nó là một cuốn sách hầu hết đúng sự thật, chỉ trừ có vài cái nói hơi quá đáng mà thôi.","Polly Teyze –Tom’un Polly Teyzesi yani– ve Mary, bir de Dul Bayan Douglas’tan o kitapta bahsediliyor; demin söylediğim gibi, kitapta çoğunlukla doğru şeyler söylenmiş ama abartılmış yerler de var.","De la tía Polly —es la tía Polly de Tom— y de Mary y de la viuda Douglas se cuenta todo en ese libro, que es verdad en casi todo, con algunas exageraciones, como he dicho antes."
8,['tom'],"Tom and me found the money that the robbers hid in the cave, and it made us rich.","Cuốn sách ấy có nội dung như sau: Tom và tôi, hai đứa một hôm vớ được món tiền của bọn cướp giấu trong hầm kín, thế là chúng tôi bỗng trở nên giàu to.",O kitabın bitiminde durum şöyleydi: Tom ve ben soyguncuların mağarada sakladığı parayı bulmuş ve zengin olmuştuk.,"Bueno, el libro termina así: Tom y yo encontramos el dinero que los ladrones habían escondido en la cueva y nos hicimos ricos."
9,,We got six thousand dollars apiece—all gold.,"Chia ra, mỗi đứa được đến sáu nghìn đô la, toàn bằng vàng cả.",Her birimizin altı bin doları vardı – hepsi altın.,Nos tocaron seis mil dólares a cada uno: todo en oro.
10,,It was an awful sight of money when it was piled up.,Đem chất đống số tiền vàng ấy thì khiếp lắm.,Parayı bir yere yığınca gözünü alamıyordun.,La verdad es que impresionaba ver todo aquel dinero amontonado.
12,['thatcher'],"Thatcher he took it and put it out at interest, and it fetched us a dollar a day apiece all the year round—more than a body could tell what to do with.","Thế rồi lão chánh án Thatcher lấy ngay số tiền đó của chúng tôi đem cho vay lãi: còn bọn tôi thì mấy ngày lão trả cho mỗi đứa một đồng, cứ như thế quanh năm.","Yargıç Thatcher parayı alıp faize yatırdı, böylece yıl boyunca her gün birer dolar kazandık – insanın nereye harcayacağını şaşıracağı kadar çok para.","Bueno, el juez Thatcher se encargó de él y lo colocó a interés y nos daba un dólar al día, y todo el año: tanto que no sabría uno en qué gastárselo."
13,,"The Widow Douglas she took me for her son, and allowed she would sivilize me; but it was rough living in the house all the time, considering how dismal regular and decent the widow was in all her ways; and so when I couldn’t stand it no longer I lit out.","Còn bà goá Douglas cứ coi như tôi là đứa con đẻ, và ta lại tự cho mình cái quyền là phải khai hoá cho tôi. Nhưng tôi nghĩ cứ sống quanh quẩn mãi trong cái nhà này thì cũng khổ, vì tôi cứ phải gò mình làm thế nào cho đúng với mọi điều khuôn phép của bà ấy. Cho nên, đến lúc không chịu đựơc nữa, tôi phải tính cách chuồn đi.","Bayan Douglas beni evladı gibi benimsedi ve adam edebileceğini düşündü, ama sürekli evde oturmak hiç kolay değildi, üstelik dul bayan her yönüyle insanı bezdirecek kadar titiz ve edepliydi; bu yüzden artık daha fazla dayanamaz olunca tüydüm.","La viuda Douglas me adoptó como hijo y dijo que me iba a cevilizar, pero resultaba difícil vivir en la casa todo el tiempo, porque la viuda era horriblemente normal y respetable en todo lo que hacía, así que cuando yo ya no lo pude aguantar más, volví a ponerme la ropa vieja y me llevé mi pellejo de azúcar y me sentí libre y contento."
15,['tom sawyer'],"But Tom Sawyer he hunted me up and said he was going to start a band of robbers, and I might join if I would go back to the widow and be respectable.","Nhưng thế nào thằng Tom Sawyer nó lại lùng được tôi, nó bảo rằng tôi hiện có đang sắp sửa thành lập một bọn cướp và có thể cho tôi nhập bọn, nhưng bây giờ thì nó khuyên tôi hãy nên quay về với bà góa và ăn ở ngoan ngoãn đi đã.",Ama Tom Sawyer izimi sürüp beni buldu ve bir soygun çetesi kuracağını söyledi. Dul bayana geri gidip saygın biri olursam ben de katılabilirmişim.,Pero Tom Sawyer me fue a buscar y dijo que iba a organizar una banda de ladrones y que yo podía ingresar si volvía con la viuda y era respetable.
16,,So I went back.,Thế là tôi lại quay trở về.,Bu yüzden geri döndüm.,Así que volví.
17,,"The widow she cried over me, and called me a poor lost lamb, and she called me a lot of other names, too, but she never meant no harm by it.","Bà goá thấy tôi về thì oà lên khóc, bà ta bảo tôi là một con chim non lạc đàn tội nghiệp quá, rồi lại gọi tôi bằng bao nhiêu những cái tên kì quái, thật ra bà ấy chẳng có ý hại tôi đâu.","Dul bayan beni görünce gözyaşları içinde kucak açtı, bana zavallı kayıp kuzu dedi, daha başka bir sürü ad taktı ama içinde kötülük yoktu.","La viuda se puso a llorar al verme y me dijo que era un pobre corderito y también me llamó otro montón de cosas, pero sin mala intención."
18,,"She put me in them new clothes again, and I couldn’t do nothing but sweat and sweat, and feel all cramped up.","Bà ta lại bắt tôi phải mặc bộ quần áo mới, cái thứ quần áo mặc vào cứ toát cả mồ hôi và người như bị trói chặt vào ấy.","Beni tekrardan yeni kıyafetlerin içine soktu. Terledim de terledim, üstelik hareket de edemiyordum.",Me volvió a poner la ropa nueva y yo no podía hacer más que sudar y sudar y sentirme apretado con ella.
19,,"Well, then, the old thing commenced again.","Thôi, thế là những cảnh cũ ở trong cái nhà này lại tái diễn.",Böylece eski hayatımız yine başladı.,Entonces volvió a pasar lo mismo que antes.
20,,"The widow rung a bell for supper, and you had to come to time.","Bà goá rung chuông goi đi ăn, phải liệu mà có mặt cho đúng giờ.",Dul bayan akşam yemeği için bir çıngırağı çalıyordu ve yemeğe vaktinde gitmen gerekiyordu.,La viuda tocaba una campanilla a la hora de la cena y había que llegar a tiempo.
21,,"When you got to the table you couldn’t go right to eating, but you had to wait for the widow to tuck down her head and grumble a little over the victuals, though there warn’t really anything the matter with them,—that is, nothing only everything was cooked by itself.","Đến ngồi bàn ăn rồi nhưng cũng chưa được ăn ngay đâu, còn phải chờ bà ta đến, lải nhải một hồi những về các món ăn, mà thực ra chẳng có gì đáng nói cả.","Masaya oturunca öyle hemen yemeye başlayamıyordun, dul bayanın başını eğip kayıntı hakkında biraz mırıldanmasını beklemen gerekiyordu; halbuki kayıntıda yanlış hiçbir şey yoktu. Gerçi yemeklerin her biri kendi başına pişiyordu.","Al llegar a la mesa no se podía poner uno a comer, sino que había que esperar a que la viuda bajara la cabeza y rezongase algo encima de la comida, aunque no tenía nada de malo; bueno, sólo que todo estaba cocinado por separado."
22,,"In a barrel of odds and ends it is different; things get mixed up, and the juice kind of swaps around, and the things go better.","Vì món ăn nào thì trước sau cũng vẫn như vậy, toàn những đầu thừa đuôi thẹo đem trộn lên rồi đổ vào chung quanh một thứ nước sốt.","Halbuki hepsini bir kapta ateşe vursan öyle olmaz; her şey birbirine karışır, suları hepsine bulaşır; kayıntı diye ona derim ben.","Cuando se pone todo junto, las cosas se mezclan y los jugos se juntan y las cosas saben mejor."
23,,"After supper she got out her book and learned me about Moses and the Bulrushers, and I was in a sweat to find out all about him; but by-and-by she let it out that Moses had been dead a considerable long time; so then I didn’t care no more about him, because I don’t take no stock in dead people.","Ăn uống xong, bà ta dạy tôi về chuyện Moses... Tôi thì nghĩ nát cả óc mà vẵn chẳng hiểu được Moses là ai; nhưng rồi dần dà tôi cũng hiểu là Moses đã chết từ lâu lắm rồi. Thế là tôi cũng bỏ mặc, chẳng hơi đâu mà bận tâm đến Moses làm gì nữa, vì tôi thiết gì nghe chuyện những người đã chết cơ chứ.","Yemekten sonra kitabını çıkarıyor ve bana Musa ile Sazlık hikâyesini öğretiyordu. Musa hakkındaki her şeyi öğrenmek için canla başla çalışıyordum, ama sonradan Musa’nın epeyce zaman önce öldüğünü ağzından kaçırdı; bu yüzden artık onunla hiç ilgilenmedim, çünkü ölmüşlerin halini dert etmem.","Después de cenar sacaba el libro y me contaba la historia de Moisés y los juncos, y yo tenía ganas de enterarme de toda aquella historia, pero con el tiempo se le escapó que Moisés llevaba muerto muchísimos años, así que ya no me importó, porque a mí los muertos no me interesan."
24,,"Pretty soon I wanted to smoke, and asked the widow to let me.","Lát sau tôi muốn hút thuốc, tôi mới bảo bà goá cho phép tôi được hút.",Bir süre sonra canım tütün çekti ve dul bayandan müsaade istedim.,En seguida me daban ganas de fumar y le pedía permiso a la viuda.
25,,But she wouldn’t.,Bà ta nhất định không cho.,Nuh dedi peygamber demedi.,Pero no me lo daba.
26,,"She said it was a mean practice and wasn’t clean, and I must try to not do it any more.",Bà ta nói rằng đó là một tật xấu mà cũng chẳng sạch sẽ gì rồi ra sức khuyên tôi phải cố mà bỏ đi đừng có hút nữa.,"Yok efendim kötü bir alışkanlıkmış, yok etraf pislenirmiş, yok artık içmemek için çaba harcamalıymışım.",Decía que era una costumbre fea y sucia y que tenía que tratar de dejarlo.
27,,That is just the way with some people.,"Đấy, có những người như thế đấy, họ cứ dính đến những cái mà họ chẳng biết gì về những cái đó cả.",Bazı insanlar böyledir işte.,Eso es lo que le pasa a algunos.
28,,They get down on a thing when they don’t know nothing about it.,"Đấy, có những người như thế đấy, họ cứ dính đến những cái mà họ chẳng biết gì về những cái đó cả.",Bilmedikleri şeye çamur atarlar.,Le tienen manía a cosas de las que no saben nada.
