en,en_results,Single_ent,en_shuffled,en_shuffled_results
"Aside from Eager Beaver, there are fourteen of us starting today. Fourteen of us fresh out of top-five graduate programs, and prestigious internships, and CV-beefing industry jobs accepted exclusively to look more attractive during NASA’s next round of recruitment. There’re fourteen of us, and the thirteen that aren’t me are all nodding enthusiastically.","Based on the passage provided, I'm going to take a guess that the book is ""The Three-Body Problem"" is not a match, but the style seems to fit with modern science fiction. A more likely candidate could be ""A Closed and Common Orbit"" or ""The Expert System's Brother"", but neither of those seem quite right. After some consideration, I'm going to take a guess that the book is ""Project Hail Mary"" by Andy Weir, as the style and tone",['eager beaver'],"all programs, the of me more look round accepted and are from of Aside CV-beefing out us us that internships, industry starting exclusively to are enthusiastically. and thirteen there Fourteen Beaver, fourteen aren’t fresh of There’re attractive us, during today. nodding graduate NASA’s next jobs top-five of and recruitment. of Eager fourteen prestigious","Based on the provided passage, I'm going to take a guess. The passage seems to be about job recruitment, internships, and prestigious companies, but it's quite disjointed and doesn't form a clear narrative. Given the mention of NASA, it might be related to a book about career development, job hunting, or the tech industry. However, without more context, it's challenging to pinpoint the exact book.  My guess, with a significant degree of uncertainty, would be a book that discusses"
"The truth, though, is quite the opposite. I hated school at first sight—with the direct consequence that school hated the sullen, listless child that I was right back. In the first grade, I refused to learn how to write my name, even though Hannah is only three letters repeated twice. In junior high, I set a school record for the highest number of consecutive detention days—what happens when you decide to take a stand and not do homework for any of your classes because they are too boring, too difficult, too useless, or all of the above. Until the end of my sophomore year, I couldn’t wait to graduate and leave all of school behind: the books, the teachers, the grades, the cliques. Everything. I didn’t really have a plan for after, except for leaving now behind.","Based on the passage provided, I'm going to take a guess that the book is ""The Perks of Being a Wallflower"" by Stephen Chbosky, but the writing style and content don't seem to exactly match. However, the theme of struggling in school and feeling disconnected is reminiscent of several coming-of-age stories. Without more context or information, it's challenging to pinpoint the exact book. Given the options and the need to make a guess, I'll propose an alternative that might fit",['hannah'],"the teachers, school I name, the hated decide Everything. sophomore In behind: a refused how I year, didn’t not the your of only the the all hated the sullen, my repeated happens graduate too truth, end highest the letters though, for the except take and after, stand boring, listless was is right three difficult, of grade, school for my have first or you of when child grades, first couldn’t I school for for I of write a consecutive though Until leave classes days—what they quite sight—with set all too useless, any really consequence because that even the are cliques. twice. is I now opposite. In school the leaving and books, detention I behind. do that junior to too of at wait to plan the to The a direct homework number high, above. back. to Hannah learn record","Based on the passage provided, I'm going to take a guess that the book is ""The Perks of Being a Wallflower"" by Stephen Chbosky, but the writing style seems a bit off. However, considering the themes of teenage struggles, school life, and the mention of grades, cliques, and detention, it seems like it could be from a young adult novel. Another possibility that comes to mind is ""Thirteen Reasons Why"" by Jay Asher, given the mention of"
"“It’s like space is your whole personality,” the girl I casually hooked up with during most of my sophomore year of undergrad told me. It was after I explained that no, thank you, I wasn’t interested in going out for coffee to meet her friends because of a lecture on Kalpana Chawla I was planning to attend. “Do you have any other interests?” she asked. I threw her a quick “Nope,” waved good-bye, and wasn’t too surprised when, the following week, she didn’t reply to my offer to meet up. After all, I clearly couldn’t give her what she wanted.","Based on the passage provided, I'm going to take a guess that the book is a contemporary or coming-of-age novel, possibly with themes of identity, relationships, and self-discovery. The writing style and tone seem to be informal and conversational, which is consistent with many modern literary fiction novels.  With that in mind, I'm going to take a stab in the dark and guess that the book is ""Luster"" by Raven Leilani. The passage's focus on the protagonist's",['kalpana chawla'],"on following asked. any coffee your other out clearly all, wasn’t wanted. whole a “Nope,” to I friends interests?” because couldn’t have I told personality,” the quick most year attend. Chawla didn’t her was no, girl my explained After during up. for she waved with thank lecture I meet a she hooked you I I to of was to planning her threw her “It’s of sophomore wasn’t my like too is offer It meet of surprised in interested that casually “Do after to reply up going week, good-bye, I when, she Kalpana the space me. and you, give undergrad what","Based on the provided passage, I'm going to take a guess. The writing style and content seem to suggest a memoir or a biographical work, possibly related to the space industry or a notable figure in that field. The mention of ""Kalpana"" is a strong hint, as Kalpana Chawla was an Indian-American astronaut.  Given these clues, my guess is that the passage originates from a book about Kalpana Chawla's life or experiences. A possible match could"
"“Yeah, I’m not sure.” She shrugs and continues to make her way through a Tupperware of broccoli, an apple, and approximately two fucktons of Cheez-Its. “I don’t really know much about him. His parents divorced, then people in my family had arguments and stopped talking to each other. There was a lot of prime Floyd dysfunction happening, so I haven’t actually spoken to him in years. But I heard from one of my other cousins that he was working on that thing that landed on Mars back when we were in high school. It was called something like . . . Contingency, or Carpentry, or Crudity—”","""title"": ""The Seven Husbands of Evelyn Hugo"",""author"": ""Taylor Jenkins Reid""",['floyd'],"Floyd But my thing way and him. “I through make I two of divorced, know She arguments each other much in high . had like was family talking when called working or was landed my to prime There sure.” parents from to then I or her that to continues that actually that really him spoken Cheez-Its. Carpentry, dysfunction It Contingency, lot broccoli, haven’t and was His “Yeah, approximately people Mars fucktons other. apple, were in we on not happening, . Tupperware an stopped back school. heard I’m cousins a . he something of so on of don’t Crudity—” years. a of shrugs and one in about","""title"": ""Ready Player One"",""author"": ""Ernest Cline"""
"“I think so. Do the dates add up? Maybe it was some kind of summer internship? But honestly, it might just be Floyd family lore. I have an aunt who insists that we’re related to the Finnish royals, and according to Wikipedia there are no Finnish royals. So.” She shrugs and pops another handful of Cheez-Its in her mouth. “Would you like me to ask around, though? For the assignment?”","Based on the passage provided, I'm going to take a guess that the book is a contemporary young adult novel, possibly a mystery or a coming-of-age story. The writing style and the mention of Wikipedia and Cheez-Its suggest a modern setting and a relatable, casual tone.  With that in mind, I'm going to take a wild guess:  ""title"": ""The Seven Husbands of Evelyn Hugo"", ""author"": ""Taylor Jenkins Reid""  Please note that I'm not confident in",['floyd'],"me be to She to Wikipedia think family an handful “Would royals, pops just who might the Finnish that Do so. we’re honestly, aunt like no have was ask add shrugs “I according summer I and the it Maybe Cheez-Its though? of But insists internship? and to there around, another So.” related you in assignment?” the up? lore. it Floyd dates mouth. of are her royals. kind Finnish For some","Based on the provided passage, I'm going to take a guess. The passage seems to be a casual, conversational dialogue, possibly from a young adult or contemporary novel. Unfortunately, the passage is quite short and doesn't provide many specific details or clues that would pinpoint a particular book. However, I'll make an educated guess.  ""title"": ""Eleanor & Park"",""author"": ""Rainbow Rowell""  Please note that this is a very uncertain guess, and I may be completely off"
"“By the way, I sent you my cousin-or-something’s contact info a while ago,” Mara tells me one night. We’re at the cheapest grad bar we’ve been able to find. She’s on her second Midori sour of the night. “Did you get it?”","Based on the passage provided, I'm going to take a guess. The writing style and the context seem to suggest a contemporary novel, possibly in the young adult or new adult genre. The mention of a ""grad bar"" implies that the characters are likely graduate students.  Given the limited information, I'm going to take a wild guess:  ""title"": ""The Idiot"", ""author"": ""Elif Batuman""  Please note that this is a very uncertain guess, and I may be completely off",['mara'],"I to “By bar She’s while info the you second the sour on We’re at “Did sent tells cousin-or-something’s of get one find. me been it?” a we’ve cheapest night. night. contact able her grad ago,” Midori way, the my Mara you","Based on the provided passage, I'm going to take a guess. The passage seems to be a fragment of a conversation and doesn't provide much context, but I'll do my best.  ""title"": ""Unknown"",""author"": ""Unknown""   Unfortunately, the passage is too short and lacks specific details to pinpoint the exact book and author. If you could provide more context or a longer passage, I might be able to make a more accurate guess."
"He frowns, as if momentarily blanking on Mara’s name. “Ah, yes.” He nods. Only once. “Apparently,” he adds, which makes me laugh. He waits for me to take a seat across from him before folding back in his chair. I notice that he doesn’t hold out his hand, nor does he smile. Interesting. “Thank you for agreeing to meet with me.”","Based on the provided passage, I'm going to take a guess. The writing style and the context of the passage seem to suggest a contemporary or young adult novel, possibly a romance or a thriller. Unfortunately, without more information or a larger context, it's challenging to pinpoint the exact book. However, the style reminds me of authors like Veronica Roth or Suzanne Collins, known for their character-driven narratives and subtle dialogue cues.  Given the lack of specific details that could directly link the passage to a well",['mara'],"Interesting. Mara’s makes hand, he frowns, which I notice in “Apparently,” meet that smile. if momentarily blanking name. doesn’t once. as across agreeing take seat does hold him his “Thank from a he back for to adds, with folding waits He “Ah, me.” his chair. you before for out yes.” laugh. nor Only to on He me he nods. He me","Based on the provided passage, I'm going to take a guess. The writing style seems to be quite unique and possibly experimental, which makes it a bit challenging to identify the book and author with certainty. However, the structure and the way the narrative unfolds remind me of works by authors known for their innovative storytelling techniques.  Given the information and the style, I'm going to make an educated guess that this passage might be from a book by James Joyce, known for his experimental style in works like """
"“Officially: unclear. But I’m fairly sure my brother made CDs of it. Sent them to local TV stations and whatnot.” He gestures vaguely, and his forearm is dusted with freckles and pale-red hair. I want to grab his wrist, hold it in front of my eyes, study it at my leisure. Trace, smell, touch. “I haven’t spent a holiday with the Floyd side of the family in twenty years, but I’m told that the video is a source of great entertainment for all age groups at Thanksgiving.”","Based on the passage provided, I'm going to take a guess that the book is ""Conversations with Friends"" by Sally Rooney. The writing style, tone, and character dynamics seem to match her work.  Here is the output in the requested format:  ""title"": ""Conversations with Friends"", ""author"": ""Sally Rooney""",['floyd'],"of to unclear. want brother it. spent all TV the with holiday is of haven’t for groups the vaguely, freckles whatnot.” years, local video I and I’m CDs forearm it Trace, dusted age hold source Floyd the wrist, front them Thanksgiving.” his grab twenty and fairly eyes, told He of made hair. of smell, at “Officially: with a it in touch. and is study Sent my my but in gestures that But to a I’m pale-red great leisure. “I at my stations his side sure entertainment family","Based on the provided passage, I'm going to take a guess. The writing style and the content seem to be from a young adult or contemporary fiction book. After analyzing the passage, I'm going to take a chance and make an educated guess.  ""title"": ""Looking for Alaska"",""author"": ""John Green"""
"The section is in C++. Which happens to be the very first language I taught myself back in high school, when every single Google search for “Skills + Necessary + NASA” led to the sad result of “Programming.” Python came after. Then SQL. Then HAL/S. For each language, I started out convinced that chewing on glass would surely be preferable. Then, at some point along the way, I began thinking in terms of functions, variables, conditional loops. A little after that, reading code became a bit like inspecting the label on the back of the conditioner bottle while showering: not particularly fun, but overall easy. I do have some talents, apparently.","Based on the passage provided, I'm going to take a guess that the book is a memoir or autobiography related to space or technology, given the mention of NASA and programming languages. The writing style seems informal and humorous, which suggests that the author might be someone who is known for their personality and storytelling ability.  With that in mind, I'm going to take a guess that the passage originates from ""An Astronaut's Guide to Life on Earth"" or possibly ""Wild Ride""  but most likely",['python'],"do + talents, happens along Then on preferable. Then, not I in SQL. I bottle search every Google very little of began came while convinced school, that for functions, sad be overall became language, I in the The the point terms Then started For Python glass at when first section like the be label in easy. the thinking loops. chewing out Which language have apparently. code variables, back conditioner NASA” led some after. a of + but taught reading each bit single “Programming.” inspecting to some of fun, I result way, “Skills showering: back HAL/S. conditional to A myself Necessary that, would high after the the C++. is particularly on surely","Based on the provided passage, I'm going to take a guess. The passage seems to be about learning programming languages, and the mention of specific languages like SQL, Python, and C++ suggests that it's from a book about programming or coding. The writing style appears to be informal and possibly autobiographical.  Given the content and style, I'm going to take a wild guess that the passage might be from a memoir or a book about learning to code, possibly written by someone who has experience in"
"My heart rate picks up. Warmth twists in my lower stomach. I lean forward with a smile, feeling like I’m finally in my element. This, this, is what I know best. Depending on how busy I am with school, or work, or binge-watching K-dramas, I do this about once a week. Which amounts to quite a bit of practice. “Maybe I could come to your place?” I say, finding the sweet spot between comically suggestive and Let’s get together to play Cards Against Humanity. “And you could show me?”","Based on the passage provided, I'm going to take a guess that the book is a contemporary young adult or new adult novel, possibly a romance. The tone and language used suggest a lighthearted and playful atmosphere, and the mention of ""K-dramas"" and ""Cards Against Humanity"" implies a modern setting.  With that in mind, I'm going to take a wild guess:  ""title"": ""The Kiss Quotient"", ""author"": ""Helen Hoang""  Please",['let'],"together in school, and my finding Which quite my your bit K-dramas, stomach. or this, could Against show comically forward you the My best. come like about me?” I spot am is do say, suggestive smile, I a to heart week. binge-watching I this element. “And sweet up. between busy to picks to finally a I how or twists rate work, place?” of feeling a Humanity. on with Warmth I lean play Depending practice. once with amounts could I’m get I lower Cards what This, know in Let’s “Maybe","Based on the provided passage, I'm going to take a guess. The passage seems to be a contemporary, possibly young adult or romance novel, given the mention of school, K-dramas, and binge-watching. However, the text is quite disjointed and lacks clear context, making it challenging to pinpoint the exact book or author.  Given the information, my guess is:  ""title"": ""Unknown"",""author"": ""Unknown""  However, if I had to make a very speculative guess based on"
