line_no,Single_ent,Multiple_ents,en,en_masked,vi,vi_masked,tr,tr_masked,es,es_masked,vi_translation,tr_translation,es_translation,token_count
2,,[],"We slept in what had once been the gymnasium. The floor was of varnished wood, with stripes and circles painted on it, for the games that were formerly played there; the hoops for the basketball nets were still in place, though the nets were gone. A balcony ran around the room, for the spectators, and I thought I could smell, faintly like an afterimage, the pungent scent of sweat, shot through with the sweet taint of chewing gum and perfume from the watching girls, felt-skirted as I knew from pictures, later in miniskirts, then pants, then in one earring, spiky green-streaked hair. Dances would have been held there; the music lingered, a palimpsest of unheard sound, style upon style, an undercurrent of drums, a forlorn wail, garlands made of tissue-paper flowers, cardboard devils, a revolving ball of mirrors, powdering the dancers with a snow of light.",,"Chúng tôi ngủ ở nơi từng là nhà thể chất. Sàn bằng gỗ đánh vecni, sơn những vòng tròn và vạch thẳng cho các trận đấu ngày xưa; các vành bóng rổ còn nguyên đó, dù lưới thì mất rồi. Một dãy bao lơn dài chạy dọc bốn bức tường, là nơi dành cho khán giả, và tôi cảm giác còn ngửi thấy, mơ hồ như một dư ảnh, mùi mồ hôi nồng nồng, điểm hơi kẹo cao su và nước hoa từ đám con gái đứng xem, mặc váy nỉ – tôi thấy trên phim – rồi theo thời gian đến váy mini, quần dài, cuối cùng xỏ khuyên một bên, tóc phẩy lai xanh vuốt keo lỉa chỉa. Có lẽ các vũ hội cũng tổ chức ở đây: tiếng nhạc còn lưu lại, bản chép chồng những lớp thanh âmkhông người nghe, điệu này phủ lên điệu khác, nhịp trống chìm lẫn, tiếng than van thê thiết, những tràng hoa làm từ giấy thấm, mặt nạ quỷ bằng bìa, quả cầu kính trên trần quay chầm chậm, rắc xuống các đôi nhảy từng chùm hoa ánh sáng.",,"Bir zamanlar spor salonu olan yerde uyurduk. Eskiden oynanan oyunlar için çizilmiş çizgi ve daireleri üstünde barındıran cilalı parkedendi zemin; basketbol ağlarının çemberleri hâlâ yerli yerindeydi, ancak ağlar yoktu artık. Salonu bir balkon çevreliyordu, seyirciler için ve resimlerden bildiğim kadarıyla, önceleri keçe, sonraları mini-etekli, daha sonra pantolonlu, en sonunda da tek kulakta küpe ve yeşil meçli dimdik saçlarıyla izleyici kızlardan gelen hoş sakız ve parfüm kokusuyla karışıp insanın burnuna çarpan keskin ter kokusunu duyabileceğimi sanırdım, kaçkın bir art-görüntü gibi. Balolar da yapılırdı orada; müzik can çekişirdi: duyulmayan bir ses parşömeni gibi, biçem biçem üstüne, alttan alta gelen davul sesleri, ümitsiz bir feryat; ince kağıt çiçeklerden yapılmış çelenkler; kartondan şeytan maskeleri; döner bir cam top, ışıktan bir kar serpiştirirdi dansçıların üstüne.",,"Dormíamos en lo que, en otros tiempos, había sido el gimnasio. El suelo, de madera barnizada, tenía pintadas líneas y círculos correspondientes a diferentes deportes. Los aros de baloncesto todavía existían, pero las redes habían desaparecido. La sala estaba rodeada por una galería destinada al público; y tuve la impresión de que podía percibir, como en un vago espejismo, el olor acre del sudor mezclado con ese toque dulce de la goma de mascar y del perfume de las chicas que se encontraban entre el público, vestidas con faldas de fieltro – así las había visto yo en las fotos —, más tarde con minifaldas, luego con pantalones, finalmente con un solo pendiente y peinadas con crestas de rayas verdes. Aquí se habían celebrado bailes; persistía la música, un palimpsesto de sonidos que nadie escuchaba, un estilo tras otro, un fondo de batería, un gemido melancólico, guirnaldas de flores hechas con papel de seda, demonios de cartón, una bola giratoria de espejos que salpicaba a los bailarines con copos de luz.",,"We slept in what used to be the gymnasium. The floor was made of varnished wood, painted with circles and lines for games of the past; the basketball hoops were still there, though the nets were gone. A long balcony ran along the four walls, meant for spectators, and I could almost smell, faintly like a lingering echo, the pungent scent of sweat, mixed with hints of chewing gum and perfume from the girls watching, dressed in wool skirts – I saw it in movies – then over time to mini skirts, pants, and finally with one ear pierced, hair streaked with blue and spiked with gel. Perhaps dances were also held here: the music still lingers, layers of sound overlapping without listeners, one tune covering another, the drumbeats blending, the mournful wails, garlands made of crepe paper, cardboard devil masks, the glass ball on the ceiling slowly turning, scattering clusters of light over the dancing couples.","We used to sleep in a place that was once a gymnasium. The floor was polished parquet, bearing the lines and circles drawn for games played in the past; the hoops of the basketball nets were still in place, but the nets were gone. A balcony surrounded the hall, for spectators, and from what I know from pictures, I imagined I could smell the sharp scent of sweat mingling with the pleasant aroma of gum and perfume from the girls in felt skirts at first, then mini-skirts, later pants, and finally with earrings in one ear and stiff hair with green streaks, like a fleeting afterimage. Balls were also held there; the music would be dying: like a parchment of unheard sound, layer upon layer, with drum sounds coming from underneath, a desperate cry; garlands made of thin paper flowers; cardboard devil masks; a rotating glass ball sprinkling a snow of light over the dancers.","We slept in what had once been the gymnasium. The floor, made of varnished wood, had lines and circles painted on it for various sports. The basketball hoops were still there, but the nets had disappeared. The room was surrounded by a gallery for the audience; and I had the impression that I could perceive, like in a vague mirage, the acrid smell of sweat mixed with that sweet touch of chewing gum and the perfume of the girls who were among the audience, dressed in felt skirts — that's how I had seen them in the photos —, later in miniskirts, then in pants, finally with a single earring and styled with crests of green stripes. Dances had been held here; the music persisted, a palimpsest of sounds that no one listened to, one style after another, a background of drums, a melancholic wail, garlands of flowers made of tissue paper, cardboard demons, a rotating mirror ball that sprinkled the dancers with flakes of light.",201
6,,[],"We learned to whisper almost without sound. In the semidarkness we could stretch out our arms, when the Aunts weren't looking, and touch each other's hands across space. We learned to lip-read, our heads flat on the beds, turned sideways, watching each other's mouths. In this way we exchanged names, from bed to bed:",,"Chúng tôi đã học cách thầm thì gần như không ra tiếng. Trong bóng lờ mờ chúng tôi có thể đưa tay ra, khi các dì không để ý, chạm vào nhau qua khoảng trống giữa các giường. Chúng tôi học cách đọc lời trên môi nhau, má áp sát giường, nằm nghiêng sang bên, nhìn miệng nhau mấp máy. Bằng cách ấy những cái tên được truyền đi, từ giường này qua giường khác.",,"Handiyse sessiz fısıldamayı öğrendik. Yarı karanlıkta kollarımızı uzatabiliyor, Teyzeler bakmazken, boşluğu aşıp birbirimizin ellerine dokunabiliyorduk. Dudak okumayı da öğrendik, başlarımız yastığa yapışık, yana dönmüş, birbirimizin dudaklarını gözleyerek. Bu biçimde isimlerimizi iletiyorduk, yataktan yatağa: Alma.",,"Aprendimos a susurrar casi sin hacer ruido. En la semipenumbra, cuando las Tías no miraban, estirábamos los brazos y nos tocábamos las manos mutuamente. Aprendimos a leer el movimiento de los labios: con la cabeza pegada a la cama, tendidas de costado, nos observábamos mutuamente la boca.",,"We learned to whisper almost inaudibly. In the dim light, we could reach out, when the aunts weren't paying attention, and touch each other through the gaps between the beds. We learned to read each other's lips, cheek pressed against the bed, lying on our sides, watching each other's mouths move. In this way, names were passed along, from bed to bed.","We almost learned to whisper silently. In the semi-darkness, we could reach out our arms, and when the Aunts weren't looking, we could cross the void and touch each other's hands. We also learned to read lips, our heads pressed against the pillow, turned sideways, watching each other's lips. We communicated our names this way, from bed to bed: Alma.","We learned to whisper almost without making a sound. In the semi-darkness, when the Aunts weren't looking, we would stretch out our arms and touch each other's hands. We learned to read the movement of the lips: with our heads pressed against the bed, lying on our sides, we watched each other's mouths.",69
10,,[],"A chair, a table, a lamp. Above, on the white ceiling, a relief ornament in the shape of a wreath, and in the center of it a blank space, plastered over, like the place in a face where the eye has been taken out. There must have been a chandelier, once. They've removed anything you could tie a rope to.",,"Một ghế, một bàn, một đèn. Tít trên trần quét vôi trắng, một vòng hoa đắp nổi, chính giữa là khoảng trống hoác trát thạch cao, như hố rỗng trên mặt nơi con mắt đã bị lấy đi. Đây hẳn từng treo một bộ đèn chùm, lúc trước. Người ta đã bỏ đi tất cả những gì có thể dùng buộc dây vào.",,"Bir sandalye, bir masa, bir lamba. Beyaz tayanda çelenk biçiminde bir rölyef süsü ve ortasında tek gözü çıkarılmış bir yüzdeki deliği andıran sıvalı boş bir alan. Orada bir avize sallanıyor olmalıydı, bir zamanlar. İp aşılabilecek her şeyi ortadan kaldırmışlar.",,"Una silla, una mesa, una lampara. Arriba, en el cielo raso blanco, un adorno en relieve en forma de guirnalda, y en el centro de esta un espacio en blanco tapado con yeso, como un rostro al que le han arrancado los ojos. Alguna vez allí debió haber una araña. Pero han quitado todos los objetos a los que pueda atarse una cuerda.",,"One chair, one table, one lamp. High up on the whitewashed ceiling, a wreath in relief, with a gaping hole of plaster in the center, like an empty socket where an eye had been removed. There must have once hung a chandelier here. They had taken away everything that could be used to tie a rope to.","A chair, a table, a lamp. A relief decoration in the shape of a wreath on the white ceiling and in the middle a plastered empty area resembling a hole in a face with one eye removed. There must have been a chandelier hanging there once. They have removed everything that could be hung.","A chair, a table, a lamp. Above, on the white ceiling, a relief ornament in the shape of a garland, and in the center of it a blank space covered with plaster, like a face from which the eyes have been gouged out. There must have once been a chandelier there. But they have removed all the objects to which a rope could be tied.",73
15,,[],"So. Apart from these details, this could be a college guest room, for the less distinguished visitors; or a room in a rooming house, of former times, for ladies in reduced circumstances. That is what we are now. The circumstances have been reduced; for those of us who still have circumstances.",,"Thế. Ngoài những điểm đó, đây cũng giống như phòng khách ở trường đại học, dành cho thứ khách tầm xoàng nhất; hay một phòng trọ, thời xưa, cho các quý bà trong hoàn cảnh sa sút. Như là chúng tôi bây giờ đây. Hoàn cảnh sa sút cả rồi, ấy là với ai vẫn còn hoàn cảnh.",,"İşte böyle. Bu ayrıntıların dışında, burası bir kolej misafir odası olabilirdi, daha az seçkin ziyaretçiler için; ya da bir pansiyon odası, eski zamanlara ait, kısıtlı olanaklara sahip bayanlar için. Biz buyuz işte. Olanaklar kısıtlı hâlâ olanakları olanlarımız için.",,"Así que, aparte de estos detalles, ésta podría ser la habitación de los invitados de un colegio, pero la habitación de los visitantes menos distinguidos; o una habitación de una casa de huéspedes como las de antes, adecuada para damas de escasa posibilidades. Así estamos ahora. Las posibilidades han quedado reducidas... para aquellos que aún tenemos posibilidades.",,"That's it. Besides those points, this is also like a living room at a university, meant for the most ordinary guests; or a boarding room, in the old days, for ladies in reduced circumstances. Just like us now. All in reduced circumstances, that is, for those who still have circumstances.","That's how it is. Aside from these details, this could be a college guest room, for less distinguished visitors; or a boarding house room, from old times, for ladies with limited means. This is who we are. Limited means for those of us who still have means.","So, apart from these details, this could be the guest room of a school, but the room for the less distinguished visitors; or a room in a guesthouse like the ones from before, suitable for ladies of limited means. This is where we are now. The possibilities have been reduced... for those of us who still have possibilities.",62
20,,[],"The carpet bends and goes down the front staircase and I go with it, one hand on the banister, once a tree, turned in another century, rubbed to a warm gloss. Late Victorian, the house is, a family house, built for a large rich family. There's a grandfather clock in the hallway, which doles out time, and then the door to the motherly front sitting room, with its flesh tones and hints. A sitting room in which I never sit, but stand or kneel only. At the end of the hallway, above the front door, is a fanlight of colored glass: flowers, red and blue.",,"Tấm thảm ngoặt góc đi xuống cầu thang trước và tôi xuống theo, trượt tay theo tay vịn, xưa từng là cây, đốn xuống vào một thế kỷ xưa hơn, đã cọ đến bóng nhoáng. Victorian hậu kỳ, nhà cho cả gia đình, một gia đình lớn, giàu có. Sảnh có cây đồng hồ ông nội, sẻn ra từng tí thời giờ, tiếp là cửa dẫn đến phòng nghỉ chính dáng dấp mẹ hiền, phảng phất màu xác thịt. Một phòng nghỉ chưa bao giờ tôi được ngồi hay nằm nghỉ, chỉ quỳ hoặc đứng. Ở đầu kia sảnh, bên trên cửa chính, một cửa sổ bán nguyệt kính màu: hình hoa, đỏ và xanh.",,"Halı bir dönemeçten sonra ön merdivenden aşağı iniyor ve ben de onu takip ediyorum, bir elim, bir zamanlar ağaç olan, başka bir asırda yapılmış ve sıcak bir parlaklık alıncaya kadar cilalanmış merdiven trabzanında. Geç dönem Viktoryen tarzı bir aile evi, büyük ve zengin bir aile için yapılmış. Holde zamanı lütfen gösteren kocamış bir duvar saati ve ön taraftaki anaç oturma odasına açılan bir kapı var, ten rengi tonları ve imalarıyla, içinde hiçbir zaman oturmadığım, sadece ayakta durduğum ya da diz çöktüğüm oturma odası. Holün sonunda, ön kapının üstünde, renkli camdan bir pencere var: çiçekler, kırmızı ve mavi.",,"La alfombra traza una curva y baja por la escalera; yo la sigo, apoyando una mano en la barandilla que alguna vez fue árbol, fabricada en otro siglo, lustrada hasta hacerla resplandecer. La casa es de estilo victoriano tardío y fue construida para una familia rica y numerosa. En el pasillo hay un reloj de péndulo que marca el tiempo lánguidamente y luego una puerta que da a la sala de estar materna, poblada de sombras. Una sala en la que nunca me siento, sólo me quedo de pie o me arrodillo. Al final del pasillo, encima de la puerta frontal, hay un montante de abanico de vidrios de colores que forman flores rojas y azules.",,"The carpet turned the corner and went down the stairs ahead, and I followed, sliding my hand along the banister, which was once a tree, felled in a century long past, worn to a glossy shine. Late Victorian, a house for a whole family, a large, wealthy family. The hall had a grandfather clock, measuring out time bit by bit, followed by a door leading to the main lounge, with a motherly appearance, tinged with flesh tones. A lounge where I had never sat or lain down to rest, only knelt or stood. At the other end of the hall, above the main door, a half-moon stained glass window: floral patterns, red and blue.","After a bend, the carpet goes down the front stairs, and I follow it, one hand on the banister, which was once a tree, made in another century and polished until it took on a warm glow. A late Victorian-style family house, built for a large and wealthy family. In the hall, there is an aged wall clock that kindly shows the time and a door that opens to the matronly sitting room at the front, with its beige tones and hints, a sitting room where I never sat, only stood or knelt. At the end of the hall, above the front door, there is a stained glass window: flowers, red and blue.","The carpet traces a curve and descends the stairs; I follow it, resting one hand on the banister that was once a tree, crafted in another century, polished to make it shine. The house is of late Victorian style and was built for a wealthy and large family. In the hallway, there is a pendulum clock that languidly marks the time, and then a door that leads to the maternal living room, populated with shadows. A room in which I never sit, I only stand or kneel. At the end of the hallway, above the front door, there is a fanlight with colored glass forming red and blue flowers.",130
21,,[],"There remains a mirror, on the hall wall. If I turn my head so that the white wings framing my face direct my vision towards it, I can see it as I go down the stairs, round, convex, a pier glass, like the eye of a fish, and myself in it like a distorted shadow, a parody of something, some fairy-tale figure in a red cloak, descending towards a moment of carelessness that is the same as danger. A Sister, dipped in blood.",,"Vẫn còn một gương, trên tường trong sảnh. Nếu quay cổ sao cho hai cái cánh giới hạn xoay trường nhìn thẳng vào đó, sẽ thấy được nó khi xuống thang, tròn, lồi, dài bằng người, như mắt con cá, thấy tôi trong đó một cái bóng méo mó, không biết để nhái giễu gì – một nhân vật cổ tích choàng khăn đỏ, đang xuống dần đến một giây phút bất cẩn cũng ngang với hiểm nguy. Một Xơ, nhúng trong máu.",,"Geriye holün duvarındaki ayna kalıyor. Merdivenlerden inerken, yüzümün iki yanındaki beyaz kanatlar görüşümü aynaya doğru yönlendirecek biçimde başımı çevirirsem, yuvarlak, dışbükey, balık gözü gibi cam aynayı ve orada yansıyan kendimi görüyorum; çarpıtılmış bir gölge, bir şeyin parodisi, tehlikeyle eşdeğerde olan bir anlık dikkatsizliğe doğru inen kırmızı pelerinli bir masal kişisi gibi. Bir rahibe, kana bulanmış.",,"En la pared de la sala aún queda un espejo. Si giro la cabeza –de manera tal que la toca blanca que enmarca mi cara dirija mi visión hacia él— puedo verlo mientras bajo la escalera: un espejo redondo, convexo, de cuerpo entero, como el ojo de un pescado, y mi imagen reflejada en él como una sombra distorsionada, una parodia de algo, como la figura de un cuento de hadas cubierta con una capa roja, descendiendo hacia un momento de indiferencia que es igual al peligro. Una hermana, bañada en sangre.",,"There is still a mirror on the wall in the hall. If you turn your head so that the two wings limit the rotation field to look straight into it, you will see it when going down the stairs, round, convex, as long as a person, like a fish's eye, seeing myself in it as a distorted shadow, not knowing what to mock – a fairy tale character wearing a red scarf, gradually descending to a moment of carelessness as equal to danger. A Nun, dipped in blood.","Only the mirror on the hall wall remains. As I descend the stairs, if I turn my head in such a way that the white wings on either side of my face direct my view towards the mirror, I see the round, convex, fish-eye-like glass mirror and myself reflected in it; a distorted shadow, a parody of something, like a fairy tale character in a red cloak descending towards a momentary carelessness equivalent to danger. A nun, stained with blood.","On the wall of the living room, there is still a mirror. If I turn my head – in such a way that the white cap framing my face directs my vision towards it – I can see it while descending the stairs: a round, convex, full-body mirror, like a fish's eye, and my image reflected in it like a distorted shadow, a parody of something, like the figure from a fairy tale covered with a red cloak, descending towards a moment of indifference that is equal to danger. A sister, bathed in blood.",100
45,,[],"She isn't here now, and I start to wonder where she is: I don't like to come upon the Commander's Wife unexpectedly. Perhaps she's sewing, in the sitting room, with her left foot on the footstool, because of her arthritis. Or knitting scarves, for the Angels at the front lines. I can hardly believe the Angels have a need for such scarves; anyway, the ones made by the Commander's Wife are too elaborate. She doesn't bother with the cross-and-star pattern used by many of the other Wives, it's not a challenge. Fir trees march across the ends of her scarves, or eagles, or stiff humanoid figures, boy and girl, boy and girl. They aren't scarves for grown men but for children.",,"Giờ bà không ở đây, và tôi bắt đầu nghĩ xem bà ta ở đâu: tôi không khoái thình lình đụng phải bà. Có thể đang khâu, trong phòng nghỉ, chân trái gác trên ghế đẩu, do chứng thấp khớp mãn tính. Hoặc đang đan khăn, cho các Thiên sứ trên tiền tuyến. Tôi khó mà tin các Thiên sứ lại cần mấy cái khăn đó; mà dù sao, khăn của Phu nhân Chủ soái làm cũng quá cầu kỳ. Bà không màng mẫu chữ thập và sao như hầu hết các Phu nhân khác, làm thế không xứng tài. Dọc hai đuôi khăn bà đan sắp hai hàng cây vả, hay chim đại bàng, hay những hình nhân cứng đờ tí xíu, con trai con gái, con gái con trai. Không phải khăn của người lớn mà của lũ nhóc con.",,"Şu an burada değil; nerede olduğunu merak etmeye başlıyorum: Komutan'ın Karısı'yla aniden karşılaşmaktan hoşlanmıyorum. Belki örgü örüyor, oturma odasında, arteriti yüzünden sol ayağı taburenin üzerinde. Ya da atkı örüyor, cephedeki Melekler için. Meleklerin bu tür atkılara ihtiyaçları olduğunu pek sanmıyorum; yine de, Komutan'ın Karısı'nın yaptıkları çok özenli. Diğer Eşler’in kullandığı haç -ve- yıldız örneğine pek aldırmıyor, zorlayıcı gelmiyor bunlar ona. Atkılarının uçlarında çam ağaçları boy gösterir, kartallar ya da yanyana duran hareketsiz insan figürleri, erkek ve kız çocuğu, erkek ve kız çocuğu. Yetişkin erkeklere göre değil, çocuklar için bunlar.",,"Ahora no está aquí, y empiezo a preguntarme por dónde andará: no me gusta encontrármela por sorpresa. Quizás está cosiendo en la sala, con su pie izquierdo artrítico sobre el escabel. O tejiendo bufandas para los Ángeles que están en el frente. Me resulta difícil creer que los Ángeles tengan necesidad de usar esas bufandas; de todos modos, las de la Esposa del Comandante son muy elaboradas. Ella no se conforma con el dibujo de cruces y estrellas, como las demás Esposas, porque no representa un desafío. Por los extremos de sus bufandas desfilan abetos, o águilas, o rígidas figuras humanoides: un chico, una chica, un chico, una chica. No son bufandas para adultos sino para niños.",,"Now she is not here, and I start to wonder where she might be: I don't fancy suddenly running into her. She could be sewing, in the sitting room, with her left leg propped up on a stool, due to chronic rheumatism. Or she could be knitting scarves, for the Angels on the front lines. I find it hard to believe that the Angels would need those scarves; besides, the scarves made by the Commander's Wife are too elaborate. She doesn't care for cross and star patterns like most other Ladies, as she finds them unworthy of her skill. Along the two ends of the scarves she knits rows of fig trees, or eagles, or tiny stiff figures, boys and girls, girls and boys. Not scarves for adults but for the little ones.","She's not here right now; I'm starting to wonder where she is: I don't like running into the Commander's Wife unexpectedly. Maybe she's knitting, in the sitting room, with her left foot on a stool because of her arthritis. Or she's knitting a scarf, for the Angels on the front line. I don't think the Angels really need such scarves; still, the Commander's Wife's work is very meticulous. She doesn't pay much attention to the cross-and-star pattern used by the other Wives, it doesn't challenge her. At the ends of her scarves, pine trees appear, or eagles, or motionless human figures standing side by side, a boy and a girl, a boy and a girl. These are not for adult men, but for children.","Now she is not here, and I start to wonder where she might be: I don't like running into her by surprise. Perhaps she is sewing in the living room, with her arthritic left foot on the footstool. Or knitting scarves for the Angels who are on the front lines. I find it hard to believe that the Angels need to wear those scarves; in any case, the Commander's Wife's scarves are very elaborate. She is not satisfied with the pattern of crosses and stars, like the other Wives, because it does not represent a challenge. At the ends of her scarves, fir trees, or eagles, or rigid humanoid figures parade: a boy, a girl, a boy, a girl. They are not scarves for adults but for children.",150
52,,[],"So, you're the new one, she said. She didn't step aside to let me in, she just stood there in the doorway, blocking the entrance. She wanted me to feel that I could not come into the house unless she said so. There is push and shove, these days, over such toeholds.",,"Vậy cô là người mới, bà nói. Bà không bước sang bên cho tôi vào, mà cứ đứng đó chặn cửa. Bà muốn tôi hiểu rõkhông được vào nhà trừ khi bà cho phép. Có những trò kèn cựa kiểu ấy, thời buổi này, về những chuyện cỏn con như thế.",,"Evet, yeni gelen sensin demek, dedi. İçeri girmem için yana çekilmedi, girişi kapatarak kapı aralığında öylece duruyordu. O izin vermedikçe evin içine giremeyeceğimi hissettirmek istiyordu bana. Bu tür karşılaşmalar bugünlerde itiş kakıştı gerçekleşmekte.",,"Así que eres la nueva, me dijo. Ni siquiera se apartó para dejarme entrar; se quedó en el hueco de la puerta, bloqueando la entrada. Quería que me diera cuenta de que no podía entrar en la casa si ella no me lo indicaba. En estos días, siempre tienes la sensación de que caminas en la cuerda floja.",,"So you are the new one, she said. She didn't step aside to let me in but stood there blocking the door. She wanted me to understand clearly that I was not allowed to enter the house unless she permitted it. There are such petty power plays these days over trivial matters like this.","""So, you're the new arrival,"" he said. He didn't step aside to let me in, just stood there in the doorway, blocking the entrance. He wanted to make me feel that I couldn't enter the house without his permission. These kinds of encounters have been happening with a lot of pushing and shoving lately.","So, you're the new one, she said to me. She didn't even move aside to let me in; she stayed in the doorway, blocking the entrance. She wanted me to realize that I couldn't enter the house unless she allowed it. These days, you always have the feeling that you're walking on a tightrope.",64
60,,[],"I stood in front of her, hands folded. So, she said. She had a cigarette, and she put it between her lips and gripped it there while she lit it. Her lips were thin, held that way, with the small vertical lines around them you used to see in advertisements for lip cosmetics. The lighter was ivory-colored. The cigarettes must have come from the black market, I thought, and this gave me hope. Even now that there is no real money anymore, there's still a black market. There's always a black market, there's always something that can be exchanged. She then was a woman who might bend the rules. But what did I have, to trade?",,"Tôi đứng trước bà, hai tay khoanh. Vậy đấy, bà nói. Bà đang cầm điếu thuốc lá, và đặt lên môi mà bậm chặt trong khi châm lửa. Môi bà mím vậy rất mỏng, viền môi vẽ ra những đường dọc mảnh thường thấy trong quảng cáo son. Bật lửa màu ngà. Thuốc lá chắc mua chợ đen, tôi nghĩ, và bắt đầu hy vọng. Kể cả không còn tiền mặt nữa, ít nhất vẫn còn chợ đen. Luôn luôn có chợ đen, luôn luôn có gì đó đem trao đổi được. Vậy bà là một người có khả năng phớt luật. Nhưng tôi có gì để đổi chác đây?",,"Ellerimi kavuşturmuş, önünde, ayakta duruyordum. Demek öyle, dedi. Dudaklarının arasına bir sigara yerleştirdi ve yakarken onu sıkıca kıstırdı. Dudakları inceydi, bu haliyle, etrafındaki küçük dikey çizgilerle, eskiden dudak kozmetikleri ilanlarında görülen dudaklara benziyordu. Çakmak fildişi rengindeydi. Sigaralar karaborsadan olmalı, diye düşündüm ve bu bana umut verdi. Şimdi, gerçek paranın artık bulunmadığı bu zamanda bile, hâlâ karaborsa var. Her zaman bir karaborsa vardır, değiş tokuş edilebilecek bir şey vardır her zaman. Demek ki, kuralları zorlayabilen bir kadındı o. Ancak benim pazarlayabileceğim neyim vardı ki?",,"Me quedé de pie delante de ella, con las manos cruzadas. Bien, dijo. Cogió un cigarrillo y se lo puso entre los labios para encenderlo. Mientras lo sujetaba, los labios se le veían finos, enmarcados por esas líneas verticales que se ven en los labios de los anuncios de cosméticos. El encendedor era de color marfil. Los cigarrillos debían de ser del mercado negro, pensé, lo cual me hizo alentar esperanzas. Incluso ahora que ya no hay dinero de verdad, existe un mercado negro. Siempre existe un mercado negro, siempre hay algo que se puede intercambiar. Ella era una mujer que podría burlar las normas. Pero, ¿yo qué tenía para negociar?",,"I stood before her, arms crossed. So there, she said. She was holding a cigarette and placed it on her lips, clamping down as she lit it. Her lips were pressed so thin, the outline of her lips forming the fine vertical lines often seen in lipstick advertisements. An ivory-colored lighter. The cigarette was probably bought on the black market, I thought, and began to hope. Even if there was no more cash, at least there was still the black market. There is always a black market, always something to trade. So she was someone capable of bending the rules. But what do I have to trade?","I stood with my hands clasped in front of me. So, that's how it is, she said. She placed a cigarette between her lips and clenched it tightly as she lit it. Her lips were thin, and with the small vertical lines around them, they resembled the lips seen in old lipstick advertisements. The lighter was ivory-colored. The cigarettes must be from the black market, I thought, and this gave me hope. Even now, in a time when real money is no longer available, there is still a black market. There is always a black market, always something that can be traded. So, she was a woman who could bend the rules. But what did I have that I could trade?","I stood in front of her, with my hands crossed. All right, she said. She took a cigarette and placed it between her lips to light it. While holding it, her lips looked thin, framed by those vertical lines you see on the lips in cosmetic ads. The lighter was ivory-colored. The cigarettes must have been from the black market, I thought, which gave me hope. Even now that there's no real money, there is a black market. There is always a black market, there is always something that can be traded. She was a woman who could bend the rules. But what did I have to trade?",138
67,,[],"I did sit, on the edge of one of the stiff-backed chairs. I didn't want to stare around the room, I didn't want to appear inattentive to her; so the marble mantelpiece to my right and the mirror over it and the bunches of flowers were just shadows, then, at the edges of my eyes. Later I would have more than enough time to take them in.",,"Tôi ngồi xuống thật, ghé vào mép chiếc ghế tựa lưng thẳng đơ. Tôi không muốn giương mắt khắp phòng, không muốn tỏ ra lơ đễnh trước bà; bệ lò sưởi hoa cương ngay bên phải cùng tấm gương bên trên và mấy bó hoa thành ra chỉ chập chờn trong khóe mắt. Rồi đây tôi sẽ có thừa thời gian mà ngắm nghía.",,"Dik arkalıklı sandalyelerden birinin ucuna iliştim. Gözümü dikip odayı süzmek istemiyordum, ona karşı ilgisiz görünmek de; o sıra, sağımdaki mermer şömine rafı, üstündeki ayna ve çiçek buketleri gölgelerdi sadece, göz ucuyla gördüğüm. Daha sonra fazlasıyla zamanım olacaktı onları incelemek için.",,Me senté en el borde de una de las sillas de respaldo recto. No quería quedarme con la vista fija ni dar la impresión de que estaba distraída; así que la repisa de mármol de mi derecha y el espejo de encima y los ramos de flores sólo eran sombras que captaba con el rabillo del ojo. Más adelante tendría tiempo de sobra para mirarlos.,,"I sat down for real, perched on the edge of the straight-backed chair. I didn't want to stare around the room, didn't want to appear inattentive in front of her; the marble fireplace immediately to the right along with the mirror above and the bunches of flowers thus only flickered in the corner of my eye. Later, I would have plenty of time to look around.","I perched on the edge of one of the straight-backed chairs. I didn't want to stare around the room, nor did I want to appear indifferent to him; at that moment, the marble fireplace mantle to my right, the mirror above it, and the bouquets of flowers were just shadows, seen out of the corner of my eye. Later, I would have plenty of time to examine them.","I sat on the edge of one of the straight-backed chairs. I didn't want to keep my gaze fixed or give the impression that I was distracted; so the marble shelf to my right, the mirror above it, and the bouquets of flowers were just shadows I caught out of the corner of my eye. Later on, I would have plenty of time to look at them.",80
