en,Single_ent,Multiple_ents,en_masked,token_count
"I mean, this entire thing is almost laughable. I am a NASA scientist. I have a doctorate in aerospace engineering and several publications in the field of planetary geology. At any given time, my brain is a jumbled maelstrom of stray thoughts on massive volcanism, crystal fluid dynamics, and the exact kind of anti-radiation equipment one would need to start a medium-size human colony on Kepler-452b. I promise I’m not being conceited when I say that I know pretty much all there is to know about Mars. Including the fact that there are no oceans on it, and the idea that there ever were is highly controversial among scientists.",,[],,135
"The problem is, it calls to me, this nonexistent ocean on Mars. I feel the pull of it deep inside my belly, and it warms me even here, at the icy tip of the world. Its turquoise waters and rust-tinted coastlines are approximately 200 million kilometers from the place where I’ll die and rot, but I cannot shake the feeling that they want me closer. There is an ocean, a network of gullies, an entire giant planet full of iron oxide, and they’re all calling to me. Asking me to give up. Lean in. Let go.",,[],,118
"On my very first day at NASA, at some point between the HR intake and a tour of the Electromagnetic Compliance Studies building, some overzealous newly hired engineer turns to the rest of us and asks, “Don’t you feel like your entire life has led you to this moment? Like you were meant to be here?”",,[],,67
"As it turns out, I didn’t need to. I got accepted to a whopping (drumroll, please) . . . one top-twenty school. A real winner, huh? I don’t know if they misfiled my application, misplaced half of my transcripts, or had a brain fart in which the entire admissions office temporarily forgot what a promising student is supposed to look like. I put down my deposit and approximately forty-five seconds after getting my letter told Georgia Tech that I’d be attending.",,[],,104
“A baby video of you . . . running around in the kiddie pool? Picking your nose? Rummaging around the back of your diaper?”,,[],,30
"He sighs, impassive. “I was around three or four. And they had one of those bathroom displays. The ones with model sinks and showers and vanities. And toilets, naturally.”",,[],,41
"He sighs again. His broad shoulders lift, then fall. “When my aunt called, she briefly mentioned uploading it on Facebook. Tagging the NASA official page.”",,[],,34
"I laugh. “Oh no. I was a total dumbass. Still am, for the most part. I just thought it might be a good guess.” It fits the persona, too. He doesn’t come across as insecure, not quite, but he’s cautious. Withdrawn.",,[],,58
"I laugh at the look he gives me. He is just so hilariously, deliciously teasable. “Why did everyone want to be part of that team, anyway?”",,[],,35
"He shrugs. “I’m not sure why everyone else did. I assume because it’s challenging. Lots of high-risk, high-reward projects. But for me it was . . .” He glances out of the window, at a maple tree in the JPL campus. Actually, no: I think he might be looking up. At the sky. “It just felt like . . .” He trails off, as though not sure how to continue.",,[],,95
"“No. No, I—” He’s finally rebooting. Shaking his head. “No, you aren’t, I’m just—”",,[],,30
"“Because.” His large hand gestures in my direction. He swallows, and I watch his throat work. “Just . . . look at you.”",,[],,31
"So I say it—“I look okay”—which should sound confident but comes out a bit petulant. It’s not that I think I’m hot shit, but I refuse to be insecure about my appearance. I like myself. Historically, the people I’ve wanted to sleep with have liked me, too. My body does its job as a means to an end. It manages to let me kayak around California lakes without muscle aches the following day, and it digests lactose like it’s an Olympic discipline. That’s all that matters.",,[],,110
"I grin, suddenly charmed. “Can I ask you a question?” I roll myself closer, and I’m not sure when that happened, but he angled his chair so that my knees end up slotted between his. Nice. “It’s a bit forward.”",,[],,54
"He’s probably two hundred pounds of muscles and I have no clue whether the chair can hold us both, but I decide to live dangerously: I straddle Ian’s lap, feeling his sharp inhale vibrate through my body. For a suspended second our lips part and his eyes hold mine, like we’re both waiting for every piece of furniture in the room to collapse. But JPL must be investing in sturdy decor.",,[],,84
"“I’m in love with your freckles,” I say, right before nipping at one on his jaw. “I thought about licking them the moment I saw you.” I make my way to the hollow of his ear. He exhales, sharp.",,[],,50
"He shakes his head, and I could cry of happiness, but I don’t have time. It’s like we were playing before, and now we’re in earnest. We’re barely kissing, uncoordinated, unfocused, just grinding against each other, and I chase the feeling of his body against mine, the high of being so close, his erection between my legs as we both make hushed, grunting, obscene noises, as we both try to get closer, to get more contact, skin, heat, friction, friction, friction, I need more friction—",,[],,117
"“Shit.” I cannot get enough. It’s not a good position, and I hate this stupid chair, and this is driving me insane. I let out a loud, infuriated groan and sink my teeth deep into his neck, like I am made of heat and frustration, and—",,[],,61
"“Well,” I say. My voice is raspier than I ever remember hearing it. There’s a wireless keyboard on the floor, cables dangling by my thigh, and if I move even half an inch back, I’ll destroy one, maybe two monitors. “Well,” I repeat. I let out a peal of winded laughter against his skin.",,[],,71
"He pauses for a moment, wide-eyed. Then weaves through the clusters of people chatting around the table, marching toward me with long strides. His eyes stay fixed on mine and he looks confident and pleasantly surprised, like a guy picking up his girlfriend at the airport after she spent four months abroad studying the courtship habits of the humpback whale. But it has nothing to do with me. It’s not because of me.",,[],,86
"His hands press briefly into my spine, and we fit together just like four years ago. Then, a second later, we both pull back. I don’t do blushing, not ever, but my heart is beating fast and there’s a curious heat creeping up my chest.",,[],,56
“Yeah.” I cannot help making my smile just a tad suggestive. An experiment. I seem to do lots of those when he’s around. “Lots of fun.”,,[],,35
"My heart sinks. “You can’t?” Is he seeing someone? Not interested? “It doesn’t have to—” be a date, I hasten to say, but we’re interrupted.",,[],,40
"Twenty minutes later, I lock eyes with him for the last time just as someone knocks to remind him that his plane will board in less than two hours.",,[],,31
"“He won’t,” I lie. I have no plan at the moment, but part of me already knows that I’m lying. I’m not exactly the nonconfrontational type.",,[],,37
"I found it locked. “He’s at JPL,” someone with a South African accent told me when they noticed me idling in the hallway.",,[],,30
"The words crash out of me. My temper has always been reckless, one hundred miles per hour, and . . . well. Still is, I guess.",,[],,32
"And he did deserve it, at least for saying that I wasn’t good enough to carry out the project. But at the time he also mentioned that my mission was going to be too dangerous. And now he’s shown up to the Arctic Circle, with his deep-set blue eyes and even deeper voice, to pull me away from certain death.",,[],,69
"“Fu—” I press a hand against my lips, trying to hide my gasp in the fabric of my gloves, struggling to keep upright. I’m pretty sure that the loud swishing of the wind swallows my whimper, but there isn’t much I can do to help the tears flooding my eyes.",,[],,63
"When I lean back to tell him, he cups my face. “We really need to go. I’ll carry you to the coast. I have a light brace for your ankle, just to avoid messing it up even more.”",,[],,46
"He still doesn’t meet my eyes. Instead he tightens the brace and pulls a thick woolen sock over my foot. I think I feel the ghosts of fingertips trailing briefly across my toe, but maybe it’s my impression. It must be.",,[],,50
"I frown. “Are you . . . Are you okay? Is that even . . . Is that a thing, smuggling weed on boats?”",,[],,31
"“I’ll go check that everything is all right. I’ll be back in a minute.” He disappears before I can ask exactly what he needs to check on. And he’s not back in a minute—or even before I lean back in the bunk, decide to rest my eyes for just a couple of minutes, and fall asleep, dead to the world.",,[],,71
"He sighs, a warm chuff on the crown of my hair. I must be catching him off guard, because this time he answers the question. “Six days.”",,[],,35
"“True.” He nods, and his jaw brushes against my hair. “Would you have let me get to know you if we had fucked?”",,[],,30
"When we step out of the TSA area of the Houston airport, there is a sign in the crowd, similar to the ones limo drivers hold up in movies when they’re picking up important clients they’re afraid they won’t recognize.",,[],,46
