Single_ent,en_masked,en_masked_results,en_masked_shuffled,en_masked_shuffled_results
['peter'],"[MASK] said this felt like an invitation. Laughed, almost self-deprecatingly, as he added, “I’d never believed in fate before that.”","""title"": ""The Fault in Our Stars"",""author"": ""John Green""","Laughed, he almost in before felt this self-deprecatingly, believed added, as fate that.” invitation. “I’d never said an like [MASK]","""title"": ""The Catcher in the Rye"",""author"": ""J.D. Salinger"""
['peter'],"My hat landed atop a pile of discarded lo mein, the lip of the can smashed into my rib cage, and I did a wheezing pratfall into the grass. [MASK] described this as “adorably clumsy.”","""title"": ""Eleanor &amp; Park"",""author"": ""Rainbow Rowell""","the a of and lo [MASK] grass. into a my “adorably landed clumsy.” mein, discarded lip the I smashed did atop of wheezing pile rib My this can described pratfall hat the as into cage,","Based on the passage, I'm going to take a guess that the book is ""The Catcher in the Rye"" by J.D. Salinger.

Here's my reasoning:

* The tone of the passage seems to be humorous and lighthearted, which is consistent with the tone of ""The Catcher in the Rye"".
* The use of words like ""clumsy"" and ""pratfall"" suggests a playful and self-deprecating tone, which is also"
['daphne'],"“I fell in love with [MASK] the moment I looked up from her hat,” he’d say, no mention of the trash-noodles in my hair.","""title"": ""The Fault in Our Stars"",""author"": ""John Green""","hair. in I the my looked no her love say, of mention trash-noodles hat,” [MASK] moment up the “I fell from in with he’d","""title"": ""The Catcher in the Rye"",""author"": ""J.D. Salinger"""
['peter'],"Over the last three years, [MASK] dusted off Our Story every chance he got. I was sure he’d work it into both our vows and his wedding reception speech.","""title"": ""The Wedding Date"",""author"": ""Jasmine Guillory""","into work vows reception he’d last three dusted speech. both [MASK] wedding the Our every his off got. our Over chance Story I years, it he and was sure","Based on the passage, I'm going to take a guess that the book is ""The Great Gatsby"" by F. Scott Fitzgerald.

Here's my reasoning:

* The mention of a wedding and a speech suggests a formal event, which is consistent with the lavish parties and social gatherings depicted in The Great Gatsby.
* The use of phrases like ""our every"" and ""our Over chance"" suggests a sense of nostalgia and reminiscence, which is a common theme in The Great Gatsby"
['dorner'],“Could you just turn it down?” I say. “All the plates are rattling in the cabinets and Mr. [MASK]’s trying to bust down the living room wall.”,"""title"": ""The Perks of Being a Wallflower"",""author"": ""Stephen Chbosky""",“All just the down are down?” to the trying plates wall.” it I in living [MASK]’s say. turn cabinets room and “Could the Mr. you bust rattling,"""title"": ""The Turn of the Screw"",""author"": ""Henry James"""
['petra'],"[MASK] is also a stoner without a college degree, but I guess it’s different when you’re a perfect ten with a picturesque family and well-padded bank account. Then you’re not a stoner; you’re a free spirit.","""title"": ""The Hating Game"",""author"": ""Sally Thorne""","but is college family stoner; you’re free account. stoner a you’re bank degree, well-padded picturesque Then without perfect a [MASK] spirit. also not a you’re I and different ten when it’s with a a a guess","""title"": ""Stoner"",""author"": ""John Williams"""
['peter'],"When I jolted awake at the click of the front door, it was full bright in the living room, so I could see [MASK]’s surprise at finding me there.","""title"": ""The Girl on the Train"",""author"": ""Paula Hawkins""","living I I [MASK]’s click of jolted surprise awake door, full so the me finding bright was in When at front the the see room, there. it could at","Based on the passage, I'm going to take a guess that the book is ""The Tell-Tale Heart"" by Edgar Allan Poe.

Here's my reasoning:

* The passage mentions a sudden, jolting surprise, which is reminiscent of the narrator's nervous and agitated state in ""The Tell-Tale Heart"".
* The mention of a door and a room also fits with the setting of the story, which takes place in an old man's chamber.
* The use of short, chop"
['daphne'],"“No!” he said. “I mean, it wasn’t like that. We’re . . . She told me she’s in love with me, [MASK]. And I realized I am too. In love. With her. Fuck, I’m so sorry.”","""title"": ""The Fault in Our Stars"",""author"": ""John Green""","wasn’t her. “No!” love . Fuck, I’m sorry.” And mean, realized he [MASK]. “I with We’re like She so that. am she’s told me said. . I me, in In I love. too. it With .","""title"": ""The Fault in Our Stars"",""author"": ""John Green"""
['peter'],"“Are you fucking kidding me, [MASK]?” I jumped up. I didn’t feel hurt then. That would come later. First it was all rage.","""title"": ""The Girl on the Train"",""author"": ""Paula Hawkins""","fucking I jumped First would later. rage. it was me, all hurt I then. you “Are up. didn’t feel That kidding [MASK]?” come","""title"": ""The Catcher in the Rye"",""author"": ""J.D. Salinger"""
['peter'],"“Of course she fucking meant for this to happen, [MASK]! She had twenty-five years to tell you she was in love with you and chose last night!”","""title"": ""It Ends with Us"",""author"": ""Colleen Hoover""","chose tell last meant for in love course [MASK]! with and years to happen, you night!” had to “Of you she She she fucking this twenty-five was","Based on the passage, I'm going to take a guess that the book is ""The Fault in Our Stars"" by John Green.

Here's my reasoning:

* The language and tone of the passage seem to match the style of John Green's writing, which is known for being conversational and relatable.
* The mention of ""twenty-five years"" and the use of the phrase ""fucking this"" suggests that the book is a contemporary young adult novel, which is consistent with John Green's"
