Single_ent,en_masked_shuffled_results,en_exact_match,en_highest_fuzzy_match,en_correct
['eager beaver'],nasa,0,0.25,incorrect
['hannah'],holden,0,0.33,incorrect
['kalpana chawla'],emma,0,0.2,incorrect
['floyd'],crudity,0,0.17,incorrect
['floyd'],wikipedia,0,0.14,incorrect
['mara'],midori,0,0.4,incorrect
['mara'],john,0,0.0,incorrect
['floyd'],trace,0,0.0,incorrect
['python'],hal,0,0.22,incorrect
['let'],humanity,0,0.18,incorrect
['fuck'],ian,0,0.0,incorrect
['hannah'],caltech,0,0.31,incorrect
['mara'],jessica,0,0.18,incorrect
['merel'],drake,0,0.4,incorrect
['hannah'],elon,0,0.2,incorrect
['mara'],mary,0,0.75,correct
['mara'],she,0,0.0,incorrect
['merel'],advisor,0,0.17,incorrect
['karl'],someone,0,0.0,incorrect
['haven'],don,0,0.25,incorrect
['arroyo'],spirit,0,0.17,incorrect
['arroyo'],jane,0,0.2,incorrect
['merel'],watney,0,0.18,incorrect
['floyd'],james,0,0.0,incorrect
['merel'],olaf,0,0.22,incorrect
['hannah'],gatsby,0,0.17,incorrect
['merel'],tyler,0,0.4,incorrect
['hannah'],longyearbyen,0,0.22,incorrect
['merel'],he,0,0.29,incorrect
['floyd'],mom,0,0.25,incorrect
['hannah'],john,0,0.4,incorrect
['hannah'],john,0,0.4,incorrect
['merel'],ian,0,0.0,incorrect
['mara'],he,0,0.0,incorrect
['mara'],jessica,0,0.18,incorrect
['floyd'],edward,0,0.18,incorrect
['mara'],john,0,0.0,incorrect
['mara'],sadie,0,0.22,incorrect
['great'],great,1,1.0,correct
['hannah'],guy,0,0.0,incorrect
['hannah'],johnny,0,0.5,incorrect
['hannah'],tyler,0,0.0,incorrect
['hannah'],christian,0,0.4,incorrect
['hannah'],gatsby,0,0.17,incorrect
['mara'],gordon,0,0.2,incorrect
['hannah'],he,0,0.25,incorrect
['hannah'],christian,0,0.4,incorrect
['hannah'],borealis,0,0.14,incorrect
