Single_ent,en_masked_shuffled_results,en_exact_match,en_highest_fuzzy_match,en_correct
['peter'],gatsby,0,0.18,incorrect
['peter'],mein,0,0.22,incorrect
['daphne'],he’d,0,0.4,incorrect
['peter'],story,0,0.4,incorrect
['dorner'],brown,0,0.36,incorrect
['petra'],hippie,0,0.36,incorrect
['peter'],scrooge,0,0.17,incorrect
['daphne'],john,0,0.4,incorrect
['peter'],johnny,0,0.0,incorrect
['peter'],emma,0,0.22,incorrect
['daph'],godfrey,0,0.18,incorrect
['peter'],mac,0,0.0,incorrect
['peter'],fool,0,0.0,incorrect
['daph'],emily,0,0.0,incorrect
['peter'],bay,0,0.0,incorrect
['arham'],adam,0,0.67,incorrect
['fontana'],mom,0,0.2,incorrect
['renesmee'],hell,0,0.17,incorrect
['landon'],gatsby,0,0.17,incorrect
['dorner'],miles,0,0.18,incorrect
['peter'],gatsby,0,0.18,incorrect
['peter'],atticus,0,0.17,incorrect
['edvard munch'],munch,1,1.0,correct
['peter'],miles,0,0.2,incorrect
['peter'],care,0,0.22,incorrect
['peter'],john,0,0.0,incorrect
['maya'],emily,0,0.44,incorrect
['harvey'],ordinarily,0,0.38,incorrect
['petra'],marian,0,0.36,incorrect
['peterverse'],coast,0,0.13,incorrect
['tom petty'],bartender,0,0.22,incorrect
['peter'],gatsby,0,0.18,incorrect
['landon'],bond,0,0.4,incorrect
['petra'],emily,0,0.2,incorrect
['mulder'],jane,0,0.2,incorrect
['landon'],grace,0,0.18,incorrect
['mulder'],teacher,0,0.31,incorrect
['peter'],gatsby,0,0.18,incorrect
['batman'],charlie,0,0.15,incorrect
['daphne'],chardonnay,0,0.25,incorrect
['greg'],jenny,0,0.22,incorrect
['daphne'],smith,0,0.18,incorrect
['daphne'],louie,0,0.18,incorrect
['peter'],chad,0,0.0,incorrect
['peter'],mom,0,0.0,incorrect
['peter'],john,0,0.0,incorrect
['peter'],michael,0,0.17,incorrect
['petra'],john,0,0.0,incorrect
['peter'],tyler,0,0.6,incorrect
['peter'],chris,0,0.2,incorrect
['cooper'],jessica,0,0.15,incorrect
['cooper'],emily,0,0.18,incorrect
['peter'],jordan,0,0.18,incorrect
['maya'],matilda,0,0.55,incorrect
['peter'],gatsby,0,0.18,incorrect
['peter'],emily,0,0.2,incorrect
['peter'],jessica,0,0.17,incorrect
['harvey'],waning,0,0.17,incorrect
['morgan freeman'],tom,0,0.24,incorrect
['harvey'],gary,0,0.6,incorrect
['daphne'],wolf,0,0.0,incorrect
['barb'],she,0,0.0,incorrect
['barb'],hermione,0,0.17,incorrect
['martín'],mario,0,0.73,correct
['clarence'],heathcliff,0,0.22,incorrect
['peter'],johnny,0,0.0,incorrect
['peter'],johnny,0,0.0,incorrect
['peter'],john,0,0.0,incorrect
['peter'],atticus,0,0.17,incorrect
['daphne'],smith,0,0.18,incorrect
['santa claus'],freud,0,0.2,incorrect
['petra'],miles,0,0.2,incorrect
['petra'],johnny,0,0.0,incorrect
['ben'],mom,0,0.0,incorrect
['pam'],jan,0,0.33,incorrect
['ryan reynolds'],watson,0,0.4,incorrect
['daphne'],god,0,0.22,incorrect
['charlotte lucas'],john,0,0.15,incorrect
['daphne'],emily,0,0.18,incorrect
['jules'],wilson,0,0.36,incorrect
['daphne'],alaska,0,0.17,incorrect
['daphne'],harry,0,0.18,incorrect
['handsy stanley'],john,0,0.4,incorrect
['petra'],gatsby,0,0.18,incorrect
['peter'],huck,0,0.0,incorrect
['daphne'],finnegan,0,0.29,incorrect
['daphne'],gravity,0,0.15,incorrect
['beard'],tyler,0,0.4,incorrect
['petra'],holden,0,0.18,incorrect
['peter'],chris,0,0.2,incorrect
['peter'],gatsby,0,0.18,incorrect
['duke'],john,0,0.0,incorrect
['duke'],john,0,0.0,incorrect
['duke'],holden,0,0.4,incorrect
['cooper'],emily,0,0.18,incorrect
['daphne'],gatsby,0,0.17,incorrect
['petra'],lucy,0,0.0,incorrect
['morgan freeman'],freeman,1,1.0,correct
['harvey'],hobbes,0,0.33,incorrect
['harvey'],ashleigh,0,0.29,incorrect
['harvey'],harry,0,0.73,correct
['lenore'],surprise,0,0.29,incorrect
['barb'],dealer,0,0.4,incorrect
['daphne'],gatsby,0,0.17,incorrect
['lenore'],heathcliff,0,0.12,incorrect
['lance'],tom,0,0.0,incorrect
['peter'],gatsby,0,0.18,incorrect
['peter'],jake,0,0.22,incorrect
['petra'],city,0,0.22,incorrect
['petra'],jane,0,0.22,incorrect
['peter'],us,0,0.0,incorrect
['peter'],end,0,0.25,incorrect
['petra'],augustus,0,0.15,incorrect
['don'],don,1,1.0,correct
['jules'],miles,0,0.6,incorrect
['peter'],venus,0,0.2,incorrect
['petra'],john,0,0.0,incorrect
['melly'],emily,0,0.6,incorrect
['peter'],jane,0,0.22,incorrect
['peter'],gatsby,0,0.18,incorrect
['tessa dare'],tessa,1,1.0,correct
['petra'],rachel,0,0.36,incorrect
['daphne'],heathcliff,0,0.25,incorrect
['daphne'],ali,0,0.22,incorrect
['jason roberts'],fun,0,0.25,incorrect
['mulder'],dad,0,0.22,incorrect
['duke'],johnny,0,0.0,incorrect
['daphne'],miles,0,0.18,incorrect
['jayjay'],raven,0,0.18,incorrect
['ryan reynolds'],help,0,0.33,incorrect
['petra'],starfire,0,0.31,incorrect
['leanna'],scout,0,0.0,incorrect
['daphne'],john,0,0.4,incorrect
['peter'],fill,0,0.0,incorrect
['daphne'],gatsby,0,0.17,incorrect
['jules'],john,0,0.22,incorrect
['petra'],gatsby,0,0.18,incorrect
['daphne'],edward,0,0.33,incorrect
['glen campbell'],davis,0,0.15,incorrect
['belle'],beauty,0,0.36,incorrect
['daphne'],alexa,0,0.36,incorrect
['harvey'],gatsby,0,0.33,incorrect
['harvey'],emily,0,0.36,incorrect
['mulder'],goodnight,0,0.13,incorrect
['peter'],dad,0,0.0,incorrect
['peter'],john,0,0.0,incorrect
['petra'],tom,0,0.25,incorrect
['daphne'],gatsby,0,0.17,incorrect
['peter'],gatsby,0,0.18,incorrect
['daphne'],hook,0,0.2,incorrect
['harvey'],meeting,0,0.15,incorrect
['duke'],spacey,0,0.2,incorrect
['harvey'],siri,0,0.2,incorrect
['harvey'],she,0,0.44,incorrect
['duke'],jerry,0,0.22,incorrect
['daphne'],johnny,0,0.33,incorrect
['ash'],gatsby,0,0.44,incorrect
['petra'],holden,0,0.18,incorrect
['duke'],rover,0,0.22,incorrect
['duke'],hope,0,0.25,incorrect
['duke'],faust,0,0.22,incorrect
['daphne'],holden,0,0.33,incorrect
['peter'],gatsby,0,0.18,incorrect
['landon'],doc,0,0.44,incorrect
['katya'],cherry,0,0.18,incorrect
['elda'],emily,0,0.44,incorrect
['elda'],emily,0,0.44,incorrect
['maya'],hermione,0,0.17,incorrect
['mulder'],john,0,0.0,incorrect
['daphne'],veruca,0,0.17,incorrect
['petra'],loved,0,0.2,incorrect
['petra'],he,0,0.29,incorrect
['daphne'],heathcliff,0,0.25,incorrect
['peter'],emma,0,0.22,incorrect
['daphne'],mom,0,0.0,incorrect
