Single_ent,en_masked_shuffled_results,es_masked_shuffled_results,tr_masked_shuffled_results,vi_masked_shuffled_results,en_exact_match,en_highest_fuzzy_match,es_exact_match,es_highest_fuzzy_match,tr_exact_match,tr_highest_fuzzy_match,vi_exact_match,vi_highest_fuzzy_match,en_correct,es_correct,tr_correct,vi_correct
['montag'],clarisse,fénix,harry,song,0,0.14,0,0.18,0,0.18,0,0.6,incorrect,incorrect,incorrect,incorrect
['montag'],mary,maría,elena,anna,0,0.4,0,0.36,0,0.36,0,0.4,incorrect,incorrect,incorrect,incorrect
['montag'],clarissa,kafka,adam,nguyễn,0,0.14,0,0.18,0,0.2,0,0.33,incorrect,incorrect,incorrect,incorrect
['montag'],gollum,houdini,ali,vô,0,0.17,0,0.31,0,0.22,0,0.25,incorrect,incorrect,incorrect,incorrect
['mildred'],peter,juan,ali,john,0,0.17,0,0.0,0,0.2,0,0.0,incorrect,incorrect,incorrect,incorrect
"['faber', 'faber—']",montag,borges,kafka,kafka,0,0.18,0,0.36,0,0.4,0,0.4,incorrect,incorrect,incorrect,incorrect
['montag'],faber,denham,denham,denham,0,0.18,0,0.33,0,0.33,0,0.33,incorrect,incorrect,incorrect,incorrect
['montag'],gatsby,garcía,gutenberg,chiều,0,0.17,0,0.17,0,0.27,0,0.0,incorrect,incorrect,incorrect,incorrect
['montag'],patience,kafka,newton,kiên,0,0.14,0,0.18,0,0.33,0,0.2,incorrect,incorrect,incorrect,incorrect
['montag'],gatsby,juan,elleri,hai,0,0.17,0,0.2,0,0.0,0,0.22,incorrect,incorrect,incorrect,incorrect
['faber'],heathcliff,juan,ahmet,anh,0,0.13,0,0.22,0,0.4,0,0.25,incorrect,incorrect,incorrect,incorrect
"['bowles', 'bayan bowles']",mrs.,kafka,ayda,chúa,0,0.2,0,0.4,0,0.67,0,0.22,incorrect,incorrect,incorrect,incorrect
"['phelps', 'bayan phelps']",montag,marx,bradbury,harry,0,0.18,0,0.22,0,0.46,0,0.4,incorrect,incorrect,incorrect,incorrect
['montag'],gatsby,borges,kafka,vương,0,0.17,0,0.33,0,0.18,0,0.55,incorrect,incorrect,incorrect,incorrect
['montag'],heathcliff,quijote,i̇sa,romeo,0,0.12,0,0.31,0,0.22,0,0.36,incorrect,incorrect,incorrect,incorrect
['montag'],beetle,él,gregor,lam,0,0.17,0,0.0,0,0.17,0,0.22,incorrect,incorrect,incorrect,incorrect
['montag'],baker,dante,gregor,anh,0,0.18,0,0.36,0,0.17,0,0.22,incorrect,incorrect,incorrect,incorrect
['montag'],gatsby,rosa,holmes,thủy,0,0.17,0,0.4,0,0.17,0,0.2,incorrect,incorrect,incorrect,incorrect
['montag'],clarisse,juan,ahmet,anh,0,0.14,0,0.2,0,0.36,0,0.22,incorrect,incorrect,incorrect,incorrect
['montag'],fahrenheit,hemingway,leonardo,nguyễn,0,0.25,0,0.4,0,0.43,0,0.33,incorrect,incorrect,incorrect,incorrect
"['montag', 'montag tiến']",gatsby,hemingway,prometheus,kafka,0,0.24,0,0.4,0,0.29,0,0.18,incorrect,incorrect,incorrect,incorrect
['montag'],gandalf,hemingway,ahmet,holmes,0,0.31,0,0.4,0,0.36,0,0.17,incorrect,incorrect,incorrect,incorrect
['montag'],tralfamadorian,hiroshima,atlas,bom,0,0.3,0,0.27,0,0.36,0,0.22,incorrect,incorrect,incorrect,incorrect
['montag'],kurtz,nemo,prometheus,họ,0,0.18,0,0.4,0,0.25,0,0.25,incorrect,incorrect,incorrect,incorrect
['granger'],huck,orinoco,ali,lặng,0,0.0,0,0.29,0,0.2,0,0.55,incorrect,incorrect,incorrect,incorrect
